Geographic Area,Householder living alone—65 years and over,Lvng alone
"Mills County, Texas",18.30%,18.3
"Milwaukee County, Wisconsin",12.30%,12.3
"Miner County, South Dakota",16.90%,16.9
"Mineral County, Colorado",13.40%,13.4
"Mineral County, Montana",19.50%,19.5
"Mineral County, Nevada",23.10%,23.1
"Mineral County, West Virginia",16.20%,16.2
"Mingo County, West Virginia",13.80%,13.8
"Minidoka County, Idaho",11.80%,11.8
"Minnehaha County, South Dakota",10.50%,10.5
"Missaukee County, Michigan",12.70%,12.7
"Mississippi County, Arkansas",12.30%,12.3
"Mississippi County, Missouri",17.30%,17.3
"Missoula County, Montana",10.90%,10.9
"Mitchell County, Georgia",11.90%,11.9
"Mitchell County, Iowa",13.20%,13.2
"Mitchell County, Kansas",10.80%,10.8
"Mitchell County, North Carolina",20.70%,20.7
"Mitchell County, Texas",14%,14
"Mobile County, Alabama",11.50%,11.5
"Moca Municipio, Puerto Rico",9.40%,9.4
"Modoc County, California",15.10%,15.1
"Moffat County, Colorado",10.50%,10.5
"Mohave County, Arizona",17.90%,17.9
"Moniteau County, Missouri",18.50%,18.5
"Monmouth County, New Jersey",13.30%,13.3
"Mono County, California",5.40%,5.4
"Monona County, Iowa",20.60%,20.6
"Monongalia County, West Virginia",8.60%,8.6
"Monroe County, Alabama",16.70%,16.7
"Monroe County, Arkansas",23.40%,23.4
"Monroe County, Florida",13.40%,13.4
"Monroe County, Georgia",13.20%,13.2
"Monroe County, Illinois",11.30%,11.3
"Monroe County, Indiana",9.30%,9.3
"Monroe County, Iowa",14.60%,14.6
"Monroe County, Kentucky",19.10%,19.1
"Monroe County, Michigan",13.10%,13.1
"Monroe County, Mississippi",13.30%,13.3
"Monroe County, Missouri",18.10%,18.1
"Monroe County, New York",13.20%,13.2
"Monroe County, Ohio",13.90%,13.9
"Monroe County, Pennsylvania",10.60%,10.6
"Monroe County, Tennessee",13.20%,13.2
"Monroe County, West Virginia",15.30%,15.3
"Monroe County, Wisconsin",12.70%,12.7
"Montague County, Texas",14.20%,14.2
"Montcalm County, Michigan",11.10%,11.1
"Monterey County, California",10.10%,10.1
"Montezuma County, Colorado",12.50%,12.5
"Montgomery County, Alabama",12.80%,12.8
"Montgomery County, Arkansas",15.50%,15.5
"Montgomery County, Georgia",14.80%,14.8
"Montgomery County, Illinois",17%,17
"Montgomery County, Indiana",13.70%,13.7
"Montgomery County, Iowa",16.70%,16.7
"Montgomery County, Kansas",16.10%,16.1
"Montgomery County, Kentucky",12.10%,12.1
"Montgomery County, Maryland",10.40%,10.4
"Montgomery County, Mississippi",21%,21
"Montgomery County, Missouri",14.80%,14.8
"Montgomery County, New York",17.30%,17.3
"Montgomery County, North Carolina",14.70%,14.7
"Montgomery County, Ohio",14.50%,14.5
"Montgomery County, Pennsylvania",12.50%,12.5
"Montgomery County, Tennessee",7%,7
"Montgomery County, Texas",7.50%,7.5
"Montgomery County, Virginia",9.80%,9.8
"Montmorency County, Michigan",15.50%,15.5
"Montour County, Pennsylvania",13.90%,13.9
"Montrose County, Colorado",14.80%,14.8
"Moody County, South Dakota",13.40%,13.4
"Moore County, North Carolina",14.20%,14.2
"Moore County, Tennessee",12.20%,12.2
"Moore County, Texas",10.30%,10.3
"Mora County, New Mexico",12%,12
"Morehouse Parish, Louisiana",14.80%,14.8
"Morgan County, Alabama",14.40%,14.4
"Morgan County, Colorado",13.30%,13.3
"Morgan County, Georgia",10.40%,10.4
"Morgan County, Illinois",16.40%,16.4
"Morgan County, Indiana",11%,11
"Morgan County, Kentucky",14.40%,14.4
"Morgan County, Missouri",18.40%,18.4
"Morgan County, Ohio",13.80%,13.8
"Morgan County, Tennessee",15%,15
"Morgan County, Utah",4.90%,4.9
"Morgan County, West Virginia",16.70%,16.7
"Morovis Municipio, Puerto Rico",12.50%,12.5
"Morrill County, Nebraska",19.20%,19.2
"Morris County, Kansas",18.80%,18.8
"Morris County, New Jersey",11.20%,11.2
"Morris County, Texas",14.40%,14.4
"Morrison County, Minnesota",13.60%,13.6
"Morrow County, Ohio",9%,9
"Morrow County, Oregon",7.50%,7.5
"Morton County, Kansas",18%,18
"Morton County, North Dakota",11.90%,11.9
"Motley County, Texas",14.80%,14.8
"Moultrie County, Illinois",13.10%,13.1
"Mountrail County, North Dakota",7.80%,7.8
"Mower County, Minnesota",11.20%,11.2
"Muhlenberg County, Kentucky",13.20%,13.2
"Multnomah County, Oregon",10.50%,10.5
"Murray County, Georgia",11.10%,11.1
"Murray County, Minnesota",17.20%,17.2
"Murray County, Oklahoma",12%,12
"Muscatine County, Iowa",13.10%,13.1
"Muscogee County, Georgia",12.60%,12.6
"Muskegon County, Michigan",12.40%,12.4
"Muskingum County, Ohio",12.90%,12.9
"Muskogee County, Oklahoma",14%,14
"Musselshell County, Montana",16.80%,16.8
"Nacogdoches County, Texas",10.30%,10.3
"Naguabo Municipio, Puerto Rico",13.20%,13.2
"Nance County, Nebraska",13.30%,13.3
"Nantucket County, Massachusetts",10.40%,10.4
"Napa County, California",13.70%,13.7
"Naranjito Municipio, Puerto Rico",16.40%,16.4
"Nash County, North Carolina",15.20%,15.2
"Nassau County, Florida",11%,11
"Nassau County, New York",11.30%,11.3
"Natchitoches Parish, Louisiana",14.90%,14.9
"Natrona County, Wyoming",12.60%,12.6
"Naugatuck Valley Planning Region, Connecticut",12.30%,12.3
"Navajo County, Arizona",11.30%,11.3
"Navarro County, Texas",11.20%,11.2
"Nelson County, Kentucky",10.40%,10.4
"Nelson County, North Dakota",20.70%,20.7
"Nelson County, Virginia",13.80%,13.8
"Nemaha County, Kansas",11.70%,11.7
"Nemaha County, Nebraska",15.30%,15.3
"Neosho County, Kansas",16%,16
"Neshoba County, Mississippi",10.70%,10.7
"Ness County, Kansas",12.50%,12.5
"Nevada County, Arkansas",11.40%,11.4
"Nevada County, California",15.80%,15.8
"New Castle County, Delaware",11.60%,11.6
"New Hanover County, North Carolina",13.10%,13.1
"New Kent County, Virginia",8.70%,8.7
"New Madrid County, Missouri",16.80%,16.8
"New York County, New York",15%,15
"Newaygo County, Michigan",12.50%,12.5
"Newberry County, South Carolina",13.10%,13.1
"Newport County, Rhode Island",15.90%,15.9
"Newport News city, Virginia",10.80%,10.8
"Newton County, Arkansas",15%,15
"Newton County, Georgia",7.80%,7.8
"Newton County, Indiana",10.90%,10.9
"Newton County, Mississippi",15.90%,15.9
"Newton County, Missouri",12.50%,12.5
"Newton County, Texas",14.10%,14.1
"Nez Perce County, Idaho",14.60%,14.6
"Niagara County, New York",14.70%,14.7
"Nicholas County, Kentucky",11.40%,11.4
"Nicholas County, West Virginia",15.40%,15.4
"Nicollet County, Minnesota",14.10%,14.1
"Niobrara County, Wyoming",17.20%,17.2
"Noble County, Indiana",11.20%,11.2
"Noble County, Ohio",23.50%,23.5
"Noble County, Oklahoma",13.40%,13.4
"Nobles County, Minnesota",13.20%,13.2
"Nodaway County, Missouri",14%,14
"Nolan County, Texas",15.40%,15.4
"Nome Census Area, Alaska",4.40%,4.4
"Norfolk city, Virginia",10.70%,10.7
"Norfolk County, Massachusetts",12.30%,12.3
"Norman County, Minnesota",14.80%,14.8
"North Slope Borough, Alaska",7.90%,7.9
"Northampton County, North Carolina",21.10%,21.1
"Northampton County, Pennsylvania",13.10%,13.1
"Northampton County, Virginia",16.90%,16.9
"Northeastern Connecticut Planning Region, Connecticut",10.60%,10.6
"Northumberland County, Pennsylvania",16.40%,16.4
"Northumberland County, Virginia",20.40%,20.4
"Northwest Arctic Borough, Alaska",3.90%,3.9
"Northwest Hills Planning Region, Connecticut",13.90%,13.9
"Norton city, Virginia",26.90%,26.9
"Norton County, Kansas",17.70%,17.7
"Nottoway County, Virginia",13.90%,13.9
"Nowata County, Oklahoma",12.30%,12.3
"Noxubee County, Mississippi",14.70%,14.7
"Nuckolls County, Nebraska",17.30%,17.3
"Nueces County, Texas",9.80%,9.8
"Nye County, Nevada",14.20%,14.2
"O'Brien County, Iowa",16.10%,16.1
"Oakland County, Michigan",12.60%,12.6
"Obion County, Tennessee",15.50%,15.5
"Ocean County, New Jersey",17.70%,17.7
"Oceana County, Michigan",12.40%,12.4
"Ochiltree County, Texas",8.20%,8.2
"Oconee County, Georgia",9.10%,9.1
"Oconee County, South Carolina",12.40%,12.4
"Oconto County, Wisconsin",11.70%,11.7
"Ogemaw County, Michigan",12.90%,12.9
"Oglala Lakota County, South Dakota",2.10%,2.1
"Ogle County, Illinois",14.70%,14.7
"Oglethorpe County, Georgia",12.90%,12.9
"Ohio County, Indiana",14.50%,14.5
"Ohio County, Kentucky",11.30%,11.3
"Ohio County, West Virginia",20%,20
"Okaloosa County, Florida",10.20%,10.2
"Okanogan County, Washington",14.20%,14.2
"Okeechobee County, Florida",13.50%,13.5
"Okfuskee County, Oklahoma",11.20%,11.2
"Oklahoma County, Oklahoma",10.80%,10.8
"Okmulgee County, Oklahoma",14.10%,14.1
"Oktibbeha County, Mississippi",7.60%,7.6
"Oldham County, Kentucky",6.30%,6.3
"Oldham County, Texas",10.60%,10.6
"Oliver County, North Dakota",9.50%,9.5
"Olmsted County, Minnesota",9.90%,9.9
"Oneida County, Idaho",18.30%,18.3
"Oneida County, New York",14.30%,14.3
"Oneida County, Wisconsin",16.50%,16.5
"Onondaga County, New York",13.90%,13.9
"Onslow County, North Carolina",7.40%,7.4
"Ontario County, New York",13.90%,13.9
"Ontonagon County, Michigan",17.50%,17.5
"Orange County, California",9.30%,9.3
"Orange County, Florida",6.90%,6.9
"Orange County, Indiana",14.90%,14.9
"Orange County, New York",11.40%,11.4
"Orange County, North Carolina",10.40%,10.4
"Orange County, Texas",9.40%,9.4
"Orange County, Vermont",14.20%,14.2
"Orange County, Virginia",10.40%,10.4
"Orangeburg County, South Carolina",16%,16
"Oregon County, Missouri",14.90%,14.9
"Orleans County, New York",13.70%,13.7
"Orleans County, Vermont",15.70%,15.7
"Orleans Parish, Louisiana",13.70%,13.7
"Orocovis Municipio, Puerto Rico",12.60%,12.6
"Osage County, Kansas",14.90%,14.9
"Osage County, Missouri",12%,12
"Osage County, Oklahoma",14.90%,14.9
"Osborne County, Kansas",18.50%,18.5
"Osceola County, Florida",7%,7
"Osceola County, Iowa",15.60%,15.6
"Osceola County, Michigan",11.60%,11.6
"Oscoda County, Michigan",17%,17
"Oswego County, New York",12.70%,12.7
"Otero County, Colorado",17.90%,17.9
"Otero County, New Mexico",12.70%,12.7
"Otoe County, Nebraska",13.80%,13.8
"Otsego County, Michigan",13.10%,13.1
"Otsego County, New York",14.30%,14.3
"Ottawa County, Kansas",12.60%,12.6
"Ottawa County, Michigan",10%,10
"Ottawa County, Ohio",16%,16
"Ottawa County, Oklahoma",15.20%,15.2
"Otter Tail County, Minnesota",14.60%,14.6
"Ouachita County, Arkansas",14%,14
"Ouachita Parish, Louisiana",11.70%,11.7
"Ouray County, Colorado",13.30%,13.3
"Outagamie County, Wisconsin",11.60%,11.6
"Overton County, Tennessee",15.50%,15.5
"Owen County, Indiana",14.50%,14.5
"Owen County, Kentucky",16.60%,16.6
"Owsley County, Kentucky",19.40%,19.4
"Owyhee County, Idaho",12.10%,12.1
"Oxford County, Maine",14.60%,14.6
"Ozark County, Missouri",16.40%,16.4
"Ozaukee County, Wisconsin",15.10%,15.1
"Pacific County, Washington",22%,22
"Page County, Iowa",16.20%,16.2
"Page County, Virginia",15.20%,15.2
"Palm Beach County, Florida",17%,17
"Palo Alto County, Iowa",20.10%,20.1
"Palo Pinto County, Texas",11.60%,11.6
"Pamlico County, North Carolina",17.10%,17.1
"Panola County, Mississippi",12.50%,12.5
"Panola County, Texas",16.20%,16.2
"Park County, Colorado",6.90%,6.9
"Park County, Montana",12.20%,12.2
"Park County, Wyoming",17.60%,17.6
"Parke County, Indiana",14.80%,14.8
"Parker County, Texas",8.90%,8.9
"Parmer County, Texas",7.50%,7.5
"Pasco County, Florida",14.40%,14.4
"Pasquotank County, North Carolina",12.30%,12.3
"Passaic County, New Jersey",10.50%,10.5
"Patillas Municipio, Puerto Rico",14.80%,14.8
"Patrick County, Virginia",16.50%,16.5
"Paulding County, Georgia",6.70%,6.7
"Paulding County, Ohio",13.60%,13.6
"Pawnee County, Kansas",19.70%,19.7
"Pawnee County, Nebraska",19.20%,19.2
"Pawnee County, Oklahoma",12.10%,12.1
"Payette County, Idaho",12.70%,12.7
"Payne County, Oklahoma",8.70%,8.7
"Peach County, Georgia",15.40%,15.4
"Pearl River County, Mississippi",13.30%,13.3
"Pecos County, Texas",13.30%,13.3
"Pembina County, North Dakota",19.60%,19.6
"Pemiscot County, Missouri",13.50%,13.5
"Pend Oreille County, Washington",12.80%,12.8
"Pender County, North Carolina",12.50%,12.5
"Pendleton County, Kentucky",11.90%,11.9
"Pendleton County, West Virginia",14.10%,14.1
"Pennington County, Minnesota",13.20%,13.2
"Pennington County, South Dakota",13.10%,13.1
"Penobscot County, Maine",13.80%,13.8
"Peñuelas Municipio, Puerto Rico",9.80%,9.8
"Peoria County, Illinois",14%,14
"Pepin County, Wisconsin",14.90%,14.9
"Perkins County, Nebraska",15.90%,15.9
"Perkins County, South Dakota",17.50%,17.5
"Perquimans County, North Carolina",15.60%,15.6
"Perry County, Alabama",14.40%,14.4
"Perry County, Arkansas",12.80%,12.8
"Perry County, Illinois",13.30%,13.3
"Perry County, Indiana",14.40%,14.4
"Perry County, Kentucky",10%,10
"Perry County, Mississippi",10.90%,10.9
"Perry County, Missouri",13.10%,13.1
"Perry County, Ohio",9.70%,9.7
"Perry County, Pennsylvania",13.40%,13.4
"Perry County, Tennessee",13%,13
"Pershing County, Nevada",11.90%,11.9
"Person County, North Carolina",15.20%,15.2
"Petersburg Borough, Alaska",14.50%,14.5
"Petersburg city, Virginia",16.30%,16.3
"Petroleum County, Montana",14.30%,14.3
"Pettis County, Missouri",11.10%,11.1
"Phelps County, Missouri",11.80%,11.8
"Phelps County, Nebraska",16.10%,16.1
"Philadelphia County, Pennsylvania",12%,12
"Phillips County, Arkansas",15.80%,15.8
"Phillips County, Colorado",13.70%,13.7
"Phillips County, Kansas",17.30%,17.3
"Phillips County, Montana",14.30%,14.3
"Piatt County, Illinois",13.90%,13.9
"Pickaway County, Ohio",12.60%,12.6
"Pickens County, Alabama",13.50%,13.5
"Pickens County, Georgia",11.90%,11.9
"Pickens County, South Carolina",12%,12
"Pickett County, Tennessee",17.60%,17.6
"Pierce County, Georgia",10.80%,10.8
"Pierce County, Nebraska",13.30%,13.3
"Pierce County, North Dakota",16.80%,16.8
"Pierce County, Washington",9.20%,9.2
"Pierce County, Wisconsin",10%,10
"Pike County, Alabama",12.70%,12.7
"Pike County, Arkansas",15%,15
"Pike County, Georgia",11.20%,11.2
"Pike County, Illinois",17.50%,17.5
"Pike County, Indiana",15.50%,15.5
"Pike County, Kentucky",11.50%,11.5
"Pike County, Mississippi",16.20%,16.2
"Pike County, Missouri",13.60%,13.6
"Pike County, Ohio",13.80%,13.8
"Pike County, Pennsylvania",12.30%,12.3
"Pima County, Arizona",13.60%,13.6
"Pinal County, Arizona",11.20%,11.2
"Pine County, Minnesota",15.20%,15.2
"Pinellas County, Florida",17.90%,17.9
"Pipestone County, Minnesota",15.20%,15.2
"Piscataquis County, Maine",16.30%,16.3
"Pitkin County, Colorado",11.80%,11.8
"Pitt County, North Carolina",9.60%,9.6
"Pittsburg County, Oklahoma",13.30%,13.3
"Pittsylvania County, Virginia",15.10%,15.1
"Piute County, Utah",28.80%,28.8
"Placer County, California",12.80%,12.8
"Plaquemines Parish, Louisiana",7.80%,7.8
"Platte County, Missouri",9.10%,9.1
"Platte County, Nebraska",13.50%,13.5
"Platte County, Wyoming",19.20%,19.2
"Pleasants County, West Virginia",11%,11
"Plumas County, California",15.80%,15.8
"Plymouth County, Iowa",13.40%,13.4
"Plymouth County, Massachusetts",12.30%,12.3
"Pocahontas County, Iowa",18.10%,18.1
"Pocahontas County, West Virginia",22%,22
"Poinsett County, Arkansas",10.20%,10.2
"Pointe Coupee Parish, Louisiana",15.50%,15.5
"Polk County, Arkansas",16%,16
"Polk County, Florida",12.70%,12.7
"Polk County, Georgia",13%,13
"Polk County, Iowa",10.10%,10.1
"Polk County, Minnesota",13.40%,13.4
"Polk County, Missouri",13.50%,13.5
"Polk County, Nebraska",14.80%,14.8
"Polk County, North Carolina",18%,18
"Polk County, Oregon",12.10%,12.1
"Polk County, Tennessee",10%,10
"Polk County, Texas",13.50%,13.5
"Polk County, Wisconsin",11.50%,11.5
"Ponce Municipio, Puerto Rico",17.30%,17.3
"Pondera County, Montana",16.90%,16.9
"Pontotoc County, Mississippi",9.60%,9.6
"Pontotoc County, Oklahoma",11.90%,11.9
"Pope County, Arkansas",12.20%,12.2
"Pope County, Illinois",17.90%,17.9
"Pope County, Minnesota",16.80%,16.8
"Poquoson city, Virginia",8.80%,8.8
"Portage County, Ohio",12.60%,12.6
"Portage County, Wisconsin",10.90%,10.9
"Porter County, Indiana",11%,11
"Portsmouth city, Virginia",12.80%,12.8
"Posey County, Indiana",8.80%,8.8
"Pottawatomie County, Kansas",13.10%,13.1
"Pottawatomie County, Oklahoma",12.40%,12.4
"Pottawattamie County, Iowa",12.60%,12.6
"Potter County, Pennsylvania",15.30%,15.3
"Potter County, South Dakota",16.80%,16.8
"Potter County, Texas",12.30%,12.3
"Powder River County, Montana",18.90%,18.9
"Powell County, Kentucky",12.30%,12.3
"Powell County, Montana",13.30%,13.3
"Power County, Idaho",12.60%,12.6
"Poweshiek County, Iowa",17.10%,17.1
"Powhatan County, Virginia",7.40%,7.4
"Prairie County, Arkansas",23.30%,23.3
"Prairie County, Montana",18.10%,18.1
"Pratt County, Kansas",16.10%,16.1
"Preble County, Ohio",13.40%,13.4
"Prentiss County, Mississippi",14.20%,14.2
"Presidio County, Texas",36.60%,36.6
"Presque Isle County, Michigan",16.40%,16.4
"Preston County, West Virginia",13.40%,13.4
"Price County, Wisconsin",18.80%,18.8
"Prince Edward County, Virginia",13.50%,13.5
"Prince George County, Virginia",9.80%,9.8
"Prince George's County, Maryland",9.90%,9.9
"Prince of Wales-Hyder Census Area, Alaska",12.60%,12.6
"Prince William County, Virginia",6.20%,6.2
"Providence County, Rhode Island",12.80%,12.8
"Prowers County, Colorado",17.30%,17.3
"Pueblo County, Colorado",14.60%,14.6
"Pulaski County, Arkansas",11.80%,11.8
"Pulaski County, Georgia",15.20%,15.2
"Pulaski County, Illinois",20.30%,20.3
"Pulaski County, Indiana",17.10%,17.1
"Pulaski County, Kentucky",13.50%,13.5
"Pulaski County, Missouri",9.40%,9.4
"Pulaski County, Virginia",16.30%,16.3
"Pushmataha County, Oklahoma",14.50%,14.5
"Putnam County, Florida",16.70%,16.7
"Putnam County, Georgia",15.30%,15.3
"Putnam County, Illinois",12.90%,12.9
"Putnam County, Indiana",10.50%,10.5
"Putnam County, Missouri",23.10%,23.1
"Putnam County, New York",10.80%,10.8
"Putnam County, Ohio",12.90%,12.9
"Putnam County, Tennessee",10.40%,10.4
"Putnam County, West Virginia",9.50%,9.5
"Quay County, New Mexico",25.40%,25.4
"Quebradillas Municipio, Puerto Rico",15%,15
"Queen Anne's County, Maryland",11.60%,11.6
"Queens County, New York",10.50%,10.5
"Quitman County, Georgia",22.50%,22.5
"Quitman County, Mississippi",13.20%,13.2
"Rabun County, Georgia",13.70%,13.7
"Racine County, Wisconsin",13%,13
"Radford city, Virginia",7.70%,7.7
"Rains County, Texas",11.60%,11.6
"Raleigh County, West Virginia",16.20%,16.2
"Ralls County, Missouri",14%,14
"Ramsey County, Minnesota",12.60%,12.6
"Ramsey County, North Dakota",18.70%,18.7
"Randall County, Texas",10.80%,10.8
"Randolph County, Alabama",13.80%,13.8
"Randolph County, Arkansas",15.60%,15.6
"Randolph County, Georgia",18.90%,18.9
"Randolph County, Illinois",15.20%,15.2
"Randolph County, Indiana",14.40%,14.4
"Randolph County, Missouri",13.30%,13.3
"Randolph County, North Carolina",12.60%,12.6
"Randolph County, West Virginia",16.40%,16.4
"Rankin County, Mississippi",11.10%,11.1
"Ransom County, North Dakota",18.70%,18.7
"Rapides Parish, Louisiana",13.50%,13.5
"Rappahannock County, Virginia",12.20%,12.2
"Ravalli County, Montana",15.30%,15.3
"Rawlins County, Kansas",13.40%,13.4
"Ray County, Missouri",12.40%,12.4
"Reagan County, Texas",5.10%,5.1
"Real County, Texas",15.30%,15.3
"Red Lake County, Minnesota",16.80%,16.8
"Red River County, Texas",20%,20
"Red River Parish, Louisiana",12%,12
"Red Willow County, Nebraska",20.50%,20.5
"Redwood County, Minnesota",14.40%,14.4
"Reeves County, Texas",9.70%,9.7
"Refugio County, Texas",17.80%,17.8
"Reno County, Kansas",17.70%,17.7
"Rensselaer County, New York",12.20%,12.2
"Renville County, Minnesota",15.20%,15.2
"Renville County, North Dakota",10%,10
"Republic County, Kansas",18.40%,18.4
"Reynolds County, Missouri",20.10%,20.1
"Rhea County, Tennessee",11.60%,11.6
"Rice County, Kansas",14.70%,14.7
"Rice County, Minnesota",13.20%,13.2
"Rich County, Utah",9.20%,9.2
"Richardson County, Nebraska",18.40%,18.4
"Richland County, Illinois",15.50%,15.5
"Richland County, Montana",13.50%,13.5
"Richland County, North Dakota",14.40%,14.4
"Richland County, Ohio",14.90%,14.9
"Richland County, South Carolina",10.50%,10.5
"Richland County, Wisconsin",16.80%,16.8
"Richland Parish, Louisiana",11.50%,11.5
"Richmond city, Virginia",12.90%,12.9
"Richmond County, Georgia",13%,13
"Richmond County, New York",11%,11
"Richmond County, North Carolina",15.40%,15.4
"Richmond County, Virginia",16.50%,16.5
"Riley County, Kansas",6.70%,6.7
"Rincón Municipio, Puerto Rico",14.20%,14.2
"Ringgold County, Iowa",13.60%,13.6
"Rio Arriba County, New Mexico",15.40%,15.4
"Rio Blanco County, Colorado",13.80%,13.8
"Rio Grande County, Colorado",13.40%,13.4
"Río Grande Municipio, Puerto Rico",14.10%,14.1
"Ripley County, Indiana",12.60%,12.6
"Ripley County, Missouri",15.90%,15.9
"Ritchie County, West Virginia",14.90%,14.9
"Riverside County, California",9.80%,9.8
"Roane County, Tennessee",16%,16
"Roane County, West Virginia",17.30%,17.3
"Roanoke city, Virginia",13.90%,13.9
"Roanoke County, Virginia",16.30%,16.3
"Roberts County, South Dakota",12%,12
"Roberts County, Texas",8.40%,8.4
"Robertson County, Kentucky",10.20%,10.2
"Robertson County, Tennessee",9.20%,9.2
"Robertson County, Texas",14.80%,14.8
"Robeson County, North Carolina",11.90%,11.9
"Rock County, Minnesota",14%,14
"Rock County, Nebraska",14%,14
"Rock County, Wisconsin",13.10%,13.1
"Rock Island County, Illinois",15.30%,15.3
"Rockbridge County, Virginia",18.40%,18.4
"Rockcastle County, Kentucky",14.10%,14.1
"Rockdale County, Georgia",8.60%,8.6
"Rockingham County, New Hampshire",11.30%,11.3
"Rockingham County, North Carolina",14.20%,14.2
"Rockingham County, Virginia",13.80%,13.8
"Rockland County, New York",12.10%,12.1
"Rockwall County, Texas",6.80%,6.8
"Roger Mills County, Oklahoma",13.90%,13.9
"Rogers County, Oklahoma",10.60%,10.6
"Rolette County, North Dakota",8.40%,8.4
"Rooks County, Kansas",18.60%,18.6
"Roosevelt County, Montana",13.10%,13.1
"Roosevelt County, New Mexico",12.80%,12.8
"Roscommon County, Michigan",18.70%,18.7
"Roseau County, Minnesota",12.90%,12.9
"Rosebud County, Montana",14.80%,14.8
"Ross County, Ohio",13.40%,13.4
"Routt County, Colorado",9.20%,9.2
"Rowan County, Kentucky",11.60%,11.6
"Rowan County, North Carolina",12.90%,12.9
"Runnels County, Texas",14.90%,14.9
"Rush County, Indiana",12.10%,12.1
"Rush County, Kansas",18.50%,18.5
"Rusk County, Texas",12.70%,12.7
"Rusk County, Wisconsin",14.80%,14.8
"Russell County, Alabama",10.80%,10.8
"Russell County, Kansas",19.10%,19.1
"Russell County, Kentucky",14.50%,14.5
"Russell County, Virginia",18%,18
"Rutherford County, North Carolina",16%,16
"Rutherford County, Tennessee",7.20%,7.2
"Rutland County, Vermont",16.70%,16.7
"Sabana Grande Municipio, Puerto Rico",19.90%,19.9
"Sabine County, Texas",18.70%,18.7
"Sabine Parish, Louisiana",16.30%,16.3
"Sac County, Iowa",15.40%,15.4
"Sacramento County, California",10.30%,10.3
"Sagadahoc County, Maine",12.70%,12.7
"Saginaw County, Michigan",14.80%,14.8
"Saguache County, Colorado",17%,17
"Salem city, Virginia",14.10%,14.1
"Salem County, New Jersey",13.30%,13.3
"Salinas Municipio, Puerto Rico",15.30%,15.3
"Saline County, Arkansas",9.80%,9.8
"Saline County, Illinois",18.60%,18.6
"Saline County, Kansas",12.70%,12.7
"Saline County, Missouri",16.70%,16.7
"Saline County, Nebraska",10%,10
"Salt Lake County, Utah",7.80%,7.8
"Saluda County, South Carolina",12.20%,12.2
"Sampson County, North Carolina",13.40%,13.4
"San Augustine County, Texas",12.90%,12.9
"San Benito County, California",7.60%,7.6
"San Bernardino County, California",7.50%,7.5
"San Diego County, California",9.20%,9.2
"San Francisco County, California",11.40%,11.4
"San Germán Municipio, Puerto Rico",23.10%,23.1
"San Jacinto County, Texas",13.70%,13.7
"San Joaquin County, California",8.90%,8.9
"San Juan County, Colorado",6.80%,6.8
"San Juan County, New Mexico",9.50%,9.5
"San Juan County, Utah",9.60%,9.6
"San Juan County, Washington",16%,16
"San Juan Municipio, Puerto Rico",18.70%,18.7
"San Lorenzo Municipio, Puerto Rico",14.50%,14.5
"San Luis Obispo County, California",14%,14
"San Mateo County, California",9.90%,9.9
"San Miguel County, Colorado",8.50%,8.5
"San Miguel County, New Mexico",20.60%,20.6
"San Patricio County, Texas",10.40%,10.4
"San Saba County, Texas",21%,21
"San Sebastián Municipio, Puerto Rico",16.90%,16.9
"Sanborn County, South Dakota",16.50%,16.5
"Sanders County, Montana",20.80%,20.8
"Sandoval County, New Mexico",9.90%,9.9
"Sandusky County, Ohio",11.60%,11.6
"Sangamon County, Illinois",14%,14
"Sanilac County, Michigan",14.70%,14.7
"Sanpete County, Utah",10.70%,10.7
"Santa Barbara County, California",11.80%,11.8
"Santa Clara County, California",7.80%,7.8
"Santa Cruz County, Arizona",11.70%,11.7
"Santa Cruz County, California",12.10%,12.1
"Santa Fe County, New Mexico",17.50%,17.5
"Santa Isabel Municipio, Puerto Rico",13.30%,13.3
"Santa Rosa County, Florida",9.50%,9.5
"Sarasota County, Florida",19.50%,19.5
"Saratoga County, New York",12.60%,12.6
"Sargent County, North Dakota",12.40%,12.4
"Sarpy County, Nebraska",8%,8
"Sauk County, Wisconsin",11.90%,11.9
"Saunders County, Nebraska",13.80%,13.8
"Sawyer County, Wisconsin",18.10%,18.1
"Schenectady County, New York",13.60%,13.6
"Schleicher County, Texas",22.20%,22.2
"Schley County, Georgia",10.30%,10.3
"Schoharie County, New York",16.40%,16.4
"Schoolcraft County, Michigan",16.70%,16.7
"Schuyler County, Illinois",11%,11
"Schuyler County, Missouri",17.30%,17.3
"Schuyler County, New York",15.60%,15.6
"Schuylkill County, Pennsylvania",14.10%,14.1
"Scioto County, Ohio",14.20%,14.2
"Scotland County, Missouri",13.50%,13.5
"Scotland County, North Carolina",15.10%,15.1
"Scott County, Arkansas",13.60%,13.6
"Scott County, Illinois",15.80%,15.8
"Scott County, Indiana",13.20%,13.2
"Scott County, Iowa",12.30%,12.3
"Scott County, Kansas",4%,4
"Scott County, Kentucky",8.90%,8.9
"Scott County, Minnesota",7.70%,7.7
"Scott County, Mississippi",10.40%,10.4
"Scott County, Missouri",12.10%,12.1
"Scott County, Tennessee",11.60%,11.6
"Scott County, Virginia",18.40%,18.4
"Scotts Bluff County, Nebraska",15.90%,15.9
"Screven County, Georgia",14.30%,14.3
"Scurry County, Texas",16%,16
"Searcy County, Arkansas",18.30%,18.3
