Geographic Area,Percentage Children under 6 years,Child under 6 yrs
"Miller County, Arkansas",15.30%,15.3
"Miller County, Georgia",14.70%,14.7
"Miller County, Missouri",17.20%,17.2
"Mills County, Iowa",19.10%,19.1
"Mills County, Texas",2.80%,2.8
"Milwaukee County, Wisconsin",22.70%,22.7
"Miner County, South Dakota",12.40%,12.4
"Mineral County, Colorado",30.20%,30.2
"Mineral County, Montana",26.20%,26.2
"Mineral County, Nevada",19.20%,19.2
"Mineral County, West Virginia",17.70%,17.7
"Mingo County, West Virginia",17.40%,17.4
"Minidoka County, Idaho",26.40%,26.4
"Minnehaha County, South Dakota",23.90%,23.9
"Missaukee County, Michigan",20.80%,20.8
"Mississippi County, Arkansas",28.20%,28.2
"Mississippi County, Missouri",19.50%,19.5
"Missoula County, Montana",27.80%,27.8
"Mitchell County, Georgia",3.90%,3.9
"Mitchell County, Iowa",24%,24
"Mitchell County, Kansas",16.30%,16.3
"Mitchell County, North Carolina",20.50%,20.5
"Mitchell County, Texas",19.80%,19.8
"Mobile County, Alabama",21.20%,21.2
"Moca Municipio, Puerto Rico",19.30%,19.3
"Modoc County, California",23.40%,23.4
"Moffat County, Colorado",29.40%,29.4
"Mohave County, Arizona",21.50%,21.5
"Moniteau County, Missouri",26.70%,26.7
"Monmouth County, New Jersey",20.50%,20.5
"Mono County, California",19.70%,19.7
"Monona County, Iowa",22.50%,22.5
"Monongalia County, West Virginia",25.50%,25.5
"Monroe County, Alabama",8.10%,8.1
"Monroe County, Arkansas",10.30%,10.3
"Monroe County, Florida",24.30%,24.3
"Monroe County, Georgia",12%,12
"Monroe County, Illinois",23.50%,23.5
"Monroe County, Indiana",22.90%,22.9
"Monroe County, Iowa",30.60%,30.6
"Monroe County, Kentucky",20.60%,20.6
"Monroe County, Michigan",23.70%,23.7
"Monroe County, Mississippi",24.50%,24.5
"Monroe County, Missouri",18%,18
"Monroe County, New York",21.90%,21.9
"Monroe County, Ohio",17.80%,17.8
"Monroe County, Pennsylvania",13.90%,13.9
"Monroe County, Tennessee",19.40%,19.4
"Monroe County, West Virginia",24.90%,24.9
"Monroe County, Wisconsin",17.50%,17.5
"Montague County, Texas",23.80%,23.8
"Montcalm County, Michigan",17.70%,17.7
"Monterey County, California",17.80%,17.8
"Montezuma County, Colorado",26.40%,26.4
"Montgomery County, Alabama",19.40%,19.4
"Montgomery County, Arkansas",25.60%,25.6
"Montgomery County, Georgia",18.60%,18.6
"Montgomery County, Illinois",15.70%,15.7
"Montgomery County, Indiana",15.60%,15.6
"Montgomery County, Iowa",14.30%,14.3
"Montgomery County, Kansas",17.40%,17.4
"Montgomery County, Kentucky",22.20%,22.2
"Montgomery County, Maryland",20.50%,20.5
"Montgomery County, Mississippi",18.20%,18.2
"Montgomery County, Missouri",24.90%,24.9
"Montgomery County, New York",20.40%,20.4
"Montgomery County, North Carolina",23.30%,23.3
"Montgomery County, Ohio",23.10%,23.1
"Montgomery County, Pennsylvania",22.50%,22.5
"Montgomery County, Tennessee",25%,25
"Montgomery County, Texas",21.10%,21.1
"Montgomery County, Virginia",23.50%,23.5
"Montmorency County, Michigan",13.80%,13.8
"Montour County, Pennsylvania",24.60%,24.6
"Montrose County, Colorado",22.20%,22.2
"Moody County, South Dakota",24.70%,24.7
"Moore County, North Carolina",21.70%,21.7
"Moore County, Tennessee",17.20%,17.2
"Moore County, Texas",19.50%,19.5
"Mora County, New Mexico",5.40%,5.4
"Morehouse Parish, Louisiana",16.10%,16.1
"Morgan County, Alabama",16.40%,16.4
"Morgan County, Colorado",23.70%,23.7
"Morgan County, Georgia",24.40%,24.4
"Morgan County, Illinois",22%,22
"Morgan County, Indiana",12.60%,12.6
"Morgan County, Kentucky",22.90%,22.9
"Morgan County, Missouri",22.10%,22.1
"Morgan County, Ohio",15.50%,15.5
"Morgan County, Tennessee",23.10%,23.1
"Morgan County, Utah",11%,11
"Morgan County, West Virginia",21.70%,21.7
"Morovis Municipio, Puerto Rico",12.90%,12.9
"Morrill County, Nebraska",24.60%,24.6
"Morris County, Kansas",12.30%,12.3
"Morris County, New Jersey",20.40%,20.4
"Morris County, Texas",20.80%,20.8
"Morrison County, Minnesota",16.90%,16.9
"Morrow County, Ohio",18.80%,18.8
"Morrow County, Oregon",14%,14
"Morton County, Kansas",15.40%,15.4
"Morton County, North Dakota",26.10%,26.1
"Motley County, Texas",7.50%,7.5
"Moultrie County, Illinois",19.20%,19.2
"Mountrail County, North Dakota",19.20%,19.2
"Mower County, Minnesota",21.70%,21.7
"Muhlenberg County, Kentucky",22.90%,22.9
"Multnomah County, Oregon",23%,23
"Murray County, Georgia",19.80%,19.8
"Murray County, Minnesota",22.30%,22.3
"Murray County, Oklahoma",19.40%,19.4
"Muscatine County, Iowa",16.50%,16.5
"Muscogee County, Georgia",24%,24
"Muskegon County, Michigan",21.90%,21.9
"Muskingum County, Ohio",23.10%,23.1
"Muskogee County, Oklahoma",21.70%,21.7
"Musselshell County, Montana",20.80%,20.8
"Nacogdoches County, Texas",20.50%,20.5
"Naguabo Municipio, Puerto Rico",14.90%,14.9
"Nance County, Nebraska",15.40%,15.4
"Nantucket County, Massachusetts",20.90%,20.9
"Napa County, California",19%,19
"Naranjito Municipio, Puerto Rico",12.70%,12.7
"Nash County, North Carolina",16.20%,16.2
"Nassau County, Florida",16.10%,16.1
"Nassau County, New York",19.60%,19.6
"Natchitoches Parish, Louisiana",22.10%,22.1
"Natrona County, Wyoming",21.20%,21.2
"Naugatuck Valley Planning Region, Connecticut",19.40%,19.4
"Navajo County, Arizona",13.60%,13.6
"Navarro County, Texas",13.60%,13.6
"Nelson County, Kentucky",23.50%,23.5
"Nelson County, North Dakota",25.10%,25.1
"Nelson County, Virginia",18.40%,18.4
"Nemaha County, Kansas",25.80%,25.8
"Nemaha County, Nebraska",19.30%,19.3
"Neosho County, Kansas",16.30%,16.3
"Neshoba County, Mississippi",20.30%,20.3
"Ness County, Kansas",34.70%,34.7
"Nevada County, Arkansas",13.40%,13.4
"Nevada County, California",21.70%,21.7
"New Castle County, Delaware",20.40%,20.4
"New Hanover County, North Carolina",23.40%,23.4
"New Kent County, Virginia",25.40%,25.4
"New Madrid County, Missouri",16.70%,16.7
"New York County, New York",28.30%,28.3
"Newaygo County, Michigan",19.90%,19.9
"Newberry County, South Carolina",24.10%,24.1
"Newport County, Rhode Island",22.90%,22.9
"Newport News city, Virginia",27.20%,27.2
"Newton County, Arkansas",19.30%,19.3
"Newton County, Georgia",20%,20
"Newton County, Indiana",25.70%,25.7
"Newton County, Mississippi",25.70%,25.7
"Newton County, Missouri",24.60%,24.6
"Newton County, Texas",14.50%,14.5
"Nez Perce County, Idaho",22%,22
"Niagara County, New York",24.50%,24.5
"Nicholas County, Kentucky",27.80%,27.8
"Nicholas County, West Virginia",21.30%,21.3
"Nicollet County, Minnesota",22.50%,22.5
"Niobrara County, Wyoming",27.80%,27.8
"Noble County, Indiana",18.30%,18.3
"Noble County, Ohio",10.40%,10.4
"Noble County, Oklahoma",13.90%,13.9
"Nobles County, Minnesota",14.80%,14.8
"Nodaway County, Missouri",25%,25
"Nolan County, Texas",15%,15
"Nome Census Area, Alaska",13.10%,13.1
"Norfolk city, Virginia",29.20%,29.2
"Norfolk County, Massachusetts",23.10%,23.1
"Norman County, Minnesota",19.40%,19.4
"North Slope Borough, Alaska",15.60%,15.6
"Northampton County, North Carolina",18.60%,18.6
"Northampton County, Pennsylvania",18%,18
"Northampton County, Virginia",18.20%,18.2
"Northeastern Connecticut Planning Region, Connecticut",26%,26
"Northumberland County, Pennsylvania",19.20%,19.2
"Northumberland County, Virginia",8.30%,8.3
"Northwest Arctic Borough, Alaska",10.60%,10.6
"Northwest Hills Planning Region, Connecticut",18.40%,18.4
"Norton city, Virginia",8%,8
"Norton County, Kansas",26.40%,26.4
"Nottoway County, Virginia",29.50%,29.5
"Nowata County, Oklahoma",27.60%,27.6
"Noxubee County, Mississippi",26.60%,26.6
"Nuckolls County, Nebraska",17.90%,17.9
"Nueces County, Texas",21.10%,21.1
"Nye County, Nevada",19.50%,19.5
"O'Brien County, Iowa",29.40%,29.4
"Oakland County, Michigan",22.90%,22.9
"Obion County, Tennessee",22.30%,22.3
"Ocean County, New Jersey",21.70%,21.7
"Oceana County, Michigan",19.40%,19.4
"Ochiltree County, Texas",19.30%,19.3
"Oconee County, Georgia",13.40%,13.4
"Oconee County, South Carolina",16.80%,16.8
"Oconto County, Wisconsin",20.50%,20.5
"Ogemaw County, Michigan",21.60%,21.6
"Oglala Lakota County, South Dakota",3.20%,3.2
"Ogle County, Illinois",17.50%,17.5
"Oglethorpe County, Georgia",28.10%,28.1
"Ohio County, Indiana",16.90%,16.9
"Ohio County, Kentucky",21.20%,21.2
"Ohio County, West Virginia",22.10%,22.1
"Okaloosa County, Florida",24.20%,24.2
"Okanogan County, Washington",12.50%,12.5
"Okeechobee County, Florida",21.60%,21.6
"Okfuskee County, Oklahoma",18.90%,18.9
"Oklahoma County, Oklahoma",22.30%,22.3
"Okmulgee County, Oklahoma",21%,21
"Oktibbeha County, Mississippi",22.20%,22.2
"Oldham County, Kentucky",14.10%,14.1
"Oldham County, Texas",19.70%,19.7
"Oliver County, North Dakota",23.70%,23.7
"Olmsted County, Minnesota",26%,26
"Oneida County, Idaho",17.50%,17.5
"Oneida County, New York",21.90%,21.9
"Oneida County, Wisconsin",18.40%,18.4
"Onondaga County, New York",24.20%,24.2
"Onslow County, North Carolina",40.80%,40.8
"Ontario County, New York",23.10%,23.1
"Ontonagon County, Michigan",4.60%,4.6
"Orange County, California",20%,20
"Orange County, Florida",21%,21
"Orange County, Indiana",18.50%,18.5
"Orange County, New York",19.50%,19.5
"Orange County, North Carolina",17.90%,17.9
"Orange County, Texas",23.30%,23.3
"Orange County, Vermont",19.90%,19.9
"Orange County, Virginia",18.80%,18.8
"Orangeburg County, South Carolina",22.10%,22.1
"Oregon County, Missouri",18.60%,18.6
"Orleans County, New York",17.50%,17.5
"Orleans County, Vermont",21.80%,21.8
"Orleans Parish, Louisiana",22.60%,22.6
"Orocovis Municipio, Puerto Rico",9.30%,9.3
"Osage County, Kansas",23.50%,23.5
"Osage County, Missouri",21.60%,21.6
"Osage County, Oklahoma",17.50%,17.5
"Osborne County, Kansas",27.90%,27.9
"Osceola County, Florida",16.40%,16.4
"Osceola County, Iowa",14.50%,14.5
"Osceola County, Michigan",21.60%,21.6
"Oscoda County, Michigan",21.30%,21.3
"Oswego County, New York",23.80%,23.8
"Otero County, Colorado",19.80%,19.8
"Otero County, New Mexico",30.80%,30.8
"Otoe County, Nebraska",21.60%,21.6
"Otsego County, Michigan",25.40%,25.4
"Otsego County, New York",24.30%,24.3
"Ottawa County, Kansas",23.20%,23.2
"Ottawa County, Michigan",20.40%,20.4
"Ottawa County, Ohio",22.80%,22.8
"Ottawa County, Oklahoma",20.70%,20.7
"Otter Tail County, Minnesota",23.80%,23.8
"Ouachita County, Arkansas",15%,15
"Ouachita Parish, Louisiana",20.80%,20.8
"Ouray County, Colorado",15.20%,15.2
"Outagamie County, Wisconsin",22.20%,22.2
"Overton County, Tennessee",17%,17
"Owen County, Indiana",19.40%,19.4
"Owen County, Kentucky",13.90%,13.9
"Owsley County, Kentucky",17.10%,17.1
"Owyhee County, Idaho",20.30%,20.3
"Oxford County, Maine",20.70%,20.7
"Ozark County, Missouri",18.80%,18.8
"Ozaukee County, Wisconsin",19.30%,19.3
"Pacific County, Washington",13.80%,13.8
"Page County, Iowa",20.20%,20.2
"Page County, Virginia",26.30%,26.3
"Palm Beach County, Florida",18.90%,18.9
"Palo Alto County, Iowa",16.90%,16.9
"Palo Pinto County, Texas",18.50%,18.5
"Pamlico County, North Carolina",13.40%,13.4
"Panola County, Mississippi",18.10%,18.1
"Panola County, Texas",24.50%,24.5
"Park County, Colorado",25.90%,25.9
"Park County, Montana",25.10%,25.1
"Park County, Wyoming",17.80%,17.8
"Parke County, Indiana",20.30%,20.3
"Parker County, Texas",25.80%,25.8
"Parmer County, Texas",13.60%,13.6
"Pasco County, Florida",20%,20
"Pasquotank County, North Carolina",23.80%,23.8
"Passaic County, New Jersey",19.50%,19.5
"Patillas Municipio, Puerto Rico",16.20%,16.2
"Patrick County, Virginia",27.20%,27.2
"Paulding County, Georgia",20%,20
"Paulding County, Ohio",17.80%,17.8
"Pawnee County, Kansas",21.50%,21.5
"Pawnee County, Nebraska",8.80%,8.8
"Pawnee County, Oklahoma",22.50%,22.5
"Payette County, Idaho",19.60%,19.6
"Payne County, Oklahoma",25.60%,25.6
"Peach County, Georgia",17.80%,17.8
"Pearl River County, Mississippi",19.40%,19.4
"Pecos County, Texas",14.30%,14.3
"Pembina County, North Dakota",22.70%,22.7
"Pemiscot County, Missouri",18.90%,18.9
"Pend Oreille County, Washington",21.80%,21.8
"Pender County, North Carolina",19.90%,19.9
"Pendleton County, Kentucky",21.80%,21.8
"Pendleton County, West Virginia",10.90%,10.9
"Pennington County, Minnesota",21.80%,21.8
"Pennington County, South Dakota",23.30%,23.3
"Penobscot County, Maine",22.90%,22.9
"Peñuelas Municipio, Puerto Rico",12.70%,12.7
"Peoria County, Illinois",23%,23
"Pepin County, Wisconsin",23.80%,23.8
"Perkins County, Nebraska",16.30%,16.3
"Perkins County, South Dakota",19.30%,19.3
"Perquimans County, North Carolina",3.60%,3.6
"Perry County, Alabama",27.20%,27.2
"Perry County, Arkansas",11.20%,11.2
"Perry County, Illinois",24.10%,24.1
"Perry County, Indiana",22.50%,22.5
"Perry County, Kentucky",9.20%,9.2
"Perry County, Mississippi",22.40%,22.4
"Perry County, Missouri",29.10%,29.1
"Perry County, Ohio",25.60%,25.6
"Perry County, Pennsylvania",18.30%,18.3
"Perry County, Tennessee",21.30%,21.3
"Pershing County, Nevada",21.10%,21.1
"Person County, North Carolina",19.50%,19.5
"Petersburg Borough, Alaska",19%,19
"Petersburg city, Virginia",31.20%,31.2
"Petroleum County, Montana",21.40%,21.4
"Pettis County, Missouri",23.20%,23.2
"Phelps County, Missouri",19.40%,19.4
"Phelps County, Nebraska",25.70%,25.7
"Philadelphia County, Pennsylvania",23.70%,23.7
"Phillips County, Arkansas",15.50%,15.5
"Phillips County, Colorado",13.70%,13.7
"Phillips County, Kansas",23%,23
"Phillips County, Montana",14.60%,14.6
"Piatt County, Illinois",26.80%,26.8
"Pickaway County, Ohio",15.50%,15.5
"Pickens County, Alabama",20.80%,20.8
"Pickens County, Georgia",20.40%,20.4
"Pickens County, South Carolina",21.10%,21.1
"Pickett County, Tennessee",53.60%,53.6
"Pierce County, Georgia",24.40%,24.4
"Pierce County, Nebraska",19.40%,19.4
"Pierce County, North Dakota",8%,8
"Pierce County, Washington",23.90%,23.9
"Pierce County, Wisconsin",23.80%,23.8
"Pike County, Alabama",23.70%,23.7
"Pike County, Arkansas",15.80%,15.8
"Pike County, Georgia",19.40%,19.4
"Pike County, Illinois",18.20%,18.2
"Pike County, Indiana",20.70%,20.7
"Pike County, Kentucky",23.80%,23.8
"Pike County, Mississippi",20.60%,20.6
"Pike County, Missouri",31.10%,31.1
"Pike County, Ohio",21.50%,21.5
"Pike County, Pennsylvania",15.20%,15.2
"Pima County, Arizona",21.60%,21.6
"Pinal County, Arizona",17.20%,17.2
"Pine County, Minnesota",15.20%,15.2
"Pinellas County, Florida",22.20%,22.2
"Pipestone County, Minnesota",31.50%,31.5
"Piscataquis County, Maine",18.60%,18.6
"Pitkin County, Colorado",27.10%,27.1
"Pitt County, North Carolina",21.50%,21.5
"Pittsburg County, Oklahoma",16.90%,16.9
"Pittsylvania County, Virginia",23.70%,23.7
"Piute County, Utah",11.40%,11.4
"Placer County, California",19.10%,19.1
"Plaquemines Parish, Louisiana",19.20%,19.2
"Platte County, Missouri",20.50%,20.5
"Platte County, Nebraska",19.10%,19.1
"Platte County, Wyoming",28.30%,28.3
"Pleasants County, West Virginia",14.80%,14.8
"Plumas County, California",12.90%,12.9
"Plymouth County, Iowa",22.20%,22.2
"Plymouth County, Massachusetts",20.60%,20.6
"Pocahontas County, Iowa",23.40%,23.4
"Pocahontas County, West Virginia",31.50%,31.5
"Poinsett County, Arkansas",19.30%,19.3
"Pointe Coupee Parish, Louisiana",13.10%,13.1
"Polk County, Arkansas",20%,20
"Polk County, Florida",18%,18
"Polk County, Georgia",19.40%,19.4
"Polk County, Iowa",21.50%,21.5
"Polk County, Minnesota",28.60%,28.6
"Polk County, Missouri",20.90%,20.9
"Polk County, Nebraska",24%,24
"Polk County, North Carolina",23.60%,23.6
"Polk County, Oregon",25.20%,25.2
"Polk County, Tennessee",23%,23
"Polk County, Texas",17.40%,17.4
"Polk County, Wisconsin",18.80%,18.8
"Ponce Municipio, Puerto Rico",17%,17
"Pondera County, Montana",22.60%,22.6
"Pontotoc County, Mississippi",23.40%,23.4
"Pontotoc County, Oklahoma",21.40%,21.4
"Pope County, Arkansas",18.90%,18.9
"Pope County, Illinois",21.60%,21.6
"Pope County, Minnesota",23.10%,23.1
"Poquoson city, Virginia",15.80%,15.8
"Portage County, Ohio",22%,22
"Portage County, Wisconsin",24.80%,24.8
"Porter County, Indiana",18.90%,18.9
"Portsmouth city, Virginia",26.70%,26.7
"Posey County, Indiana",21.40%,21.4
"Pottawatomie County, Kansas",23.20%,23.2
"Pottawatomie County, Oklahoma",15%,15
"Pottawattamie County, Iowa",20%,20
"Potter County, Pennsylvania",18.40%,18.4
"Potter County, South Dakota",19%,19
"Potter County, Texas",20%,20
"Powder River County, Montana",28.80%,28.8
"Powell County, Kentucky",31.60%,31.6
"Powell County, Montana",24.80%,24.8
"Power County, Idaho",9.40%,9.4
"Poweshiek County, Iowa",14.80%,14.8
"Powhatan County, Virginia",13.60%,13.6
"Prairie County, Arkansas",20.30%,20.3
"Prairie County, Montana",10.20%,10.2
"Pratt County, Kansas",22.10%,22.1
"Preble County, Ohio",18.20%,18.2
"Prentiss County, Mississippi",24%,24
"Presidio County, Texas",17.10%,17.1
"Presque Isle County, Michigan",22.60%,22.6
"Preston County, West Virginia",19.40%,19.4
"Price County, Wisconsin",20%,20
"Prince Edward County, Virginia",20.10%,20.1
"Prince George County, Virginia",19.70%,19.7
"Prince George's County, Maryland",21.90%,21.9
"Prince of Wales-Hyder Census Area, Alaska",17%,17
"Prince William County, Virginia",19.70%,19.7
"Providence County, Rhode Island",21.60%,21.6
"Prowers County, Colorado",26.10%,26.1
"Pueblo County, Colorado",19.70%,19.7
"Pulaski County, Arkansas",20.50%,20.5
"Pulaski County, Georgia",29.60%,29.6
"Pulaski County, Illinois",21%,21
"Pulaski County, Indiana",14.60%,14.6
"Pulaski County, Kentucky",22.30%,22.3
"Pulaski County, Missouri",28.50%,28.5
"Pulaski County, Virginia",22.50%,22.5
"Pushmataha County, Oklahoma",15.70%,15.7
"Putnam County, Florida",22.50%,22.5
"Putnam County, Georgia",7.80%,7.8
"Putnam County, Illinois",20.20%,20.2
"Putnam County, Indiana",15.40%,15.4
"Putnam County, Missouri",17.30%,17.3
"Putnam County, New York",21.90%,21.9
"Putnam County, Ohio",25.30%,25.3
"Putnam County, Tennessee",21.60%,21.6
"Putnam County, West Virginia",21.40%,21.4
"Quay County, New Mexico",23.40%,23.4
"Quebradillas Municipio, Puerto Rico",15.20%,15.2
"Queen Anne's County, Maryland",19.80%,19.8
"Queens County, New York",23%,23
"Quitman County, Georgia",12.10%,12.1
"Quitman County, Mississippi",27%,27
"Rabun County, Georgia",15.10%,15.1
"Racine County, Wisconsin",18%,18
"Radford city, Virginia",14.90%,14.9
"Rains County, Texas",18.70%,18.7
"Raleigh County, West Virginia",17.70%,17.7
"Ralls County, Missouri",22.50%,22.5
"Ramsey County, Minnesota",23.40%,23.4
"Ramsey County, North Dakota",19.10%,19.1
"Randall County, Texas",18.60%,18.6
"Randolph County, Alabama",24%,24
"Randolph County, Arkansas",21.90%,21.9
"Randolph County, Georgia",10.90%,10.9
"Randolph County, Illinois",20.60%,20.6
"Randolph County, Indiana",19.60%,19.6
"Randolph County, Missouri",24.20%,24.2
"Randolph County, North Carolina",15.80%,15.8
"Randolph County, West Virginia",22.30%,22.3
"Rankin County, Mississippi",18.10%,18.1
"Ransom County, North Dakota",14.90%,14.9
"Rapides Parish, Louisiana",19.80%,19.8
"Rappahannock County, Virginia",11.40%,11.4
"Ravalli County, Montana",28.90%,28.9
"Rawlins County, Kansas",18.10%,18.1
"Ray County, Missouri",20.10%,20.1
"Reagan County, Texas",10.80%,10.8
"Real County, Texas",41.30%,41.3
"Red Lake County, Minnesota",15.60%,15.6
"Red River County, Texas",8.30%,8.3
"Red River Parish, Louisiana",18.10%,18.1
"Red Willow County, Nebraska",28.90%,28.9
"Redwood County, Minnesota",18%,18
"Reeves County, Texas",9.60%,9.6
"Refugio County, Texas",9.90%,9.9
"Reno County, Kansas",22.50%,22.5
"Rensselaer County, New York",19.60%,19.6
"Renville County, Minnesota",17.10%,17.1
"Renville County, North Dakota",11.10%,11.1
"Republic County, Kansas",22.20%,22.2
"Reynolds County, Missouri",17.40%,17.4
"Rhea County, Tennessee",18.80%,18.8
"Rice County, Kansas",24.60%,24.6
"Rice County, Minnesota",17.50%,17.5
"Rich County, Utah",5.30%,5.3
"Richardson County, Nebraska",23.50%,23.5
"Richland County, Illinois",27.10%,27.1
"Richland County, Montana",18.80%,18.8
"Richland County, North Dakota",25.40%,25.4
"Richland County, Ohio",24.40%,24.4
"Richland County, South Carolina",22.80%,22.8
"Richland County, Wisconsin",18%,18
"Richland Parish, Louisiana",18.30%,18.3
"Richmond city, Virginia",28.50%,28.5
"Richmond County, Georgia",20.30%,20.3
"Richmond County, New York",19.60%,19.6
"Richmond County, North Carolina",18.30%,18.3
"Richmond County, Virginia",27.60%,27.6
"Riley County, Kansas",31.80%,31.8
"Rincón Municipio, Puerto Rico",18.20%,18.2
"Ringgold County, Iowa",24.40%,24.4
"Rio Arriba County, New Mexico",12.20%,12.2
"Rio Blanco County, Colorado",29.30%,29.3
"Rio Grande County, Colorado",10.10%,10.1
"Río Grande Municipio, Puerto Rico",20.20%,20.2
"Ripley County, Indiana",29.10%,29.1
"Ripley County, Missouri",21%,21
"Ritchie County, West Virginia",23.70%,23.7
"Riverside County, California",16.70%,16.7
"Roane County, Tennessee",26.70%,26.7
"Roane County, West Virginia",8.10%,8.1
"Roanoke city, Virginia",24.80%,24.8
"Roanoke County, Virginia",22.30%,22.3
"Roberts County, South Dakota",20.20%,20.2
"Roberts County, Texas",1.30%,1.3
"Robertson County, Kentucky",2.90%,2.9
"Robertson County, Tennessee",18.70%,18.7
"Robertson County, Texas",17.20%,17.2
"Robeson County, North Carolina",18.80%,18.8
"Rock County, Minnesota",14.90%,14.9
"Rock County, Nebraska",19.50%,19.5
"Rock County, Wisconsin",20.30%,20.3
"Rock Island County, Illinois",19.50%,19.5
"Rockbridge County, Virginia",21.60%,21.6
"Rockcastle County, Kentucky",18.20%,18.2
"Rockdale County, Georgia",13.40%,13.4
"Rockingham County, New Hampshire",22.60%,22.6
"Rockingham County, North Carolina",19%,19
"Rockingham County, Virginia",22.50%,22.5
"Rockland County, New York",17.30%,17.3
"Rockwall County, Texas",17.20%,17.2
"Roger Mills County, Oklahoma",11.10%,11.1
"Rogers County, Oklahoma",20.40%,20.4
"Rolette County, North Dakota",9.90%,9.9
"Rooks County, Kansas",16.10%,16.1
"Roosevelt County, Montana",15.40%,15.4
"Roosevelt County, New Mexico",9.20%,9.2
"Roscommon County, Michigan",16.40%,16.4
"Roseau County, Minnesota",25%,25
"Rosebud County, Montana",15.40%,15.4
"Ross County, Ohio",22.90%,22.9
"Routt County, Colorado",17.10%,17.1
"Rowan County, Kentucky",22.70%,22.7
"Rowan County, North Carolina",16%,16
"Runnels County, Texas",19.30%,19.3
"Rush County, Indiana",18%,18
"Rush County, Kansas",22.90%,22.9
"Rusk County, Texas",13%,13
"Rusk County, Wisconsin",22.80%,22.8
"Russell County, Alabama",21.60%,21.6
"Russell County, Kansas",24.80%,24.8
"Russell County, Kentucky",15.70%,15.7
"Russell County, Virginia",19.10%,19.1
"Rutherford County, North Carolina",17.10%,17.1
"Rutherford County, Tennessee",21.50%,21.5
"Rutland County, Vermont",21.90%,21.9
"Sabana Grande Municipio, Puerto Rico",8.80%,8.8
"Sabine County, Texas",8.40%,8.4
"Sabine Parish, Louisiana",19.20%,19.2
"Sac County, Iowa",20.80%,20.8
"Sacramento County, California",19.40%,19.4
"Sagadahoc County, Maine",34.30%,34.3
"Saginaw County, Michigan",21%,21
"Saguache County, Colorado",20.60%,20.6
"Salem city, Virginia",21.50%,21.5
"Salem County, New Jersey",17.70%,17.7
"Salinas Municipio, Puerto Rico",18.70%,18.7
"Saline County, Arkansas",25.20%,25.2
"Saline County, Illinois",23.70%,23.7
"Saline County, Kansas",20.30%,20.3
"Saline County, Missouri",26.20%,26.2
"Saline County, Nebraska",19.90%,19.9
"Salt Lake County, Utah",19.90%,19.9
"Saluda County, South Carolina",17.70%,17.7
"Sampson County, North Carolina",19.70%,19.7
"San Augustine County, Texas",7.90%,7.9
"San Benito County, California",22.50%,22.5
"San Bernardino County, California",16.60%,16.6
"San Diego County, California",23%,23
"San Francisco County, California",30%,30
"San Germán Municipio, Puerto Rico",15%,15
"San Jacinto County, Texas",12.40%,12.4
"San Joaquin County, California",16%,16
"San Juan County, Colorado",9.10%,9.1
"San Juan County, New Mexico",17.30%,17.3
"San Juan County, Utah",13.80%,13.8
"San Juan County, Washington",25.10%,25.1
"San Juan Municipio, Puerto Rico",19.30%,19.3
"San Lorenzo Municipio, Puerto Rico",15.90%,15.9
"San Luis Obispo County, California",21.70%,21.7
"San Mateo County, California",25.20%,25.2
"San Miguel County, Colorado",13.80%,13.8
"San Miguel County, New Mexico",20.60%,20.6
"San Patricio County, Texas",16.20%,16.2
"San Saba County, Texas",16.60%,16.6
"San Sebastián Municipio, Puerto Rico",14.90%,14.9
"Sanborn County, South Dakota",17.20%,17.2
"Sanders County, Montana",34.30%,34.3
"Sandoval County, New Mexico",15.30%,15.3
"Sandusky County, Ohio",19.80%,19.8
"Sangamon County, Illinois",19.50%,19.5
"Sanilac County, Michigan",21.70%,21.7
"Sanpete County, Utah",13.90%,13.9
"Santa Barbara County, California",20.40%,20.4
"Santa Clara County, California",23%,23
"Santa Cruz County, Arizona",19.40%,19.4
"Santa Cruz County, California",19.60%,19.6
"Santa Fe County, New Mexico",20.30%,20.3
"Santa Isabel Municipio, Puerto Rico",16.40%,16.4
"Santa Rosa County, Florida",21.30%,21.3
"Sarasota County, Florida",21.30%,21.3
"Saratoga County, New York",22.50%,22.5
"Sargent County, North Dakota",23.80%,23.8
"Sarpy County, Nebraska",20.90%,20.9
"Sauk County, Wisconsin",22.90%,22.9
"Saunders County, Nebraska",21.10%,21.1
"Sawyer County, Wisconsin",27.30%,27.3
"Schenectady County, New York",24.10%,24.1
"Schleicher County, Texas",25.50%,25.5
"Schley County, Georgia",21.80%,21.8
"Schoharie County, New York",22.30%,22.3
"Schoolcraft County, Michigan",16.90%,16.9
"Schuyler County, Illinois",13.30%,13.3
"Schuyler County, Missouri",20.20%,20.2
"Schuyler County, New York",14.20%,14.2
"Schuylkill County, Pennsylvania",20.60%,20.6
"Scioto County, Ohio",20.60%,20.6
"Scotland County, Missouri",13.90%,13.9
"Scotland County, North Carolina",17.70%,17.7
"Scott County, Arkansas",25.80%,25.8
"Scott County, Illinois",14.10%,14.1
"Scott County, Indiana",22.10%,22.1
"Scott County, Iowa",20.60%,20.6
"Scott County, Kansas",40%,40
"Scott County, Kentucky",20.20%,20.2
"Scott County, Minnesota",22.40%,22.4
"Scott County, Mississippi",17.20%,17.2
"Scott County, Missouri",27.60%,27.6
"Scott County, Tennessee",18.40%,18.4
"Scott County, Virginia",13.20%,13.2
