Geographic Area,Percent below poverty level,Povrty lvl
"Mills County, Iowa",6.90%,6.9
"Mills County, Texas",6.90%,6.9
"Milwaukee County, Wisconsin",17.80%,17.8
"Miner County, South Dakota",10.50%,10.5
"Mineral County, Colorado",11.20%,11.2
"Mineral County, Montana",14.10%,14.1
"Mineral County, Nevada",18.50%,18.5
"Mineral County, West Virginia",13.90%,13.9
"Mingo County, West Virginia",28.60%,28.6
"Minidoka County, Idaho",15.10%,15.1
"Minnehaha County, South Dakota",8.70%,8.7
"Missaukee County, Michigan",11.20%,11.2
"Mississippi County, Arkansas",21.90%,21.9
"Mississippi County, Missouri",23.70%,23.7
"Missoula County, Montana",11.90%,11.9
"Mitchell County, Georgia",28.70%,28.7
"Mitchell County, Iowa",6.70%,6.7
"Mitchell County, Kansas",15%,15
"Mitchell County, North Carolina",13.40%,13.4
"Mitchell County, Texas",14.50%,14.5
"Mobile County, Alabama",17.60%,17.6
"Moca Municipio, Puerto Rico",46.70%,46.7
"Modoc County, California",16.90%,16.9
"Moffat County, Colorado",14.80%,14.8
"Mohave County, Arizona",16%,16
"Moniteau County, Missouri",10.90%,10.9
"Monmouth County, New Jersey",6.40%,6.4
"Mono County, California",11.30%,11.3
"Monona County, Iowa",12.30%,12.3
"Monongalia County, West Virginia",20.60%,20.6
"Monroe County, Alabama",22.90%,22.9
"Monroe County, Arkansas",23.80%,23.8
"Monroe County, Florida",11.70%,11.7
"Monroe County, Georgia",13.70%,13.7
"Monroe County, Illinois",4.30%,4.3
"Monroe County, Indiana",20.70%,20.7
"Monroe County, Iowa",10.80%,10.8
"Monroe County, Kentucky",20.90%,20.9
"Monroe County, Michigan",10.90%,10.9
"Monroe County, Mississippi",16.70%,16.7
"Monroe County, Missouri",16.50%,16.5
"Monroe County, New York",13.40%,13.4
"Monroe County, Ohio",13.90%,13.9
"Monroe County, Pennsylvania",11.30%,11.3
"Monroe County, Tennessee",16%,16
"Monroe County, West Virginia",13.20%,13.2
"Monroe County, Wisconsin",11.60%,11.6
"Montague County, Texas",13%,13
"Montcalm County, Michigan",12.30%,12.3
"Monterey County, California",12.30%,12.3
"Montezuma County, Colorado",12.50%,12.5
"Montgomery County, Alabama",19.60%,19.6
"Montgomery County, Arkansas",18.20%,18.2
"Montgomery County, Georgia",16.60%,16.6
"Montgomery County, Illinois",14%,14
"Montgomery County, Indiana",12.70%,12.7
"Montgomery County, Iowa",14.50%,14.5
"Montgomery County, Kansas",16.90%,16.9
"Montgomery County, Kentucky",16.40%,16.4
"Montgomery County, Maryland",7.20%,7.2
"Montgomery County, Mississippi",24.20%,24.2
"Montgomery County, Missouri",14.80%,14.8
"Montgomery County, New York",15.10%,15.1
"Montgomery County, North Carolina",16.20%,16.2
"Montgomery County, Ohio",15.10%,15.1
"Montgomery County, Pennsylvania",6.30%,6.3
"Montgomery County, Tennessee",11.90%,11.9
"Montgomery County, Texas",8.80%,8.8
"Montgomery County, Virginia",24.90%,24.9
"Montmorency County, Michigan",18.50%,18.5
"Montour County, Pennsylvania",8.70%,8.7
"Montrose County, Colorado",11.60%,11.6
"Moody County, South Dakota",9.60%,9.6
"Moore County, North Carolina",9.50%,9.5
"Moore County, Tennessee",9.90%,9.9
"Moore County, Texas",13.50%,13.5
"Mora County, New Mexico",21.70%,21.7
"Morehouse Parish, Louisiana",28.80%,28.8
"Morgan County, Alabama",13.70%,13.7
"Morgan County, Colorado",12.80%,12.8
"Morgan County, Georgia",8.60%,8.6
"Morgan County, Illinois",12.90%,12.9
"Morgan County, Indiana",8.50%,8.5
"Morgan County, Kentucky",20.40%,20.4
"Morgan County, Missouri",19.70%,19.7
"Morgan County, Ohio",16.60%,16.6
"Morgan County, Tennessee",20.90%,20.9
"Morgan County, Utah",1.70%,1.7
"Morgan County, West Virginia",10.60%,10.6
"Morovis Municipio, Puerto Rico",47.50%,47.5
"Morrill County, Nebraska",9.50%,9.5
"Morris County, Kansas",11%,11
"Morris County, New Jersey",5%,5
"Morris County, Texas",15.80%,15.8
"Morrison County, Minnesota",10.30%,10.3
"Morrow County, Ohio",10.60%,10.6
"Morrow County, Oregon",16.70%,16.7
"Morton County, Kansas",13.20%,13.2
"Morton County, North Dakota",8.10%,8.1
"Motley County, Texas",9.40%,9.4
"Moultrie County, Illinois",9.20%,9.2
"Mountrail County, North Dakota",12.40%,12.4
"Mower County, Minnesota",11.90%,11.9
"Muhlenberg County, Kentucky",16.30%,16.3
"Multnomah County, Oregon",12.20%,12.2
"Murray County, Georgia",13.10%,13.1
"Murray County, Minnesota",7.40%,7.4
"Murray County, Oklahoma",14.60%,14.6
"Muscatine County, Iowa",11.70%,11.7
"Muscogee County, Georgia",18.70%,18.7
"Muskegon County, Michigan",12.90%,12.9
"Muskingum County, Ohio",15.60%,15.6
"Muskogee County, Oklahoma",18.10%,18.1
"Musselshell County, Montana",11.80%,11.8
"Nacogdoches County, Texas",22.40%,22.4
"Naguabo Municipio, Puerto Rico",47.90%,47.9
"Nance County, Nebraska",13.60%,13.6
"Nantucket County, Massachusetts",4.90%,4.9
"Napa County, California",7.90%,7.9
"Naranjito Municipio, Puerto Rico",48.80%,48.8
"Nash County, North Carolina",14.50%,14.5
"Nassau County, Florida",9.20%,9.2
"Nassau County, New York",5.40%,5.4
"Natchitoches Parish, Louisiana",25.90%,25.9
"Natrona County, Wyoming",9.10%,9.1
"Naugatuck Valley Planning Region, Connecticut",10.20%,10.2
"Navajo County, Arizona",25.50%,25.5
"Navarro County, Texas",16.50%,16.5
"Nelson County, Kentucky",8.80%,8.8
"Nelson County, North Dakota",10.80%,10.8
"Nelson County, Virginia",13.20%,13.2
"Nemaha County, Kansas",8.70%,8.7
"Nemaha County, Nebraska",15.30%,15.3
"Neosho County, Kansas",15%,15
"Neshoba County, Mississippi",28%,28
"Ness County, Kansas",10.50%,10.5
"Nevada County, Arkansas",27.80%,27.8
"Nevada County, California",10.40%,10.4
"New Castle County, Delaware",10.50%,10.5
"New Hanover County, North Carolina",12.70%,12.7
"New Kent County, Virginia",3.90%,3.9
"New Madrid County, Missouri",17.30%,17.3
"New York County, New York",15.80%,15.8
"Newaygo County, Michigan",15.20%,15.2
"Newberry County, South Carolina",15.50%,15.5
"Newport County, Rhode Island",7.80%,7.8
"Newport News city, Virginia",14.70%,14.7
"Newton County, Arkansas",11.40%,11.4
"Newton County, Georgia",13.40%,13.4
"Newton County, Indiana",12.60%,12.6
"Newton County, Mississippi",23.50%,23.5
"Newton County, Missouri",14.90%,14.9
"Newton County, Texas",24.20%,24.2
"Nez Perce County, Idaho",14.10%,14.1
"Niagara County, New York",13%,13
"Nicholas County, Kentucky",16.20%,16.2
"Nicholas County, West Virginia",16.70%,16.7
"Nicollet County, Minnesota",10.30%,10.3
"Niobrara County, Wyoming",18.30%,18.3
"Noble County, Indiana",7.30%,7.3
"Noble County, Ohio",16.60%,16.6
"Noble County, Oklahoma",10.80%,10.8
"Nobles County, Minnesota",12.20%,12.2
"Nodaway County, Missouri",19.40%,19.4
"Nolan County, Texas",15.50%,15.5
"Nome Census Area, Alaska",21.10%,21.1
"Norfolk city, Virginia",16.90%,16.9
"Norfolk County, Massachusetts",6.50%,6.5
"Norman County, Minnesota",8.90%,8.9
"North Slope Borough, Alaska",7.90%,7.9
"Northampton County, North Carolina",18.70%,18.7
"Northampton County, Pennsylvania",9.20%,9.2
"Northampton County, Virginia",16.70%,16.7
"Northeastern Connecticut Planning Region, Connecticut",8.80%,8.8
"Northumberland County, Pennsylvania",12.40%,12.4
"Northumberland County, Virginia",14.80%,14.8
"Northwest Arctic Borough, Alaska",18.50%,18.5
"Northwest Hills Planning Region, Connecticut",9.40%,9.4
"Norton city, Virginia",29.10%,29.1
"Norton County, Kansas",9.40%,9.4
"Nottoway County, Virginia",19.10%,19.1
"Nowata County, Oklahoma",16%,16
"Noxubee County, Mississippi",23.20%,23.2
"Nuckolls County, Nebraska",6.30%,6.3
"Nueces County, Texas",17.30%,17.3
"Nye County, Nevada",15.30%,15.3
"O'Brien County, Iowa",12.10%,12.1
"Oakland County, Michigan",7.70%,7.7
"Obion County, Tennessee",16.10%,16.1
"Ocean County, New Jersey",10.50%,10.5
"Oceana County, Michigan",13.90%,13.9
"Ochiltree County, Texas",12.20%,12.2
"Oconee County, Georgia",4.50%,4.5
"Oconee County, South Carolina",15.70%,15.7
"Oconto County, Wisconsin",8.30%,8.3
"Ogemaw County, Michigan",17.10%,17.1
"Oglala Lakota County, South Dakota",55.80%,55.8
"Ogle County, Illinois",8.30%,8.3
"Oglethorpe County, Georgia",11.10%,11.1
"Ohio County, Indiana",10%,10
"Ohio County, Kentucky",14%,14
"Ohio County, West Virginia",14.70%,14.7
"Okaloosa County, Florida",10.20%,10.2
"Okanogan County, Washington",18.90%,18.9
"Okeechobee County, Florida",19.20%,19.2
"Okfuskee County, Oklahoma",26.70%,26.7
"Oklahoma County, Oklahoma",15.80%,15.8
"Okmulgee County, Oklahoma",18%,18
"Oktibbeha County, Mississippi",28.50%,28.5
"Oldham County, Kentucky",4%,4
"Oldham County, Texas",17.20%,17.2
"Oliver County, North Dakota",11.50%,11.5
"Olmsted County, Minnesota",7.90%,7.9
"Oneida County, Idaho",13.50%,13.5
"Oneida County, New York",14.40%,14.4
"Oneida County, Wisconsin",9.60%,9.6
"Onondaga County, New York",13.90%,13.9
"Onslow County, North Carolina",12.80%,12.8
"Ontario County, New York",9%,9
"Ontonagon County, Michigan",13.70%,13.7
"Orange County, California",9.70%,9.7
"Orange County, Florida",13.50%,13.5
"Orange County, Indiana",14.70%,14.7
"Orange County, New York",13%,13
"Orange County, North Carolina",12.30%,12.3
"Orange County, Texas",11.90%,11.9
"Orange County, Vermont",9.20%,9.2
"Orange County, Virginia",13%,13
"Orangeburg County, South Carolina",25%,25
"Oregon County, Missouri",23%,23
"Orleans County, New York",12.60%,12.6
"Orleans County, Vermont",9.80%,9.8
"Orleans Parish, Louisiana",22.90%,22.9
"Orocovis Municipio, Puerto Rico",55.90%,55.9
"Osage County, Kansas",11.10%,11.1
"Osage County, Missouri",7.60%,7.6
"Osage County, Oklahoma",12.50%,12.5
"Osborne County, Kansas",13.40%,13.4
"Osceola County, Florida",13.40%,13.4
"Osceola County, Iowa",12.60%,12.6
"Osceola County, Michigan",15.70%,15.7
"Oscoda County, Michigan",13.90%,13.9
"Oswego County, New York",17.10%,17.1
"Otero County, Colorado",24%,24
"Otero County, New Mexico",19.40%,19.4
"Otoe County, Nebraska",11.40%,11.4
"Otsego County, Michigan",10.70%,10.7
"Otsego County, New York",13%,13
"Ottawa County, Kansas",10.40%,10.4
"Ottawa County, Michigan",7.60%,7.6
"Ottawa County, Ohio",8.80%,8.8
"Ottawa County, Oklahoma",20.40%,20.4
"Otter Tail County, Minnesota",8.70%,8.7
"Ouachita County, Arkansas",19.10%,19.1
"Ouachita Parish, Louisiana",23.40%,23.4
"Ouray County, Colorado",4.80%,4.8
"Outagamie County, Wisconsin",6.90%,6.9
"Overton County, Tennessee",17.30%,17.3
"Owen County, Indiana",12.30%,12.3
"Owen County, Kentucky",14.10%,14.1
"Owsley County, Kentucky",28.80%,28.8
"Owyhee County, Idaho",13.10%,13.1
"Oxford County, Maine",14.40%,14.4
"Ozark County, Missouri",22.50%,22.5
"Ozaukee County, Wisconsin",4.50%,4.5
"Pacific County, Washington",13.20%,13.2
"Page County, Iowa",13.40%,13.4
"Page County, Virginia",10%,10
"Palm Beach County, Florida",11.40%,11.4
"Palo Alto County, Iowa",10.70%,10.7
"Palo Pinto County, Texas",15.80%,15.8
"Pamlico County, North Carolina",13.80%,13.8
"Panola County, Mississippi",20.40%,20.4
"Panola County, Texas",14%,14
"Park County, Colorado",6.80%,6.8
"Park County, Montana",11.50%,11.5
"Park County, Wyoming",9.60%,9.6
"Parke County, Indiana",15.60%,15.6
"Parker County, Texas",7.90%,7.9
"Parmer County, Texas",9.50%,9.5
"Pasco County, Florida",11.80%,11.8
"Pasquotank County, North Carolina",11.60%,11.6
"Passaic County, New Jersey",13.50%,13.5
"Patillas Municipio, Puerto Rico",48.50%,48.5
"Patrick County, Virginia",11.40%,11.4
"Paulding County, Georgia",6.70%,6.7
"Paulding County, Ohio",9.40%,9.4
"Pawnee County, Kansas",11.90%,11.9
"Pawnee County, Nebraska",13.30%,13.3
"Pawnee County, Oklahoma",15%,15
"Payette County, Idaho",10.60%,10.6
"Payne County, Oklahoma",24.30%,24.3
"Peach County, Georgia",20.70%,20.7
"Pearl River County, Mississippi",15.80%,15.8
"Pecos County, Texas",23%,23
"Pembina County, North Dakota",9.20%,9.2
"Pemiscot County, Missouri",29.30%,29.3
"Pend Oreille County, Washington",12.90%,12.9
"Pender County, North Carolina",11.70%,11.7
"Pendleton County, Kentucky",17.80%,17.8
"Pendleton County, West Virginia",16.40%,16.4
"Pennington County, Minnesota",9.60%,9.6
"Pennington County, South Dakota",12.30%,12.3
"Penobscot County, Maine",13.40%,13.4
"Peñuelas Municipio, Puerto Rico",52.10%,52.1
"Peoria County, Illinois",15.50%,15.5
"Pepin County, Wisconsin",7.80%,7.8
"Perkins County, Nebraska",8.70%,8.7
"Perkins County, South Dakota",11.90%,11.9
"Perquimans County, North Carolina",13.30%,13.3
"Perry County, Alabama",32.80%,32.8
"Perry County, Arkansas",15.30%,15.3
"Perry County, Illinois",17.50%,17.5
"Perry County, Indiana",12.10%,12.1
"Perry County, Kentucky",23.80%,23.8
"Perry County, Mississippi",20.60%,20.6
"Perry County, Missouri",11.30%,11.3
"Perry County, Ohio",15.30%,15.3
"Perry County, Pennsylvania",8.20%,8.2
"Perry County, Tennessee",14.20%,14.2
"Pershing County, Nevada",9.80%,9.8
"Person County, North Carolina",17.20%,17.2
"Petersburg Borough, Alaska",4.60%,4.6
"Petersburg city, Virginia",22.20%,22.2
"Petroleum County, Montana",6.30%,6.3
"Pettis County, Missouri",14.80%,14.8
"Phelps County, Missouri",17.70%,17.7
"Phelps County, Nebraska",14.50%,14.5
"Philadelphia County, Pennsylvania",22.70%,22.7
"Phillips County, Arkansas",30.50%,30.5
"Phillips County, Colorado",13.90%,13.9
"Phillips County, Kansas",16.40%,16.4
"Phillips County, Montana",6.90%,6.9
"Piatt County, Illinois",7.20%,7.2
"Pickaway County, Ohio",12.50%,12.5
"Pickens County, Alabama",22.30%,22.3
"Pickens County, Georgia",13.50%,13.5
"Pickens County, South Carolina",16.90%,16.9
"Pickett County, Tennessee",21%,21
"Pierce County, Georgia",15.30%,15.3
"Pierce County, Nebraska",7.90%,7.9
"Pierce County, North Dakota",11.20%,11.2
"Pierce County, Washington",8.70%,8.7
"Pierce County, Wisconsin",9.80%,9.8
"Pike County, Alabama",23.60%,23.6
"Pike County, Arkansas",17.50%,17.5
"Pike County, Georgia",8.10%,8.1
"Pike County, Illinois",13.50%,13.5
"Pike County, Indiana",11%,11
"Pike County, Kentucky",23.90%,23.9
"Pike County, Mississippi",30.70%,30.7
"Pike County, Missouri",15.80%,15.8
"Pike County, Ohio",19.80%,19.8
"Pike County, Pennsylvania",10%,10
"Pima County, Arizona",14.90%,14.9
"Pinal County, Arizona",11.30%,11.3
"Pine County, Minnesota",10.60%,10.6
"Pinellas County, Florida",11.50%,11.5
"Pipestone County, Minnesota",13%,13
"Piscataquis County, Maine",15%,15
"Pitkin County, Colorado",6.70%,6.7
"Pitt County, North Carolina",20%,20
"Pittsburg County, Oklahoma",19%,19
"Pittsylvania County, Virginia",16.40%,16.4
"Piute County, Utah",20.90%,20.9
"Placer County, California",6.80%,6.8
"Plaquemines Parish, Louisiana",14.70%,14.7
"Platte County, Missouri",7%,7
"Platte County, Nebraska",8.20%,8.2
"Platte County, Wyoming",12%,12
"Pleasants County, West Virginia",7.70%,7.7
"Plumas County, California",10.90%,10.9
"Plymouth County, Iowa",5.70%,5.7
"Plymouth County, Massachusetts",6.70%,6.7
"Pocahontas County, Iowa",9.10%,9.1
"Pocahontas County, West Virginia",20.30%,20.3
"Poinsett County, Arkansas",21%,21
"Pointe Coupee Parish, Louisiana",19.10%,19.1
"Polk County, Arkansas",17.80%,17.8
"Polk County, Florida",14.80%,14.8
"Polk County, Georgia",17.20%,17.2
"Polk County, Iowa",10.30%,10.3
"Polk County, Minnesota",11.60%,11.6
"Polk County, Missouri",17.20%,17.2
"Polk County, Nebraska",7.70%,7.7
"Polk County, North Carolina",11%,11
"Polk County, Oregon",11.90%,11.9
"Polk County, Tennessee",12.90%,12.9
"Polk County, Texas",16.40%,16.4
"Polk County, Wisconsin",8.30%,8.3
"Ponce Municipio, Puerto Rico",50.40%,50.4
"Pondera County, Montana",21.60%,21.6
"Pontotoc County, Mississippi",16.70%,16.7
"Pontotoc County, Oklahoma",13.30%,13.3
"Pope County, Arkansas",17.90%,17.9
"Pope County, Illinois",18.70%,18.7
"Pope County, Minnesota",9.60%,9.6
"Poquoson city, Virginia",4.50%,4.5
"Portage County, Ohio",11.30%,11.3
"Portage County, Wisconsin",10.40%,10.4
"Porter County, Indiana",9.30%,9.3
"Portsmouth city, Virginia",17.40%,17.4
"Posey County, Indiana",10%,10
"Pottawatomie County, Kansas",7.20%,7.2
"Pottawatomie County, Oklahoma",15.80%,15.8
"Pottawattamie County, Iowa",11.30%,11.3
"Potter County, Pennsylvania",12.20%,12.2
"Potter County, South Dakota",7%,7
"Potter County, Texas",20.70%,20.7
"Powder River County, Montana",12.70%,12.7
"Powell County, Kentucky",21.10%,21.1
"Powell County, Montana",5.20%,5.2
"Power County, Idaho",11.10%,11.1
"Poweshiek County, Iowa",10.80%,10.8
"Powhatan County, Virginia",4.50%,4.5
"Prairie County, Arkansas",10%,10
"Prairie County, Montana",22.30%,22.3
"Pratt County, Kansas",11.60%,11.6
"Preble County, Ohio",10.30%,10.3
"Prentiss County, Mississippi",16.30%,16.3
"Presidio County, Texas",40%,40
"Presque Isle County, Michigan",12.70%,12.7
"Preston County, West Virginia",13.80%,13.8
"Price County, Wisconsin",13.60%,13.6
"Prince Edward County, Virginia",18.10%,18.1
"Prince George County, Virginia",8.30%,8.3
"Prince George's County, Maryland",9.60%,9.6
"Prince of Wales-Hyder Census Area, Alaska",15.30%,15.3
"Prince William County, Virginia",6%,6
"Providence County, Rhode Island",13.60%,13.6
"Prowers County, Colorado",17.60%,17.6
"Pueblo County, Colorado",16.60%,16.6
"Pulaski County, Arkansas",16.60%,16.6
"Pulaski County, Georgia",18.90%,18.9
"Pulaski County, Illinois",25%,25
"Pulaski County, Indiana",12.80%,12.8
"Pulaski County, Kentucky",21.40%,21.4
"Pulaski County, Missouri",14.50%,14.5
"Pulaski County, Virginia",13.10%,13.1
"Pushmataha County, Oklahoma",21.70%,21.7
"Putnam County, Florida",22.80%,22.8
"Putnam County, Georgia",16%,16
"Putnam County, Illinois",8.80%,8.8
"Putnam County, Indiana",8.90%,8.9
"Putnam County, Missouri",12.30%,12.3
"Putnam County, New York",6.30%,6.3
"Putnam County, Ohio",6.60%,6.6
"Putnam County, Tennessee",16.30%,16.3
"Putnam County, West Virginia",10.90%,10.9
"Quay County, New Mexico",24.90%,24.9
"Quebradillas Municipio, Puerto Rico",46.10%,46.1
"Queen Anne's County, Maryland",6.90%,6.9
"Queens County, New York",11.70%,11.7
"Quitman County, Georgia",15.30%,15.3
"Quitman County, Mississippi",30.20%,30.2
"Rabun County, Georgia",14.50%,14.5
"Racine County, Wisconsin",11.30%,11.3
"Radford city, Virginia",33.80%,33.8
"Rains County, Texas",11%,11
"Raleigh County, West Virginia",22%,22
"Ralls County, Missouri",12.30%,12.3
"Ramsey County, Minnesota",12.90%,12.9
"Ramsey County, North Dakota",15.80%,15.8
"Randall County, Texas",9.40%,9.4
"Randolph County, Alabama",19.90%,19.9
"Randolph County, Arkansas",19.20%,19.2
"Randolph County, Georgia",28.10%,28.1
"Randolph County, Illinois",12.50%,12.5
"Randolph County, Indiana",13%,13
"Randolph County, Missouri",17.20%,17.2
"Randolph County, North Carolina",14.70%,14.7
"Randolph County, West Virginia",15.50%,15.5
"Rankin County, Mississippi",9.50%,9.5
"Ransom County, North Dakota",9.90%,9.9
"Rapides Parish, Louisiana",18.30%,18.3
"Rappahannock County, Virginia",7.60%,7.6
"Ravalli County, Montana",9.80%,9.8
"Rawlins County, Kansas",10.90%,10.9
"Ray County, Missouri",12.20%,12.2
"Reagan County, Texas",7.20%,7.2
"Real County, Texas",24.50%,24.5
"Red Lake County, Minnesota",9.30%,9.3
"Red River County, Texas",20.20%,20.2
"Red River Parish, Louisiana",24.80%,24.8
"Red Willow County, Nebraska",12.20%,12.2
"Redwood County, Minnesota",10.10%,10.1
"Reeves County, Texas",21%,21
"Refugio County, Texas",16.30%,16.3
"Reno County, Kansas",12.30%,12.3
"Rensselaer County, New York",11.50%,11.5
"Renville County, Minnesota",10.40%,10.4
"Renville County, North Dakota",6.40%,6.4
"Republic County, Kansas",10.10%,10.1
"Reynolds County, Missouri",18.10%,18.1
"Rhea County, Tennessee",15.70%,15.7
"Rice County, Kansas",9.80%,9.8
"Rice County, Minnesota",9.20%,9.2
"Rich County, Utah",8%,8
"Richardson County, Nebraska",10.90%,10.9
"Richland County, Illinois",13.70%,13.7
"Richland County, Montana",8.30%,8.3
"Richland County, North Dakota",11.20%,11.2
"Richland County, Ohio",13.90%,13.9
"Richland County, South Carolina",16.80%,16.8
"Richland County, Wisconsin",14.50%,14.5
"Richland Parish, Louisiana",24%,24
"Richmond city, Virginia",19.50%,19.5
"Richmond County, Georgia",20.70%,20.7
"Richmond County, New York",10.40%,10.4
"Richmond County, North Carolina",23%,23
"Richmond County, Virginia",7.50%,7.5
"Riley County, Kansas",22.70%,22.7
"Rincón Municipio, Puerto Rico",41.30%,41.3
"Ringgold County, Iowa",8.20%,8.2
"Rio Arriba County, New Mexico",21.80%,21.8
"Rio Blanco County, Colorado",12.90%,12.9
"Rio Grande County, Colorado",10.30%,10.3
"Río Grande Municipio, Puerto Rico",36.20%,36.2
"Ripley County, Indiana",9.60%,9.6
"Ripley County, Missouri",20.60%,20.6
"Ritchie County, West Virginia",20.30%,20.3
"Riverside County, California",11.40%,11.4
"Roane County, Tennessee",12.20%,12.2
"Roane County, West Virginia",21.10%,21.1
"Roanoke city, Virginia",19.10%,19.1
"Roanoke County, Virginia",7.10%,7.1
"Roberts County, South Dakota",20.80%,20.8
"Roberts County, Texas",14.70%,14.7
"Robertson County, Kentucky",22%,22
"Robertson County, Tennessee",10.30%,10.3
"Robertson County, Texas",14.20%,14.2
"Robeson County, North Carolina",27.10%,27.1
"Rock County, Minnesota",8.80%,8.8
"Rock County, Nebraska",9.10%,9.1
"Rock County, Wisconsin",9.90%,9.9
"Rock Island County, Illinois",15.20%,15.2
"Rockbridge County, Virginia",8.90%,8.9
"Rockcastle County, Kentucky",23.60%,23.6
"Rockdale County, Georgia",11.40%,11.4
"Rockingham County, New Hampshire",4.80%,4.8
"Rockingham County, North Carolina",18.80%,18.8
"Rockingham County, Virginia",8.80%,8.8
"Rockland County, New York",15.10%,15.1
"Rockwall County, Texas",4.20%,4.2
"Roger Mills County, Oklahoma",13.60%,13.6
"Rogers County, Oklahoma",9.50%,9.5
"Rolette County, North Dakota",24.90%,24.9
"Rooks County, Kansas",4.60%,4.6
"Roosevelt County, Montana",31.50%,31.5
"Roosevelt County, New Mexico",20.60%,20.6
"Roscommon County, Michigan",16.20%,16.2
"Roseau County, Minnesota",10.40%,10.4
"Rosebud County, Montana",20.40%,20.4
"Ross County, Ohio",16.10%,16.1
"Routt County, Colorado",8%,8
"Rowan County, Kentucky",24.60%,24.6
"Rowan County, North Carolina",16.40%,16.4
"Runnels County, Texas",11.90%,11.9
"Rush County, Indiana",11.70%,11.7
"Rush County, Kansas",12.80%,12.8
"Rusk County, Texas",13.40%,13.4
"Rusk County, Wisconsin",11.40%,11.4
"Russell County, Alabama",22%,22
"Russell County, Kansas",17.50%,17.5
"Russell County, Kentucky",21.60%,21.6
"Russell County, Virginia",19.30%,19.3
"Rutherford County, North Carolina",18.40%,18.4
"Rutherford County, Tennessee",9.80%,9.8
"Rutland County, Vermont",11.40%,11.4
"Sabana Grande Municipio, Puerto Rico",46%,46
"Sabine County, Texas",17.30%,17.3
"Sabine Parish, Louisiana",23.90%,23.9
"Sac County, Iowa",8.70%,8.7
"Sacramento County, California",13.10%,13.1
"Sagadahoc County, Maine",10.90%,10.9
"Saginaw County, Michigan",18.20%,18.2
"Saguache County, Colorado",17.50%,17.5
"Salem city, Virginia",9.60%,9.6
"Salem County, New Jersey",13%,13
"Salinas Municipio, Puerto Rico",50.50%,50.5
"Saline County, Arkansas",9.50%,9.5
"Saline County, Illinois",18%,18
"Saline County, Kansas",12%,12
"Saline County, Missouri",13%,13
"Saline County, Nebraska",11.30%,11.3
"Salt Lake County, Utah",8.10%,8.1
"Saluda County, South Carolina",17.90%,17.9
"Sampson County, North Carolina",22.30%,22.3
"San Augustine County, Texas",27.30%,27.3
"San Benito County, California",7.50%,7.5
"San Bernardino County, California",13.80%,13.8
"San Diego County, California",10.60%,10.6
"San Francisco County, California",10.50%,10.5
"San Germán Municipio, Puerto Rico",49.80%,49.8
"San Jacinto County, Texas",17.40%,17.4
"San Joaquin County, California",12.90%,12.9
"San Juan County, Colorado",19.10%,19.1
"San Juan County, New Mexico",24.50%,24.5
"San Juan County, Utah",20.70%,20.7
"San Juan County, Washington",11%,11
"San Juan Municipio, Puerto Rico",39.50%,39.5
"San Lorenzo Municipio, Puerto Rico",45.30%,45.3
"San Luis Obispo County, California",12.60%,12.6
"San Mateo County, California",6.40%,6.4
"San Miguel County, Colorado",8.50%,8.5
"San Miguel County, New Mexico",23.50%,23.5
"San Patricio County, Texas",15.80%,15.8
"San Saba County, Texas",14.30%,14.3
"San Sebastián Municipio, Puerto Rico",52.40%,52.4
"Sanborn County, South Dakota",8.70%,8.7
"Sanders County, Montana",16.30%,16.3
"Sandoval County, New Mexico",10.10%,10.1
"Sandusky County, Ohio",13%,13
"Sangamon County, Illinois",12.90%,12.9
"Sanilac County, Michigan",15%,15
"Sanpete County, Utah",14.80%,14.8
"Santa Barbara County, California",13.50%,13.5
"Santa Clara County, California",6.90%,6.9
"Santa Cruz County, Arizona",20.20%,20.2
"Santa Cruz County, California",11.40%,11.4
"Santa Fe County, New Mexico",12.30%,12.3
"Santa Isabel Municipio, Puerto Rico",46.40%,46.4
"Santa Rosa County, Florida",8.90%,8.9
"Sarasota County, Florida",8.10%,8.1
"Saratoga County, New York",6.60%,6.6
"Sargent County, North Dakota",6.20%,6.2
"Sarpy County, Nebraska",5.50%,5.5
"Sauk County, Wisconsin",8.60%,8.6
"Saunders County, Nebraska",6.70%,6.7
"Sawyer County, Wisconsin",13.20%,13.2
"Schenectady County, New York",11.60%,11.6
"Schleicher County, Texas",14.50%,14.5
"Schley County, Georgia",15.90%,15.9
"Schoharie County, New York",10.10%,10.1
"Schoolcraft County, Michigan",16%,16
"Schuyler County, Illinois",19.50%,19.5
"Schuyler County, Missouri",10.20%,10.2
"Schuyler County, New York",15.80%,15.8
"Schuylkill County, Pennsylvania",12.30%,12.3
"Scioto County, Ohio",23.80%,23.8
"Scotland County, Missouri",7.40%,7.4
"Scotland County, North Carolina",26.10%,26.1
"Scott County, Arkansas",17.10%,17.1
"Scott County, Illinois",11%,11
"Scott County, Indiana",15.80%,15.8
"Scott County, Iowa",11.90%,11.9
"Scott County, Kansas",7.60%,7.6
"Scott County, Kentucky",9.30%,9.3
"Scott County, Minnesota",5%,5
"Scott County, Mississippi",21.90%,21.9
"Scott County, Missouri",15.60%,15.6
"Scott County, Tennessee",25.70%,25.7
"Scott County, Virginia",17%,17
"Scotts Bluff County, Nebraska",12.50%,12.5
"Screven County, Georgia",18.40%,18.4
"Scurry County, Texas",11.80%,11.8
