Geographic Area,VEHICLES AVAILABLE—No vehicle available—Estimate,No vhcl
"Miller County, Missouri",4%,4
"Mills County, Iowa",5.50%,5.5
"Mills County, Texas",1.60%,1.6
"Milwaukee County, Wisconsin",12.60%,12.6
"Miner County, South Dakota",4%,4
"Mineral County, Colorado",2.90%,2.9
"Mineral County, Montana",1.90%,1.9
"Mineral County, Nevada",1.40%,1.4
"Mineral County, West Virginia",6%,6
"Mingo County, West Virginia",11.80%,11.8
"Minidoka County, Idaho",4.40%,4.4
"Minnehaha County, South Dakota",5.10%,5.1
"Missaukee County, Michigan",3.90%,3.9
"Mississippi County, Arkansas",10.40%,10.4
"Mississippi County, Missouri",17%,17
"Missoula County, Montana",5.50%,5.5
"Mitchell County, Georgia",13.30%,13.3
"Mitchell County, Iowa",5.10%,5.1
"Mitchell County, Kansas",5.70%,5.7
"Mitchell County, North Carolina",8.40%,8.4
"Mitchell County, Texas",1.90%,1.9
"Mobile County, Alabama",6.70%,6.7
"Moca Municipio, Puerto Rico",9.10%,9.1
"Modoc County, California",5.70%,5.7
"Moffat County, Colorado",6.20%,6.2
"Mohave County, Arizona",4.40%,4.4
"Moniteau County, Missouri",6.60%,6.6
"Monmouth County, New Jersey",6.90%,6.9
"Mono County, California",2.40%,2.4
"Monona County, Iowa",2.50%,2.5
"Monongalia County, West Virginia",7.10%,7.1
"Monroe County, Alabama",6.30%,6.3
"Monroe County, Arkansas",15.60%,15.6
"Monroe County, Florida",6.70%,6.7
"Monroe County, Georgia",2%,2
"Monroe County, Illinois",3.50%,3.5
"Monroe County, Indiana",7.50%,7.5
"Monroe County, Iowa",6.10%,6.1
"Monroe County, Kentucky",7.50%,7.5
"Monroe County, Michigan",5.20%,5.2
"Monroe County, Mississippi",5.10%,5.1
"Monroe County, Missouri",7.40%,7.4
"Monroe County, New York",10.90%,10.9
"Monroe County, Ohio",9%,9
"Monroe County, Pennsylvania",5.10%,5.1
"Monroe County, Tennessee",4.90%,4.9
"Monroe County, West Virginia",6.50%,6.5
"Monroe County, Wisconsin",7.10%,7.1
"Montague County, Texas",4.60%,4.6
"Montcalm County, Michigan",6%,6
"Monterey County, California",4.80%,4.8
"Montezuma County, Colorado",4.50%,4.5
"Montgomery County, Alabama",6.90%,6.9
"Montgomery County, Arkansas",4.60%,4.6
"Montgomery County, Georgia",4.30%,4.3
"Montgomery County, Illinois",6.80%,6.8
"Montgomery County, Indiana",5.80%,5.8
"Montgomery County, Iowa",4.50%,4.5
"Montgomery County, Kansas",8.20%,8.2
"Montgomery County, Kentucky",6.20%,6.2
"Montgomery County, Maryland",7.90%,7.9
"Montgomery County, Mississippi",8.60%,8.6
"Montgomery County, Missouri",3.80%,3.8
"Montgomery County, New York",12.80%,12.8
"Montgomery County, North Carolina",4.40%,4.4
"Montgomery County, Ohio",9%,9
"Montgomery County, Pennsylvania",5.20%,5.2
"Montgomery County, Tennessee",3.60%,3.6
"Montgomery County, Texas",3.30%,3.3
"Montgomery County, Virginia",5.50%,5.5
"Montmorency County, Michigan",7.40%,7.4
"Montour County, Pennsylvania",10.30%,10.3
"Montrose County, Colorado",2.80%,2.8
"Moody County, South Dakota",3.80%,3.8
"Moore County, North Carolina",4.20%,4.2
"Moore County, Tennessee",2.90%,2.9
"Moore County, Texas",7.70%,7.7
"Mora County, New Mexico",7.20%,7.2
"Morehouse Parish, Louisiana",10.30%,10.3
"Morgan County, Alabama",5.10%,5.1
"Morgan County, Colorado",5.40%,5.4
"Morgan County, Georgia",4%,4
"Morgan County, Illinois",7.40%,7.4
"Morgan County, Indiana",3%,3
"Morgan County, Kentucky",6.70%,6.7
"Morgan County, Missouri",11.10%,11.1
"Morgan County, Ohio",5.70%,5.7
"Morgan County, Tennessee",4.40%,4.4
"Morgan County, Utah",0.80%,0.8
"Morgan County, West Virginia",4.30%,4.3
"Morovis Municipio, Puerto Rico",14.10%,14.1
"Morrill County, Nebraska",3.90%,3.9
"Morris County, Kansas",3.90%,3.9
"Morris County, New Jersey",5.10%,5.1
"Morris County, Texas",5.70%,5.7
"Morrison County, Minnesota",5.20%,5.2
"Morrow County, Ohio",4.50%,4.5
"Morrow County, Oregon",1.50%,1.5
"Morton County, Kansas",2.60%,2.6
"Morton County, North Dakota",2.50%,2.5
"Motley County, Texas",2.40%,2.4
"Moultrie County, Illinois",11.90%,11.9
"Mountrail County, North Dakota",4.80%,4.8
"Mower County, Minnesota",5.90%,5.9
"Muhlenberg County, Kentucky",4.60%,4.6
"Multnomah County, Oregon",12.50%,12.5
"Murray County, Georgia",4.60%,4.6
"Murray County, Minnesota",4.10%,4.1
"Murray County, Oklahoma",3.40%,3.4
"Muscatine County, Iowa",5.20%,5.2
"Muscogee County, Georgia",10.30%,10.3
"Muskegon County, Michigan",7.10%,7.1
"Muskingum County, Ohio",6.90%,6.9
"Muskogee County, Oklahoma",7.80%,7.8
"Musselshell County, Montana",3.30%,3.3
"Nacogdoches County, Texas",6%,6
"Naguabo Municipio, Puerto Rico",10.40%,10.4
"Nance County, Nebraska",1.50%,1.5
"Nantucket County, Massachusetts",4%,4
"Napa County, California",4.90%,4.9
"Naranjito Municipio, Puerto Rico",16%,16
"Nash County, North Carolina",6.90%,6.9
"Nassau County, Florida",3%,3
"Nassau County, New York",6.60%,6.6
"Natchitoches Parish, Louisiana",8%,8
"Natrona County, Wyoming",4.20%,4.2
"Naugatuck Valley Planning Region, Connecticut",9.50%,9.5
"Navajo County, Arizona",8.50%,8.5
"Navarro County, Texas",5.10%,5.1
"Nelson County, Kentucky",3%,3
"Nelson County, North Dakota",2.40%,2.4
"Nelson County, Virginia",5.80%,5.8
"Nemaha County, Kansas",4%,4
"Nemaha County, Nebraska",6%,6
"Neosho County, Kansas",5.70%,5.7
"Neshoba County, Mississippi",8.30%,8.3
"Ness County, Kansas",2.40%,2.4
"Nevada County, Arkansas",4.60%,4.6
"Nevada County, California",4.10%,4.1
"New Castle County, Delaware",7%,7
"New Hanover County, North Carolina",6.30%,6.3
"New Kent County, Virginia",1.50%,1.5
"New Madrid County, Missouri",8%,8
"New York County, New York",77.90%,77.9
"Newaygo County, Michigan",4.40%,4.4
"Newberry County, South Carolina",6%,6
"Newport County, Rhode Island",7.40%,7.4
"Newport News city, Virginia",9.70%,9.7
"Newton County, Arkansas",2.20%,2.2
"Newton County, Georgia",4.20%,4.2
"Newton County, Indiana",3.10%,3.1
"Newton County, Mississippi",5.50%,5.5
"Newton County, Missouri",5%,5
"Newton County, Texas",7.60%,7.6
"Nez Perce County, Idaho",6.90%,6.9
"Niagara County, New York",10.70%,10.7
"Nicholas County, Kentucky",8.90%,8.9
"Nicholas County, West Virginia",6.60%,6.6
"Nicollet County, Minnesota",5.30%,5.3
"Niobrara County, Wyoming",3%,3
"Noble County, Indiana",9.30%,9.3
"Noble County, Ohio",10.20%,10.2
"Noble County, Oklahoma",1.60%,1.6
"Nobles County, Minnesota",7.10%,7.1
"Nodaway County, Missouri",7%,7
"Nolan County, Texas",6.80%,6.8
"Nome Census Area, Alaska",57.20%,57.2
"Norfolk city, Virginia",11.80%,11.8
"Norfolk County, Massachusetts",9.10%,9.1
"Norman County, Minnesota",5.10%,5.1
"North Slope Borough, Alaska",36.50%,36.5
"Northampton County, North Carolina",8.10%,8.1
"Northampton County, Pennsylvania",7%,7
"Northampton County, Virginia",10.30%,10.3
"Northeastern Connecticut Planning Region, Connecticut",5%,5
"Northumberland County, Pennsylvania",9.80%,9.8
"Northumberland County, Virginia",4.30%,4.3
"Northwest Arctic Borough, Alaska",65.30%,65.3
"Northwest Hills Planning Region, Connecticut",6.10%,6.1
"Norton city, Virginia",8.10%,8.1
"Norton County, Kansas",2.10%,2.1
"Nottoway County, Virginia",7.20%,7.2
"Nowata County, Oklahoma",5.60%,5.6
"Noxubee County, Mississippi",7.10%,7.1
"Nuckolls County, Nebraska",2.40%,2.4
"Nueces County, Texas",7%,7
"Nye County, Nevada",4.50%,4.5
"O'Brien County, Iowa",7.90%,7.9
"Oakland County, Michigan",5.50%,5.5
"Obion County, Tennessee",7.30%,7.3
"Ocean County, New Jersey",5.90%,5.9
"Oceana County, Michigan",4.80%,4.8
"Ochiltree County, Texas",3.30%,3.3
"Oconee County, Georgia",1.10%,1.1
"Oconee County, South Carolina",5.50%,5.5
"Oconto County, Wisconsin",3.30%,3.3
"Ogemaw County, Michigan",5.70%,5.7
"Oglala Lakota County, South Dakota",22.10%,22.1
"Ogle County, Illinois",6.80%,6.8
"Oglethorpe County, Georgia",3.20%,3.2
"Ohio County, Indiana",4.90%,4.9
"Ohio County, Kentucky",3.70%,3.7
"Ohio County, West Virginia",12%,12
"Okaloosa County, Florida",3.70%,3.7
"Okanogan County, Washington",4.10%,4.1
"Okeechobee County, Florida",3.20%,3.2
"Okfuskee County, Oklahoma",6.90%,6.9
"Oklahoma County, Oklahoma",6.20%,6.2
"Okmulgee County, Oklahoma",6.50%,6.5
"Oktibbeha County, Mississippi",4.90%,4.9
"Oldham County, Kentucky",1.20%,1.2
"Oldham County, Texas",1.60%,1.6
"Oliver County, North Dakota",4.20%,4.2
"Olmsted County, Minnesota",6.70%,6.7
"Oneida County, Idaho",1.60%,1.6
"Oneida County, New York",10.60%,10.6
"Oneida County, Wisconsin",3.70%,3.7
"Onondaga County, New York",12.20%,12.2
"Onslow County, North Carolina",3.80%,3.8
"Ontario County, New York",6.50%,6.5
"Ontonagon County, Michigan",4.90%,4.9
"Orange County, California",4.60%,4.6
"Orange County, Florida",5.20%,5.2
"Orange County, Indiana",6%,6
"Orange County, New York",8.60%,8.6
"Orange County, North Carolina",4.70%,4.7
"Orange County, Texas",5.30%,5.3
"Orange County, Vermont",4.20%,4.2
"Orange County, Virginia",3.90%,3.9
"Orangeburg County, South Carolina",8.50%,8.5
"Oregon County, Missouri",3.90%,3.9
"Orleans County, New York",7.60%,7.6
"Orleans County, Vermont",6.30%,6.3
"Orleans Parish, Louisiana",17.40%,17.4
"Orocovis Municipio, Puerto Rico",15.80%,15.8
"Osage County, Kansas",2.30%,2.3
"Osage County, Missouri",4.70%,4.7
"Osage County, Oklahoma",4.10%,4.1
"Osborne County, Kansas",3.70%,3.7
"Osceola County, Florida",4.50%,4.5
"Osceola County, Iowa",3%,3
"Osceola County, Michigan",6.90%,6.9
"Oscoda County, Michigan",7.20%,7.2
"Oswego County, New York",8.50%,8.5
"Otero County, Colorado",8.60%,8.6
"Otero County, New Mexico",4.90%,4.9
"Otoe County, Nebraska",3.80%,3.8
"Otsego County, Michigan",5.90%,5.9
"Otsego County, New York",7%,7
"Ottawa County, Kansas",3.50%,3.5
"Ottawa County, Michigan",3.90%,3.9
"Ottawa County, Ohio",3.90%,3.9
"Ottawa County, Oklahoma",5.60%,5.6
"Otter Tail County, Minnesota",5.60%,5.6
"Ouachita County, Arkansas",12.40%,12.4
"Ouachita Parish, Louisiana",8.80%,8.8
"Ouray County, Colorado",1.80%,1.8
"Outagamie County, Wisconsin",4.20%,4.2
"Overton County, Tennessee",4.60%,4.6
"Owen County, Indiana",2.80%,2.8
"Owen County, Kentucky",2.80%,2.8
"Owsley County, Kentucky",10.40%,10.4
"Owyhee County, Idaho",2.70%,2.7
"Oxford County, Maine",5.60%,5.6
"Ozark County, Missouri",6.40%,6.4
"Ozaukee County, Wisconsin",3.60%,3.6
"Pacific County, Washington",7.50%,7.5
"Page County, Iowa",6.30%,6.3
"Page County, Virginia",7%,7
"Palm Beach County, Florida",6%,6
"Palo Alto County, Iowa",3.80%,3.8
"Palo Pinto County, Texas",4%,4
"Pamlico County, North Carolina",4.80%,4.8
"Panola County, Mississippi",5.30%,5.3
"Panola County, Texas",3.10%,3.1
"Park County, Colorado",1.40%,1.4
"Park County, Montana",4.40%,4.4
"Park County, Wyoming",2.50%,2.5
"Parke County, Indiana",8.20%,8.2
"Parker County, Texas",2.80%,2.8
"Parmer County, Texas",1.90%,1.9
"Pasco County, Florida",4.80%,4.8
"Pasquotank County, North Carolina",6.20%,6.2
"Passaic County, New Jersey",14.70%,14.7
"Patillas Municipio, Puerto Rico",15.40%,15.4
"Patrick County, Virginia",4.20%,4.2
"Paulding County, Georgia",2.20%,2.2
"Paulding County, Ohio",4.30%,4.3
"Pawnee County, Kansas",8.70%,8.7
"Pawnee County, Nebraska",7.30%,7.3
"Pawnee County, Oklahoma",3.30%,3.3
"Payette County, Idaho",3.30%,3.3
"Payne County, Oklahoma",5.60%,5.6
"Peach County, Georgia",6.20%,6.2
"Pearl River County, Mississippi",2.90%,2.9
"Pecos County, Texas",8.50%,8.5
"Pembina County, North Dakota",2.30%,2.3
"Pemiscot County, Missouri",9.40%,9.4
"Pend Oreille County, Washington",3.10%,3.1
"Pender County, North Carolina",3.10%,3.1
"Pendleton County, Kentucky",4.30%,4.3
"Pendleton County, West Virginia",4.40%,4.4
"Pennington County, Minnesota",4.70%,4.7
"Pennington County, South Dakota",5.60%,5.6
"Penobscot County, Maine",8.20%,8.2
"Peñuelas Municipio, Puerto Rico",11.60%,11.6
"Peoria County, Illinois",8.60%,8.6
"Pepin County, Wisconsin",3.90%,3.9
"Perkins County, Nebraska",3.80%,3.8
"Perkins County, South Dakota",3.40%,3.4
"Perquimans County, North Carolina",4%,4
"Perry County, Alabama",10.40%,10.4
"Perry County, Arkansas",6.10%,6.1
"Perry County, Illinois",7.10%,7.1
"Perry County, Indiana",5.90%,5.9
"Perry County, Kentucky",7.80%,7.8
"Perry County, Mississippi",4.50%,4.5
"Perry County, Missouri",5.40%,5.4
"Perry County, Ohio",7.30%,7.3
"Perry County, Pennsylvania",5.60%,5.6
"Perry County, Tennessee",3.60%,3.6
"Pershing County, Nevada",5.40%,5.4
"Person County, North Carolina",5.20%,5.2
"Petersburg Borough, Alaska",12.60%,12.6
"Petersburg city, Virginia",16.50%,16.5
"Petroleum County, Montana",0%,0
"Pettis County, Missouri",7%,7
"Phelps County, Missouri",6.60%,6.6
"Phelps County, Nebraska",5.80%,5.8
"Philadelphia County, Pennsylvania",28.20%,28.2
"Phillips County, Arkansas",13.90%,13.9
"Phillips County, Colorado",5.30%,5.3
"Phillips County, Kansas",2.50%,2.5
"Phillips County, Montana",2.10%,2.1
"Piatt County, Illinois",2.40%,2.4
"Pickaway County, Ohio",6%,6
"Pickens County, Alabama",7.80%,7.8
"Pickens County, Georgia",3.10%,3.1
"Pickens County, South Carolina",6.80%,6.8
"Pickett County, Tennessee",8.20%,8.2
"Pierce County, Georgia",3.30%,3.3
"Pierce County, Nebraska",3.40%,3.4
"Pierce County, North Dakota",3.20%,3.2
"Pierce County, Washington",5%,5
"Pierce County, Wisconsin",3.50%,3.5
"Pike County, Alabama",6.70%,6.7
"Pike County, Arkansas",4.90%,4.9
"Pike County, Georgia",2.50%,2.5
"Pike County, Illinois",4.20%,4.2
"Pike County, Indiana",3.50%,3.5
"Pike County, Kentucky",8.90%,8.9
"Pike County, Mississippi",6.80%,6.8
"Pike County, Missouri",7.80%,7.8
"Pike County, Ohio",6.10%,6.1
"Pike County, Pennsylvania",5.40%,5.4
"Pima County, Arizona",7.20%,7.2
"Pinal County, Arizona",3.50%,3.5
"Pine County, Minnesota",6.20%,6.2
"Pinellas County, Florida",6.90%,6.9
"Pipestone County, Minnesota",5.60%,5.6
"Piscataquis County, Maine",6.10%,6.1
"Pitkin County, Colorado",2.40%,2.4
"Pitt County, North Carolina",9.20%,9.2
"Pittsburg County, Oklahoma",7.10%,7.1
"Pittsylvania County, Virginia",5.20%,5.2
"Piute County, Utah",4.90%,4.9
"Placer County, California",3.80%,3.8
"Plaquemines Parish, Louisiana",5.30%,5.3
"Platte County, Missouri",4%,4
"Platte County, Nebraska",5.80%,5.8
"Platte County, Wyoming",3.40%,3.4
"Pleasants County, West Virginia",4.40%,4.4
"Plumas County, California",4.50%,4.5
"Plymouth County, Iowa",3.90%,3.9
"Plymouth County, Massachusetts",6.30%,6.3
"Pocahontas County, Iowa",4%,4
"Pocahontas County, West Virginia",7.20%,7.2
"Poinsett County, Arkansas",8.70%,8.7
"Pointe Coupee Parish, Louisiana",5.60%,5.6
"Polk County, Arkansas",5.30%,5.3
"Polk County, Florida",5.20%,5.2
"Polk County, Georgia",5.80%,5.8
"Polk County, Iowa",5.70%,5.7
"Polk County, Minnesota",6.50%,6.5
"Polk County, Missouri",5.60%,5.6
"Polk County, Nebraska",2.40%,2.4
"Polk County, North Carolina",3.70%,3.7
"Polk County, Oregon",5.10%,5.1
"Polk County, Tennessee",5.70%,5.7
"Polk County, Texas",3.60%,3.6
"Polk County, Wisconsin",3.20%,3.2
"Ponce Municipio, Puerto Rico",16.80%,16.8
"Pondera County, Montana",5.80%,5.8
"Pontotoc County, Mississippi",3.30%,3.3
"Pontotoc County, Oklahoma",6.40%,6.4
"Pope County, Arkansas",4.50%,4.5
"Pope County, Illinois",5.90%,5.9
"Pope County, Minnesota",4.60%,4.6
"Poquoson city, Virginia",1.70%,1.7
"Portage County, Ohio",7.10%,7.1
"Portage County, Wisconsin",4.70%,4.7
"Porter County, Indiana",3.70%,3.7
"Portsmouth city, Virginia",11.40%,11.4
"Posey County, Indiana",4.10%,4.1
"Pottawatomie County, Kansas",1.70%,1.7
"Pottawatomie County, Oklahoma",4.80%,4.8
"Pottawattamie County, Iowa",6.40%,6.4
"Potter County, Pennsylvania",6.90%,6.9
"Potter County, South Dakota",1.50%,1.5
"Potter County, Texas",8.60%,8.6
"Powder River County, Montana",5.10%,5.1
"Powell County, Kentucky",8.50%,8.5
"Powell County, Montana",3.60%,3.6
"Power County, Idaho",3.90%,3.9
"Poweshiek County, Iowa",8.60%,8.6
"Powhatan County, Virginia",1.60%,1.6
"Prairie County, Arkansas",4.60%,4.6
"Prairie County, Montana",5.20%,5.2
"Pratt County, Kansas",3.90%,3.9
"Preble County, Ohio",4.10%,4.1
"Prentiss County, Mississippi",5.90%,5.9
"Presidio County, Texas",13.90%,13.9
"Presque Isle County, Michigan",5.70%,5.7
"Preston County, West Virginia",6.40%,6.4
"Price County, Wisconsin",5.60%,5.6
"Prince Edward County, Virginia",8.40%,8.4
"Prince George County, Virginia",3%,3
"Prince George's County, Maryland",9.30%,9.3
"Prince of Wales-Hyder Census Area, Alaska",8.30%,8.3
"Prince William County, Virginia",2.30%,2.3
"Providence County, Rhode Island",11.30%,11.3
"Prowers County, Colorado",6.60%,6.6
"Pueblo County, Colorado",7.90%,7.9
"Pulaski County, Arkansas",7.40%,7.4
"Pulaski County, Georgia",6.70%,6.7
"Pulaski County, Illinois",8.60%,8.6
"Pulaski County, Indiana",7%,7
"Pulaski County, Kentucky",6.10%,6.1
"Pulaski County, Missouri",5.10%,5.1
"Pulaski County, Virginia",4.70%,4.7
"Pushmataha County, Oklahoma",8.80%,8.8
"Putnam County, Florida",7.50%,7.5
"Putnam County, Georgia",3.20%,3.2
"Putnam County, Illinois",3.40%,3.4
"Putnam County, Indiana",3.90%,3.9
"Putnam County, Missouri",6.80%,6.8
"Putnam County, New York",4.10%,4.1
"Putnam County, Ohio",2.60%,2.6
"Putnam County, Tennessee",4.10%,4.1
"Putnam County, West Virginia",4.90%,4.9
"Quay County, New Mexico",8%,8
"Quebradillas Municipio, Puerto Rico",12.10%,12.1
"Queen Anne's County, Maryland",3.10%,3.1
"Queens County, New York",36.70%,36.7
"Quitman County, Georgia",14.30%,14.3
"Quitman County, Mississippi",14.60%,14.6
"Rabun County, Georgia",4.30%,4.3
"Racine County, Wisconsin",5.90%,5.9
"Radford city, Virginia",4.60%,4.6
"Rains County, Texas",4.10%,4.1
"Raleigh County, West Virginia",9.30%,9.3
"Ralls County, Missouri",2.90%,2.9
"Ramsey County, Minnesota",10.30%,10.3
"Ramsey County, North Dakota",8%,8
"Randall County, Texas",2.80%,2.8
"Randolph County, Alabama",5.30%,5.3
"Randolph County, Arkansas",6%,6
"Randolph County, Georgia",18.70%,18.7
"Randolph County, Illinois",7.10%,7.1
"Randolph County, Indiana",5.50%,5.5
"Randolph County, Missouri",5.40%,5.4
"Randolph County, North Carolina",3.70%,3.7
"Randolph County, West Virginia",10.90%,10.9
"Rankin County, Mississippi",2.40%,2.4
"Ransom County, North Dakota",4.10%,4.1
"Rapides Parish, Louisiana",9.60%,9.6
"Rappahannock County, Virginia",1.60%,1.6
"Ravalli County, Montana",4%,4
"Rawlins County, Kansas",5.50%,5.5
"Ray County, Missouri",2.20%,2.2
"Reagan County, Texas",0.70%,0.7
"Real County, Texas",3.70%,3.7
"Red Lake County, Minnesota",4.50%,4.5
"Red River County, Texas",3.40%,3.4
"Red River Parish, Louisiana",4.80%,4.8
"Red Willow County, Nebraska",8.20%,8.2
"Redwood County, Minnesota",4.20%,4.2
"Reeves County, Texas",5%,5
"Refugio County, Texas",9.50%,9.5
"Reno County, Kansas",4.60%,4.6
"Rensselaer County, New York",10.30%,10.3
"Renville County, Minnesota",6.30%,6.3
"Renville County, North Dakota",3.40%,3.4
"Republic County, Kansas",4%,4
"Reynolds County, Missouri",6.10%,6.1
"Rhea County, Tennessee",6.60%,6.6
"Rice County, Kansas",2.40%,2.4
"Rice County, Minnesota",5%,5
"Rich County, Utah",0%,0
"Richardson County, Nebraska",6.60%,6.6
"Richland County, Illinois",7.40%,7.4
"Richland County, Montana",7.40%,7.4
"Richland County, North Dakota",7.20%,7.2
"Richland County, Ohio",7.60%,7.6
"Richland County, South Carolina",6.70%,6.7
"Richland County, Wisconsin",7.40%,7.4
"Richland Parish, Louisiana",6.20%,6.2
"Richmond city, Virginia",14.20%,14.2
"Richmond County, Georgia",10%,10
"Richmond County, New York",15.20%,15.2
"Richmond County, North Carolina",10.70%,10.7
"Richmond County, Virginia",6.30%,6.3
"Riley County, Kansas",5.40%,5.4
"Rincón Municipio, Puerto Rico",9.50%,9.5
"Ringgold County, Iowa",5.60%,5.6
"Rio Arriba County, New Mexico",3.80%,3.8
"Rio Blanco County, Colorado",2.10%,2.1
"Rio Grande County, Colorado",6.90%,6.9
"Río Grande Municipio, Puerto Rico",12.10%,12.1
"Ripley County, Indiana",4.80%,4.8
"Ripley County, Missouri",4.90%,4.9
"Ritchie County, West Virginia",4.60%,4.6
"Riverside County, California",4%,4
"Roane County, Tennessee",5.40%,5.4
"Roane County, West Virginia",10%,10
"Roanoke city, Virginia",11.20%,11.2
"Roanoke County, Virginia",4.50%,4.5
"Roberts County, South Dakota",4.20%,4.2
"Roberts County, Texas",7.80%,7.8
"Robertson County, Kentucky",2.50%,2.5
"Robertson County, Tennessee",3%,3
"Robertson County, Texas",7.90%,7.9
"Robeson County, North Carolina",8%,8
"Rock County, Minnesota",6.10%,6.1
"Rock County, Nebraska",3.60%,3.6
"Rock County, Wisconsin",5.50%,5.5
"Rock Island County, Illinois",8.70%,8.7
"Rockbridge County, Virginia",4.40%,4.4
"Rockcastle County, Kentucky",9.10%,9.1
"Rockdale County, Georgia",3.60%,3.6
"Rockingham County, New Hampshire",3%,3
"Rockingham County, North Carolina",7%,7
"Rockingham County, Virginia",4.50%,4.5
"Rockland County, New York",9.90%,9.9
"Rockwall County, Texas",1.80%,1.8
"Roger Mills County, Oklahoma",0.90%,0.9
"Rogers County, Oklahoma",2.70%,2.7
"Rolette County, North Dakota",8.50%,8.5
"Rooks County, Kansas",7%,7
"Roosevelt County, Montana",10.60%,10.6
"Roosevelt County, New Mexico",6.20%,6.2
"Roscommon County, Michigan",7.90%,7.9
"Roseau County, Minnesota",5.40%,5.4
"Rosebud County, Montana",7.10%,7.1
"Ross County, Ohio",6.50%,6.5
"Routt County, Colorado",2%,2
"Rowan County, Kentucky",8.80%,8.8
"Rowan County, North Carolina",5.90%,5.9
"Runnels County, Texas",2.40%,2.4
"Rush County, Indiana",4.20%,4.2
"Rush County, Kansas",2.80%,2.8
"Rusk County, Texas",3.90%,3.9
"Rusk County, Wisconsin",3.90%,3.9
"Russell County, Alabama",8.80%,8.8
"Russell County, Kansas",3.60%,3.6
"Russell County, Kentucky",3.90%,3.9
"Russell County, Virginia",6.60%,6.6
"Rutherford County, North Carolina",6%,6
"Rutherford County, Tennessee",2.50%,2.5
"Rutland County, Vermont",7.10%,7.1
"Sabana Grande Municipio, Puerto Rico",10.30%,10.3
"Sabine County, Texas",4.50%,4.5
"Sabine Parish, Louisiana",8.50%,8.5
"Sac County, Iowa",4.20%,4.2
"Sacramento County, California",6.20%,6.2
"Sagadahoc County, Maine",5.80%,5.8
"Saginaw County, Michigan",8%,8
"Saguache County, Colorado",1.50%,1.5
"Salem city, Virginia",5.80%,5.8
"Salem County, New Jersey",9.50%,9.5
"Salinas Municipio, Puerto Rico",14.50%,14.5
"Saline County, Arkansas",3.70%,3.7
"Saline County, Illinois",9.20%,9.2
"Saline County, Kansas",8.10%,8.1
"Saline County, Missouri",5.50%,5.5
"Saline County, Nebraska",2%,2
"Salt Lake County, Utah",5.20%,5.2
"Saluda County, South Carolina",5.10%,5.1
"Sampson County, North Carolina",5.10%,5.1
"San Augustine County, Texas",11.70%,11.7
"San Benito County, California",3.20%,3.2
"San Bernardino County, California",4.50%,4.5
"San Diego County, California",5.40%,5.4
"San Francisco County, California",29.90%,29.9
"San Germán Municipio, Puerto Rico",17%,17
"San Jacinto County, Texas",3.20%,3.2
"San Joaquin County, California",5.20%,5.2
"San Juan County, Colorado",3.90%,3.9
"San Juan County, New Mexico",6.10%,6.1
"San Juan County, Utah",8.80%,8.8
"San Juan County, Washington",4.60%,4.6
"San Juan Municipio, Puerto Rico",22.60%,22.6
"San Lorenzo Municipio, Puerto Rico",16.90%,16.9
"San Luis Obispo County, California",3.80%,3.8
"San Mateo County, California",5.60%,5.6
"San Miguel County, Colorado",6.30%,6.3
"San Miguel County, New Mexico",7.30%,7.3
"San Patricio County, Texas",6.70%,6.7
"San Saba County, Texas",2%,2
"San Sebastián Municipio, Puerto Rico",11.70%,11.7
"Sanborn County, South Dakota",7.70%,7.7
"Sanders County, Montana",5.70%,5.7
"Sandoval County, New Mexico",3%,3
"Sandusky County, Ohio",4.60%,4.6
"Sangamon County, Illinois",7.40%,7.4
"Sanilac County, Michigan",6%,6
"Sanpete County, Utah",2.80%,2.8
"Santa Barbara County, California",6.30%,6.3
"Santa Clara County, California",5.80%,5.8
"Santa Cruz County, Arizona",6%,6
"Santa Cruz County, California",5.20%,5.2
"Santa Fe County, New Mexico",4.20%,4.2
"Santa Isabel Municipio, Puerto Rico",11.20%,11.2
"Santa Rosa County, Florida",3.50%,3.5
"Sarasota County, Florida",4.40%,4.4
"Saratoga County, New York",4.80%,4.8
"Sargent County, North Dakota",2.50%,2.5
"Sarpy County, Nebraska",3%,3
"Sauk County, Wisconsin",5.20%,5.2
"Saunders County, Nebraska",3.50%,3.5
"Sawyer County, Wisconsin",4.30%,4.3
"Schenectady County, New York",12.20%,12.2
"Schleicher County, Texas",4.10%,4.1
"Schley County, Georgia",5.30%,5.3
"Schoharie County, New York",6.30%,6.3
"Schoolcraft County, Michigan",7.40%,7.4
"Schuyler County, Illinois",3.40%,3.4
"Schuyler County, Missouri",7.20%,7.2
"Schuyler County, New York",5.90%,5.9
"Schuylkill County, Pennsylvania",8.20%,8.2
"Scioto County, Ohio",7.20%,7.2
"Scotland County, Missouri",4.60%,4.6
"Scotland County, North Carolina",11.50%,11.5
"Scott County, Arkansas",9.30%,9.3
"Scott County, Illinois",4.60%,4.6
"Scott County, Indiana",4.40%,4.4
"Scott County, Iowa",6.50%,6.5
"Scott County, Kansas",1.30%,1.3
"Scott County, Kentucky",3.40%,3.4
"Scott County, Minnesota",3%,3
"Scott County, Mississippi",8.10%,8.1
"Scott County, Missouri",7.40%,7.4
"Scott County, Tennessee",4.20%,4.2
"Scott County, Virginia",8.50%,8.5
"Scotts Bluff County, Nebraska",6%,6
"Screven County, Georgia",5.40%,5.4
"Scurry County, Texas",0.90%,0.9
