Geographic Area,With an ambulatory difficulty—Estimate,Amblry diffclty
"Miller County, Arkansas",10.40%,10.4
"Miller County, Georgia",9.20%,9.2
"Miller County, Missouri",9.20%,9.2
"Mills County, Iowa",7.30%,7.3
"Mills County, Texas",10.60%,10.6
"Milwaukee County, Wisconsin",6.60%,6.6
"Miner County, South Dakota",11.30%,11.3
"Mineral County, Colorado",5.30%,5.3
"Mineral County, Montana",8.60%,8.6
"Mineral County, Nevada",8.50%,8.5
"Mineral County, West Virginia",8.20%,8.2
"Mingo County, West Virginia",21.60%,21.6
"Minidoka County, Idaho",6.80%,6.8
"Minnehaha County, South Dakota",4.90%,4.9
"Missaukee County, Michigan",8.10%,8.1
"Mississippi County, Arkansas",12.20%,12.2
"Mississippi County, Missouri",15.70%,15.7
"Missoula County, Montana",5.30%,5.3
"Mitchell County, Georgia",12.70%,12.7
"Mitchell County, Iowa",5.20%,5.2
"Mitchell County, Kansas",6.10%,6.1
"Mitchell County, North Carolina",11.40%,11.4
"Mitchell County, Texas",7.90%,7.9
"Mobile County, Alabama",7.90%,7.9
"Moca Municipio, Puerto Rico",12.80%,12.8
"Modoc County, California",12.60%,12.6
"Moffat County, Colorado",5.80%,5.8
"Mohave County, Arizona",12.40%,12.4
"Moniteau County, Missouri",7.20%,7.2
"Monmouth County, New Jersey",5.40%,5.4
"Mono County, California",3.20%,3.2
"Monona County, Iowa",6.90%,6.9
"Monongalia County, West Virginia",5.80%,5.8
"Monroe County, Alabama",9.80%,9.8
"Monroe County, Arkansas",16.90%,16.9
"Monroe County, Florida",5.80%,5.8
"Monroe County, Georgia",7.80%,7.8
"Monroe County, Illinois",6.40%,6.4
"Monroe County, Indiana",5%,5
"Monroe County, Iowa",6.70%,6.7
"Monroe County, Kentucky",14.30%,14.3
"Monroe County, Michigan",7.60%,7.6
"Monroe County, Mississippi",8.30%,8.3
"Monroe County, Missouri",9.80%,9.8
"Monroe County, New York",6.60%,6.6
"Monroe County, Ohio",10.30%,10.3
"Monroe County, Pennsylvania",6.90%,6.9
"Monroe County, Tennessee",13.40%,13.4
"Monroe County, West Virginia",12.30%,12.3
"Monroe County, Wisconsin",7.10%,7.1
"Montague County, Texas",10.80%,10.8
"Montcalm County, Michigan",8.70%,8.7
"Monterey County, California",4.60%,4.6
"Montezuma County, Colorado",7.60%,7.6
"Montgomery County, Alabama",9.70%,9.7
"Montgomery County, Arkansas",15.10%,15.1
"Montgomery County, Georgia",8.80%,8.8
"Montgomery County, Illinois",9.60%,9.6
"Montgomery County, Indiana",9.40%,9.4
"Montgomery County, Iowa",7.40%,7.4
"Montgomery County, Kansas",12.30%,12.3
"Montgomery County, Kentucky",11.40%,11.4
"Montgomery County, Maryland",4.10%,4.1
"Montgomery County, Mississippi",14.10%,14.1
"Montgomery County, Missouri",11%,11
"Montgomery County, New York",8.40%,8.4
"Montgomery County, North Carolina",10.60%,10.6
"Montgomery County, Ohio",8.30%,8.3
"Montgomery County, Pennsylvania",4.90%,4.9
"Montgomery County, Tennessee",7.20%,7.2
"Montgomery County, Texas",5%,5
"Montgomery County, Virginia",5.10%,5.1
"Montmorency County, Michigan",12.10%,12.1
"Montour County, Pennsylvania",7%,7
"Montrose County, Colorado",7.20%,7.2
"Moody County, South Dakota",5.60%,5.6
"Moore County, North Carolina",7.60%,7.6
"Moore County, Tennessee",7.30%,7.3
"Moore County, Texas",5.50%,5.5
"Mora County, New Mexico",17.10%,17.1
"Morehouse Parish, Louisiana",9%,9
"Morgan County, Alabama",8.70%,8.7
"Morgan County, Colorado",4.90%,4.9
"Morgan County, Georgia",8%,8
"Morgan County, Illinois",10.60%,10.6
"Morgan County, Indiana",8%,8
"Morgan County, Kentucky",19.60%,19.6
"Morgan County, Missouri",11.30%,11.3
"Morgan County, Ohio",12%,12
"Morgan County, Tennessee",12.50%,12.5
"Morgan County, Utah",1.90%,1.9
"Morgan County, West Virginia",9%,9
"Morovis Municipio, Puerto Rico",11.40%,11.4
"Morrill County, Nebraska",6.90%,6.9
"Morris County, Kansas",10.20%,10.2
"Morris County, New Jersey",4.30%,4.3
"Morris County, Texas",14%,14
"Morrison County, Minnesota",6.10%,6.1
"Morrow County, Ohio",7.40%,7.4
"Morrow County, Oregon",9.30%,9.3
"Morton County, Kansas",10.40%,10.4
"Morton County, North Dakota",4%,4
"Motley County, Texas",13.30%,13.3
"Moultrie County, Illinois",6.50%,6.5
"Mountrail County, North Dakota",7.50%,7.5
"Mower County, Minnesota",6.20%,6.2
"Muhlenberg County, Kentucky",11.80%,11.8
"Multnomah County, Oregon",5.60%,5.6
"Murray County, Georgia",8.30%,8.3
"Murray County, Minnesota",6%,6
"Murray County, Oklahoma",13.70%,13.7
"Muscatine County, Iowa",6.30%,6.3
"Muscogee County, Georgia",9%,9
"Muskegon County, Michigan",7.70%,7.7
"Muskingum County, Ohio",8.10%,8.1
"Muskogee County, Oklahoma",11.50%,11.5
"Musselshell County, Montana",10.60%,10.6
"Nacogdoches County, Texas",7.20%,7.2
"Naguabo Municipio, Puerto Rico",3.90%,3.9
"Nance County, Nebraska",6.60%,6.6
"Nantucket County, Massachusetts",3.60%,3.6
"Napa County, California",6.20%,6.2
"Naranjito Municipio, Puerto Rico",16.60%,16.6
"Nash County, North Carolina",8.70%,8.7
"Nassau County, Florida",8.60%,8.6
"Nassau County, New York",4.70%,4.7
"Natchitoches Parish, Louisiana",10.10%,10.1
"Natrona County, Wyoming",6.70%,6.7
"Naugatuck Valley Planning Region, Connecticut",6.80%,6.8
"Navajo County, Arizona",9.50%,9.5
"Navarro County, Texas",10.40%,10.4
"Nelson County, Kentucky",7.30%,7.3
"Nelson County, North Dakota",7.60%,7.6
"Nelson County, Virginia",8.90%,8.9
"Nemaha County, Kansas",6.10%,6.1
"Nemaha County, Nebraska",8.80%,8.8
"Neosho County, Kansas",9.10%,9.1
"Neshoba County, Mississippi",11%,11
"Ness County, Kansas",5.50%,5.5
"Nevada County, Arkansas",13.40%,13.4
"Nevada County, California",6.90%,6.9
"New Castle County, Delaware",6.30%,6.3
"New Hanover County, North Carolina",5.80%,5.8
"New Kent County, Virginia",5.30%,5.3
"New Madrid County, Missouri",14.70%,14.7
"New York County, New York",6.60%,6.6
"Newaygo County, Michigan",9.60%,9.6
"Newberry County, South Carolina",9.60%,9.6
"Newport County, Rhode Island",5.40%,5.4
"Newport News city, Virginia",7.60%,7.6
"Newton County, Arkansas",10.60%,10.6
"Newton County, Georgia",7.60%,7.6
"Newton County, Indiana",10.90%,10.9
"Newton County, Mississippi",13%,13
"Newton County, Missouri",8.30%,8.3
"Newton County, Texas",11%,11
"Nez Perce County, Idaho",9.20%,9.2
"Niagara County, New York",8.30%,8.3
"Nicholas County, Kentucky",12.90%,12.9
"Nicholas County, West Virginia",12.20%,12.2
"Nicollet County, Minnesota",4%,4
"Niobrara County, Wyoming",7.90%,7.9
"Noble County, Indiana",7.60%,7.6
"Noble County, Ohio",11.40%,11.4
"Noble County, Oklahoma",9.40%,9.4
"Nobles County, Minnesota",4.80%,4.8
"Nodaway County, Missouri",5.80%,5.8
"Nolan County, Texas",9.90%,9.9
"Nome Census Area, Alaska",3.50%,3.5
"Norfolk city, Virginia",8.10%,8.1
"Norfolk County, Massachusetts",4.50%,4.5
"Norman County, Minnesota",7.30%,7.3
"North Slope Borough, Alaska",5%,5
"Northampton County, North Carolina",10.90%,10.9
"Northampton County, Pennsylvania",6.40%,6.4
"Northampton County, Virginia",10.50%,10.5
"Northeastern Connecticut Planning Region, Connecticut",7%,7
"Northumberland County, Pennsylvania",9.10%,9.1
"Northumberland County, Virginia",6.20%,6.2
"Northwest Arctic Borough, Alaska",4.10%,4.1
"Northwest Hills Planning Region, Connecticut",5.70%,5.7
"Norton city, Virginia",15.20%,15.2
"Norton County, Kansas",4.90%,4.9
"Nottoway County, Virginia",7.60%,7.6
"Nowata County, Oklahoma",11.30%,11.3
"Noxubee County, Mississippi",16.10%,16.1
"Nuckolls County, Nebraska",6.90%,6.9
"Nueces County, Texas",7.80%,7.8
"Nye County, Nevada",12.70%,12.7
"O'Brien County, Iowa",8%,8
"Oakland County, Michigan",5.90%,5.9
"Obion County, Tennessee",13.30%,13.3
"Ocean County, New Jersey",7.50%,7.5
"Oceana County, Michigan",8.40%,8.4
"Ochiltree County, Texas",9%,9
"Oconee County, Georgia",4.10%,4.1
"Oconee County, South Carolina",9.60%,9.6
"Oconto County, Wisconsin",6.90%,6.9
"Ogemaw County, Michigan",12%,12
"Oglala Lakota County, South Dakota",7.10%,7.1
"Ogle County, Illinois",7.40%,7.4
"Oglethorpe County, Georgia",7.40%,7.4
"Ohio County, Indiana",11.30%,11.3
"Ohio County, Kentucky",10.80%,10.8
"Ohio County, West Virginia",8.70%,8.7
"Okaloosa County, Florida",7.80%,7.8
"Okanogan County, Washington",7.90%,7.9
"Okeechobee County, Florida",10.80%,10.8
"Okfuskee County, Oklahoma",11.60%,11.6
"Oklahoma County, Oklahoma",7.20%,7.2
"Okmulgee County, Oklahoma",13.80%,13.8
"Oktibbeha County, Mississippi",5.40%,5.4
"Oldham County, Kentucky",4.10%,4.1
"Oldham County, Texas",6.70%,6.7
"Oliver County, North Dakota",5.30%,5.3
"Olmsted County, Minnesota",4.10%,4.1
"Oneida County, Idaho",8.50%,8.5
"Oneida County, New York",7.90%,7.9
"Oneida County, Wisconsin",6.50%,6.5
"Onondaga County, New York",7%,7
"Onslow County, North Carolina",7.90%,7.9
"Ontario County, New York",6.70%,6.7
"Ontonagon County, Michigan",9.60%,9.6
"Orange County, California",4.60%,4.6
"Orange County, Florida",5.60%,5.6
"Orange County, Indiana",11.70%,11.7
"Orange County, New York",6.20%,6.2
"Orange County, North Carolina",3.70%,3.7
"Orange County, Texas",9.50%,9.5
"Orange County, Vermont",6%,6
"Orange County, Virginia",8.30%,8.3
"Orangeburg County, South Carolina",8.60%,8.6
"Oregon County, Missouri",16%,16
"Orleans County, New York",9.10%,9.1
"Orleans County, Vermont",8.80%,8.8
"Orleans Parish, Louisiana",7.80%,7.8
"Orocovis Municipio, Puerto Rico",11.70%,11.7
"Osage County, Kansas",9.10%,9.1
"Osage County, Missouri",6.40%,6.4
"Osage County, Oklahoma",11.50%,11.5
"Osborne County, Kansas",8.20%,8.2
"Osceola County, Florida",7.10%,7.1
"Osceola County, Iowa",5.70%,5.7
"Osceola County, Michigan",10.30%,10.3
"Oscoda County, Michigan",11.80%,11.8
"Oswego County, New York",7.10%,7.1
"Otero County, Colorado",9.50%,9.5
"Otero County, New Mexico",10.80%,10.8
"Otoe County, Nebraska",7.60%,7.6
"Otsego County, Michigan",8%,8
"Otsego County, New York",7.30%,7.3
"Ottawa County, Kansas",6.60%,6.6
"Ottawa County, Michigan",4.50%,4.5
"Ottawa County, Ohio",8.80%,8.8
"Ottawa County, Oklahoma",10.40%,10.4
"Otter Tail County, Minnesota",6.40%,6.4
"Ouachita County, Arkansas",16.20%,16.2
"Ouachita Parish, Louisiana",8%,8
"Ouray County, Colorado",7.10%,7.1
"Outagamie County, Wisconsin",4.60%,4.6
"Overton County, Tennessee",10.80%,10.8
"Owen County, Indiana",11.30%,11.3
"Owen County, Kentucky",9.40%,9.4
"Owsley County, Kentucky",18.70%,18.7
"Owyhee County, Idaho",8.70%,8.7
"Oxford County, Maine",8.60%,8.6
"Ozark County, Missouri",16.50%,16.5
"Ozaukee County, Wisconsin",5%,5
"Pacific County, Washington",14.20%,14.2
"Page County, Iowa",8.50%,8.5
"Page County, Virginia",11.60%,11.6
"Palm Beach County, Florida",6.80%,6.8
"Palo Alto County, Iowa",6.80%,6.8
"Palo Pinto County, Texas",7.10%,7.1
"Pamlico County, North Carolina",12.20%,12.2
"Panola County, Mississippi",12.30%,12.3
"Panola County, Texas",8.30%,8.3
"Park County, Colorado",5.80%,5.8
"Park County, Montana",4.90%,4.9
"Park County, Wyoming",5.40%,5.4
"Parke County, Indiana",9.40%,9.4
"Parker County, Texas",6.60%,6.6
"Parmer County, Texas",6.60%,6.6
"Pasco County, Florida",9.20%,9.2
"Pasquotank County, North Carolina",8.50%,8.5
"Passaic County, New Jersey",5.10%,5.1
"Patillas Municipio, Puerto Rico",6.60%,6.6
"Patrick County, Virginia",11.30%,11.3
"Paulding County, Georgia",5.90%,5.9
"Paulding County, Ohio",8.70%,8.7
"Pawnee County, Kansas",14.50%,14.5
"Pawnee County, Nebraska",8.20%,8.2
"Pawnee County, Oklahoma",10%,10
"Payette County, Idaho",6.90%,6.9
"Payne County, Oklahoma",5.90%,5.9
"Peach County, Georgia",9.10%,9.1
"Pearl River County, Mississippi",11.40%,11.4
"Pecos County, Texas",4.30%,4.3
"Pembina County, North Dakota",5.70%,5.7
"Pemiscot County, Missouri",14.70%,14.7
"Pend Oreille County, Washington",11.10%,11.1
"Pender County, North Carolina",8%,8
"Pendleton County, Kentucky",8.10%,8.1
"Pendleton County, West Virginia",11.30%,11.3
"Pennington County, Minnesota",7.10%,7.1
"Pennington County, South Dakota",7.20%,7.2
"Penobscot County, Maine",8.10%,8.1
"Peñuelas Municipio, Puerto Rico",11.20%,11.2
"Peoria County, Illinois",7%,7
"Pepin County, Wisconsin",6%,6
"Perkins County, Nebraska",6.70%,6.7
"Perkins County, South Dakota",5.90%,5.9
"Perquimans County, North Carolina",10.50%,10.5
"Perry County, Alabama",17.60%,17.6
"Perry County, Arkansas",12.70%,12.7
"Perry County, Illinois",10.90%,10.9
"Perry County, Indiana",9.10%,9.1
"Perry County, Kentucky",17.90%,17.9
"Perry County, Mississippi",19.60%,19.6
"Perry County, Missouri",7.30%,7.3
"Perry County, Ohio",9.20%,9.2
"Perry County, Pennsylvania",7%,7
"Perry County, Tennessee",10.20%,10.2
"Pershing County, Nevada",9.40%,9.4
"Person County, North Carolina",10.20%,10.2
"Petersburg Borough, Alaska",10.40%,10.4
"Petersburg city, Virginia",13.80%,13.8
"Petroleum County, Montana",1.60%,1.6
"Pettis County, Missouri",9.10%,9.1
"Phelps County, Missouri",7.90%,7.9
"Phelps County, Nebraska",8.40%,8.4
"Philadelphia County, Pennsylvania",9.40%,9.4
"Phillips County, Arkansas",14.30%,14.3
"Phillips County, Colorado",7.90%,7.9
"Phillips County, Kansas",9.40%,9.4
"Phillips County, Montana",9.90%,9.9
"Piatt County, Illinois",6.80%,6.8
"Pickaway County, Ohio",8.70%,8.7
"Pickens County, Alabama",14.60%,14.6
"Pickens County, Georgia",9.90%,9.9
"Pickens County, South Carolina",8.10%,8.1
"Pickett County, Tennessee",14.50%,14.5
"Pierce County, Georgia",7.50%,7.5
"Pierce County, Nebraska",4.50%,4.5
"Pierce County, North Dakota",3.50%,3.5
"Pierce County, Washington",6.50%,6.5
"Pierce County, Wisconsin",4.70%,4.7
"Pike County, Alabama",8.10%,8.1
"Pike County, Arkansas",11.50%,11.5
"Pike County, Georgia",5.60%,5.6
"Pike County, Illinois",9.70%,9.7
"Pike County, Indiana",9.70%,9.7
"Pike County, Kentucky",17.80%,17.8
"Pike County, Mississippi",9.70%,9.7
"Pike County, Missouri",8.70%,8.7
"Pike County, Ohio",14.60%,14.6
"Pike County, Pennsylvania",9.10%,9.1
"Pima County, Arizona",7.60%,7.6
"Pinal County, Arizona",8.40%,8.4
"Pine County, Minnesota",8.70%,8.7
"Pinellas County, Florida",8.60%,8.6
"Pipestone County, Minnesota",6.70%,6.7
"Piscataquis County, Maine",9.70%,9.7
"Pitkin County, Colorado",2.10%,2.1
"Pitt County, North Carolina",7.60%,7.6
"Pittsburg County, Oklahoma",13.50%,13.5
"Pittsylvania County, Virginia",12%,12
"Piute County, Utah",12.20%,12.2
"Placer County, California",5.40%,5.4
"Plaquemines Parish, Louisiana",7.90%,7.9
"Platte County, Missouri",5.70%,5.7
"Platte County, Nebraska",5.20%,5.2
"Platte County, Wyoming",8.70%,8.7
"Pleasants County, West Virginia",10.50%,10.5
"Plumas County, California",11.70%,11.7
"Plymouth County, Iowa",6%,6
"Plymouth County, Massachusetts",5.20%,5.2
"Pocahontas County, Iowa",7.90%,7.9
"Pocahontas County, West Virginia",16.60%,16.6
"Poinsett County, Arkansas",14%,14
"Pointe Coupee Parish, Louisiana",13.90%,13.9
"Polk County, Arkansas",12.70%,12.7
"Polk County, Florida",8%,8
"Polk County, Georgia",9.20%,9.2
"Polk County, Iowa",4.90%,4.9
"Polk County, Minnesota",7.10%,7.1
"Polk County, Missouri",9.20%,9.2
"Polk County, Nebraska",6.20%,6.2
"Polk County, North Carolina",9.40%,9.4
"Polk County, Oregon",7.10%,7.1
"Polk County, Tennessee",14.20%,14.2
"Polk County, Texas",12.20%,12.2
"Polk County, Wisconsin",6.90%,6.9
"Ponce Municipio, Puerto Rico",15.60%,15.6
"Pondera County, Montana",7.40%,7.4
"Pontotoc County, Mississippi",11.80%,11.8
"Pontotoc County, Oklahoma",8.60%,8.6
"Pope County, Arkansas",10.60%,10.6
"Pope County, Illinois",12.50%,12.5
"Pope County, Minnesota",6.30%,6.3
"Poquoson city, Virginia",6.10%,6.1
"Portage County, Ohio",6.50%,6.5
"Portage County, Wisconsin",5%,5
"Porter County, Indiana",6%,6
"Portsmouth city, Virginia",8.40%,8.4
"Posey County, Indiana",5.80%,5.8
"Pottawatomie County, Kansas",5.10%,5.1
"Pottawatomie County, Oklahoma",11%,11
"Pottawattamie County, Iowa",8.30%,8.3
"Potter County, Pennsylvania",9.20%,9.2
"Potter County, South Dakota",5.50%,5.5
"Potter County, Texas",7.40%,7.4
"Powder River County, Montana",6.80%,6.8
"Powell County, Kentucky",11.60%,11.6
"Powell County, Montana",11.40%,11.4
"Power County, Idaho",5.60%,5.6
"Poweshiek County, Iowa",6.70%,6.7
"Powhatan County, Virginia",5.30%,5.3
"Prairie County, Arkansas",15.30%,15.3
"Prairie County, Montana",8.90%,8.9
"Pratt County, Kansas",7.20%,7.2
"Preble County, Ohio",8.10%,8.1
"Prentiss County, Mississippi",11.30%,11.3
"Presidio County, Texas",10.10%,10.1
"Presque Isle County, Michigan",9.50%,9.5
"Preston County, West Virginia",9.70%,9.7
"Price County, Wisconsin",8.70%,8.7
"Prince Edward County, Virginia",8.10%,8.1
"Prince George County, Virginia",6.90%,6.9
"Prince George's County, Maryland",5.70%,5.7
"Prince of Wales-Hyder Census Area, Alaska",9.80%,9.8
"Prince William County, Virginia",3.90%,3.9
"Providence County, Rhode Island",7%,7
"Prowers County, Colorado",9.60%,9.6
"Pueblo County, Colorado",10.20%,10.2
"Pulaski County, Arkansas",8.40%,8.4
"Pulaski County, Georgia",10.30%,10.3
"Pulaski County, Illinois",17.20%,17.2
"Pulaski County, Indiana",9.10%,9.1
"Pulaski County, Kentucky",12.40%,12.4
"Pulaski County, Missouri",8.20%,8.2
"Pulaski County, Virginia",11.80%,11.8
"Pushmataha County, Oklahoma",17%,17
"Putnam County, Florida",11.10%,11.1
"Putnam County, Georgia",9.60%,9.6
"Putnam County, Illinois",9.20%,9.2
"Putnam County, Indiana",7.10%,7.1
"Putnam County, Missouri",10.30%,10.3
"Putnam County, New York",5.10%,5.1
"Putnam County, Ohio",5.10%,5.1
"Putnam County, Tennessee",7.20%,7.2
"Putnam County, West Virginia",6.70%,6.7
"Quay County, New Mexico",13.40%,13.4
"Quebradillas Municipio, Puerto Rico",12.80%,12.8
"Queen Anne's County, Maryland",5.10%,5.1
"Queens County, New York",6.30%,6.3
"Quitman County, Georgia",15%,15
"Quitman County, Mississippi",10.90%,10.9
"Rabun County, Georgia",13%,13
"Racine County, Wisconsin",5.70%,5.7
"Radford city, Virginia",5.20%,5.2
"Rains County, Texas",10.80%,10.8
"Raleigh County, West Virginia",16%,16
"Ralls County, Missouri",10%,10
"Ramsey County, Minnesota",5.30%,5.3
"Ramsey County, North Dakota",6.90%,6.9
"Randall County, Texas",5.40%,5.4
"Randolph County, Alabama",12%,12
"Randolph County, Arkansas",13%,13
"Randolph County, Georgia",10.20%,10.2
"Randolph County, Illinois",9.90%,9.9
"Randolph County, Indiana",12.60%,12.6
"Randolph County, Missouri",10.30%,10.3
"Randolph County, North Carolina",9%,9
"Randolph County, West Virginia",9.50%,9.5
"Rankin County, Mississippi",7.50%,7.5
"Ransom County, North Dakota",7.60%,7.6
"Rapides Parish, Louisiana",10.60%,10.6
"Rappahannock County, Virginia",5.10%,5.1
"Ravalli County, Montana",8.60%,8.6
"Rawlins County, Kansas",9%,9
"Ray County, Missouri",8.10%,8.1
"Reagan County, Texas",1.10%,1.1
"Real County, Texas",19.70%,19.7
"Red Lake County, Minnesota",7.60%,7.6
"Red River County, Texas",10.60%,10.6
"Red River Parish, Louisiana",10.80%,10.8
"Red Willow County, Nebraska",7.40%,7.4
"Redwood County, Minnesota",6%,6
"Reeves County, Texas",5.20%,5.2
"Refugio County, Texas",17.60%,17.6
"Reno County, Kansas",8.40%,8.4
"Rensselaer County, New York",7.70%,7.7
"Renville County, Minnesota",6.30%,6.3
"Renville County, North Dakota",5.30%,5.3
"Republic County, Kansas",9.80%,9.8
"Reynolds County, Missouri",19.40%,19.4
"Rhea County, Tennessee",11.50%,11.5
"Rice County, Kansas",8.70%,8.7
"Rice County, Minnesota",4.30%,4.3
"Rich County, Utah",4.70%,4.7
"Richardson County, Nebraska",9.40%,9.4
"Richland County, Illinois",8.40%,8.4
"Richland County, Montana",7.10%,7.1
"Richland County, North Dakota",6.70%,6.7
"Richland County, Ohio",8.20%,8.2
"Richland County, South Carolina",6.80%,6.8
"Richland County, Wisconsin",7.20%,7.2
"Richland Parish, Louisiana",9.90%,9.9
"Richmond city, Virginia",7.30%,7.3
"Richmond County, Georgia",10.80%,10.8
"Richmond County, New York",6.50%,6.5
"Richmond County, North Carolina",9.60%,9.6
"Richmond County, Virginia",9.10%,9.1
"Riley County, Kansas",4%,4
"Rincón Municipio, Puerto Rico",17.10%,17.1
"Ringgold County, Iowa",8.70%,8.7
"Rio Arriba County, New Mexico",8.60%,8.6
"Rio Blanco County, Colorado",6.80%,6.8
"Rio Grande County, Colorado",7.20%,7.2
"Río Grande Municipio, Puerto Rico",14.80%,14.8
"Ripley County, Indiana",6.70%,6.7
"Ripley County, Missouri",14.50%,14.5
"Ritchie County, West Virginia",14.90%,14.9
"Riverside County, California",6.30%,6.3
"Roane County, Tennessee",11.40%,11.4
"Roane County, West Virginia",12.50%,12.5
"Roanoke city, Virginia",7.30%,7.3
"Roanoke County, Virginia",5.40%,5.4
"Roberts County, South Dakota",6%,6
"Roberts County, Texas",5.20%,5.2
"Robertson County, Kentucky",9.40%,9.4
"Robertson County, Tennessee",7.20%,7.2
"Robertson County, Texas",9.40%,9.4
"Robeson County, North Carolina",11.20%,11.2
"Rock County, Minnesota",5.70%,5.7
"Rock County, Nebraska",5.10%,5.1
"Rock County, Wisconsin",6.60%,6.6
"Rock Island County, Illinois",7.10%,7.1
"Rockbridge County, Virginia",7.70%,7.7
"Rockcastle County, Kentucky",13.60%,13.6
"Rockdale County, Georgia",6.40%,6.4
"Rockingham County, New Hampshire",5.20%,5.2
"Rockingham County, North Carolina",10.30%,10.3
"Rockingham County, Virginia",6.30%,6.3
"Rockland County, New York",4.60%,4.6
"Rockwall County, Texas",3.80%,3.8
"Roger Mills County, Oklahoma",10.70%,10.7
"Rogers County, Oklahoma",8.90%,8.9
"Rolette County, North Dakota",9.10%,9.1
"Rooks County, Kansas",11.70%,11.7
"Roosevelt County, Montana",8.80%,8.8
"Roosevelt County, New Mexico",8.50%,8.5
"Roscommon County, Michigan",14.20%,14.2
"Roseau County, Minnesota",5.10%,5.1
"Rosebud County, Montana",8.50%,8.5
"Ross County, Ohio",9.80%,9.8
"Routt County, Colorado",2.10%,2.1
"Rowan County, Kentucky",9.20%,9.2
"Rowan County, North Carolina",9%,9
"Runnels County, Texas",11%,11
"Rush County, Indiana",9.20%,9.2
"Rush County, Kansas",7.60%,7.6
"Rusk County, Texas",8.60%,8.6
"Rusk County, Wisconsin",8.30%,8.3
"Russell County, Alabama",12.10%,12.1
"Russell County, Kansas",10.80%,10.8
"Russell County, Kentucky",12.90%,12.9
"Russell County, Virginia",17.80%,17.8
"Rutherford County, North Carolina",11.90%,11.9
"Rutherford County, Tennessee",5.40%,5.4
"Rutland County, Vermont",7.30%,7.3
"Sabana Grande Municipio, Puerto Rico",18.10%,18.1
"Sabine County, Texas",15.60%,15.6
"Sabine Parish, Louisiana",11.70%,11.7
"Sac County, Iowa",5%,5
"Sacramento County, California",6.50%,6.5
"Sagadahoc County, Maine",6.10%,6.1
"Saginaw County, Michigan",9.80%,9.8
"Saguache County, Colorado",8.20%,8.2
"Salem city, Virginia",5.70%,5.7
"Salem County, New Jersey",8.30%,8.3
"Salinas Municipio, Puerto Rico",7.30%,7.3
"Saline County, Arkansas",8.60%,8.6
"Saline County, Illinois",14.10%,14.1
"Saline County, Kansas",7.30%,7.3
"Saline County, Missouri",9.70%,9.7
"Saline County, Nebraska",6.20%,6.2
"Salt Lake County, Utah",4.30%,4.3
"Saluda County, South Carolina",9.90%,9.9
"Sampson County, North Carolina",8.90%,8.9
"San Augustine County, Texas",11.50%,11.5
"San Benito County, California",5%,5
"San Bernardino County, California",6.10%,6.1
"San Diego County, California",5.40%,5.4
"San Francisco County, California",5.70%,5.7
"San Germán Municipio, Puerto Rico",5.50%,5.5
"San Jacinto County, Texas",11.10%,11.1
"San Joaquin County, California",6.60%,6.6
"San Juan County, Colorado",4.90%,4.9
"San Juan County, New Mexico",7.70%,7.7
"San Juan County, Utah",11.90%,11.9
"San Juan County, Washington",5.20%,5.2
"San Juan Municipio, Puerto Rico",12.80%,12.8
"San Lorenzo Municipio, Puerto Rico",4.90%,4.9
"San Luis Obispo County, California",5.80%,5.8
"San Mateo County, California",4.40%,4.4
"San Miguel County, Colorado",1.70%,1.7
"San Miguel County, New Mexico",12.20%,12.2
"San Patricio County, Texas",11.90%,11.9
"San Saba County, Texas",7.90%,7.9
"San Sebastián Municipio, Puerto Rico",16.60%,16.6
"Sanborn County, South Dakota",6%,6
"Sanders County, Montana",9.50%,9.5
"Sandoval County, New Mexico",7%,7
"Sandusky County, Ohio",8.30%,8.3
"Sangamon County, Illinois",7.20%,7.2
"Sanilac County, Michigan",9.70%,9.7
"Sanpete County, Utah",5.80%,5.8
"Santa Barbara County, California",5.30%,5.3
"Santa Clara County, California",4.50%,4.5
"Santa Cruz County, Arizona",5.60%,5.6
"Santa Cruz County, California",4.90%,4.9
"Santa Fe County, New Mexico",6.80%,6.8
"Santa Isabel Municipio, Puerto Rico",6.70%,6.7
"Santa Rosa County, Florida",7.90%,7.9
"Sarasota County, Florida",7.90%,7.9
"Saratoga County, New York",5.20%,5.2
"Sargent County, North Dakota",6.40%,6.4
"Sarpy County, Nebraska",4.80%,4.8
"Sauk County, Wisconsin",6.40%,6.4
"Saunders County, Nebraska",5.10%,5.1
"Sawyer County, Wisconsin",7.40%,7.4
"Schenectady County, New York",6.30%,6.3
"Schleicher County, Texas",8.50%,8.5
"Schley County, Georgia",6.90%,6.9
"Schoharie County, New York",8.40%,8.4
"Schoolcraft County, Michigan",10.30%,10.3
"Schuyler County, Illinois",10.70%,10.7
"Schuyler County, Missouri",14%,14
"Schuyler County, New York",7.70%,7.7
"Schuylkill County, Pennsylvania",9.10%,9.1
"Scioto County, Ohio",13.50%,13.5
"Scotland County, Missouri",7%,7
"Scotland County, North Carolina",11.60%,11.6
"Scott County, Arkansas",10.70%,10.7
"Scott County, Illinois",9.50%,9.5
"Scott County, Indiana",12.30%,12.3
"Scott County, Iowa",5.50%,5.5
"Scott County, Kansas",5.50%,5.5
"Scott County, Kentucky",6.50%,6.5
"Scott County, Minnesota",3.30%,3.3
"Scott County, Mississippi",11.90%,11.9
"Scott County, Missouri",9.80%,9.8
"Scott County, Tennessee",14.70%,14.7
