Geographic Area,Unemployment rate—Population 16 years and over—Estimate,Unemploymt
"Millard County, Utah",4.40%,4.4
"Mille Lacs County, Minnesota",4.70%,4.7
"Miller County, Arkansas",7.70%,7.7
"Miller County, Georgia",5%,5
"Miller County, Missouri",4.60%,4.6
"Mills County, Iowa",4.40%,4.4
"Mills County, Texas",2.30%,2.3
"Milwaukee County, Wisconsin",4.70%,4.7
"Miner County, South Dakota",1.40%,1.4
"Mineral County, Colorado",4.80%,4.8
"Mineral County, Montana",3.60%,3.6
"Mineral County, Nevada",5.80%,5.8
"Mineral County, West Virginia",5.80%,5.8
"Mingo County, West Virginia",11.20%,11.2
"Minidoka County, Idaho",3.30%,3.3
"Minnehaha County, South Dakota",2.40%,2.4
"Missaukee County, Michigan",6.90%,6.9
"Mississippi County, Arkansas",9.80%,9.8
"Mississippi County, Missouri",5.10%,5.1
"Missoula County, Montana",4.50%,4.5
"Mitchell County, Georgia",9.50%,9.5
"Mitchell County, Iowa",0.90%,0.9
"Mitchell County, Kansas",0.70%,0.7
"Mitchell County, North Carolina",6.30%,6.3
"Mitchell County, Texas",1.40%,1.4
"Mobile County, Alabama",5.90%,5.9
"Moca Municipio, Puerto Rico",21.30%,21.3
"Modoc County, California",7.60%,7.6
"Moffat County, Colorado",5.40%,5.4
"Mohave County, Arizona",7.50%,7.5
"Moniteau County, Missouri",3%,3
"Monmouth County, New Jersey",5.40%,5.4
"Mono County, California",1.90%,1.9
"Monona County, Iowa",2.60%,2.6
"Monongalia County, West Virginia",5.70%,5.7
"Monroe County, Alabama",12.20%,12.2
"Monroe County, Arkansas",11%,11
"Monroe County, Florida",3.40%,3.4
"Monroe County, Georgia",3.80%,3.8
"Monroe County, Illinois",1.70%,1.7
"Monroe County, Indiana",5.80%,5.8
"Monroe County, Iowa",3.40%,3.4
"Monroe County, Kentucky",5.40%,5.4
"Monroe County, Michigan",5.70%,5.7
"Monroe County, Mississippi",5.50%,5.5
"Monroe County, Missouri",1.20%,1.2
"Monroe County, New York",5.30%,5.3
"Monroe County, Ohio",5.50%,5.5
"Monroe County, Pennsylvania",6.30%,6.3
"Monroe County, Tennessee",6.60%,6.6
"Monroe County, West Virginia",10.60%,10.6
"Monroe County, Wisconsin",2.70%,2.7
"Montague County, Texas",5.10%,5.1
"Montcalm County, Michigan",4.20%,4.2
"Monterey County, California",5.30%,5.3
"Montezuma County, Colorado",4.40%,4.4
"Montgomery County, Alabama",6.80%,6.8
"Montgomery County, Arkansas",7.30%,7.3
"Montgomery County, Georgia",6.50%,6.5
"Montgomery County, Illinois",5.60%,5.6
"Montgomery County, Indiana",4%,4
"Montgomery County, Iowa",4.50%,4.5
"Montgomery County, Kansas",4.70%,4.7
"Montgomery County, Kentucky",6%,6
"Montgomery County, Maryland",4.80%,4.8
"Montgomery County, Mississippi",7.80%,7.8
"Montgomery County, Missouri",3%,3
"Montgomery County, New York",5.90%,5.9
"Montgomery County, North Carolina",3.10%,3.1
"Montgomery County, Ohio",5.90%,5.9
"Montgomery County, Pennsylvania",4.50%,4.5
"Montgomery County, Tennessee",6.10%,6.1
"Montgomery County, Texas",4.30%,4.3
"Montgomery County, Virginia",3.30%,3.3
"Montmorency County, Michigan",6.20%,6.2
"Montour County, Pennsylvania",2.40%,2.4
"Montrose County, Colorado",4.30%,4.3
"Moody County, South Dakota",1.70%,1.7
"Moore County, North Carolina",4.60%,4.6
"Moore County, Tennessee",4.20%,4.2
"Moore County, Texas",2.50%,2.5
"Mora County, New Mexico",7.40%,7.4
"Morehouse Parish, Louisiana",8.80%,8.8
"Morgan County, Alabama",4.20%,4.2
"Morgan County, Colorado",3.70%,3.7
"Morgan County, Georgia",2.90%,2.9
"Morgan County, Illinois",6.40%,6.4
"Morgan County, Indiana",4%,4
"Morgan County, Kentucky",3.10%,3.1
"Morgan County, Missouri",3.50%,3.5
"Morgan County, Ohio",4.90%,4.9
"Morgan County, Tennessee",8.40%,8.4
"Morgan County, Utah",1.70%,1.7
"Morgan County, West Virginia",5.10%,5.1
"Morovis Municipio, Puerto Rico",15.90%,15.9
"Morrill County, Nebraska",5.50%,5.5
"Morris County, Kansas",2.10%,2.1
"Morris County, New Jersey",5.30%,5.3
"Morris County, Texas",5.90%,5.9
"Morrison County, Minnesota",4.10%,4.1
"Morrow County, Ohio",2.60%,2.6
"Morrow County, Oregon",3.20%,3.2
"Morton County, Kansas",3.30%,3.3
"Morton County, North Dakota",2%,2
"Motley County, Texas",3%,3
"Moultrie County, Illinois",4.10%,4.1
"Mountrail County, North Dakota",3.50%,3.5
"Mower County, Minnesota",3.20%,3.2
"Muhlenberg County, Kentucky",4.90%,4.9
"Multnomah County, Oregon",5.50%,5.5
"Murray County, Georgia",6.70%,6.7
"Murray County, Minnesota",3%,3
"Murray County, Oklahoma",2.10%,2.1
"Muscatine County, Iowa",3.50%,3.5
"Muscogee County, Georgia",7.30%,7.3
"Muskegon County, Michigan",7.50%,7.5
"Muskingum County, Ohio",4.60%,4.6
"Muskogee County, Oklahoma",5.70%,5.7
"Musselshell County, Montana",4.90%,4.9
"Nacogdoches County, Texas",6.60%,6.6
"Naguabo Municipio, Puerto Rico",10%,10
"Nance County, Nebraska",4.40%,4.4
"Nantucket County, Massachusetts",5.50%,5.5
"Napa County, California",5.20%,5.2
"Naranjito Municipio, Puerto Rico",17.50%,17.5
"Nash County, North Carolina",6.40%,6.4
"Nassau County, Florida",4.10%,4.1
"Nassau County, New York",4.60%,4.6
"Natchitoches Parish, Louisiana",8.90%,8.9
"Natrona County, Wyoming",3.50%,3.5
"Naugatuck Valley Planning Region, Connecticut",6.40%,6.4
"Navajo County, Arizona",9.70%,9.7
"Navarro County, Texas",5.60%,5.6
"Nelson County, Kentucky",2.90%,2.9
"Nelson County, North Dakota",1.20%,1.2
"Nelson County, Virginia",3.20%,3.2
"Nemaha County, Kansas",1.70%,1.7
"Nemaha County, Nebraska",6.40%,6.4
"Neosho County, Kansas",4.50%,4.5
"Neshoba County, Mississippi",9.30%,9.3
"Ness County, Kansas",0.60%,0.6
"Nevada County, Arkansas",7.80%,7.8
"Nevada County, California",4.40%,4.4
"New Castle County, Delaware",5.40%,5.4
"New Hanover County, North Carolina",4.80%,4.8
"New Kent County, Virginia",3.10%,3.1
"New Madrid County, Missouri",4%,4
"New York County, New York",6.80%,6.8
"Newaygo County, Michigan",4.70%,4.7
"Newberry County, South Carolina",3.90%,3.9
"Newport County, Rhode Island",6.50%,6.5
"Newport News city, Virginia",5.60%,5.6
"Newton County, Arkansas",3.80%,3.8
"Newton County, Georgia",6.60%,6.6
"Newton County, Indiana",9.60%,9.6
"Newton County, Mississippi",4.30%,4.3
"Newton County, Missouri",4.20%,4.2
"Newton County, Texas",10.60%,10.6
"Nez Perce County, Idaho",3.20%,3.2
"Niagara County, New York",5.80%,5.8
"Nicholas County, Kentucky",5.60%,5.6
"Nicholas County, West Virginia",6.60%,6.6
"Nicollet County, Minnesota",1.90%,1.9
"Niobrara County, Wyoming",5.30%,5.3
"Noble County, Indiana",3.40%,3.4
"Noble County, Ohio",4.50%,4.5
"Noble County, Oklahoma",4%,4
"Nobles County, Minnesota",3%,3
"Nodaway County, Missouri",2.30%,2.3
"Nolan County, Texas",6.60%,6.6
"Nome Census Area, Alaska",16.50%,16.5
"Norfolk city, Virginia",6.70%,6.7
"Norfolk County, Massachusetts",5%,5
"Norman County, Minnesota",5.10%,5.1
"North Slope Borough, Alaska",6.80%,6.8
"Northampton County, North Carolina",7.60%,7.6
"Northampton County, Pennsylvania",4.60%,4.6
"Northampton County, Virginia",4.80%,4.8
"Northeastern Connecticut Planning Region, Connecticut",7.40%,7.4
"Northumberland County, Pennsylvania",4.70%,4.7
"Northumberland County, Virginia",4.90%,4.9
"Northwest Arctic Borough, Alaska",15.50%,15.5
"Northwest Hills Planning Region, Connecticut",5.40%,5.4
"Norton city, Virginia",7.30%,7.3
"Norton County, Kansas",1.40%,1.4
"Nottoway County, Virginia",6.40%,6.4
"Nowata County, Oklahoma",4.30%,4.3
"Noxubee County, Mississippi",9.30%,9.3
"Nuckolls County, Nebraska",1.30%,1.3
"Nueces County, Texas",5.70%,5.7
"Nye County, Nevada",9.30%,9.3
"O'Brien County, Iowa",2.40%,2.4
"Oakland County, Michigan",4.80%,4.8
"Obion County, Tennessee",5%,5
"Ocean County, New Jersey",5.70%,5.7
"Oceana County, Michigan",5%,5
"Ochiltree County, Texas",1.50%,1.5
"Oconee County, Georgia",2.90%,2.9
"Oconee County, South Carolina",5.80%,5.8
"Oconto County, Wisconsin",2%,2
"Ogemaw County, Michigan",7.10%,7.1
"Oglala Lakota County, South Dakota",11.80%,11.8
"Ogle County, Illinois",6%,6
"Oglethorpe County, Georgia",4.50%,4.5
"Ohio County, Indiana",1.80%,1.8
"Ohio County, Kentucky",4.50%,4.5
"Ohio County, West Virginia",5.30%,5.3
"Okaloosa County, Florida",3.30%,3.3
"Okanogan County, Washington",5.80%,5.8
"Okeechobee County, Florida",6.10%,6.1
"Okfuskee County, Oklahoma",3.50%,3.5
"Oklahoma County, Oklahoma",4.60%,4.6
"Okmulgee County, Oklahoma",7.20%,7.2
"Oktibbeha County, Mississippi",6.80%,6.8
"Oldham County, Kentucky",3.90%,3.9
"Oldham County, Texas",1.50%,1.5
"Oliver County, North Dakota",2.90%,2.9
"Olmsted County, Minnesota",3.40%,3.4
"Oneida County, Idaho",0.70%,0.7
"Oneida County, New York",4.40%,4.4
"Oneida County, Wisconsin",2.20%,2.2
"Onondaga County, New York",5.60%,5.6
"Onslow County, North Carolina",6.40%,6.4
"Ontario County, New York",4%,4
"Ontonagon County, Michigan",6.30%,6.3
"Orange County, California",5.40%,5.4
"Orange County, Florida",5.50%,5.5
"Orange County, Indiana",3%,3
"Orange County, New York",5.30%,5.3
"Orange County, North Carolina",3.90%,3.9
"Orange County, Texas",5.80%,5.8
"Orange County, Vermont",3.10%,3.1
"Orange County, Virginia",4.40%,4.4
"Orangeburg County, South Carolina",9.20%,9.2
"Oregon County, Missouri",4.50%,4.5
"Orleans County, New York",6.10%,6.1
"Orleans County, Vermont",6.10%,6.1
"Orleans Parish, Louisiana",8.40%,8.4
"Orocovis Municipio, Puerto Rico",19.60%,19.6
"Osage County, Kansas",3.40%,3.4
"Osage County, Missouri",1%,1
"Osage County, Oklahoma",5.60%,5.6
"Osborne County, Kansas",1.70%,1.7
"Osceola County, Florida",5.30%,5.3
"Osceola County, Iowa",4.50%,4.5
"Osceola County, Michigan",7.70%,7.7
"Oscoda County, Michigan",8.90%,8.9
"Oswego County, New York",7.30%,7.3
"Otero County, Colorado",5.90%,5.9
"Otero County, New Mexico",9.60%,9.6
"Otoe County, Nebraska",3.20%,3.2
"Otsego County, Michigan",4.80%,4.8
"Otsego County, New York",5%,5
"Ottawa County, Kansas",3.30%,3.3
"Ottawa County, Michigan",3.80%,3.8
"Ottawa County, Ohio",3.40%,3.4
"Ottawa County, Oklahoma",3.80%,3.8
"Otter Tail County, Minnesota",5.30%,5.3
"Ouachita County, Arkansas",6.50%,6.5
"Ouachita Parish, Louisiana",6.50%,6.5
"Ouray County, Colorado",4.20%,4.2
"Outagamie County, Wisconsin",3.10%,3.1
"Overton County, Tennessee",3.50%,3.5
"Owen County, Indiana",5.20%,5.2
"Owen County, Kentucky",4.60%,4.6
"Owsley County, Kentucky",14.20%,14.2
"Owyhee County, Idaho",2.20%,2.2
"Oxford County, Maine",5.50%,5.5
"Ozark County, Missouri",6.20%,6.2
"Ozaukee County, Wisconsin",2.60%,2.6
"Pacific County, Washington",4.30%,4.3
"Page County, Iowa",6.60%,6.6
"Page County, Virginia",4.60%,4.6
"Palm Beach County, Florida",5.80%,5.8
"Palo Alto County, Iowa",3.60%,3.6
"Palo Pinto County, Texas",7.30%,7.3
"Pamlico County, North Carolina",4.60%,4.6
"Panola County, Mississippi",9.50%,9.5
"Panola County, Texas",2.90%,2.9
"Park County, Colorado",3.90%,3.9
"Park County, Montana",3.30%,3.3
"Park County, Wyoming",2.70%,2.7
"Parke County, Indiana",5.60%,5.6
"Parker County, Texas",3.90%,3.9
"Parmer County, Texas",2.10%,2.1
"Pasco County, Florida",5.30%,5.3
"Pasquotank County, North Carolina",5.80%,5.8
"Passaic County, New Jersey",7.80%,7.8
"Patillas Municipio, Puerto Rico",13%,13
"Patrick County, Virginia",2.30%,2.3
"Paulding County, Georgia",4.10%,4.1
"Paulding County, Ohio",3.90%,3.9
"Pawnee County, Kansas",1.60%,1.6
"Pawnee County, Nebraska",2.40%,2.4
"Pawnee County, Oklahoma",3.50%,3.5
"Payette County, Idaho",4.40%,4.4
"Payne County, Oklahoma",4.80%,4.8
"Peach County, Georgia",6.60%,6.6
"Pearl River County, Mississippi",5.60%,5.6
"Pecos County, Texas",1.20%,1.2
"Pembina County, North Dakota",4.30%,4.3
"Pemiscot County, Missouri",9.60%,9.6
"Pend Oreille County, Washington",6.10%,6.1
"Pender County, North Carolina",6.40%,6.4
"Pendleton County, Kentucky",5%,5
"Pendleton County, West Virginia",7.30%,7.3
"Pennington County, Minnesota",1.90%,1.9
"Pennington County, South Dakota",3.50%,3.5
"Penobscot County, Maine",4.30%,4.3
"Peñuelas Municipio, Puerto Rico",12.10%,12.1
"Peoria County, Illinois",6.60%,6.6
"Pepin County, Wisconsin",2.20%,2.2
"Perkins County, Nebraska",1.20%,1.2
"Perkins County, South Dakota",4.20%,4.2
"Perquimans County, North Carolina",5%,5
"Perry County, Alabama",15.70%,15.7
"Perry County, Arkansas",4.60%,4.6
"Perry County, Illinois",6.10%,6.1
"Perry County, Indiana",5.10%,5.1
"Perry County, Kentucky",7.50%,7.5
"Perry County, Mississippi",6.30%,6.3
"Perry County, Missouri",5.10%,5.1
"Perry County, Ohio",4.90%,4.9
"Perry County, Pennsylvania",3.40%,3.4
"Perry County, Tennessee",10.90%,10.9
"Pershing County, Nevada",8.50%,8.5
"Person County, North Carolina",3.70%,3.7
"Petersburg Borough, Alaska",4.40%,4.4
"Petersburg city, Virginia",11.30%,11.3
"Petroleum County, Montana",0.80%,0.8
"Pettis County, Missouri",3.90%,3.9
"Phelps County, Missouri",4.20%,4.2
"Phelps County, Nebraska",0.80%,0.8
"Philadelphia County, Pennsylvania",8.60%,8.6
"Phillips County, Arkansas",13.30%,13.3
"Phillips County, Colorado",1.40%,1.4
"Phillips County, Kansas",4%,4
"Phillips County, Montana",3.40%,3.4
"Piatt County, Illinois",4.70%,4.7
"Pickaway County, Ohio",4.10%,4.1
"Pickens County, Alabama",5.30%,5.3
"Pickens County, Georgia",4.50%,4.5
"Pickens County, South Carolina",4.20%,4.2
"Pickett County, Tennessee",4.50%,4.5
"Pierce County, Georgia",2.30%,2.3
"Pierce County, Nebraska",2.40%,2.4
"Pierce County, North Dakota",1%,1
"Pierce County, Washington",5%,5
"Pierce County, Wisconsin",2.90%,2.9
"Pike County, Alabama",4.90%,4.9
"Pike County, Arkansas",3.10%,3.1
"Pike County, Georgia",4.50%,4.5
"Pike County, Illinois",4.70%,4.7
"Pike County, Indiana",3.60%,3.6
"Pike County, Kentucky",7.30%,7.3
"Pike County, Mississippi",7.20%,7.2
"Pike County, Missouri",4.80%,4.8
"Pike County, Ohio",5.20%,5.2
"Pike County, Pennsylvania",8.50%,8.5
"Pima County, Arizona",5.90%,5.9
"Pinal County, Arizona",6.40%,6.4
"Pine County, Minnesota",5.80%,5.8
"Pinellas County, Florida",4.60%,4.6
"Pipestone County, Minnesota",2.90%,2.9
"Piscataquis County, Maine",4.90%,4.9
"Pitkin County, Colorado",2.10%,2.1
"Pitt County, North Carolina",7.50%,7.5
"Pittsburg County, Oklahoma",6.30%,6.3
"Pittsylvania County, Virginia",5.40%,5.4
"Piute County, Utah",9.10%,9.1
"Placer County, California",4.30%,4.3
"Plaquemines Parish, Louisiana",4.40%,4.4
"Platte County, Missouri",3.60%,3.6
"Platte County, Nebraska",1.90%,1.9
"Platte County, Wyoming",4%,4
"Pleasants County, West Virginia",7.20%,7.2
"Plumas County, California",8%,8
"Plymouth County, Iowa",2.10%,2.1
"Plymouth County, Massachusetts",5.20%,5.2
"Pocahontas County, Iowa",6.30%,6.3
"Pocahontas County, West Virginia",8%,8
"Poinsett County, Arkansas",5.10%,5.1
"Pointe Coupee Parish, Louisiana",7.40%,7.4
"Polk County, Arkansas",9%,9
"Polk County, Florida",4.60%,4.6
"Polk County, Georgia",4.80%,4.8
"Polk County, Iowa",4.50%,4.5
"Polk County, Minnesota",3.40%,3.4
"Polk County, Missouri",3.60%,3.6
"Polk County, Nebraska",1.90%,1.9
"Polk County, North Carolina",4.30%,4.3
"Polk County, Oregon",5.30%,5.3
"Polk County, Tennessee",7.80%,7.8
"Polk County, Texas",9.30%,9.3
"Polk County, Wisconsin",4.20%,4.2
"Ponce Municipio, Puerto Rico",12.70%,12.7
"Pondera County, Montana",6.40%,6.4
"Pontotoc County, Mississippi",2.90%,2.9
"Pontotoc County, Oklahoma",4.30%,4.3
"Pope County, Arkansas",4.80%,4.8
"Pope County, Illinois",9.10%,9.1
"Pope County, Minnesota",1%,1
"Poquoson city, Virginia",1.40%,1.4
"Portage County, Ohio",5.60%,5.6
"Portage County, Wisconsin",3.30%,3.3
"Porter County, Indiana",4.20%,4.2
"Portsmouth city, Virginia",6.60%,6.6
"Posey County, Indiana",2.80%,2.8
"Pottawatomie County, Kansas",1.90%,1.9
"Pottawatomie County, Oklahoma",5.80%,5.8
"Pottawattamie County, Iowa",3.60%,3.6
"Potter County, Pennsylvania",4.80%,4.8
"Potter County, South Dakota",2.80%,2.8
"Potter County, Texas",3.70%,3.7
"Powder River County, Montana",1%,1
"Powell County, Kentucky",7.10%,7.1
"Powell County, Montana",4.80%,4.8
"Power County, Idaho",7.50%,7.5
"Poweshiek County, Iowa",4.60%,4.6
"Powhatan County, Virginia",2.60%,2.6
"Prairie County, Arkansas",4.10%,4.1
"Prairie County, Montana",2.90%,2.9
"Pratt County, Kansas",3.60%,3.6
"Preble County, Ohio",3.40%,3.4
"Prentiss County, Mississippi",5%,5
"Presidio County, Texas",12.30%,12.3
"Presque Isle County, Michigan",6.40%,6.4
"Preston County, West Virginia",7.20%,7.2
"Price County, Wisconsin",2.70%,2.7
"Prince Edward County, Virginia",2.40%,2.4
"Prince George County, Virginia",7.50%,7.5
"Prince George's County, Maryland",6.70%,6.7
"Prince of Wales-Hyder Census Area, Alaska",7.50%,7.5
"Prince William County, Virginia",4.70%,4.7
"Providence County, Rhode Island",6.30%,6.3
"Prowers County, Colorado",4.40%,4.4
"Pueblo County, Colorado",5.90%,5.9
"Pulaski County, Arkansas",5.20%,5.2
"Pulaski County, Georgia",3.90%,3.9
"Pulaski County, Illinois",4.20%,4.2
"Pulaski County, Indiana",3.80%,3.8
"Pulaski County, Kentucky",4.90%,4.9
"Pulaski County, Missouri",4.70%,4.7
"Pulaski County, Virginia",3.30%,3.3
"Pushmataha County, Oklahoma",9%,9
"Putnam County, Florida",8.90%,8.9
"Putnam County, Georgia",3.20%,3.2
"Putnam County, Illinois",3.20%,3.2
"Putnam County, Indiana",2.80%,2.8
"Putnam County, Missouri",4%,4
"Putnam County, New York",4.40%,4.4
"Putnam County, Ohio",2.20%,2.2
"Putnam County, Tennessee",4.50%,4.5
"Putnam County, West Virginia",3.80%,3.8
"Quay County, New Mexico",4.80%,4.8
"Quebradillas Municipio, Puerto Rico",5.70%,5.7
"Queen Anne's County, Maryland",3.60%,3.6
"Queens County, New York",7%,7
"Quitman County, Georgia",23.50%,23.5
"Quitman County, Mississippi",12.20%,12.2
"Rabun County, Georgia",2.60%,2.6
"Racine County, Wisconsin",4.40%,4.4
"Radford city, Virginia",7.20%,7.2
"Rains County, Texas",2.30%,2.3
"Raleigh County, West Virginia",7.10%,7.1
"Ralls County, Missouri",5.30%,5.3
"Ramsey County, Minnesota",4.70%,4.7
"Ramsey County, North Dakota",0.80%,0.8
"Randall County, Texas",2.80%,2.8
"Randolph County, Alabama",3.20%,3.2
"Randolph County, Arkansas",7.50%,7.5
"Randolph County, Georgia",7.50%,7.5
"Randolph County, Illinois",5.20%,5.2
"Randolph County, Indiana",5.60%,5.6
"Randolph County, Missouri",5.30%,5.3
"Randolph County, North Carolina",3.90%,3.9
"Randolph County, West Virginia",7.30%,7.3
"Rankin County, Mississippi",4.40%,4.4
"Ransom County, North Dakota",2.90%,2.9
"Rapides Parish, Louisiana",5.70%,5.7
"Rappahannock County, Virginia",6.50%,6.5
"Ravalli County, Montana",4.40%,4.4
"Rawlins County, Kansas",1%,1
"Ray County, Missouri",3.10%,3.1
"Reagan County, Texas",8.70%,8.7
"Real County, Texas",1.60%,1.6
"Red Lake County, Minnesota",1.50%,1.5
"Red River County, Texas",3.80%,3.8
"Red River Parish, Louisiana",3.30%,3.3
"Red Willow County, Nebraska",2.30%,2.3
"Redwood County, Minnesota",1.70%,1.7
"Reeves County, Texas",7%,7
"Refugio County, Texas",5.60%,5.6
"Reno County, Kansas",4.20%,4.2
"Rensselaer County, New York",5.60%,5.6
"Renville County, Minnesota",3.10%,3.1
"Renville County, North Dakota",2.30%,2.3
"Republic County, Kansas",0.60%,0.6
"Reynolds County, Missouri",10%,10
"Rhea County, Tennessee",7.90%,7.9
"Rice County, Kansas",3.60%,3.6
"Rice County, Minnesota",5.30%,5.3
"Rich County, Utah",2.60%,2.6
"Richardson County, Nebraska",4.70%,4.7
"Richland County, Illinois",4.20%,4.2
"Richland County, Montana",4.90%,4.9
"Richland County, North Dakota",2.50%,2.5
"Richland County, Ohio",4.80%,4.8
"Richland County, South Carolina",6.80%,6.8
"Richland County, Wisconsin",2.60%,2.6
"Richland Parish, Louisiana",6.80%,6.8
"Richmond city, Virginia",6.10%,6.1
"Richmond County, Georgia",8.30%,8.3
"Richmond County, New York",5.40%,5.4
"Richmond County, North Carolina",9.60%,9.6
"Richmond County, Virginia",4%,4
"Riley County, Kansas",5.10%,5.1
"Rincón Municipio, Puerto Rico",6.20%,6.2
"Ringgold County, Iowa",1.70%,1.7
"Rio Arriba County, New Mexico",6%,6
"Rio Blanco County, Colorado",6.10%,6.1
"Rio Grande County, Colorado",6%,6
"Río Grande Municipio, Puerto Rico",17.60%,17.6
"Ripley County, Indiana",3.30%,3.3
"Ripley County, Missouri",3.60%,3.6
"Ritchie County, West Virginia",3.60%,3.6
"Riverside County, California",6.70%,6.7
"Roane County, Tennessee",4.90%,4.9
"Roane County, West Virginia",11.70%,11.7
"Roanoke city, Virginia",6.60%,6.6
"Roanoke County, Virginia",2.60%,2.6
"Roberts County, South Dakota",5.20%,5.2
"Roberts County, Texas",0.50%,0.5
"Robertson County, Kentucky",7%,7
"Robertson County, Tennessee",3.80%,3.8
"Robertson County, Texas",8.70%,8.7
"Robeson County, North Carolina",6.40%,6.4
"Rock County, Minnesota",2.80%,2.8
"Rock County, Nebraska",1.20%,1.2
"Rock County, Wisconsin",3.90%,3.9
"Rock Island County, Illinois",6.20%,6.2
"Rockbridge County, Virginia",3.90%,3.9
"Rockcastle County, Kentucky",6.60%,6.6
"Rockdale County, Georgia",6%,6
"Rockingham County, New Hampshire",3.40%,3.4
"Rockingham County, North Carolina",6.50%,6.5
"Rockingham County, Virginia",2.80%,2.8
"Rockland County, New York",6.20%,6.2
"Rockwall County, Texas",3.90%,3.9
"Roger Mills County, Oklahoma",4.70%,4.7
"Rogers County, Oklahoma",4.70%,4.7
"Rolette County, North Dakota",6.40%,6.4
"Rooks County, Kansas",1.80%,1.8
"Roosevelt County, Montana",8.60%,8.6
"Roosevelt County, New Mexico",6.60%,6.6
"Roscommon County, Michigan",5.70%,5.7
"Roseau County, Minnesota",4.30%,4.3
"Rosebud County, Montana",9.20%,9.2
"Ross County, Ohio",5.70%,5.7
"Routt County, Colorado",2.90%,2.9
"Rowan County, Kentucky",4.60%,4.6
"Rowan County, North Carolina",6.30%,6.3
"Runnels County, Texas",3%,3
"Rush County, Indiana",6.30%,6.3
"Rush County, Kansas",4.40%,4.4
"Rusk County, Texas",5.50%,5.5
"Rusk County, Wisconsin",4.70%,4.7
"Russell County, Alabama",6.50%,6.5
"Russell County, Kansas",3.90%,3.9
"Russell County, Kentucky",6.10%,6.1
"Russell County, Virginia",5.90%,5.9
"Rutherford County, North Carolina",6%,6
"Rutherford County, Tennessee",3.90%,3.9
"Rutland County, Vermont",4.30%,4.3
"Sabana Grande Municipio, Puerto Rico",11.50%,11.5
"Sabine County, Texas",8.40%,8.4
"Sabine Parish, Louisiana",7.50%,7.5
"Sac County, Iowa",3.20%,3.2
"Sacramento County, California",6.30%,6.3
"Sagadahoc County, Maine",4.40%,4.4
"Saginaw County, Michigan",6.60%,6.6
"Saguache County, Colorado",10%,10
"Salem city, Virginia",3.50%,3.5
"Salem County, New Jersey",8%,8
"Salinas Municipio, Puerto Rico",6%,6
"Saline County, Arkansas",3.80%,3.8
"Saline County, Illinois",5.90%,5.9
"Saline County, Kansas",3.60%,3.6
"Saline County, Missouri",2.70%,2.7
"Saline County, Nebraska",2.10%,2.1
"Salt Lake County, Utah",3.60%,3.6
"Saluda County, South Carolina",3.30%,3.3
"Sampson County, North Carolina",5.70%,5.7
"San Augustine County, Texas",10.30%,10.3
"San Benito County, California",6.20%,6.2
"San Bernardino County, California",7.20%,7.2
"San Diego County, California",6.30%,6.3
"San Francisco County, California",5.40%,5.4
"San Germán Municipio, Puerto Rico",6.50%,6.5
"San Jacinto County, Texas",7.10%,7.1
"San Joaquin County, California",7.20%,7.2
"San Juan County, Colorado",7.30%,7.3
"San Juan County, New Mexico",8.90%,8.9
"San Juan County, Utah",12.10%,12.1
"San Juan County, Washington",3.20%,3.2
"San Juan Municipio, Puerto Rico",15.70%,15.7
"San Lorenzo Municipio, Puerto Rico",8.30%,8.3
"San Luis Obispo County, California",5%,5
"San Mateo County, California",4.50%,4.5
"San Miguel County, Colorado",3.70%,3.7
"San Miguel County, New Mexico",6.90%,6.9
"San Patricio County, Texas",4.40%,4.4
"San Saba County, Texas",3.80%,3.8
"San Sebastián Municipio, Puerto Rico",14.90%,14.9
"Sanborn County, South Dakota",1.10%,1.1
"Sanders County, Montana",5.20%,5.2
"Sandoval County, New Mexico",5.90%,5.9
"Sandusky County, Ohio",4.80%,4.8
"Sangamon County, Illinois",5.20%,5.2
"Sanilac County, Michigan",6.50%,6.5
"Sanpete County, Utah",4.60%,4.6
"Santa Barbara County, California",6%,6
"Santa Clara County, California",4.40%,4.4
"Santa Cruz County, Arizona",9.80%,9.8
"Santa Cruz County, California",5.90%,5.9
"Santa Fe County, New Mexico",5.40%,5.4
"Santa Isabel Municipio, Puerto Rico",8.60%,8.6
"Santa Rosa County, Florida",4.70%,4.7
"Sarasota County, Florida",3.40%,3.4
"Saratoga County, New York",3.50%,3.5
"Sargent County, North Dakota",1.50%,1.5
"Sarpy County, Nebraska",2.60%,2.6
"Sauk County, Wisconsin",2.80%,2.8
"Saunders County, Nebraska",2.40%,2.4
"Sawyer County, Wisconsin",6.50%,6.5
"Schenectady County, New York",6%,6
"Schleicher County, Texas",6.90%,6.9
"Schley County, Georgia",3.50%,3.5
"Schoharie County, New York",5.30%,5.3
"Schoolcraft County, Michigan",7.90%,7.9
"Schuyler County, Illinois",6.70%,6.7
"Schuyler County, Missouri",2.30%,2.3
"Schuyler County, New York",5.70%,5.7
"Schuylkill County, Pennsylvania",5.30%,5.3
"Scioto County, Ohio",7.50%,7.5
"Scotland County, Missouri",1.20%,1.2
"Scotland County, North Carolina",10.80%,10.8
"Scott County, Arkansas",5.70%,5.7
"Scott County, Illinois",2.90%,2.9
"Scott County, Indiana",4.80%,4.8
"Scott County, Iowa",4%,4
"Scott County, Kansas",2.30%,2.3
"Scott County, Kentucky",3.70%,3.7
"Scott County, Minnesota",3.20%,3.2
