Geographic Area,"Natural resources, construction, and maintenance occupations",Natural rescs
"Millard County, Utah",15.80%,15.8
"Mille Lacs County, Minnesota",13.70%,13.7
"Miller County, Arkansas",10.10%,10.1
"Miller County, Georgia",12%,12
"Miller County, Missouri",13.10%,13.1
"Mills County, Iowa",9.40%,9.4
"Mills County, Texas",18.80%,18.8
"Milwaukee County, Wisconsin",6%,6
"Miner County, South Dakota",10.60%,10.6
"Mineral County, Colorado",13.10%,13.1
"Mineral County, Montana",14%,14
"Mineral County, Nevada",17%,17
"Mineral County, West Virginia",12.30%,12.3
"Mingo County, West Virginia",21%,21
"Minidoka County, Idaho",18.60%,18.6
"Minnehaha County, South Dakota",9.40%,9.4
"Missaukee County, Michigan",17.50%,17.5
"Mississippi County, Arkansas",11.80%,11.8
"Mississippi County, Missouri",14.30%,14.3
"Missoula County, Montana",8.90%,8.9
"Mitchell County, Georgia",14.20%,14.2
"Mitchell County, Iowa",13.50%,13.5
"Mitchell County, Kansas",10.40%,10.4
"Mitchell County, North Carolina",11.90%,11.9
"Mitchell County, Texas",16.80%,16.8
"Mobile County, Alabama",10.70%,10.7
"Moca Municipio, Puerto Rico",11.40%,11.4
"Modoc County, California",12.40%,12.4
"Moffat County, Colorado",19.50%,19.5
"Mohave County, Arizona",9.10%,9.1
"Moniteau County, Missouri",14.10%,14.1
"Monmouth County, New Jersey",6.80%,6.8
"Mono County, California",11.90%,11.9
"Monona County, Iowa",14.90%,14.9
"Monongalia County, West Virginia",6%,6
"Monroe County, Alabama",12.70%,12.7
"Monroe County, Arkansas",8.50%,8.5
"Monroe County, Florida",14.10%,14.1
"Monroe County, Georgia",7.40%,7.4
"Monroe County, Illinois",8.40%,8.4
"Monroe County, Indiana",5.70%,5.7
"Monroe County, Iowa",12%,12
"Monroe County, Kentucky",14.70%,14.7
"Monroe County, Michigan",11.20%,11.2
"Monroe County, Mississippi",10.50%,10.5
"Monroe County, Missouri",13.50%,13.5
"Monroe County, New York",5.30%,5.3
"Monroe County, Ohio",17.30%,17.3
"Monroe County, Pennsylvania",9.20%,9.2
"Monroe County, Tennessee",13.30%,13.3
"Monroe County, West Virginia",16.10%,16.1
"Monroe County, Wisconsin",14.90%,14.9
"Montague County, Texas",17.90%,17.9
"Montcalm County, Michigan",14.40%,14.4
"Monterey County, California",18.60%,18.6
"Montezuma County, Colorado",14.60%,14.6
"Montgomery County, Alabama",5.80%,5.8
"Montgomery County, Arkansas",12.10%,12.1
"Montgomery County, Georgia",15.60%,15.6
"Montgomery County, Illinois",12.60%,12.6
"Montgomery County, Indiana",11.40%,11.4
"Montgomery County, Iowa",11.60%,11.6
"Montgomery County, Kansas",11.60%,11.6
"Montgomery County, Kentucky",7.40%,7.4
"Montgomery County, Maryland",6%,6
"Montgomery County, Mississippi",11.30%,11.3
"Montgomery County, Missouri",15.40%,15.4
"Montgomery County, New York",10.10%,10.1
"Montgomery County, North Carolina",14%,14
"Montgomery County, Ohio",6.60%,6.6
"Montgomery County, Pennsylvania",5.80%,5.8
"Montgomery County, Tennessee",9.50%,9.5
"Montgomery County, Texas",10.20%,10.2
"Montgomery County, Virginia",6%,6
"Montmorency County, Michigan",14.10%,14.1
"Montour County, Pennsylvania",8.40%,8.4
"Montrose County, Colorado",15.10%,15.1
"Moody County, South Dakota",14.20%,14.2
"Moore County, North Carolina",8.70%,8.7
"Moore County, Tennessee",12.90%,12.9
"Moore County, Texas",15.80%,15.8
"Mora County, New Mexico",2%,2
"Morehouse Parish, Louisiana",14.20%,14.2
"Morgan County, Alabama",11.50%,11.5
"Morgan County, Colorado",16.30%,16.3
"Morgan County, Georgia",10.80%,10.8
"Morgan County, Illinois",9%,9
"Morgan County, Indiana",13.50%,13.5
"Morgan County, Kentucky",14%,14
"Morgan County, Missouri",13.10%,13.1
"Morgan County, Ohio",13.10%,13.1
"Morgan County, Tennessee",16.50%,16.5
"Morgan County, Utah",10.90%,10.9
"Morgan County, West Virginia",18.10%,18.1
"Morovis Municipio, Puerto Rico",13.50%,13.5
"Morrill County, Nebraska",17.50%,17.5
"Morris County, Kansas",12.40%,12.4
"Morris County, New Jersey",5.50%,5.5
"Morris County, Texas",8.30%,8.3
"Morrison County, Minnesota",13.70%,13.7
"Morrow County, Ohio",12.70%,12.7
"Morrow County, Oregon",21.30%,21.3
"Morton County, Kansas",19.20%,19.2
"Morton County, North Dakota",10%,10
"Motley County, Texas",23.90%,23.9
"Moultrie County, Illinois",12%,12
"Mountrail County, North Dakota",13.30%,13.3
"Mower County, Minnesota",11.10%,11.1
"Muhlenberg County, Kentucky",9.60%,9.6
"Multnomah County, Oregon",5.70%,5.7
"Murray County, Georgia",9.50%,9.5
"Murray County, Minnesota",13.40%,13.4
"Murray County, Oklahoma",15.10%,15.1
"Muscatine County, Iowa",8.90%,8.9
"Muscogee County, Georgia",7.20%,7.2
"Muskegon County, Michigan",8.30%,8.3
"Muskingum County, Ohio",11.30%,11.3
"Muskogee County, Oklahoma",10.50%,10.5
"Musselshell County, Montana",22.50%,22.5
"Nacogdoches County, Texas",12.80%,12.8
"Naguabo Municipio, Puerto Rico",16.70%,16.7
"Nance County, Nebraska",17.60%,17.6
"Nantucket County, Massachusetts",15.80%,15.8
"Napa County, California",10.30%,10.3
"Naranjito Municipio, Puerto Rico",13.10%,13.1
"Nash County, North Carolina",10.20%,10.2
"Nassau County, Florida",12%,12
"Nassau County, New York",6.40%,6.4
"Natchitoches Parish, Louisiana",8.70%,8.7
"Natrona County, Wyoming",11.70%,11.7
"Naugatuck Valley Planning Region, Connecticut",8.10%,8.1
"Navajo County, Arizona",12.60%,12.6
"Navarro County, Texas",12.90%,12.9
"Nelson County, Kentucky",10.40%,10.4
"Nelson County, North Dakota",12.80%,12.8
"Nelson County, Virginia",15.90%,15.9
"Nemaha County, Kansas",8.80%,8.8
"Nemaha County, Nebraska",11.20%,11.2
"Neosho County, Kansas",11.60%,11.6
"Neshoba County, Mississippi",10.30%,10.3
"Ness County, Kansas",18.20%,18.2
"Nevada County, Arkansas",10.80%,10.8
"Nevada County, California",10.20%,10.2
"New Castle County, Delaware",7.70%,7.7
"New Hanover County, North Carolina",8.10%,8.1
"New Kent County, Virginia",13.10%,13.1
"New Madrid County, Missouri",11.20%,11.2
"New York County, New York",1.90%,1.9
"Newaygo County, Michigan",13.10%,13.1
"Newberry County, South Carolina",9.70%,9.7
"Newport County, Rhode Island",7.80%,7.8
"Newport News city, Virginia",9.10%,9.1
"Newton County, Arkansas",15.10%,15.1
"Newton County, Georgia",10.60%,10.6
"Newton County, Indiana",16.10%,16.1
"Newton County, Mississippi",10.90%,10.9
"Newton County, Missouri",11.20%,11.2
"Newton County, Texas",17.50%,17.5
"Nez Perce County, Idaho",10.40%,10.4
"Niagara County, New York",9.40%,9.4
"Nicholas County, Kentucky",12.30%,12.3
"Nicholas County, West Virginia",15.70%,15.7
"Nicollet County, Minnesota",8.10%,8.1
"Niobrara County, Wyoming",23.80%,23.8
"Noble County, Indiana",9.20%,9.2
"Noble County, Ohio",8.70%,8.7
"Noble County, Oklahoma",12.30%,12.3
"Nobles County, Minnesota",10.70%,10.7
"Nodaway County, Missouri",9.80%,9.8
"Nolan County, Texas",15.20%,15.2
"Nome Census Area, Alaska",9.10%,9.1
"Norfolk city, Virginia",8.90%,8.9
"Norfolk County, Massachusetts",5.20%,5.2
"Norman County, Minnesota",15.70%,15.7
"North Slope Borough, Alaska",23.20%,23.2
"Northampton County, North Carolina",11.50%,11.5
"Northampton County, Pennsylvania",8%,8
"Northampton County, Virginia",17.10%,17.1
"Northeastern Connecticut Planning Region, Connecticut",10.30%,10.3
"Northumberland County, Pennsylvania",9.90%,9.9
"Northumberland County, Virginia",13.20%,13.2
"Northwest Arctic Borough, Alaska",18.80%,18.8
"Northwest Hills Planning Region, Connecticut",9.40%,9.4
"Norton city, Virginia",11.40%,11.4
"Norton County, Kansas",12.40%,12.4
"Nottoway County, Virginia",11.90%,11.9
"Nowata County, Oklahoma",13.80%,13.8
"Noxubee County, Mississippi",11.70%,11.7
"Nuckolls County, Nebraska",11%,11
"Nueces County, Texas",13.50%,13.5
"Nye County, Nevada",17.30%,17.3
"O'Brien County, Iowa",13.30%,13.3
"Oakland County, Michigan",5.20%,5.2
"Obion County, Tennessee",9.50%,9.5
"Ocean County, New Jersey",9%,9
"Oceana County, Michigan",15.20%,15.2
"Ochiltree County, Texas",28.20%,28.2
"Oconee County, Georgia",6.50%,6.5
"Oconee County, South Carolina",11.10%,11.1
"Oconto County, Wisconsin",13.90%,13.9
"Ogemaw County, Michigan",10.70%,10.7
"Oglala Lakota County, South Dakota",14%,14
"Ogle County, Illinois",10.50%,10.5
"Oglethorpe County, Georgia",10.40%,10.4
"Ohio County, Indiana",12.60%,12.6
"Ohio County, Kentucky",14.10%,14.1
"Ohio County, West Virginia",7.50%,7.5
"Okaloosa County, Florida",9.10%,9.1
"Okanogan County, Washington",22.40%,22.4
"Okeechobee County, Florida",17%,17
"Okfuskee County, Oklahoma",12.80%,12.8
"Oklahoma County, Oklahoma",9.70%,9.7
"Okmulgee County, Oklahoma",10.60%,10.6
"Oktibbeha County, Mississippi",6.70%,6.7
"Oldham County, Kentucky",6.30%,6.3
"Oldham County, Texas",16.20%,16.2
"Oliver County, North Dakota",14%,14
"Olmsted County, Minnesota",5.90%,5.9
"Oneida County, Idaho",9.90%,9.9
"Oneida County, New York",7.40%,7.4
"Oneida County, Wisconsin",11.30%,11.3
"Onondaga County, New York",6.20%,6.2
"Onslow County, North Carolina",12.10%,12.1
"Ontario County, New York",8.60%,8.6
"Ontonagon County, Michigan",12.50%,12.5
"Orange County, California",6.10%,6.1
"Orange County, Florida",7.50%,7.5
"Orange County, Indiana",11.80%,11.8
"Orange County, New York",9.10%,9.1
"Orange County, North Carolina",5.30%,5.3
"Orange County, Texas",15.50%,15.5
"Orange County, Vermont",13.50%,13.5
"Orange County, Virginia",15.20%,15.2
"Orangeburg County, South Carolina",10.10%,10.1
"Oregon County, Missouri",10.10%,10.1
"Orleans County, New York",15.40%,15.4
"Orleans County, Vermont",12.30%,12.3
"Orleans Parish, Louisiana",5.80%,5.8
"Orocovis Municipio, Puerto Rico",18.20%,18.2
"Osage County, Kansas",14.30%,14.3
"Osage County, Missouri",12.20%,12.2
"Osage County, Oklahoma",11.50%,11.5
"Osborne County, Kansas",11.80%,11.8
"Osceola County, Florida",10.10%,10.1
"Osceola County, Iowa",17.30%,17.3
"Osceola County, Michigan",13.40%,13.4
"Oscoda County, Michigan",13.20%,13.2
"Oswego County, New York",11.70%,11.7
"Otero County, Colorado",14.80%,14.8
"Otero County, New Mexico",15.20%,15.2
"Otoe County, Nebraska",10.50%,10.5
"Otsego County, Michigan",8.90%,8.9
"Otsego County, New York",11%,11
"Ottawa County, Kansas",10.20%,10.2
"Ottawa County, Michigan",7.80%,7.8
"Ottawa County, Ohio",10.90%,10.9
"Ottawa County, Oklahoma",12.30%,12.3
"Otter Tail County, Minnesota",12.60%,12.6
"Ouachita County, Arkansas",10%,10
"Ouachita Parish, Louisiana",8.40%,8.4
"Ouray County, Colorado",14.40%,14.4
"Outagamie County, Wisconsin",9.40%,9.4
"Overton County, Tennessee",14.90%,14.9
"Owen County, Indiana",15.70%,15.7
"Owen County, Kentucky",13.30%,13.3
"Owsley County, Kentucky",15.80%,15.8
"Owyhee County, Idaho",22.90%,22.9
"Oxford County, Maine",13.70%,13.7
"Ozark County, Missouri",15.70%,15.7
"Ozaukee County, Wisconsin",6%,6
"Pacific County, Washington",14.20%,14.2
"Page County, Iowa",8.30%,8.3
"Page County, Virginia",15.60%,15.6
"Palm Beach County, Florida",9%,9
"Palo Alto County, Iowa",14.20%,14.2
"Palo Pinto County, Texas",14.10%,14.1
"Pamlico County, North Carolina",18.70%,18.7
"Panola County, Mississippi",12.70%,12.7
"Panola County, Texas",14.40%,14.4
"Park County, Colorado",13.30%,13.3
"Park County, Montana",16.70%,16.7
"Park County, Wyoming",13.30%,13.3
"Parke County, Indiana",13.80%,13.8
"Parker County, Texas",10.70%,10.7
"Parmer County, Texas",22.50%,22.5
"Pasco County, Florida",9.50%,9.5
"Pasquotank County, North Carolina",10.80%,10.8
"Passaic County, New Jersey",8.10%,8.1
"Patillas Municipio, Puerto Rico",14.70%,14.7
"Patrick County, Virginia",13.20%,13.2
"Paulding County, Georgia",11.50%,11.5
"Paulding County, Ohio",9.40%,9.4
"Pawnee County, Kansas",11.40%,11.4
"Pawnee County, Nebraska",16.10%,16.1
"Pawnee County, Oklahoma",15.20%,15.2
"Payette County, Idaho",15.60%,15.6
"Payne County, Oklahoma",8.60%,8.6
"Peach County, Georgia",11%,11
"Pearl River County, Mississippi",12.60%,12.6
"Pecos County, Texas",22.10%,22.1
"Pembina County, North Dakota",13.20%,13.2
"Pemiscot County, Missouri",13%,13
"Pend Oreille County, Washington",17.30%,17.3
"Pender County, North Carolina",13.20%,13.2
"Pendleton County, Kentucky",14.60%,14.6
"Pendleton County, West Virginia",19.10%,19.1
"Pennington County, Minnesota",7.20%,7.2
"Pennington County, South Dakota",10%,10
"Penobscot County, Maine",10.50%,10.5
"Peñuelas Municipio, Puerto Rico",15%,15
"Peoria County, Illinois",6.50%,6.5
"Pepin County, Wisconsin",13.30%,13.3
"Perkins County, Nebraska",18%,18
"Perkins County, South Dakota",16%,16
"Perquimans County, North Carolina",13.80%,13.8
"Perry County, Alabama",8%,8
"Perry County, Arkansas",20.40%,20.4
"Perry County, Illinois",11%,11
"Perry County, Indiana",12.40%,12.4
"Perry County, Kentucky",12.10%,12.1
"Perry County, Mississippi",13.20%,13.2
"Perry County, Missouri",10.40%,10.4
"Perry County, Ohio",13.50%,13.5
"Perry County, Pennsylvania",15%,15
"Perry County, Tennessee",13.80%,13.8
"Pershing County, Nevada",26%,26
"Person County, North Carolina",12.70%,12.7
"Petersburg Borough, Alaska",13.50%,13.5
"Petersburg city, Virginia",4.90%,4.9
"Petroleum County, Montana",33.80%,33.8
"Pettis County, Missouri",11.10%,11.1
"Phelps County, Missouri",6.10%,6.1
"Phelps County, Nebraska",16.70%,16.7
"Philadelphia County, Pennsylvania",5.20%,5.2
"Phillips County, Arkansas",8.80%,8.8
"Phillips County, Colorado",21.10%,21.1
"Phillips County, Kansas",14.40%,14.4
"Phillips County, Montana",20.90%,20.9
"Piatt County, Illinois",10.80%,10.8
"Pickaway County, Ohio",12.20%,12.2
"Pickens County, Alabama",12.40%,12.4
"Pickens County, Georgia",11.30%,11.3
"Pickens County, South Carolina",10.20%,10.2
"Pickett County, Tennessee",12.10%,12.1
"Pierce County, Georgia",13.80%,13.8
"Pierce County, Nebraska",14.30%,14.3
"Pierce County, North Dakota",12.20%,12.2
"Pierce County, Washington",10.40%,10.4
"Pierce County, Wisconsin",11.50%,11.5
"Pike County, Alabama",7.80%,7.8
"Pike County, Arkansas",12.70%,12.7
"Pike County, Georgia",14.10%,14.1
"Pike County, Illinois",12.30%,12.3
"Pike County, Indiana",13.10%,13.1
"Pike County, Kentucky",10.60%,10.6
"Pike County, Mississippi",8.40%,8.4
"Pike County, Missouri",18.20%,18.2
"Pike County, Ohio",9.70%,9.7
"Pike County, Pennsylvania",10.10%,10.1
"Pima County, Arizona",8.50%,8.5
"Pinal County, Arizona",11.40%,11.4
"Pine County, Minnesota",14.20%,14.2
"Pinellas County, Florida",6.50%,6.5
"Pipestone County, Minnesota",15.30%,15.3
"Piscataquis County, Maine",12.60%,12.6
"Pitkin County, Colorado",8.10%,8.1
"Pitt County, North Carolina",6.70%,6.7
"Pittsburg County, Oklahoma",11.10%,11.1
"Pittsylvania County, Virginia",11.90%,11.9
"Piute County, Utah",27.50%,27.5
"Placer County, California",6.10%,6.1
"Plaquemines Parish, Louisiana",15.10%,15.1
"Platte County, Missouri",6%,6
"Platte County, Nebraska",11.30%,11.3
"Platte County, Wyoming",14.30%,14.3
"Pleasants County, West Virginia",10.40%,10.4
"Plumas County, California",10.40%,10.4
"Plymouth County, Iowa",11.90%,11.9
"Plymouth County, Massachusetts",8.90%,8.9
"Pocahontas County, Iowa",13.40%,13.4
"Pocahontas County, West Virginia",12.30%,12.3
"Poinsett County, Arkansas",11%,11
"Pointe Coupee Parish, Louisiana",12.90%,12.9
"Polk County, Arkansas",14.70%,14.7
"Polk County, Florida",10.80%,10.8
"Polk County, Georgia",12.80%,12.8
"Polk County, Iowa",7.30%,7.3
"Polk County, Minnesota",13.60%,13.6
"Polk County, Missouri",9.40%,9.4
"Polk County, Nebraska",14.10%,14.1
"Polk County, North Carolina",12.70%,12.7
"Polk County, Oregon",9.10%,9.1
"Polk County, Tennessee",17.60%,17.6
"Polk County, Texas",17.30%,17.3
"Polk County, Wisconsin",12.80%,12.8
"Ponce Municipio, Puerto Rico",8.20%,8.2
"Pondera County, Montana",12.10%,12.1
"Pontotoc County, Mississippi",9.70%,9.7
"Pontotoc County, Oklahoma",13%,13
"Pope County, Arkansas",9.60%,9.6
"Pope County, Illinois",10%,10
"Pope County, Minnesota",11.80%,11.8
"Poquoson city, Virginia",6.80%,6.8
"Portage County, Ohio",9%,9
"Portage County, Wisconsin",9.50%,9.5
"Porter County, Indiana",11.80%,11.8
"Portsmouth city, Virginia",10.50%,10.5
"Posey County, Indiana",10.80%,10.8
"Pottawatomie County, Kansas",9.40%,9.4
"Pottawatomie County, Oklahoma",12.60%,12.6
"Pottawattamie County, Iowa",10.40%,10.4
"Potter County, Pennsylvania",13.20%,13.2
"Potter County, South Dakota",16.40%,16.4
"Potter County, Texas",13.30%,13.3
"Powder River County, Montana",24.80%,24.8
"Powell County, Kentucky",10.70%,10.7
"Powell County, Montana",7.30%,7.3
"Power County, Idaho",26.20%,26.2
"Poweshiek County, Iowa",11.10%,11.1
"Powhatan County, Virginia",10.70%,10.7
"Prairie County, Arkansas",10.90%,10.9
"Prairie County, Montana",19.80%,19.8
"Pratt County, Kansas",10.40%,10.4
"Preble County, Ohio",12.30%,12.3
"Prentiss County, Mississippi",9.10%,9.1
"Presidio County, Texas",26.50%,26.5
"Presque Isle County, Michigan",15.90%,15.9
"Preston County, West Virginia",15.70%,15.7
"Price County, Wisconsin",11.10%,11.1
"Prince Edward County, Virginia",5.80%,5.8
"Prince George County, Virginia",11.60%,11.6
"Prince George's County, Maryland",10.60%,10.6
"Prince of Wales-Hyder Census Area, Alaska",13.10%,13.1
"Prince William County, Virginia",8.80%,8.8
"Providence County, Rhode Island",7.10%,7.1
"Prowers County, Colorado",15.30%,15.3
"Pueblo County, Colorado",9.70%,9.7
"Pulaski County, Arkansas",6.40%,6.4
"Pulaski County, Georgia",11.20%,11.2
"Pulaski County, Illinois",12.50%,12.5
"Pulaski County, Indiana",11%,11
"Pulaski County, Kentucky",9.80%,9.8
"Pulaski County, Missouri",10.70%,10.7
"Pulaski County, Virginia",10.10%,10.1
"Pushmataha County, Oklahoma",15.20%,15.2
"Putnam County, Florida",17.60%,17.6
"Putnam County, Georgia",11%,11
"Putnam County, Illinois",15.10%,15.1
"Putnam County, Indiana",10.90%,10.9
"Putnam County, Missouri",12.10%,12.1
"Putnam County, New York",8.80%,8.8
"Putnam County, Ohio",10.20%,10.2
"Putnam County, Tennessee",8.40%,8.4
"Putnam County, West Virginia",11.10%,11.1
"Quay County, New Mexico",6.90%,6.9
"Quebradillas Municipio, Puerto Rico",18.40%,18.4
"Queen Anne's County, Maryland",10.70%,10.7
"Queens County, New York",8.30%,8.3
"Quitman County, Georgia",6.70%,6.7
"Quitman County, Mississippi",10.40%,10.4
"Rabun County, Georgia",13.40%,13.4
"Racine County, Wisconsin",9.90%,9.9
"Radford city, Virginia",4%,4
"Rains County, Texas",12.50%,12.5
"Raleigh County, West Virginia",11%,11
"Ralls County, Missouri",11%,11
"Ramsey County, Minnesota",5.50%,5.5
"Ramsey County, North Dakota",12.70%,12.7
"Randall County, Texas",9.30%,9.3
"Randolph County, Alabama",9.10%,9.1
"Randolph County, Arkansas",14.40%,14.4
"Randolph County, Georgia",10.20%,10.2
"Randolph County, Illinois",11.50%,11.5
"Randolph County, Indiana",11.20%,11.2
"Randolph County, Missouri",6.40%,6.4
"Randolph County, North Carolina",9.70%,9.7
"Randolph County, West Virginia",13.40%,13.4
"Rankin County, Mississippi",10.40%,10.4
"Ransom County, North Dakota",12.50%,12.5
"Rapides Parish, Louisiana",10.70%,10.7
"Rappahannock County, Virginia",14.40%,14.4
"Ravalli County, Montana",13.70%,13.7
"Rawlins County, Kansas",16.60%,16.6
"Ray County, Missouri",12%,12
"Reagan County, Texas",24.20%,24.2
"Real County, Texas",11.50%,11.5
"Red Lake County, Minnesota",13.20%,13.2
"Red River County, Texas",18.70%,18.7
"Red River Parish, Louisiana",18.60%,18.6
"Red Willow County, Nebraska",11.10%,11.1
"Redwood County, Minnesota",16.20%,16.2
"Reeves County, Texas",29%,29
"Refugio County, Texas",14.40%,14.4
"Reno County, Kansas",9.70%,9.7
"Rensselaer County, New York",8.10%,8.1
"Renville County, Minnesota",13.10%,13.1
"Renville County, North Dakota",19.20%,19.2
"Republic County, Kansas",11.80%,11.8
"Reynolds County, Missouri",16.10%,16.1
"Rhea County, Tennessee",12.20%,12.2
"Rice County, Kansas",11%,11
"Rice County, Minnesota",11.20%,11.2
"Rich County, Utah",16.40%,16.4
"Richardson County, Nebraska",19.20%,19.2
"Richland County, Illinois",8.30%,8.3
"Richland County, Montana",19%,19
"Richland County, North Dakota",12.10%,12.1
"Richland County, Ohio",8.40%,8.4
"Richland County, South Carolina",5.70%,5.7
"Richland County, Wisconsin",11.20%,11.2
"Richland Parish, Louisiana",18%,18
"Richmond city, Virginia",5.70%,5.7
"Richmond County, Georgia",7.40%,7.4
"Richmond County, New York",8%,8
"Richmond County, North Carolina",13.20%,13.2
"Richmond County, Virginia",13.90%,13.9
"Riley County, Kansas",7%,7
"Rincón Municipio, Puerto Rico",7.70%,7.7
"Ringgold County, Iowa",14.90%,14.9
"Rio Arriba County, New Mexico",12.30%,12.3
"Rio Blanco County, Colorado",16.50%,16.5
"Rio Grande County, Colorado",16.10%,16.1
"Río Grande Municipio, Puerto Rico",9.30%,9.3
"Ripley County, Indiana",13.10%,13.1
"Ripley County, Missouri",11.90%,11.9
"Ritchie County, West Virginia",15.50%,15.5
"Riverside County, California",11.20%,11.2
"Roane County, Tennessee",10%,10
"Roane County, West Virginia",13.60%,13.6
"Roanoke city, Virginia",7.20%,7.2
"Roanoke County, Virginia",5.70%,5.7
"Roberts County, South Dakota",12.10%,12.1
"Roberts County, Texas",10.80%,10.8
"Robertson County, Kentucky",15.30%,15.3
"Robertson County, Tennessee",13.20%,13.2
"Robertson County, Texas",14.20%,14.2
"Robeson County, North Carolina",14.90%,14.9
"Rock County, Minnesota",8.60%,8.6
"Rock County, Nebraska",19.60%,19.6
"Rock County, Wisconsin",10.60%,10.6
"Rock Island County, Illinois",8%,8
"Rockbridge County, Virginia",11.20%,11.2
"Rockcastle County, Kentucky",11.80%,11.8
"Rockdale County, Georgia",8.40%,8.4
"Rockingham County, New Hampshire",8.70%,8.7
"Rockingham County, North Carolina",12.90%,12.9
"Rockingham County, Virginia",10.80%,10.8
"Rockland County, New York",6%,6
"Rockwall County, Texas",6%,6
"Roger Mills County, Oklahoma",16%,16
"Rogers County, Oklahoma",12.20%,12.2
"Rolette County, North Dakota",9.40%,9.4
"Rooks County, Kansas",16.90%,16.9
"Roosevelt County, Montana",11.80%,11.8
"Roosevelt County, New Mexico",14.30%,14.3
"Roscommon County, Michigan",10.70%,10.7
"Roseau County, Minnesota",9.40%,9.4
"Rosebud County, Montana",19.60%,19.6
"Ross County, Ohio",10.90%,10.9
"Routt County, Colorado",12.50%,12.5
"Rowan County, Kentucky",6.60%,6.6
"Rowan County, North Carolina",13.10%,13.1
"Runnels County, Texas",14.70%,14.7
"Rush County, Indiana",11.20%,11.2
"Rush County, Kansas",15.10%,15.1
"Rusk County, Texas",13.90%,13.9
"Rusk County, Wisconsin",15.40%,15.4
"Russell County, Alabama",10.70%,10.7
"Russell County, Kansas",6.10%,6.1
"Russell County, Kentucky",11.60%,11.6
"Russell County, Virginia",13.80%,13.8
"Rutherford County, North Carolina",11.50%,11.5
"Rutherford County, Tennessee",8.50%,8.5
"Rutland County, Vermont",11.90%,11.9
"Sabana Grande Municipio, Puerto Rico",8.30%,8.3
"Sabine County, Texas",14.20%,14.2
"Sabine Parish, Louisiana",18.50%,18.5
"Sac County, Iowa",12.30%,12.3
"Sacramento County, California",7.60%,7.6
"Sagadahoc County, Maine",11.90%,11.9
"Saginaw County, Michigan",7.50%,7.5
"Saguache County, Colorado",19.90%,19.9
"Salem city, Virginia",6.90%,6.9
"Salem County, New Jersey",9.70%,9.7
"Salinas Municipio, Puerto Rico",16.20%,16.2
"Saline County, Arkansas",9.80%,9.8
"Saline County, Illinois",12.60%,12.6
"Saline County, Kansas",8.50%,8.5
"Saline County, Missouri",8.40%,8.4
"Saline County, Nebraska",14.10%,14.1
"Salt Lake County, Utah",8.50%,8.5
"Saluda County, South Carolina",13.20%,13.2
"Sampson County, North Carolina",17.40%,17.4
"San Augustine County, Texas",13.80%,13.8
"San Benito County, California",15.70%,15.7
"San Bernardino County, California",10.10%,10.1
"San Diego County, California",7.20%,7.2
"San Francisco County, California",2.80%,2.8
"San Germán Municipio, Puerto Rico",11.10%,11.1
"San Jacinto County, Texas",14.60%,14.6
"San Joaquin County, California",13.80%,13.8
"San Juan County, Colorado",10%,10
"San Juan County, New Mexico",14.80%,14.8
"San Juan County, Utah",16.30%,16.3
"San Juan County, Washington",14.30%,14.3
"San Juan Municipio, Puerto Rico",7%,7
"San Lorenzo Municipio, Puerto Rico",12.70%,12.7
"San Luis Obispo County, California",9.70%,9.7
"San Mateo County, California",5.90%,5.9
"San Miguel County, Colorado",9.60%,9.6
"San Miguel County, New Mexico",10.30%,10.3
"San Patricio County, Texas",12.40%,12.4
"San Saba County, Texas",12.50%,12.5
"San Sebastián Municipio, Puerto Rico",17.40%,17.4
"Sanborn County, South Dakota",14.50%,14.5
"Sanders County, Montana",13.20%,13.2
"Sandoval County, New Mexico",9.90%,9.9
"Sandusky County, Ohio",9.40%,9.4
"Sangamon County, Illinois",6.20%,6.2
"Sanilac County, Michigan",15.60%,15.6
"Sanpete County, Utah",13.20%,13.2
"Santa Barbara County, California",13.30%,13.3
"Santa Clara County, California",5.60%,5.6
"Santa Cruz County, Arizona",9.90%,9.9
"Santa Cruz County, California",9.70%,9.7
"Santa Fe County, New Mexico",9.50%,9.5
"Santa Isabel Municipio, Puerto Rico",14.30%,14.3
"Santa Rosa County, Florida",11.10%,11.1
"Sarasota County, Florida",8.70%,8.7
"Saratoga County, New York",6.60%,6.6
"Sargent County, North Dakota",11.60%,11.6
"Sarpy County, Nebraska",8.70%,8.7
"Sauk County, Wisconsin",10.80%,10.8
"Saunders County, Nebraska",11.80%,11.8
"Sawyer County, Wisconsin",10.30%,10.3
"Schenectady County, New York",7.40%,7.4
"Schleicher County, Texas",21.50%,21.5
"Schley County, Georgia",13.80%,13.8
"Schoharie County, New York",14.20%,14.2
"Schoolcraft County, Michigan",11.40%,11.4
"Schuyler County, Illinois",9.90%,9.9
"Schuyler County, Missouri",15.60%,15.6
"Schuyler County, New York",8.90%,8.9
"Schuylkill County, Pennsylvania",11.60%,11.6
"Scioto County, Ohio",9.20%,9.2
"Scotland County, Missouri",18%,18
"Scotland County, North Carolina",8.90%,8.9
"Scott County, Arkansas",12.10%,12.1
"Scott County, Illinois",12.60%,12.6
"Scott County, Indiana",8.80%,8.8
"Scott County, Iowa",8.60%,8.6
"Scott County, Kansas",15.30%,15.3
"Scott County, Kentucky",7.20%,7.2
"Scott County, Minnesota",7.40%,7.4
"Scott County, Mississippi",14.10%,14.1
