Geographic Area,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,Over 65 yrs
"Millard County, Utah",17.30%,17.3
"Mille Lacs County, Minnesota",18.20%,18.2
"Miller County, Arkansas",16.60%,16.6
"Miller County, Georgia",21.40%,21.4
"Miller County, Missouri",19.20%,19.2
"Mills County, Iowa",19.60%,19.6
"Mills County, Texas",28.10%,28.1
"Milwaukee County, Wisconsin",14.10%,14.1
"Miner County, South Dakota",24.20%,24.2
"Mineral County, Colorado",27.10%,27.1
"Mineral County, Montana",27.90%,27.9
"Mineral County, Nevada",28.80%,28.8
"Mineral County, West Virginia",22.20%,22.2
"Mingo County, West Virginia",20.70%,20.7
"Minidoka County, Idaho",15.80%,15.8
"Minnehaha County, South Dakota",13.50%,13.5
"Missaukee County, Michigan",20.90%,20.9
"Mississippi County, Arkansas",15%,15
"Mississippi County, Missouri",18.40%,18.4
"Missoula County, Montana",16.40%,16.4
"Mitchell County, Georgia",17.70%,17.7
"Mitchell County, Iowa",21.30%,21.3
"Mitchell County, Kansas",22.70%,22.7
"Mitchell County, North Carolina",25.10%,25.1
"Mitchell County, Texas",14.30%,14.3
"Mobile County, Alabama",16.70%,16.7
"Moca Municipio, Puerto Rico",19.40%,19.4
"Modoc County, California",29.70%,29.7
"Moffat County, Colorado",15.20%,15.2
"Mohave County, Arizona",31.30%,31.3
"Moniteau County, Missouri",16.20%,16.2
"Monmouth County, New Jersey",18.30%,18.3
"Mono County, California",15.70%,15.7
"Monona County, Iowa",24.10%,24.1
"Monongalia County, West Virginia",12.90%,12.9
"Monroe County, Alabama",21%,21
"Monroe County, Arkansas",23.50%,23.5
"Monroe County, Florida",23.50%,23.5
"Monroe County, Georgia",18.70%,18.7
"Monroe County, Illinois",18.40%,18.4
"Monroe County, Indiana",13.80%,13.8
"Monroe County, Iowa",19.50%,19.5
"Monroe County, Kentucky",18.50%,18.5
"Monroe County, Michigan",18.90%,18.9
"Monroe County, Mississippi",19.60%,19.6
"Monroe County, Missouri",24.30%,24.3
"Monroe County, New York",17.90%,17.9
"Monroe County, Ohio",23.20%,23.2
"Monroe County, Pennsylvania",18.30%,18.3
"Monroe County, Tennessee",21.50%,21.5
"Monroe County, West Virginia",24.60%,24.6
"Monroe County, Wisconsin",17.30%,17.3
"Montague County, Texas",21.60%,21.6
"Montcalm County, Michigan",17.40%,17.4
"Monterey County, California",14.30%,14.3
"Montezuma County, Colorado",23.60%,23.6
"Montgomery County, Alabama",15.60%,15.6
"Montgomery County, Arkansas",27%,27
"Montgomery County, Georgia",17.10%,17.1
"Montgomery County, Illinois",20.90%,20.9
"Montgomery County, Indiana",18.30%,18.3
"Montgomery County, Iowa",21.80%,21.8
"Montgomery County, Kansas",19.40%,19.4
"Montgomery County, Kentucky",16.80%,16.8
"Montgomery County, Maryland",16.20%,16.2
"Montgomery County, Mississippi",22.10%,22.1
"Montgomery County, Missouri",20.30%,20.3
"Montgomery County, New York",18.80%,18.8
"Montgomery County, North Carolina",21.20%,21.2
"Montgomery County, Ohio",18.20%,18.2
"Montgomery County, Pennsylvania",18.20%,18.2
"Montgomery County, Tennessee",9.50%,9.5
"Montgomery County, Texas",13.40%,13.4
"Montgomery County, Virginia",13.20%,13.2
"Montmorency County, Michigan",31.90%,31.9
"Montour County, Pennsylvania",21%,21
"Montrose County, Colorado",24.90%,24.9
"Moody County, South Dakota",19.50%,19.5
"Moore County, North Carolina",24.10%,24.1
"Moore County, Tennessee",21.20%,21.2
"Moore County, Texas",11.20%,11.2
"Mora County, New Mexico",33.20%,33.2
"Morehouse Parish, Louisiana",19%,19
"Morgan County, Alabama",17.90%,17.9
"Morgan County, Colorado",15.70%,15.7
"Morgan County, Georgia",20.20%,20.2
"Morgan County, Illinois",20.60%,20.6
"Morgan County, Indiana",17.30%,17.3
"Morgan County, Kentucky",17.10%,17.1
"Morgan County, Missouri",23.30%,23.3
"Morgan County, Ohio",21.80%,21.8
"Morgan County, Tennessee",18.30%,18.3
"Morgan County, Utah",12%,12
"Morgan County, West Virginia",24.10%,24.1
"Morovis Municipio, Puerto Rico",17.90%,17.9
"Morrill County, Nebraska",20.80%,20.8
"Morris County, Kansas",25.30%,25.3
"Morris County, New Jersey",17.60%,17.6
"Morris County, Texas",21.70%,21.7
"Morrison County, Minnesota",20.10%,20.1
"Morrow County, Ohio",18.30%,18.3
"Morrow County, Oregon",16.10%,16.1
"Morton County, Kansas",20%,20
"Morton County, North Dakota",16.50%,16.5
"Motley County, Texas",31.30%,31.3
"Moultrie County, Illinois",18.80%,18.8
"Mountrail County, North Dakota",12.40%,12.4
"Mower County, Minnesota",18.50%,18.5
"Muhlenberg County, Kentucky",19.80%,19.8
"Multnomah County, Oregon",14.10%,14.1
"Murray County, Georgia",14.90%,14.9
"Murray County, Minnesota",25.90%,25.9
"Murray County, Oklahoma",19.80%,19.8
"Muscatine County, Iowa",17.10%,17.1
"Muscogee County, Georgia",14.10%,14.1
"Muskegon County, Michigan",17.60%,17.6
"Muskingum County, Ohio",17.90%,17.9
"Muskogee County, Oklahoma",16.90%,16.9
"Musselshell County, Montana",28.80%,28.8
"Nacogdoches County, Texas",15.30%,15.3
"Naguabo Municipio, Puerto Rico",19.30%,19.3
"Nance County, Nebraska",21%,21
"Nantucket County, Massachusetts",15.90%,15.9
"Napa County, California",20.20%,20.2
"Naranjito Municipio, Puerto Rico",21.40%,21.4
"Nash County, North Carolina",18.80%,18.8
"Nassau County, Florida",23%,23
"Nassau County, New York",18%,18
"Natchitoches Parish, Louisiana",16.60%,16.6
"Natrona County, Wyoming",16%,16
"Naugatuck Valley Planning Region, Connecticut",17.80%,17.8
"Navajo County, Arizona",19%,19
"Navarro County, Texas",16.60%,16.6
"Nelson County, Kentucky",16.60%,16.6
"Nelson County, North Dakota",27.40%,27.4
"Nelson County, Virginia",28.50%,28.5
"Nemaha County, Kansas",19.50%,19.5
"Nemaha County, Nebraska",20.30%,20.3
"Neosho County, Kansas",20.10%,20.1
"Neshoba County, Mississippi",16.50%,16.5
"Ness County, Kansas",23.30%,23.3
"Nevada County, Arkansas",21%,21
"Nevada County, California",28.40%,28.4
"New Castle County, Delaware",16.20%,16.2
"New Hanover County, North Carolina",18.50%,18.5
"New Kent County, Virginia",18%,18
"New Madrid County, Missouri",19.30%,19.3
"New York County, New York",17.30%,17.3
"Newaygo County, Michigan",19.80%,19.8
"Newberry County, South Carolina",20%,20
"Newport County, Rhode Island",23.90%,23.9
"Newport News city, Virginia",13.40%,13.4
"Newton County, Arkansas",26.70%,26.7
"Newton County, Georgia",13.20%,13.2
"Newton County, Indiana",19.50%,19.5
"Newton County, Mississippi",17.30%,17.3
"Newton County, Missouri",18.60%,18.6
"Newton County, Texas",22.20%,22.2
"Nez Perce County, Idaho",20.30%,20.3
"Niagara County, New York",19.70%,19.7
"Nicholas County, Kentucky",16.90%,16.9
"Nicholas County, West Virginia",22.80%,22.8
"Nicollet County, Minnesota",16.90%,16.9
"Niobrara County, Wyoming",24.10%,24.1
"Noble County, Indiana",16.40%,16.4
"Noble County, Ohio",28.40%,28.4
"Noble County, Oklahoma",20.70%,20.7
"Nobles County, Minnesota",17.20%,17.2
"Nodaway County, Missouri",16.80%,16.8
"Nolan County, Texas",19.20%,19.2
"Nome Census Area, Alaska",7.50%,7.5
"Norfolk city, Virginia",12.30%,12.3
"Norfolk County, Massachusetts",17.20%,17.2
"Norman County, Minnesota",21.30%,21.3
"North Slope Borough, Alaska",7.60%,7.6
"Northampton County, North Carolina",27.60%,27.6
"Northampton County, Pennsylvania",19.50%,19.5
"Northampton County, Virginia",27.60%,27.6
"Northeastern Connecticut Planning Region, Connecticut",17.10%,17.1
"Northumberland County, Pennsylvania",21.60%,21.6
"Northumberland County, Virginia",36.80%,36.8
"Northwest Arctic Borough, Alaska",7.90%,7.9
"Northwest Hills Planning Region, Connecticut",20.40%,20.4
"Norton city, Virginia",21.50%,21.5
"Norton County, Kansas",20.40%,20.4
"Nottoway County, Virginia",18.30%,18.3
"Nowata County, Oklahoma",19.80%,19.8
"Noxubee County, Mississippi",17.10%,17.1
"Nuckolls County, Nebraska",27.50%,27.5
"Nueces County, Texas",15%,15
"Nye County, Nevada",30.60%,30.6
"O'Brien County, Iowa",21.50%,21.5
"Oakland County, Michigan",17.50%,17.5
"Obion County, Tennessee",20.40%,20.4
"Ocean County, New Jersey",22.50%,22.5
"Oceana County, Michigan",21.30%,21.3
"Ochiltree County, Texas",10.70%,10.7
"Oconee County, Georgia",15.50%,15.5
"Oconee County, South Carolina",23.70%,23.7
"Oconto County, Wisconsin",21.80%,21.8
"Ogemaw County, Michigan",26.50%,26.5
"Oglala Lakota County, South Dakota",7.50%,7.5
"Ogle County, Illinois",19.30%,19.3
"Oglethorpe County, Georgia",18.70%,18.7
"Ohio County, Indiana",22.30%,22.3
"Ohio County, Kentucky",18.20%,18.2
"Ohio County, West Virginia",22.30%,22.3
"Okaloosa County, Florida",16.30%,16.3
"Okanogan County, Washington",22.40%,22.4
"Okeechobee County, Florida",19.30%,19.3
"Okfuskee County, Oklahoma",18%,18
"Oklahoma County, Oklahoma",14.10%,14.1
"Okmulgee County, Oklahoma",18.40%,18.4
"Oktibbeha County, Mississippi",11.70%,11.7
"Oldham County, Kentucky",13.80%,13.8
"Oldham County, Texas",12.60%,12.6
"Oliver County, North Dakota",25%,25
"Olmsted County, Minnesota",16%,16
"Oneida County, Idaho",19.80%,19.8
"Oneida County, New York",19.20%,19.2
"Oneida County, Wisconsin",26.90%,26.9
"Onondaga County, New York",17.80%,17.8
"Onslow County, North Carolina",9.60%,9.6
"Ontario County, New York",21%,21
"Ontonagon County, Michigan",37.10%,37.1
"Orange County, California",15.40%,15.4
"Orange County, Florida",12.40%,12.4
"Orange County, Indiana",19.90%,19.9
"Orange County, New York",14.10%,14.1
"Orange County, North Carolina",15.40%,15.4
"Orange County, Texas",15.70%,15.7
"Orange County, Vermont",22.20%,22.2
"Orange County, Virginia",19.90%,19.9
"Orangeburg County, South Carolina",20.30%,20.3
"Oregon County, Missouri",22.70%,22.7
"Orleans County, New York",18.30%,18.3
"Orleans County, Vermont",23.20%,23.2
"Orleans Parish, Louisiana",15.90%,15.9
"Orocovis Municipio, Puerto Rico",18.60%,18.6
"Osage County, Kansas",19.90%,19.9
"Osage County, Missouri",17.50%,17.5
"Osage County, Oklahoma",20.50%,20.5
"Osborne County, Kansas",25.80%,25.8
"Osceola County, Florida",13.20%,13.2
"Osceola County, Iowa",21.90%,21.9
"Osceola County, Michigan",21.30%,21.3
"Oscoda County, Michigan",28.30%,28.3
"Oswego County, New York",17.10%,17.1
"Otero County, Colorado",21.10%,21.1
"Otero County, New Mexico",17%,17
"Otoe County, Nebraska",20.30%,20.3
"Otsego County, Michigan",21.70%,21.7
"Otsego County, New York",21.20%,21.2
"Ottawa County, Kansas",20.20%,20.2
"Ottawa County, Michigan",15.70%,15.7
"Ottawa County, Ohio",26.10%,26.1
"Ottawa County, Oklahoma",18.10%,18.1
"Otter Tail County, Minnesota",24.40%,24.4
"Ouachita County, Arkansas",20.60%,20.6
"Ouachita Parish, Louisiana",15.30%,15.3
"Ouray County, Colorado",36.10%,36.1
"Outagamie County, Wisconsin",15.70%,15.7
"Overton County, Tennessee",20.10%,20.1
"Owen County, Indiana",20.50%,20.5
"Owen County, Kentucky",19.60%,19.6
"Owsley County, Kentucky",22%,22
"Owyhee County, Idaho",18.40%,18.4
"Oxford County, Maine",22.80%,22.8
"Ozark County, Missouri",28.80%,28.8
"Ozaukee County, Wisconsin",20.60%,20.6
"Pacific County, Washington",32.50%,32.5
"Page County, Iowa",23.50%,23.5
"Page County, Virginia",21.30%,21.3
"Palm Beach County, Florida",24.40%,24.4
"Palo Alto County, Iowa",22%,22
"Palo Pinto County, Texas",19.80%,19.8
"Pamlico County, North Carolina",30.30%,30.3
"Panola County, Mississippi",16.80%,16.8
"Panola County, Texas",20.20%,20.2
"Park County, Colorado",22%,22
"Park County, Montana",23.70%,23.7
"Park County, Wyoming",24.10%,24.1
"Parke County, Indiana",20.10%,20.1
"Parker County, Texas",15.70%,15.7
"Parmer County, Texas",15.30%,15.3
"Pasco County, Florida",22.20%,22.2
"Pasquotank County, North Carolina",17.60%,17.6
"Passaic County, New Jersey",15.10%,15.1
"Patillas Municipio, Puerto Rico",24.20%,24.2
"Patrick County, Virginia",26.90%,26.9
"Paulding County, Georgia",11.20%,11.2
"Paulding County, Ohio",19%,19
"Pawnee County, Kansas",21.90%,21.9
"Pawnee County, Nebraska",28.40%,28.4
"Pawnee County, Oklahoma",19.20%,19.2
"Payette County, Idaho",19.10%,19.1
"Payne County, Oklahoma",12.90%,12.9
"Peach County, Georgia",16.40%,16.4
"Pearl River County, Mississippi",19.10%,19.1
"Pecos County, Texas",13.60%,13.6
"Pembina County, North Dakota",24.80%,24.8
"Pemiscot County, Missouri",17.50%,17.5
"Pend Oreille County, Washington",26.80%,26.8
"Pender County, North Carolina",18%,18
"Pendleton County, Kentucky",16.50%,16.5
"Pendleton County, West Virginia",28.30%,28.3
"Pennington County, Minnesota",18.40%,18.4
"Pennington County, South Dakota",19.10%,19.1
"Penobscot County, Maine",19.40%,19.4
"Peñuelas Municipio, Puerto Rico",18.40%,18.4
"Peoria County, Illinois",17.70%,17.7
"Pepin County, Wisconsin",23%,23
"Perkins County, Nebraska",23.80%,23.8
"Perkins County, South Dakota",25.80%,25.8
"Perquimans County, North Carolina",28.10%,28.1
"Perry County, Alabama",20.50%,20.5
"Perry County, Arkansas",20.30%,20.3
"Perry County, Illinois",19.50%,19.5
"Perry County, Indiana",18.70%,18.7
"Perry County, Kentucky",17%,17
"Perry County, Mississippi",18.60%,18.6
"Perry County, Missouri",19%,19
"Perry County, Ohio",17.30%,17.3
"Perry County, Pennsylvania",19.40%,19.4
"Perry County, Tennessee",21.70%,21.7
"Pershing County, Nevada",16.40%,16.4
"Person County, North Carolina",20.30%,20.3
"Petersburg Borough, Alaska",25%,25
"Petersburg city, Virginia",16.90%,16.9
"Petroleum County, Montana",21.90%,21.9
"Pettis County, Missouri",17%,17
"Phelps County, Missouri",16.50%,16.5
"Phelps County, Nebraska",20.70%,20.7
"Philadelphia County, Pennsylvania",14%,14
"Phillips County, Arkansas",19.60%,19.6
"Phillips County, Colorado",18.30%,18.3
"Phillips County, Kansas",24.40%,24.4
"Phillips County, Montana",22.80%,22.8
"Piatt County, Illinois",20.30%,20.3
"Pickaway County, Ohio",15.90%,15.9
"Pickens County, Alabama",19.40%,19.4
"Pickens County, Georgia",22.10%,22.1
"Pickens County, South Carolina",17%,17
"Pickett County, Tennessee",27.60%,27.6
"Pierce County, Georgia",17.10%,17.1
"Pierce County, Nebraska",19.30%,19.3
"Pierce County, North Dakota",24.60%,24.6
"Pierce County, Washington",14.20%,14.2
"Pierce County, Wisconsin",15.60%,15.6
"Pike County, Alabama",15.30%,15.3
"Pike County, Arkansas",20.50%,20.5
"Pike County, Georgia",15.70%,15.7
"Pike County, Illinois",21.50%,21.5
"Pike County, Indiana",20.90%,20.9
"Pike County, Kentucky",19.20%,19.2
"Pike County, Mississippi",17.20%,17.2
"Pike County, Missouri",18.30%,18.3
"Pike County, Ohio",17.80%,17.8
"Pike County, Pennsylvania",23%,23
"Pima County, Arizona",20.40%,20.4
"Pinal County, Arizona",20.80%,20.8
"Pine County, Minnesota",21.30%,21.3
"Pinellas County, Florida",25.60%,25.6
"Pipestone County, Minnesota",20.40%,20.4
"Piscataquis County, Maine",26.80%,26.8
"Pitkin County, Colorado",20.30%,20.3
"Pitt County, North Carolina",14.10%,14.1
"Pittsburg County, Oklahoma",19.90%,19.9
"Pittsylvania County, Virginia",23.50%,23.5
"Piute County, Utah",30.90%,30.9
"Placer County, California",20%,20
"Plaquemines Parish, Louisiana",13.30%,13.3
"Platte County, Missouri",15.40%,15.4
"Platte County, Nebraska",17.80%,17.8
"Platte County, Wyoming",26.60%,26.6
"Pleasants County, West Virginia",18.40%,18.4
"Plumas County, California",29.60%,29.6
"Plymouth County, Iowa",18.90%,18.9
"Plymouth County, Massachusetts",18.80%,18.8
"Pocahontas County, Iowa",23.30%,23.3
"Pocahontas County, West Virginia",26.40%,26.4
"Poinsett County, Arkansas",18.30%,18.3
"Pointe Coupee Parish, Louisiana",21.30%,21.3
"Polk County, Arkansas",22.70%,22.7
"Polk County, Florida",19.90%,19.9
"Polk County, Georgia",15.40%,15.4
"Polk County, Iowa",13.50%,13.5
"Polk County, Minnesota",18.70%,18.7
"Polk County, Missouri",18.10%,18.1
"Polk County, Nebraska",22.40%,22.4
"Polk County, North Carolina",31.70%,31.7
"Polk County, Oregon",18.50%,18.5
"Polk County, Tennessee",20.90%,20.9
"Polk County, Texas",18.80%,18.8
"Polk County, Wisconsin",21.50%,21.5
"Ponce Municipio, Puerto Rico",23.80%,23.8
"Pondera County, Montana",21.20%,21.2
"Pontotoc County, Mississippi",15.10%,15.1
"Pontotoc County, Oklahoma",16.90%,16.9
"Pope County, Arkansas",15.90%,15.9
"Pope County, Illinois",24.90%,24.9
"Pope County, Minnesota",25.10%,25.1
"Poquoson city, Virginia",19.70%,19.7
"Portage County, Ohio",17.30%,17.3
"Portage County, Wisconsin",17.50%,17.5
"Porter County, Indiana",17.20%,17.2
"Portsmouth city, Virginia",15.10%,15.1
"Posey County, Indiana",19.80%,19.8
"Pottawatomie County, Kansas",14.80%,14.8
"Pottawatomie County, Oklahoma",16.30%,16.3
"Pottawattamie County, Iowa",18%,18
"Potter County, Pennsylvania",24.90%,24.9
"Potter County, South Dakota",26.70%,26.7
"Potter County, Texas",13.50%,13.5
"Powder River County, Montana",29.10%,29.1
"Powell County, Kentucky",15.90%,15.9
"Powell County, Montana",20.20%,20.2
"Power County, Idaho",15.40%,15.4
"Poweshiek County, Iowa",20.70%,20.7
"Powhatan County, Virginia",19.30%,19.3
"Prairie County, Arkansas",23.60%,23.6
"Prairie County, Montana",32%,32
"Pratt County, Kansas",20.30%,20.3
"Preble County, Ohio",19.60%,19.6
"Prentiss County, Mississippi",17.70%,17.7
"Presidio County, Texas",22.80%,22.8
"Presque Isle County, Michigan",32.30%,32.3
"Preston County, West Virginia",19.90%,19.9
"Price County, Wisconsin",27.20%,27.2
"Prince Edward County, Virginia",16.40%,16.4
"Prince George County, Virginia",12.90%,12.9
"Prince George's County, Maryland",14.10%,14.1
"Prince of Wales-Hyder Census Area, Alaska",19.30%,19.3
"Prince William County, Virginia",10.50%,10.5
"Providence County, Rhode Island",15.70%,15.7
"Prowers County, Colorado",18%,18
"Pueblo County, Colorado",18.90%,18.9
"Pulaski County, Arkansas",16.20%,16.2
"Pulaski County, Georgia",22.50%,22.5
"Pulaski County, Illinois",22.60%,22.6
"Pulaski County, Indiana",20.70%,20.7
"Pulaski County, Kentucky",19%,19
"Pulaski County, Missouri",9.30%,9.3
"Pulaski County, Virginia",22.50%,22.5
"Pushmataha County, Oklahoma",22.80%,22.8
"Putnam County, Florida",23.50%,23.5
"Putnam County, Georgia",24.90%,24.9
"Putnam County, Illinois",23.50%,23.5
"Putnam County, Indiana",17%,17
"Putnam County, Missouri",25.30%,25.3
"Putnam County, New York",18.30%,18.3
"Putnam County, Ohio",17.90%,17.9
"Putnam County, Tennessee",16.30%,16.3
"Putnam County, West Virginia",19.10%,19.1
"Quay County, New Mexico",25%,25
"Quebradillas Municipio, Puerto Rico",21.60%,21.6
"Queen Anne's County, Maryland",19.70%,19.7
"Queens County, New York",16.50%,16.5
"Quitman County, Georgia",34.80%,34.8
"Quitman County, Mississippi",17.80%,17.8
"Rabun County, Georgia",28.30%,28.3
"Racine County, Wisconsin",17.30%,17.3
"Radford city, Virginia",9.30%,9.3
"Rains County, Texas",24%,24
"Raleigh County, West Virginia",21.40%,21.4
"Ralls County, Missouri",22.20%,22.2
"Ramsey County, Minnesota",15.10%,15.1
"Ramsey County, North Dakota",21.50%,21.5
"Randall County, Texas",15.40%,15.4
"Randolph County, Alabama",20.90%,20.9
"Randolph County, Arkansas",19.70%,19.7
"Randolph County, Georgia",20.20%,20.2
"Randolph County, Illinois",20.40%,20.4
"Randolph County, Indiana",20.30%,20.3
"Randolph County, Missouri",16.90%,16.9
"Randolph County, North Carolina",18%,18
"Randolph County, West Virginia",22.40%,22.4
"Rankin County, Mississippi",16.10%,16.1
"Ransom County, North Dakota",21.20%,21.2
"Rapides Parish, Louisiana",16.40%,16.4
"Rappahannock County, Virginia",26.50%,26.5
"Ravalli County, Montana",26.20%,26.2
"Rawlins County, Kansas",26.90%,26.9
"Ray County, Missouri",18.60%,18.6
"Reagan County, Texas",8.40%,8.4
"Real County, Texas",34.10%,34.1
"Red Lake County, Minnesota",21.80%,21.8
"Red River County, Texas",25.90%,25.9
"Red River Parish, Louisiana",19.20%,19.2
"Red Willow County, Nebraska",21%,21
"Redwood County, Minnesota",21.40%,21.4
"Reeves County, Texas",12.40%,12.4
"Refugio County, Texas",22.30%,22.3
"Reno County, Kansas",20.10%,20.1
"Rensselaer County, New York",17.60%,17.6
"Renville County, Minnesota",21.10%,21.1
"Renville County, North Dakota",19.20%,19.2
"Republic County, Kansas",26.20%,26.2
"Reynolds County, Missouri",23.50%,23.5
"Rhea County, Tennessee",18.90%,18.9
"Rice County, Kansas",19.70%,19.7
"Rice County, Minnesota",16.20%,16.2
"Rich County, Utah",18%,18
"Richardson County, Nebraska",24.20%,24.2
"Richland County, Illinois",20.20%,20.2
"Richland County, Montana",16.90%,16.9
"Richland County, North Dakota",19%,19
"Richland County, Ohio",19.60%,19.6
"Richland County, South Carolina",13.40%,13.4
"Richland County, Wisconsin",24.10%,24.1
"Richland Parish, Louisiana",17.70%,17.7
"Richmond city, Virginia",13.80%,13.8
"Richmond County, Georgia",14.50%,14.5
"Richmond County, New York",16.60%,16.6
"Richmond County, North Carolina",17.90%,17.9
"Richmond County, Virginia",20%,20
"Riley County, Kansas",9.60%,9.6
"Rincón Municipio, Puerto Rico",26.40%,26.4
"Ringgold County, Iowa",23%,23
"Rio Arriba County, New Mexico",20.20%,20.2
"Rio Blanco County, Colorado",16%,16
"Rio Grande County, Colorado",20.90%,20.9
"Río Grande Municipio, Puerto Rico",21.40%,21.4
"Ripley County, Indiana",18.40%,18.4
"Ripley County, Missouri",19.80%,19.8
"Ritchie County, West Virginia",22.70%,22.7
"Riverside County, California",14.80%,14.8
"Roane County, Tennessee",23%,23
"Roane County, West Virginia",22.50%,22.5
"Roanoke city, Virginia",17.60%,17.6
"Roanoke County, Virginia",21.70%,21.7
"Roberts County, South Dakota",19.90%,19.9
"Roberts County, Texas",14.10%,14.1
"Robertson County, Kentucky",17.90%,17.9
"Robertson County, Tennessee",14.90%,14.9
"Robertson County, Texas",20.30%,20.3
"Robeson County, North Carolina",15.70%,15.7
"Rock County, Minnesota",20%,20
"Rock County, Nebraska",25.40%,25.4
"Rock County, Wisconsin",17%,17
"Rock Island County, Illinois",19.80%,19.8
"Rockbridge County, Virginia",26.50%,26.5
"Rockcastle County, Kentucky",18.80%,18.8
"Rockdale County, Georgia",15.10%,15.1
"Rockingham County, New Hampshire",18.90%,18.9
"Rockingham County, North Carolina",20.80%,20.8
"Rockingham County, Virginia",19.60%,19.6
"Rockland County, New York",15.60%,15.6
"Rockwall County, Texas",12.40%,12.4
"Roger Mills County, Oklahoma",21.20%,21.2
"Rogers County, Oklahoma",16.70%,16.7
"Rolette County, North Dakota",12.40%,12.4
"Rooks County, Kansas",22.90%,22.9
"Roosevelt County, Montana",11.60%,11.6
"Roosevelt County, New Mexico",14.80%,14.8
"Roscommon County, Michigan",33.10%,33.1
"Roseau County, Minnesota",18.20%,18.2
"Rosebud County, Montana",16.50%,16.5
"Ross County, Ohio",17.20%,17.2
"Routt County, Colorado",16.90%,16.9
"Rowan County, Kentucky",14%,14
"Rowan County, North Carolina",17.70%,17.7
"Runnels County, Texas",20.60%,20.6
"Rush County, Indiana",18.60%,18.6
"Rush County, Kansas",24.30%,24.3
"Rusk County, Texas",16.80%,16.8
"Rusk County, Wisconsin",25.10%,25.1
"Russell County, Alabama",14.90%,14.9
"Russell County, Kansas",24.90%,24.9
"Russell County, Kentucky",20.20%,20.2
"Russell County, Virginia",22.60%,22.6
"Rutherford County, North Carolina",21.70%,21.7
"Rutherford County, Tennessee",10.80%,10.8
"Rutland County, Vermont",23.40%,23.4
"Sabana Grande Municipio, Puerto Rico",24.30%,24.3
"Sabine County, Texas",30%,30
"Sabine Parish, Louisiana",20.70%,20.7
"Sac County, Iowa",23.70%,23.7
"Sacramento County, California",14.60%,14.6
"Sagadahoc County, Maine",23.40%,23.4
"Saginaw County, Michigan",19.60%,19.6
"Saguache County, Colorado",25.60%,25.6
"Salem city, Virginia",19.30%,19.3
"Salem County, New Jersey",18.80%,18.8
"Salinas Municipio, Puerto Rico",21.10%,21.1
"Saline County, Arkansas",18.30%,18.3
"Saline County, Illinois",20.60%,20.6
"Saline County, Kansas",18.40%,18.4
"Saline County, Missouri",17.50%,17.5
"Saline County, Nebraska",15.90%,15.9
"Salt Lake County, Utah",11.30%,11.3
"Saluda County, South Carolina",20%,20
"Sampson County, North Carolina",18.10%,18.1
"San Augustine County, Texas",28.20%,28.2
"San Benito County, California",13.20%,13.2
"San Bernardino County, California",11.90%,11.9
"San Diego County, California",14.70%,14.7
"San Francisco County, California",16.70%,16.7
"San Germán Municipio, Puerto Rico",26.30%,26.3
"San Jacinto County, Texas",21.80%,21.8
"San Joaquin County, California",13%,13
"San Juan County, Colorado",24.10%,24.1
"San Juan County, New Mexico",15.70%,15.7
"San Juan County, Utah",15.50%,15.5
"San Juan County, Washington",34.60%,34.6
"San Juan Municipio, Puerto Rico",24.10%,24.1
"San Lorenzo Municipio, Puerto Rico",20.70%,20.7
"San Luis Obispo County, California",21.10%,21.1
"San Mateo County, California",16.90%,16.9
"San Miguel County, Colorado",16.50%,16.5
"San Miguel County, New Mexico",22.90%,22.9
"San Patricio County, Texas",15.10%,15.1
"San Saba County, Texas",22.70%,22.7
"San Sebastián Municipio, Puerto Rico",24.80%,24.8
"Sanborn County, South Dakota",20.50%,20.5
"Sanders County, Montana",31.90%,31.9
"Sandoval County, New Mexico",18.80%,18.8
"Sandusky County, Ohio",19.40%,19.4
"Sangamon County, Illinois",18.50%,18.5
"Sanilac County, Michigan",22.30%,22.3
"Sanpete County, Utah",14.10%,14.1
"Santa Barbara County, California",15.90%,15.9
"Santa Clara County, California",14.10%,14.1
"Santa Cruz County, Arizona",18.50%,18.5
"Santa Cruz County, California",17.70%,17.7
"Santa Fe County, New Mexico",25.90%,25.9
"Santa Isabel Municipio, Puerto Rico",17.20%,17.2
"Santa Rosa County, Florida",16.30%,16.3
"Sarasota County, Florida",37.30%,37.3
"Saratoga County, New York",18.90%,18.9
"Sargent County, North Dakota",22.60%,22.6
"Sarpy County, Nebraska",12.20%,12.2
"Sauk County, Wisconsin",19%,19
"Saunders County, Nebraska",18.30%,18.3
"Sawyer County, Wisconsin",27%,27
"Schenectady County, New York",17.50%,17.5
"Schleicher County, Texas",25.60%,25.6
"Schley County, Georgia",13.30%,13.3
"Schoharie County, New York",23%,23
"Schoolcraft County, Michigan",27.50%,27.5
"Schuyler County, Illinois",24.30%,24.3
"Schuyler County, Missouri",19.20%,19.2
"Schuyler County, New York",22.10%,22.1
"Schuylkill County, Pennsylvania",20.70%,20.7
"Scioto County, Ohio",18.30%,18.3
"Scotland County, Missouri",18.50%,18.5
"Scotland County, North Carolina",18%,18
"Scott County, Arkansas",20.80%,20.8
"Scott County, Illinois",20.80%,20.8
"Scott County, Indiana",17.10%,17.1
"Scott County, Iowa",16.70%,16.7
"Scott County, Kansas",20.50%,20.5
"Scott County, Kentucky",12.70%,12.7
"Scott County, Minnesota",11.80%,11.8
