Geographic Area,"9th to 12th grade, no diploma—Estimate",No diploma
"Mills County, Texas",6.70%,6.7
"Milwaukee County, Wisconsin",6.60%,6.6
"Miner County, South Dakota",4.60%,4.6
"Mineral County, Colorado",2.20%,2.2
"Mineral County, Montana",4.70%,4.7
"Mineral County, Nevada",7.50%,7.5
"Mineral County, West Virginia",5.20%,5.2
"Mingo County, West Virginia",15.40%,15.4
"Minidoka County, Idaho",8.50%,8.5
"Minnehaha County, South Dakota",4%,4
"Missaukee County, Michigan",7.30%,7.3
"Mississippi County, Arkansas",10.40%,10.4
"Mississippi County, Missouri",14%,14
"Missoula County, Montana",2.30%,2.3
"Mitchell County, Georgia",11.30%,11.3
"Mitchell County, Iowa",4.20%,4.2
"Mitchell County, Kansas",3.60%,3.6
"Mitchell County, North Carolina",6.50%,6.5
"Mitchell County, Texas",9.20%,9.2
"Mobile County, Alabama",9.10%,9.1
"Moca Municipio, Puerto Rico",8.50%,8.5
"Modoc County, California",6.70%,6.7
"Moffat County, Colorado",7.60%,7.6
"Mohave County, Arizona",8.70%,8.7
"Moniteau County, Missouri",6.50%,6.5
"Monmouth County, New Jersey",3.40%,3.4
"Mono County, California",6.40%,6.4
"Monona County, Iowa",5.10%,5.1
"Monongalia County, West Virginia",4.30%,4.3
"Monroe County, Alabama",12.80%,12.8
"Monroe County, Arkansas",12.80%,12.8
"Monroe County, Florida",4.20%,4.2
"Monroe County, Georgia",8.20%,8.2
"Monroe County, Illinois",3.70%,3.7
"Monroe County, Indiana",4.20%,4.2
"Monroe County, Iowa",4.40%,4.4
"Monroe County, Kentucky",9.80%,9.8
"Monroe County, Michigan",6.50%,6.5
"Monroe County, Mississippi",8.90%,8.9
"Monroe County, Missouri",6.50%,6.5
"Monroe County, New York",5.40%,5.4
"Monroe County, Ohio",8.10%,8.1
"Monroe County, Pennsylvania",7.10%,7.1
"Monroe County, Tennessee",7.70%,7.7
"Monroe County, West Virginia",6.20%,6.2
"Monroe County, Wisconsin",4.60%,4.6
"Montague County, Texas",7.40%,7.4
"Montcalm County, Michigan",8.50%,8.5
"Monterey County, California",9.40%,9.4
"Montezuma County, Colorado",6.60%,6.6
"Montgomery County, Alabama",8.40%,8.4
"Montgomery County, Arkansas",8.40%,8.4
"Montgomery County, Georgia",11%,11
"Montgomery County, Illinois",7.70%,7.7
"Montgomery County, Indiana",8.20%,8.2
"Montgomery County, Iowa",6.20%,6.2
"Montgomery County, Kansas",7.40%,7.4
"Montgomery County, Kentucky",8.30%,8.3
"Montgomery County, Maryland",3.80%,3.8
"Montgomery County, Mississippi",17.30%,17.3
"Montgomery County, Missouri",8.60%,8.6
"Montgomery County, New York",7.10%,7.1
"Montgomery County, North Carolina",11.20%,11.2
"Montgomery County, Ohio",6%,6
"Montgomery County, Pennsylvania",3.30%,3.3
"Montgomery County, Tennessee",4.10%,4.1
"Montgomery County, Texas",5.90%,5.9
"Montgomery County, Virginia",3.50%,3.5
"Montmorency County, Michigan",9.70%,9.7
"Montour County, Pennsylvania",4.50%,4.5
"Montrose County, Colorado",5.50%,5.5
"Moody County, South Dakota",2.80%,2.8
"Moore County, North Carolina",4.40%,4.4
"Moore County, Tennessee",8.30%,8.3
"Moore County, Texas",10.70%,10.7
"Mora County, New Mexico",2.80%,2.8
"Morehouse Parish, Louisiana",12.60%,12.6
"Morgan County, Alabama",8.80%,8.8
"Morgan County, Colorado",7.60%,7.6
"Morgan County, Georgia",6.60%,6.6
"Morgan County, Illinois",7.90%,7.9
"Morgan County, Indiana",8.50%,8.5
"Morgan County, Kentucky",11.60%,11.6
"Morgan County, Missouri",9%,9
"Morgan County, Ohio",10.50%,10.5
"Morgan County, Tennessee",12.10%,12.1
"Morgan County, Utah",1.10%,1.1
"Morgan County, West Virginia",8.90%,8.9
"Morovis Municipio, Puerto Rico",8.40%,8.4
"Morrill County, Nebraska",7.60%,7.6
"Morris County, Kansas",5.40%,5.4
"Morris County, New Jersey",2.60%,2.6
"Morris County, Texas",8%,8
"Morrison County, Minnesota",5.30%,5.3
"Morrow County, Ohio",6.20%,6.2
"Morrow County, Oregon",12.80%,12.8
"Morton County, Kansas",3.60%,3.6
"Morton County, North Dakota",3.30%,3.3
"Motley County, Texas",9.60%,9.6
"Moultrie County, Illinois",4.80%,4.8
"Mountrail County, North Dakota",7.40%,7.4
"Mower County, Minnesota",4.40%,4.4
"Muhlenberg County, Kentucky",10.80%,10.8
"Multnomah County, Oregon",4.10%,4.1
"Murray County, Georgia",13.50%,13.5
"Murray County, Minnesota",5.30%,5.3
"Murray County, Oklahoma",9.40%,9.4
"Muscatine County, Iowa",6.30%,6.3
"Muscogee County, Georgia",7.80%,7.8
"Muskegon County, Michigan",5.50%,5.5
"Muskingum County, Ohio",6.80%,6.8
"Muskogee County, Oklahoma",9.20%,9.2
"Musselshell County, Montana",7.30%,7.3
"Nacogdoches County, Texas",7.50%,7.5
"Naguabo Municipio, Puerto Rico",6.80%,6.8
"Nance County, Nebraska",5%,5
"Nantucket County, Massachusetts",0.90%,0.9
"Napa County, California",5.80%,5.8
"Naranjito Municipio, Puerto Rico",10.10%,10.1
"Nash County, North Carolina",9.30%,9.3
"Nassau County, Florida",6%,6
"Nassau County, New York",3.70%,3.7
"Natchitoches Parish, Louisiana",9.80%,9.8
"Natrona County, Wyoming",4.40%,4.4
"Naugatuck Valley Planning Region, Connecticut",5.20%,5.2
"Navajo County, Arizona",9.40%,9.4
"Navarro County, Texas",9.60%,9.6
"Nelson County, Kentucky",5.50%,5.5
"Nelson County, North Dakota",3.50%,3.5
"Nelson County, Virginia",9.90%,9.9
"Nemaha County, Kansas",3.50%,3.5
"Nemaha County, Nebraska",6.60%,6.6
"Neosho County, Kansas",6.40%,6.4
"Neshoba County, Mississippi",12.20%,12.2
"Ness County, Kansas",5.50%,5.5
"Nevada County, Arkansas",5.80%,5.8
"Nevada County, California",3.30%,3.3
"New Castle County, Delaware",4.60%,4.6
"New Hanover County, North Carolina",4.10%,4.1
"New Kent County, Virginia",4.80%,4.8
"New Madrid County, Missouri",11.40%,11.4
"New York County, New York",5.40%,5.4
"Newaygo County, Michigan",7.50%,7.5
"Newberry County, South Carolina",9.30%,9.3
"Newport County, Rhode Island",3.10%,3.1
"Newport News city, Virginia",5.40%,5.4
"Newton County, Arkansas",11.30%,11.3
"Newton County, Georgia",7%,7
"Newton County, Indiana",8.40%,8.4
"Newton County, Mississippi",9.80%,9.8
"Newton County, Missouri",6.60%,6.6
"Newton County, Texas",13.50%,13.5
"Nez Perce County, Idaho",4.50%,4.5
"Niagara County, New York",5.90%,5.9
"Nicholas County, Kentucky",13%,13
"Nicholas County, West Virginia",7.50%,7.5
"Nicollet County, Minnesota",3.50%,3.5
"Niobrara County, Wyoming",5.20%,5.2
"Noble County, Indiana",7.80%,7.8
"Noble County, Ohio",11.60%,11.6
"Noble County, Oklahoma",6.60%,6.6
"Nobles County, Minnesota",5.80%,5.8
"Nodaway County, Missouri",4%,4
"Nolan County, Texas",9.30%,9.3
"Nome Census Area, Alaska",8.50%,8.5
"Norfolk city, Virginia",7.50%,7.5
"Norfolk County, Massachusetts",2.80%,2.8
"Norman County, Minnesota",4.30%,4.3
"North Slope Borough, Alaska",6.50%,6.5
"Northampton County, North Carolina",10.80%,10.8
"Northampton County, Pennsylvania",5.40%,5.4
"Northampton County, Virginia",7.20%,7.2
"Northeastern Connecticut Planning Region, Connecticut",5.90%,5.9
"Northumberland County, Pennsylvania",7.40%,7.4
"Northumberland County, Virginia",6.70%,6.7
"Northwest Arctic Borough, Alaska",9.90%,9.9
"Northwest Hills Planning Region, Connecticut",3.80%,3.8
"Norton city, Virginia",6.10%,6.1
"Norton County, Kansas",7.20%,7.2
"Nottoway County, Virginia",10.50%,10.5
"Nowata County, Oklahoma",7.60%,7.6
"Noxubee County, Mississippi",11.90%,11.9
"Nuckolls County, Nebraska",6%,6
"Nueces County, Texas",8.90%,8.9
"Nye County, Nevada",8.60%,8.6
"O'Brien County, Iowa",7.10%,7.1
"Oakland County, Michigan",3.40%,3.4
"Obion County, Tennessee",9.70%,9.7
"Ocean County, New Jersey",4.40%,4.4
"Oceana County, Michigan",6.50%,6.5
"Ochiltree County, Texas",11.30%,11.3
"Oconee County, Georgia",3.10%,3.1
"Oconee County, South Carolina",9.20%,9.2
"Oconto County, Wisconsin",5.90%,5.9
"Ogemaw County, Michigan",9.80%,9.8
"Oglala Lakota County, South Dakota",23.80%,23.8
"Ogle County, Illinois",5.40%,5.4
"Oglethorpe County, Georgia",8.30%,8.3
"Ohio County, Indiana",6%,6
"Ohio County, Kentucky",9.90%,9.9
"Ohio County, West Virginia",5.40%,5.4
"Okaloosa County, Florida",4.20%,4.2
"Okanogan County, Washington",7.10%,7.1
"Okeechobee County, Florida",12.80%,12.8
"Okfuskee County, Oklahoma",12.10%,12.1
"Oklahoma County, Oklahoma",6.50%,6.5
"Okmulgee County, Oklahoma",9.70%,9.7
"Oktibbeha County, Mississippi",5.70%,5.7
"Oldham County, Kentucky",4%,4
"Oldham County, Texas",7.10%,7.1
"Oliver County, North Dakota",3.30%,3.3
"Olmsted County, Minnesota",2.60%,2.6
"Oneida County, Idaho",6.20%,6.2
"Oneida County, New York",6.40%,6.4
"Oneida County, Wisconsin",3.70%,3.7
"Onondaga County, New York",5.80%,5.8
"Onslow County, North Carolina",5.60%,5.6
"Ontario County, New York",4%,4
"Ontonagon County, Michigan",5.30%,5.3
"Orange County, California",5.90%,5.9
"Orange County, Florida",6.20%,6.2
"Orange County, Indiana",9.40%,9.4
"Orange County, New York",6.50%,6.5
"Orange County, North Carolina",3.60%,3.6
"Orange County, Texas",8.20%,8.2
"Orange County, Vermont",4.20%,4.2
"Orange County, Virginia",6.70%,6.7
"Orangeburg County, South Carolina",11.70%,11.7
"Oregon County, Missouri",8.20%,8.2
"Orleans County, New York",9.70%,9.7
"Orleans County, Vermont",5.40%,5.4
"Orleans Parish, Louisiana",7.90%,7.9
"Orocovis Municipio, Puerto Rico",9.80%,9.8
"Osage County, Kansas",5.80%,5.8
"Osage County, Missouri",4.30%,4.3
"Osage County, Oklahoma",8.10%,8.1
"Osborne County, Kansas",2.20%,2.2
"Osceola County, Florida",6.80%,6.8
"Osceola County, Iowa",7.20%,7.2
"Osceola County, Michigan",7%,7
"Oscoda County, Michigan",9.10%,9.1
"Oswego County, New York",7.60%,7.6
"Otero County, Colorado",8.20%,8.2
"Otero County, New Mexico",7.90%,7.9
"Otoe County, Nebraska",4.10%,4.1
"Otsego County, Michigan",3.90%,3.9
"Otsego County, New York",5.40%,5.4
"Ottawa County, Kansas",4.10%,4.1
"Ottawa County, Michigan",3.90%,3.9
"Ottawa County, Ohio",5.50%,5.5
"Ottawa County, Oklahoma",9.30%,9.3
"Otter Tail County, Minnesota",4.20%,4.2
"Ouachita County, Arkansas",9.80%,9.8
"Ouachita Parish, Louisiana",8.80%,8.8
"Ouray County, Colorado",1.90%,1.9
"Outagamie County, Wisconsin",3.70%,3.7
"Overton County, Tennessee",9.40%,9.4
"Owen County, Indiana",9.50%,9.5
"Owen County, Kentucky",9.10%,9.1
"Owsley County, Kentucky",12.70%,12.7
"Owyhee County, Idaho",9.60%,9.6
"Oxford County, Maine",6.60%,6.6
"Ozark County, Missouri",12.40%,12.4
"Ozaukee County, Wisconsin",1.70%,1.7
"Pacific County, Washington",5.50%,5.5
"Page County, Iowa",5.20%,5.2
"Page County, Virginia",11.70%,11.7
"Palm Beach County, Florida",5.40%,5.4
"Palo Alto County, Iowa",4.80%,4.8
"Palo Pinto County, Texas",7.40%,7.4
"Pamlico County, North Carolina",6.70%,6.7
"Panola County, Mississippi",11.70%,11.7
"Panola County, Texas",11.80%,11.8
"Park County, Colorado",1.60%,1.6
"Park County, Montana",2.50%,2.5
"Park County, Wyoming",3.50%,3.5
"Parke County, Indiana",7.20%,7.2
"Parker County, Texas",6.30%,6.3
"Parmer County, Texas",9.90%,9.9
"Pasco County, Florida",6.40%,6.4
"Pasquotank County, North Carolina",7.10%,7.1
"Passaic County, New Jersey",6.30%,6.3
"Patillas Municipio, Puerto Rico",5.90%,5.9
"Patrick County, Virginia",8.70%,8.7
"Paulding County, Georgia",6.80%,6.8
"Paulding County, Ohio",7.80%,7.8
"Pawnee County, Kansas",7.90%,7.9
"Pawnee County, Nebraska",6.20%,6.2
"Pawnee County, Oklahoma",8.90%,8.9
"Payette County, Idaho",8.60%,8.6
"Payne County, Oklahoma",4.50%,4.5
"Peach County, Georgia",8.40%,8.4
"Pearl River County, Mississippi",8.10%,8.1
"Pecos County, Texas",13.80%,13.8
"Pembina County, North Dakota",4.30%,4.3
"Pemiscot County, Missouri",10.40%,10.4
"Pend Oreille County, Washington",5.20%,5.2
"Pender County, North Carolina",6.60%,6.6
"Pendleton County, Kentucky",10.20%,10.2
"Pendleton County, West Virginia",10.60%,10.6
"Pennington County, Minnesota",3.50%,3.5
"Pennington County, South Dakota",3.70%,3.7
"Penobscot County, Maine",4.30%,4.3
"Peñuelas Municipio, Puerto Rico",9.70%,9.7
"Peoria County, Illinois",4.90%,4.9
"Pepin County, Wisconsin",3.60%,3.6
"Perkins County, Nebraska",4.30%,4.3
"Perkins County, South Dakota",5.60%,5.6
"Perquimans County, North Carolina",9.80%,9.8
"Perry County, Alabama",13.80%,13.8
"Perry County, Arkansas",5.60%,5.6
"Perry County, Illinois",11.90%,11.9
"Perry County, Indiana",6.80%,6.8
"Perry County, Kentucky",12%,12
"Perry County, Mississippi",8.50%,8.5
"Perry County, Missouri",8.90%,8.9
"Perry County, Ohio",10.10%,10.1
"Perry County, Pennsylvania",7.50%,7.5
"Perry County, Tennessee",8%,8
"Pershing County, Nevada",13.10%,13.1
"Person County, North Carolina",7.90%,7.9
"Petersburg Borough, Alaska",4.30%,4.3
"Petersburg city, Virginia",8.30%,8.3
"Petroleum County, Montana",0.30%,0.3
"Pettis County, Missouri",7.50%,7.5
"Phelps County, Missouri",5.60%,5.6
"Phelps County, Nebraska",6%,6
"Philadelphia County, Pennsylvania",8.10%,8.1
"Phillips County, Arkansas",12.20%,12.2
"Phillips County, Colorado",6.50%,6.5
"Phillips County, Kansas",5.80%,5.8
"Phillips County, Montana",5.30%,5.3
"Piatt County, Illinois",4.80%,4.8
"Pickaway County, Ohio",9.80%,9.8
"Pickens County, Alabama",8.60%,8.6
"Pickens County, Georgia",7.40%,7.4
"Pickens County, South Carolina",9.40%,9.4
"Pickett County, Tennessee",12.20%,12.2
"Pierce County, Georgia",7.40%,7.4
"Pierce County, Nebraska",2.80%,2.8
"Pierce County, North Dakota",4.60%,4.6
"Pierce County, Washington",5.10%,5.1
"Pierce County, Wisconsin",3.60%,3.6
"Pike County, Alabama",9%,9
"Pike County, Arkansas",4.50%,4.5
"Pike County, Georgia",9.50%,9.5
"Pike County, Illinois",6.80%,6.8
"Pike County, Indiana",6.40%,6.4
"Pike County, Kentucky",11.10%,11.1
"Pike County, Mississippi",12.70%,12.7
"Pike County, Missouri",11.10%,11.1
"Pike County, Ohio",12.10%,12.1
"Pike County, Pennsylvania",5.30%,5.3
"Pima County, Arizona",6.30%,6.3
"Pinal County, Arizona",7.10%,7.1
"Pine County, Minnesota",6.90%,6.9
"Pinellas County, Florida",4.90%,4.9
"Pipestone County, Minnesota",4.60%,4.6
"Piscataquis County, Maine",4.30%,4.3
"Pitkin County, Colorado",1.50%,1.5
"Pitt County, North Carolina",6.20%,6.2
"Pittsburg County, Oklahoma",9.50%,9.5
"Pittsylvania County, Virginia",10.30%,10.3
"Piute County, Utah",6.50%,6.5
"Placer County, California",3.10%,3.1
"Plaquemines Parish, Louisiana",6.30%,6.3
"Platte County, Missouri",2.60%,2.6
"Platte County, Nebraska",5.20%,5.2
"Platte County, Wyoming",4.30%,4.3
"Pleasants County, West Virginia",9.10%,9.1
"Plumas County, California",3.70%,3.7
"Plymouth County, Iowa",2.90%,2.9
"Plymouth County, Massachusetts",3.70%,3.7
"Pocahontas County, Iowa",7.10%,7.1
"Pocahontas County, West Virginia",13.50%,13.5
"Poinsett County, Arkansas",10%,10
"Pointe Coupee Parish, Louisiana",11.30%,11.3
"Polk County, Arkansas",8.70%,8.7
"Polk County, Florida",7.70%,7.7
"Polk County, Georgia",10.60%,10.6
"Polk County, Iowa",3.80%,3.8
"Polk County, Minnesota",4%,4
"Polk County, Missouri",7.90%,7.9
"Polk County, Nebraska",6%,6
"Polk County, North Carolina",5.10%,5.1
"Polk County, Oregon",5.30%,5.3
"Polk County, Tennessee",8.20%,8.2
"Polk County, Texas",11.80%,11.8
"Polk County, Wisconsin",5.30%,5.3
"Ponce Municipio, Puerto Rico",7.90%,7.9
"Pondera County, Montana",5.20%,5.2
"Pontotoc County, Mississippi",12.10%,12.1
"Pontotoc County, Oklahoma",8.30%,8.3
"Pope County, Arkansas",9.20%,9.2
"Pope County, Illinois",6.50%,6.5
"Pope County, Minnesota",2.70%,2.7
"Poquoson city, Virginia",2.40%,2.4
"Portage County, Ohio",5.30%,5.3
"Portage County, Wisconsin",3.60%,3.6
"Porter County, Indiana",4.10%,4.1
"Portsmouth city, Virginia",8%,8
"Posey County, Indiana",4.20%,4.2
"Pottawatomie County, Kansas",3.40%,3.4
"Pottawatomie County, Oklahoma",9.10%,9.1
"Pottawattamie County, Iowa",6.50%,6.5
"Potter County, Pennsylvania",7.10%,7.1
"Potter County, South Dakota",1.40%,1.4
"Potter County, Texas",11.70%,11.7
"Powder River County, Montana",9.80%,9.8
"Powell County, Kentucky",10.20%,10.2
"Powell County, Montana",5.30%,5.3
"Power County, Idaho",7.40%,7.4
"Poweshiek County, Iowa",2.80%,2.8
"Powhatan County, Virginia",6.50%,6.5
"Prairie County, Arkansas",7.90%,7.9
"Prairie County, Montana",9.60%,9.6
"Pratt County, Kansas",5.60%,5.6
"Preble County, Ohio",6.40%,6.4
"Prentiss County, Mississippi",11.80%,11.8
"Presidio County, Texas",6.70%,6.7
"Presque Isle County, Michigan",5.50%,5.5
"Preston County, West Virginia",8.70%,8.7
"Price County, Wisconsin",5.70%,5.7
"Prince Edward County, Virginia",6.90%,6.9
"Prince George County, Virginia",7.50%,7.5
"Prince George's County, Maryland",5.80%,5.8
"Prince of Wales-Hyder Census Area, Alaska",6.20%,6.2
"Prince William County, Virginia",4.40%,4.4
"Providence County, Rhode Island",7%,7
"Prowers County, Colorado",6.30%,6.3
"Pueblo County, Colorado",6.50%,6.5
"Pulaski County, Arkansas",5.10%,5.1
"Pulaski County, Georgia",6.20%,6.2
"Pulaski County, Illinois",8.90%,8.9
"Pulaski County, Indiana",8.90%,8.9
"Pulaski County, Kentucky",8.90%,8.9
"Pulaski County, Missouri",3.70%,3.7
"Pulaski County, Virginia",6.30%,6.3
"Pushmataha County, Oklahoma",11.10%,11.1
"Putnam County, Florida",12.70%,12.7
"Putnam County, Georgia",7.50%,7.5
"Putnam County, Illinois",5.40%,5.4
"Putnam County, Indiana",6.20%,6.2
"Putnam County, Missouri",3.20%,3.2
"Putnam County, New York",3.70%,3.7
"Putnam County, Ohio",3.40%,3.4
"Putnam County, Tennessee",6.20%,6.2
"Putnam County, West Virginia",4.20%,4.2
"Quay County, New Mexico",11.30%,11.3
"Quebradillas Municipio, Puerto Rico",8.90%,8.9
"Queen Anne's County, Maryland",5.10%,5.1
"Queens County, New York",7%,7
"Quitman County, Georgia",14.60%,14.6
"Quitman County, Mississippi",16.60%,16.6
"Rabun County, Georgia",7.10%,7.1
"Racine County, Wisconsin",5.80%,5.8
"Radford city, Virginia",3.70%,3.7
"Rains County, Texas",6.90%,6.9
"Raleigh County, West Virginia",10.70%,10.7
"Ralls County, Missouri",5.20%,5.2
"Ramsey County, Minnesota",4%,4
"Ramsey County, North Dakota",5.10%,5.1
"Randall County, Texas",4%,4
"Randolph County, Alabama",11.90%,11.9
"Randolph County, Arkansas",7.30%,7.3
"Randolph County, Georgia",11.70%,11.7
"Randolph County, Illinois",10.20%,10.2
"Randolph County, Indiana",7.50%,7.5
"Randolph County, Missouri",7.60%,7.6
"Randolph County, North Carolina",10.20%,10.2
"Randolph County, West Virginia",7.80%,7.8
"Rankin County, Mississippi",6.60%,6.6
"Ransom County, North Dakota",5.30%,5.3
"Rapides Parish, Louisiana",8.20%,8.2
"Rappahannock County, Virginia",5.80%,5.8
"Ravalli County, Montana",5.20%,5.2
"Rawlins County, Kansas",3.20%,3.2
"Ray County, Missouri",7.50%,7.5
"Reagan County, Texas",10.40%,10.4
"Real County, Texas",3.80%,3.8
"Red Lake County, Minnesota",3.10%,3.1
"Red River County, Texas",9.50%,9.5
"Red River Parish, Louisiana",16.50%,16.5
"Red Willow County, Nebraska",5.10%,5.1
"Redwood County, Minnesota",4.40%,4.4
"Reeves County, Texas",15.50%,15.5
"Refugio County, Texas",10.40%,10.4
"Reno County, Kansas",6.20%,6.2
"Rensselaer County, New York",4.90%,4.9
"Renville County, Minnesota",6%,6
"Renville County, North Dakota",3.80%,3.8
"Republic County, Kansas",3%,3
"Reynolds County, Missouri",15.70%,15.7
"Rhea County, Tennessee",11.90%,11.9
"Rice County, Kansas",5.80%,5.8
"Rice County, Minnesota",4.60%,4.6
"Rich County, Utah",2.30%,2.3
"Richardson County, Nebraska",7%,7
"Richland County, Illinois",5.70%,5.7
"Richland County, Montana",3.50%,3.5
"Richland County, North Dakota",4.20%,4.2
"Richland County, Ohio",7.40%,7.4
"Richland County, South Carolina",5.70%,5.7
"Richland County, Wisconsin",4.90%,4.9
"Richland Parish, Louisiana",14.70%,14.7
"Richmond city, Virginia",6.80%,6.8
"Richmond County, Georgia",9.20%,9.2
"Richmond County, New York",6.10%,6.1
"Richmond County, North Carolina",11.60%,11.6
"Richmond County, Virginia",16.30%,16.3
"Riley County, Kansas",2.50%,2.5
"Rincón Municipio, Puerto Rico",8.30%,8.3
"Ringgold County, Iowa",4.10%,4.1
"Rio Arriba County, New Mexico",9.20%,9.2
"Rio Blanco County, Colorado",5.80%,5.8
"Rio Grande County, Colorado",4.90%,4.9
"Río Grande Municipio, Puerto Rico",7.80%,7.8
"Ripley County, Indiana",6.50%,6.5
"Ripley County, Missouri",12.50%,12.5
"Ritchie County, West Virginia",9.30%,9.3
"Riverside County, California",7.90%,7.9
"Roane County, Tennessee",6.70%,6.7
"Roane County, West Virginia",12.60%,12.6
"Roanoke city, Virginia",7.50%,7.5
"Roanoke County, Virginia",4.10%,4.1
"Roberts County, South Dakota",6.60%,6.6
"Roberts County, Texas",8.20%,8.2
"Robertson County, Kentucky",9.20%,9.2
"Robertson County, Tennessee",7.30%,7.3
"Robertson County, Texas",9.50%,9.5
"Robeson County, North Carolina",14.90%,14.9
"Rock County, Minnesota",3.80%,3.8
"Rock County, Nebraska",2.90%,2.9
"Rock County, Wisconsin",5.30%,5.3
"Rock Island County, Illinois",6.60%,6.6
"Rockbridge County, Virginia",5.80%,5.8
"Rockcastle County, Kentucky",9.80%,9.8
"Rockdale County, Georgia",6.70%,6.7
"Rockingham County, New Hampshire",3%,3
"Rockingham County, North Carolina",11.30%,11.3
"Rockingham County, Virginia",7.70%,7.7
"Rockland County, New York",6.20%,6.2
"Rockwall County, Texas",3.20%,3.2
"Roger Mills County, Oklahoma",5.60%,5.6
"Rogers County, Oklahoma",5.50%,5.5
"Rolette County, North Dakota",10.90%,10.9
"Rooks County, Kansas",6%,6
"Roosevelt County, Montana",5%,5
"Roosevelt County, New Mexico",7.60%,7.6
"Roscommon County, Michigan",7%,7
"Roseau County, Minnesota",5.20%,5.2
"Rosebud County, Montana",7.10%,7.1
"Ross County, Ohio",8.30%,8.3
"Routt County, Colorado",2.10%,2.1
"Rowan County, Kentucky",7.60%,7.6
"Rowan County, North Carolina",8.30%,8.3
"Runnels County, Texas",7.90%,7.9
"Rush County, Indiana",7.40%,7.4
"Rush County, Kansas",7.10%,7.1
"Rusk County, Texas",10.90%,10.9
"Rusk County, Wisconsin",6.60%,6.6
"Russell County, Alabama",9.30%,9.3
"Russell County, Kansas",4.70%,4.7
"Russell County, Kentucky",9.70%,9.7
"Russell County, Virginia",8.40%,8.4
"Rutherford County, North Carolina",9.60%,9.6
"Rutherford County, Tennessee",4.50%,4.5
"Rutland County, Vermont",4.60%,4.6
"Sabana Grande Municipio, Puerto Rico",6.10%,6.1
"Sabine County, Texas",8.90%,8.9
"Sabine Parish, Louisiana",10%,10
"Sac County, Iowa",3.70%,3.7
"Sacramento County, California",5.50%,5.5
"Sagadahoc County, Maine",3.90%,3.9
"Saginaw County, Michigan",7.10%,7.1
"Saguache County, Colorado",6%,6
"Salem city, Virginia",4%,4
"Salem County, New Jersey",6.60%,6.6
"Salinas Municipio, Puerto Rico",8.30%,8.3
"Saline County, Arkansas",5.50%,5.5
"Saline County, Illinois",7.10%,7.1
"Saline County, Kansas",4.90%,4.9
"Saline County, Missouri",7.20%,7.2
"Saline County, Nebraska",6.10%,6.1
"Salt Lake County, Utah",4.90%,4.9
"Saluda County, South Carolina",9.50%,9.5
"Sampson County, North Carolina",10.40%,10.4
"San Augustine County, Texas",12.80%,12.8
"San Benito County, California",6.40%,6.4
"San Bernardino County, California",10.10%,10.1
"San Diego County, California",5.30%,5.3
"San Francisco County, California",4.30%,4.3
"San Germán Municipio, Puerto Rico",10.20%,10.2
"San Jacinto County, Texas",8.60%,8.6
"San Joaquin County, California",8.40%,8.4
"San Juan County, Colorado",0%,0
"San Juan County, New Mexico",10.70%,10.7
"San Juan County, Utah",6.20%,6.2
"San Juan County, Washington",2.90%,2.9
"San Juan Municipio, Puerto Rico",5.60%,5.6
"San Lorenzo Municipio, Puerto Rico",9%,9
"San Luis Obispo County, California",4.60%,4.6
"San Mateo County, California",3.90%,3.9
"San Miguel County, Colorado",1.50%,1.5
"San Miguel County, New Mexico",9.90%,9.9
"San Patricio County, Texas",9.50%,9.5
"San Saba County, Texas",8%,8
"San Sebastián Municipio, Puerto Rico",10%,10
"Sanborn County, South Dakota",6%,6
"Sanders County, Montana",6.60%,6.6
"Sandoval County, New Mexico",5.50%,5.5
"Sandusky County, Ohio",5.10%,5.1
"Sangamon County, Illinois",5.20%,5.2
"Sanilac County, Michigan",6.10%,6.1
"Sanpete County, Utah",6.40%,6.4
"Santa Barbara County, California",6.60%,6.6
"Santa Clara County, California",4.40%,4.4
"Santa Cruz County, Arizona",12%,12
"Santa Cruz County, California",4.10%,4.1
"Santa Fe County, New Mexico",4.90%,4.9
"Santa Isabel Municipio, Puerto Rico",5.80%,5.8
"Santa Rosa County, Florida",5.60%,5.6
"Sarasota County, Florida",4%,4
"Saratoga County, New York",4.10%,4.1
"Sargent County, North Dakota",4.10%,4.1
"Sarpy County, Nebraska",2.70%,2.7
"Sauk County, Wisconsin",5.20%,5.2
"Saunders County, Nebraska",3.10%,3.1
"Sawyer County, Wisconsin",5.50%,5.5
"Schenectady County, New York",5.20%,5.2
"Schleicher County, Texas",8.20%,8.2
"Schley County, Georgia",11.40%,11.4
"Schoharie County, New York",6.40%,6.4
"Schoolcraft County, Michigan",8.10%,8.1
"Schuyler County, Illinois",6.90%,6.9
"Schuyler County, Missouri",5%,5
"Schuyler County, New York",5.60%,5.6
"Schuylkill County, Pennsylvania",7.70%,7.7
"Scioto County, Ohio",9.10%,9.1
"Scotland County, Missouri",3.90%,3.9
"Scotland County, North Carolina",14.40%,14.4
"Scott County, Arkansas",10%,10
"Scott County, Illinois",5.30%,5.3
"Scott County, Indiana",13%,13
"Scott County, Iowa",4.10%,4.1
"Scott County, Kansas",7.90%,7.9
"Scott County, Kentucky",4%,4
"Scott County, Minnesota",2.80%,2.8
"Scott County, Mississippi",11.50%,11.5
"Scott County, Missouri",9%,9
"Scott County, Tennessee",13.20%,13.2
"Scott County, Virginia",8.90%,8.9
"Scotts Bluff County, Nebraska",6.20%,6.2
