Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Lumpkin County, Georgia",183,"33,488",0.55
"Luna County, New Mexico",44,"25,427",0.17
"Lunenburg County, Virginia",0,"11,936",0
"Luquillo Municipio, Puerto Rico",37,"17,781",0.21
"Luzerne County, Pennsylvania","2,862","325,594",0.88
"Lycoming County, Pennsylvania",983,"114,188",0.86
"Lyman County, South Dakota",6,"3,718",0.16
"Lynchburg city, Virginia",936,"79,009",1.18
"Lynn County, Texas",0,"5,596",0
"Lyon County, Iowa",154,"11,934",1.29
"Lyon County, Kansas",192,"32,179",0.6
"Lyon County, Kentucky",90,"8,680",1.04
"Lyon County, Minnesota",204,"25,269",0.81
"Lyon County, Nevada",39,"59,235",0.07
"Mackinac County, Michigan",56,"10,834",0.52
"Macomb County, Michigan","3,927","881,217",0.45
"Macon County, Alabama",0,"19,532",0
"Macon County, Georgia",251,"12,082",2.08
"Macon County, Illinois",748,"103,998",0.72
"Macon County, Missouri",185,"15,209",1.22
"Macon County, North Carolina",64,"37,014",0.17
"Macon County, Tennessee",146,"25,216",0.58
"Macoupin County, Illinois",471,"44,967",1.05
"Madera County, California",349,"156,255",0.22
"Madison County, Alabama","1,794","388,153",0.46
"Madison County, Arkansas",146,"16,521",0.88
"Madison County, Florida",276,"17,968",1.54
"Madison County, Georgia",99,"30,120",0.33
"Madison County, Idaho",179,"52,913",0.34
"Madison County, Illinois","1,834","265,859",0.69
"Madison County, Indiana",768,"130,129",0.59
"Madison County, Iowa",98,"16,548",0.59
"Madison County, Kentucky",440,"92,701",0.47
"Madison County, Mississippi","1,141","109,145",1.05
"Madison County, Missouri",143,"12,626",1.13
"Madison County, Montana",63,"8,623",0.73
"Madison County, Nebraska",624,"35,585",1.75
"Madison County, New York",315,"68,016",0.46
"Madison County, North Carolina",187,"21,193",0.88
"Madison County, Ohio",252,"43,824",0.58
"Madison County, Tennessee",606,"98,823",0.61
"Madison County, Texas",106,"13,455",0.79
"Madison County, Virginia",110,"13,837",0.79
"Madison Parish, Louisiana",86,"10,017",0.86
"Magoffin County, Kentucky",125,"11,637",1.07
"Mahaska County, Iowa",305,"22,190",1.37
"Mahnomen County, Minnesota",19,"5,411",0.35
"Mahoning County, Ohio","2,363","228,614",1.03
"Major County, Oklahoma",81,"7,782",1.04
"Malheur County, Oregon",70,"31,571",0.22
"Manassas city, Virginia",0,"42,772",0
"Manassas Park city, Virginia",0,"17,219",0
"Manatee County, Florida","2,912","399,710",0.73
"Manatí Municipio, Puerto Rico",178,"39,492",0.45
"Manistee County, Michigan",125,"25,032",0.5
"Manitowoc County, Wisconsin",527,"81,359",0.65
"Marathon County, Wisconsin",843,"138,013",0.61
"Marengo County, Alabama",156,"19,323",0.81
"Maricao Municipio, Puerto Rico",0,"4,755",0
"Maricopa County, Arizona","13,798","4,420,568",0.31
"Maries County, Missouri",57,"8,432",0.68
"Marin County, California",869,"262,321",0.33
"Marinette County, Wisconsin",443,"41,872",1.06
"Marion County, Alabama",243,"29,341",0.83
"Marion County, Arkansas",136,"16,826",0.81
"Marion County, Florida","2,182","375,908",0.58
"Marion County, Georgia",70,"7,498",0.93
"Marion County, Illinois",506,"37,729",1.34
"Marion County, Indiana","4,342","977,203",0.44
"Marion County, Iowa",390,"33,414",1.17
"Marion County, Kansas",217,"11,823",1.84
"Marion County, Kentucky",174,"19,581",0.89
"Marion County, Mississippi",181,"24,441",0.74
"Marion County, Missouri",454,"28,525",1.59
"Marion County, Ohio",314,"65,359",0.48
"Marion County, Oregon","1,203","345,920",0.35
"Marion County, South Carolina",87,"29,183",0.3
"Marion County, Tennessee",94,"28,837",0.33
"Marion County, Texas",93,"9,725",0.96
"Marion County, West Virginia",447,"56,205",0.8
"Mariposa County, California",29,"17,131",0.17
"Marlboro County, South Carolina",100,"26,667",0.37
"Marquette County, Michigan",537,"66,017",0.81
"Marquette County, Wisconsin",60,"15,592",0.38
"Marshall County, Alabama",520,"97,612",0.53
"Marshall County, Illinois",217,"11,742",1.85
"Marshall County, Indiana",321,"46,095",0.7
"Marshall County, Iowa",710,"40,105",1.77
"Marshall County, Kansas",51,"10,038",0.51
"Marshall County, Kentucky",215,"31,659",0.68
"Marshall County, Minnesota",54,"9,040",0.6
"Marshall County, Mississippi",303,"33,752",0.9
"Marshall County, Oklahoma",87,"15,312",0.57
"Marshall County, South Dakota",38,"4,306",0.88
"Marshall County, Tennessee",173,"34,318",0.5
"Marshall County, West Virginia",191,"30,591",0.62
"Martin County, Florida","1,094","158,431",0.69
"Martin County, Indiana",10,"9,812",0.1
"Martin County, Kentucky",67,"11,287",0.59
"Martin County, Minnesota",154,"20,025",0.77
"Martin County, North Carolina",180,"22,031",0.82
"Martin County, Texas",0,"5,237",0
"Martinsville city, Virginia",244,"13,485",1.81
"Mason County, Illinois",138,"13,086",1.05
"Mason County, Kentucky",111,"17,120",0.65
"Mason County, Michigan",227,"29,052",0.78
"Mason County, Texas",0,"3,953",0
"Mason County, Washington",259,"65,726",0.39
"Mason County, West Virginia",162,"25,453",0.64
"Massac County, Illinois",168,"14,169",1.19
"Matagorda County, Texas",254,"36,255",0.7
"Matanuska-Susitna Borough, Alaska",197,"107,081",0.18
"Mathews County, Virginia",43,"8,533",0.5
"Maui County, Hawaii",426,"164,754",0.26
"Maunabo Municipio, Puerto Rico",18,"10,589",0.17
"Maury County, Tennessee",612,"100,974",0.61
"Maverick County, Texas",138,"57,887",0.24
"Mayagüez Municipio, Puerto Rico",627,"73,077",0.86
"Mayes County, Oklahoma",109,"39,046",0.28
"McClain County, Oklahoma",117,"41,662",0.28
"McCone County, Montana",16,"1,729",0.93
"McCook County, South Dakota",109,"5,682",1.92
"McCormick County, South Carolina",91,"9,526",0.96
"McCracken County, Kentucky",421,"67,875",0.62
"McCreary County, Kentucky",60,"16,888",0.36
"McCulloch County, Texas",52,"7,630",0.68
"McCurtain County, Oklahoma",135,"30,814",0.44
"McDonald County, Missouri",70,"23,303",0.3
"McDonough County, Illinois",304,"27,238",1.12
"McDowell County, North Carolina",255,"44,578",0.57
"McDowell County, West Virginia",109,"19,111",0.57
"McDuffie County, Georgia",104,"21,632",0.48
"McHenry County, Illinois","1,244","310,229",0.4
"McHenry County, North Dakota",40,"5,345",0.75
"McIntosh County, Georgia",0,"10,975",0
"McIntosh County, North Dakota",92,"2,530",3.64
"McIntosh County, Oklahoma",132,"18,941",0.7
"McKean County, Pennsylvania",546,"40,432",1.35
"McKenzie County, North Dakota",61,"14,704",0.41
"McKinley County, New Mexico",130,"72,902",0.18
"McLean County, Illinois",688,"170,954",0.4
"McLean County, Kentucky",59,"9,152",0.64
"McLean County, North Dakota",149,"9,771",1.52
"McLennan County, Texas","2,765","260,579",1.06
"McLeod County, Minnesota",515,"36,771",1.4
"McMinn County, Tennessee",415,"53,276",0.78
"McMullen County, Texas",0,600,0
"McNairy County, Tennessee",216,"25,866",0.84
"McPherson County, Kansas",673,"30,223",2.23
"McPherson County, Nebraska",0,399,0
"McPherson County, South Dakota",76,"2,411",3.15
"Meade County, Kansas",45,"4,055",1.11
"Meade County, Kentucky",60,"30,003",0.2
"Meade County, South Dakota",135,"29,852",0.45
"Meagher County, Montana",11,"1,927",0.57
"Mecklenburg County, North Carolina","3,450","1,115,482",0.31
"Mecklenburg County, Virginia",401,"30,319",1.32
"Mecosta County, Michigan",204,"39,714",0.51
"Medina County, Ohio","1,193","182,470",0.65
"Medina County, Texas",203,"50,748",0.4
"Meeker County, Minnesota",174,"23,400",0.74
"Meigs County, Ohio",167,"22,210",0.75
"Meigs County, Tennessee",46,"12,758",0.36
"Mellette County, South Dakota",42,"1,918",2.19
"Menard County, Illinois",96,"12,297",0.78
"Menard County, Texas",29,"1,962",1.48
"Mendocino County, California",207,"91,601",0.23
"Menifee County, Kentucky",51,"6,113",0.83
"Menominee County, Michigan",203,"23,502",0.86
"Menominee County, Wisconsin",0,"4,255",0
"Merced County, California",548,"281,202",0.19
"Mercer County, Illinois",106,"15,699",0.68
"Mercer County, Kentucky",173,"22,641",0.76
"Mercer County, Missouri",53,"3,538",1.5
"Mercer County, New Jersey","1,632","387,340",0.42
"Mercer County, North Dakota",102,"8,350",1.22
"Mercer County, Ohio",397,"42,528",0.93
"Mercer County, Pennsylvania","1,212","110,652",1.1
"Mercer County, West Virginia",363,"59,664",0.61
"Meriwether County, Georgia",80,"20,613",0.39
"Merrick County, Nebraska",84,"7,668",1.1
"Merrimack County, New Hampshire",999,"153,808",0.65
"Mesa County, Colorado",611,"155,703",0.39
"Metcalfe County, Kentucky",73,"10,286",0.71
"Miami County, Indiana",175,"35,962",0.49
"Miami County, Kansas",238,"34,191",0.7
"Miami County, Ohio",648,"108,774",0.6
"Miami-Dade County, Florida","7,898","2,701,767",0.29
"Middlesex County, Connecticut","1,504","164,245",0.92
"Middlesex County, Massachusetts","8,890","1,632,002",0.54
"Middlesex County, New Jersey","3,116","863,162",0.36
"Middlesex County, Virginia",143,"10,625",1.35
"Midland County, Michigan",597,"83,494",0.72
"Midland County, Texas",332,"169,983",0.2
"Mifflin County, Pennsylvania",385,"46,143",0.83
"Milam County, Texas",164,"24,754",0.66
"Millard County, Utah",49,"12,975",0.38
"Mille Lacs County, Minnesota",233,"26,459",0.88
"Miller County, Arkansas",224,"42,600",0.53
"Miller County, Georgia",129,"6,000",2.15
"Miller County, Missouri",276,"24,722",1.12
"Mills County, Iowa",62,"14,484",0.43
"Mills County, Texas",82,"4,456",1.84
"Milwaukee County, Wisconsin","4,582","939,489",0.49
"Miner County, South Dakota",64,"2,298",2.79
"Mineral County, Colorado",0,865,0
"Mineral County, Montana",0,"4,535",0
"Mineral County, Nevada",0,"4,554",0
"Mineral County, West Virginia",121,"26,938",0.45
"Mingo County, West Virginia",69,"23,568",0.29
"Minidoka County, Idaho",38,"21,613",0.18
"Minnehaha County, South Dakota","1,120","197,214",0.57
"Missaukee County, Michigan",66,"15,052",0.44
"Mississippi County, Arkansas",248,"40,685",0.61
"Mississippi County, Missouri",117,"12,577",0.93
"Missoula County, Montana",460,"117,922",0.39
"Mitchell County, Georgia",173,"21,755",0.8
"Mitchell County, Iowa",217,"10,565",2.05
"Mitchell County, Kansas",34,"5,796",0.59
"Mitchell County, North Carolina",73,"14,903",0.49
"Mitchell County, Texas",50,"8,990",0.56
"Mobile County, Alabama","1,769","414,809",0.43
"Moca Municipio, Puerto Rico",245,"37,460",0.65
"Modoc County, California",75,"8,700",0.86
"Moffat County, Colorado",54,"13,292",0.41
"Mohave County, Arizona",688,"213,267",0.32
"Moniteau County, Missouri",142,"15,473",0.92
"Monmouth County, New Jersey","2,870","643,615",0.45
"Mono County, California",0,"13,195",0
"Monona County, Iowa",143,"8,751",1.63
"Monongalia County, West Virginia",371,"105,822",0.35
"Monroe County, Alabama",127,"19,772",0.64
"Monroe County, Arkansas",57,"6,799",0.84
"Monroe County, Florida",237,"82,874",0.29
"Monroe County, Georgia",287,"27,957",1.03
"Monroe County, Illinois",227,"34,962",0.65
"Monroe County, Indiana",769,"139,718",0.55
"Monroe County, Iowa",77,"7,577",1.02
"Monroe County, Kentucky",109,"11,338",0.96
"Monroe County, Michigan",660,"154,809",0.43
"Monroe County, Mississippi",357,"34,180",1.04
"Monroe County, Missouri",90,"8,666",1.04
"Monroe County, New York","5,116","759,443",0.67
"Monroe County, Ohio",72,"13,385",0.54
"Monroe County, Pennsylvania",570,"168,327",0.34
"Monroe County, Tennessee",220,"46,250",0.48
"Monroe County, West Virginia",82,"12,376",0.66
"Monroe County, Wisconsin",247,"46,274",0.53
"Montague County, Texas",147,"19,965",0.74
"Montcalm County, Michigan",227,"66,614",0.34
"Monterey County, California","1,310","439,035",0.3
"Montezuma County, Colorado",103,"25,849",0.4
"Montgomery County, Alabama","1,298","228,954",0.57
"Montgomery County, Arkansas",85,"8,484",1
"Montgomery County, Georgia",13,"8,610",0.15
"Montgomery County, Illinois",453,"28,288",1.6
"Montgomery County, Indiana",324,"37,936",0.85
"Montgomery County, Iowa",165,"10,330",1.6
"Montgomery County, Kansas",250,"31,486",0.79
"Montgomery County, Kentucky",138,"28,114",0.49
"Montgomery County, Maryland","4,350","1,062,061",0.41
"Montgomery County, Mississippi",84,"9,822",0.86
"Montgomery County, Missouri",176,"11,322",1.55
"Montgomery County, New York",591,"49,532",1.19
"Montgomery County, North Carolina",121,"25,751",0.47
"Montgomery County, Ohio","4,214","537,309",0.78
"Montgomery County, Pennsylvania","7,248","856,553",0.85
"Montgomery County, Tennessee",642,"220,069",0.29
"Montgomery County, Texas","1,086","620,443",0.18
"Montgomery County, Virginia",395,"99,721",0.4
"Montmorency County, Michigan",27,"9,153",0.29
"Montour County, Pennsylvania",254,"18,136",1.4
"Montrose County, Colorado",221,"42,679",0.52
"Moody County, South Dakota",83,"6,336",1.31
"Moore County, North Carolina",886,"99,727",0.89
"Moore County, Tennessee",50,"6,461",0.77
"Moore County, Texas",80,"21,358",0.37
"Mora County, New Mexico",0,"4,189",0
"Morehouse Parish, Louisiana",256,"25,629",1
"Morgan County, Alabama",676,"123,421",0.55
"Morgan County, Colorado",295,"29,111",1.01
"Morgan County, Georgia",85,"20,097",0.42
"Morgan County, Illinois",416,"32,915",1.26
"Morgan County, Indiana",345,"71,780",0.48
"Morgan County, Kentucky",53,"13,726",0.39
"Morgan County, Missouri",207,"21,006",0.99
"Morgan County, Ohio",131,"13,802",0.95
"Morgan County, Tennessee",65,"21,035",0.31
"Morgan County, Utah",29,"12,295",0.24
"Morgan County, West Virginia",184,"17,063",1.08
"Morovis Municipio, Puerto Rico",43,"28,727",0.15
"Morrill County, Nebraska",86,"4,555",1.89
"Morris County, Kansas",50,"5,386",0.93
"Morris County, New Jersey","2,934","509,285",0.58
"Morris County, Texas",74,"11,973",0.62
"Morrison County, Minnesota",246,"34,010",0.72
"Morrow County, Ohio",164,"34,950",0.47
"Morrow County, Oregon",0,"12,186",0
"Morton County, Kansas",42,"2,701",1.55
"Morton County, North Dakota",444,"33,291",1.33
"Motley County, Texas",0,"1,063",0
"Moultrie County, Illinois",164,"14,526",1.13
"Mountrail County, North Dakota",33,"9,809",0.34
"Mower County, Minnesota",298,"40,029",0.74
"Muhlenberg County, Kentucky",265,"30,928",0.86
"Multnomah County, Oregon","3,098","815,428",0.38
"Murray County, Georgia",103,"39,973",0.26
"Murray County, Minnesota",49,"8,179",0.6
"Murray County, Oklahoma",386,"13,904",2.78
"Muscatine County, Iowa",393,"43,235",0.91
"Muscogee County, Georgia","1,093","206,922",0.53
"Muskegon County, Michigan",826,"175,824",0.47
"Muskingum County, Ohio",533,"86,410",0.62
"Muskogee County, Oklahoma",715,"66,339",1.08
"Musselshell County, Montana",15,"4,730",0.32
"Nacogdoches County, Texas",449,"64,653",0.69
"Naguabo Municipio, Puerto Rico",29,"23,386",0.12
"Nance County, Nebraska",61,"3,380",1.8
"Nantucket County, Massachusetts",34,"14,255",0.24
"Napa County, California","1,809","138,019",1.31
"Naranjito Municipio, Puerto Rico",37,"29,241",0.13
"Nash County, North Carolina",453,"94,970",0.48
"Nassau County, Florida",434,"90,352",0.48
"Nassau County, New York","6,895","1,395,774",0.49
"Natchitoches Parish, Louisiana",139,"37,515",0.37
"Natrona County, Wyoming",356,"79,955",0.45
"Navajo County, Arizona",352,"106,717",0.33
"Navarro County, Texas",417,"52,624",0.79
"Nelson County, Kentucky",146,"46,738",0.31
"Nelson County, North Dakota",113,"3,015",3.75
"Nelson County, Virginia",40,"14,775",0.27
"Nemaha County, Kansas",219,"10,273",2.13
"Nemaha County, Nebraska",64,"7,074",0.9
"Neosho County, Kansas",129,"15,904",0.81
"Neshoba County, Mississippi",353,"29,087",1.21
"Ness County, Kansas",62,"2,687",2.31
"Nevada County, Arkansas",122,"8,310",1.47
"Nevada County, California",777,"102,241",0.76
"New Castle County, Delaware","2,747","570,719",0.48
"New Hanover County, North Carolina",856,"225,702",0.38
"New Haven County, Connecticut","5,643","864,835",0.65
"New Kent County, Virginia",0,"22,945",0
"New London County, Connecticut","1,795","268,555",0.67
"New Madrid County, Missouri",260,"16,434",1.58
"New York County, New York","4,698","1,694,251",0.28
"Newaygo County, Michigan",290,"49,978",0.58
"Newberry County, South Carolina",269,"37,719",0.71
"Newport County, Rhode Island",816,"85,643",0.95
"Newport News city, Virginia",762,"186,247",0.41
"Newton County, Arkansas",68,"7,225",0.94
"Newton County, Georgia",292,"112,483",0.26
"Newton County, Indiana",106,"13,830",0.77
"Newton County, Mississippi",230,"21,291",1.08
"Newton County, Missouri",518,"58,648",0.88
"Newton County, Texas",63,"12,217",0.52
"Nez Perce County, Idaho",504,"42,090",1.2
"Niagara County, New York","1,321","212,666",0.62
"Nicholas County, Kentucky",102,"7,537",1.35
"Nicholas County, West Virginia",52,"24,604",0.21
"Nicollet County, Minnesota",389,"34,454",1.13
"Niobrara County, Wyoming",19,"2,467",0.77
"Noble County, Indiana",383,"47,457",0.81
"Noble County, Ohio",102,"14,115",0.72
"Noble County, Oklahoma",200,"10,924",1.83
"Nobles County, Minnesota",250,"22,290",1.12
"Nodaway County, Missouri",222,"21,241",1.05
"Nolan County, Texas",94,"14,738",0.64
"Nome Census Area, Alaska",5,"10,046",0.05
"Norfolk city, Virginia",898,"238,005",0.38
"Norfolk County, Massachusetts","4,495","725,981",0.62
"Norman County, Minnesota",92,"6,441",1.43
"North Slope Borough, Alaska",0,"11,031",0
"Northampton County, North Carolina",296,"17,471",1.69
"Northampton County, Pennsylvania","3,239","312,951",1.03
"Northampton County, Virginia",126,"12,282",1.03
"Northumberland County, Pennsylvania",726,"91,647",0.79
"Northumberland County, Virginia",0,"11,839",0
"Northwest Arctic Borough, Alaska",11,"7,793",0.14
"Norton city, Virginia",26,"3,687",0.71
"Norton County, Kansas",89,"5,459",1.63
"Nottoway County, Virginia",182,"15,642",1.16
"Nowata County, Oklahoma",57,"9,320",0.61
"Noxubee County, Mississippi",94,"10,285",0.91
"Nuckolls County, Nebraska",44,"4,095",1.07
"Nueces County, Texas","1,711","353,178",0.48
"Nye County, Nevada",188,"51,591",0.36
"O'Brien County, Iowa",360,"14,182",2.54
"Oakland County, Michigan","4,879","1,274,395",0.38
"Obion County, Tennessee",158,"30,787",0.51
"Ocean County, New Jersey","4,905","637,229",0.77
"Oceana County, Michigan",127,"26,659",0.48
"Ochiltree County, Texas",37,"10,015",0.37
"Oconee County, Georgia",106,"41,799",0.25
"Oconee County, South Carolina",288,"78,607",0.37
"Oconto County, Wisconsin",209,"38,965",0.54
"Ogemaw County, Michigan",136,"20,770",0.65
"Oglala Lakota County, South Dakota",24,"13,672",0.18
"Ogle County, Illinois",361,"51,788",0.7
"Oglethorpe County, Georgia",65,"14,825",0.44
"Ohio County, Indiana",34,"5,940",0.57
"Ohio County, Kentucky",216,"23,772",0.91
"Ohio County, West Virginia",306,"42,425",0.72
"Okaloosa County, Florida",859,"211,668",0.41
"Okanogan County, Washington",188,"42,104",0.45
"Okeechobee County, Florida",154,"39,644",0.39
"Okfuskee County, Oklahoma",170,"11,310",1.5
"Oklahoma County, Oklahoma","4,202","796,292",0.53
"Okmulgee County, Oklahoma",370,"36,706",1.01
"Oktibbeha County, Mississippi",353,"51,788",0.68
"Oldham County, Kentucky",305,"67,607",0.45
"Oldham County, Texas",0,"1,758",0
"Oliver County, North Dakota",0,"1,877",0
"Olmsted County, Minnesota","1,123","162,847",0.69
"Oneida County, Idaho",45,"4,564",0.99
"Oneida County, New York","2,489","232,125",1.07
"Oneida County, Wisconsin",245,"37,845",0.65
"Onondaga County, New York","4,438","476,516",0.93
"Onslow County, North Carolina",255,"204,576",0.12
"Ontario County, New York",764,"112,458",0.68
"Ontonagon County, Michigan",32,"5,816",0.55
"Orange County, California","6,892","3,186,989",0.22
"Orange County, Florida","5,078","1,429,908",0.36
"Orange County, Indiana",157,"19,867",0.79
"Orange County, New York","1,145","401,310",0.29
"Orange County, North Carolina",621,"148,696",0.42
"Orange County, Texas",326,"84,808",0.38
"Orange County, Vermont",62,"29,277",0.21
"Orange County, Virginia",149,"36,254",0.41
"Orangeburg County, South Carolina",448,"84,223",0.53
"Oregon County, Missouri",86,"8,635",1
"Orleans County, New York",176,"40,343",0.44
"Orleans County, Vermont",226,"27,393",0.83
"Orleans Parish, Louisiana","2,004","383,997",0.52
"Orocovis Municipio, Puerto Rico",10,"21,434",0.05
"Osage County, Kansas",116,"15,766",0.74
"Osage County, Missouri",71,"13,274",0.53
"Osage County, Oklahoma",95,"45,818",0.21
"Osborne County, Kansas",86,"3,500",2.46
"Osceola County, Florida","1,101","388,656",0.28
"Osceola County, Iowa",78,"6,192",1.26
"Osceola County, Michigan",43,"22,891",0.19
"Oscoda County, Michigan",32,"8,219",0.39
"Oswego County, New York",536,"117,525",0.46
"Otero County, Colorado",165,"18,690",0.88
"Otero County, New Mexico",175,"67,839",0.26
"Otoe County, Nebraska",195,"15,912",1.23
"Otsego County, Michigan",93,"25,091",0.37
"Otsego County, New York",286,"58,524",0.49
"Ottawa County, Kansas",58,"5,735",1.01
"Ottawa County, Michigan","1,516","296,200",0.51
"Ottawa County, Ohio",377,"40,364",0.93
"Ottawa County, Oklahoma",241,"30,285",0.8
"Otter Tail County, Minnesota",647,"60,081",1.08
"Ouachita County, Arkansas",230,"22,650",1.02
"Ouachita Parish, Louisiana",805,"160,368",0.5
"Ouray County, Colorado",0,"4,874",0
"Outagamie County, Wisconsin","1,200","190,705",0.63
"Overton County, Tennessee",77,"22,511",0.34
"Owen County, Indiana",158,"21,321",0.74
"Owen County, Kentucky",98,"11,278",0.87
"Owsley County, Kentucky",77,"4,051",1.9
"Owyhee County, Idaho",79,"11,913",0.66
"Oxford County, Maine",703,"57,777",1.22
"Ozark County, Missouri",60,"8,553",0.7
"Ozaukee County, Wisconsin",346,"91,503",0.38
"Pacific County, Washington",38,"23,365",0.16
"Page County, Iowa",160,"15,211",1.05
"Page County, Virginia",142,"23,709",0.6
"Palm Beach County, Florida","10,086","1,492,191",0.68
"Palo Alto County, Iowa",154,"8,996",1.71
"Palo Pinto County, Texas",154,"28,409",0.54
"Pamlico County, North Carolina",117,"12,276",0.95
"Panola County, Mississippi",215,"33,208",0.65
"Panola County, Texas",185,"22,491",0.82
"Park County, Colorado",0,"17,390",0
"Park County, Montana",109,"17,191",0.63
"Park County, Wyoming",177,"29,624",0.6
"Parke County, Indiana",0,"16,156",0
"Parker County, Texas",719,"148,222",0.49
"Parmer County, Texas",100,"9,869",1.01
"Pasco County, Florida","2,716","561,891",0.48
"Pasquotank County, North Carolina",400,"40,568",0.99
"Passaic County, New Jersey","2,529","524,118",0.48
"Patillas Municipio, Puerto Rico",149,"15,985",0.93
"Patrick County, Virginia",216,"17,608",1.23
"Paulding County, Georgia",288,"168,661",0.17
"Paulding County, Ohio",88,"18,806",0.47
"Pawnee County, Kansas",66,"6,253",1.06
"Pawnee County, Nebraska",33,"2,544",1.3
"Pawnee County, Oklahoma",113,"15,553",0.73
"Payette County, Idaho",77,"25,386",0.3
"Payne County, Oklahoma",351,"81,646",0.43
"Peach County, Georgia",71,"27,981",0.25
"Pearl River County, Mississippi",316,"56,145",0.56
"Pecos County, Texas",80,"15,193",0.53
"Pembina County, North Dakota",102,"6,844",1.49
"Pemiscot County, Missouri",151,"15,661",0.96
"Pend Oreille County, Washington",87,"13,401",0.65
"Pender County, North Carolina",279,"60,203",0.46
"Pendleton County, Kentucky",64,"14,644",0.44
"Pendleton County, West Virginia",84,"6,143",1.37
"Pennington County, Minnesota",85,"13,992",0.61
"Pennington County, South Dakota","1,069","109,222",0.98
"Penobscot County, Maine","1,227","152,199",0.81
"Peñuelas Municipio, Puerto Rico",22,"20,399",0.11
"Peoria County, Illinois","1,722","181,830",0.95
"Pepin County, Wisconsin",0,"7,318",0
"Perkins County, Nebraska",28,"2,858",0.98
"Perkins County, South Dakota",47,"2,835",1.66
"Perquimans County, North Carolina",71,"13,005",0.55
"Perry County, Alabama",124,"8,511",1.46
"Perry County, Arkansas",57,"10,019",0.57
"Perry County, Illinois",220,"20,945",1.05
"Perry County, Indiana",158,"19,170",0.82
"Perry County, Kentucky",294,"28,473",1.03
"Perry County, Mississippi",49,"11,511",0.43
"Perry County, Missouri",228,"18,956",1.2
"Perry County, Ohio",223,"35,408",0.63
"Perry County, Pennsylvania",345,"45,842",0.75
"Perry County, Tennessee",96,"8,366",1.15
"Pershing County, Nevada",25,"6,650",0.38
"Person County, North Carolina",216,"39,097",0.55
"Petersburg Borough, Alaska",7,"3,398",0.21
"Petersburg city, Virginia",262,"33,458",0.78
"Petroleum County, Montana",0,496,0
"Pettis County, Missouri",586,"42,980",1.36
"Phelps County, Missouri",522,"44,638",1.17
"Phelps County, Nebraska",198,"8,968",2.21
"Philadelphia County, Pennsylvania","6,140","1,603,797",0.38
"Phillips County, Arkansas",102,"16,568",0.62
"Phillips County, Colorado",71,"4,530",1.57
"Phillips County, Kansas",58,"4,981",1.16
"Phillips County, Montana",53,"4,217",1.26
"Piatt County, Illinois",137,"16,673",0.82
"Pickaway County, Ohio",393,"58,539",0.67
"Pickens County, Alabama",146,"19,123",0.76
"Pickens County, Georgia",155,"33,216",0.47
"Pickens County, South Carolina",684,"131,404",0.52
"Pickett County, Tennessee",57,"5,001",1.14
"Pierce County, Georgia",0,"19,716",0
"Pierce County, Nebraska",86,"7,317",1.18
"Pierce County, North Dakota",47,"3,990",1.18
"Pierce County, Washington","2,691","921,130",0.29
"Pierce County, Wisconsin",299,"42,212",0.71
"Pike County, Alabama",203,"33,009",0.61
"Pike County, Arkansas",115,"10,171",1.13
"Pike County, Georgia",48,"18,889",0.25
"Pike County, Illinois",172,"14,739",1.17
"Pike County, Indiana",127,"12,250",1.04
"Pike County, Kentucky",388,"58,669",0.66
"Pike County, Mississippi",371,"40,324",0.92
"Pike County, Missouri",128,"17,587",0.73
"Pike County, Ohio",198,"27,088",0.73
"Pike County, Pennsylvania",146,"58,535",0.25
"Pima County, Arizona","4,890","1,043,433",0.47
"Pinal County, Arizona",503,"425,264",0.12
"Pine County, Minnesota",90,"28,876",0.31
"Pinellas County, Florida","9,183","959,107",0.96
"Pipestone County, Minnesota",122,"9,424",1.29
"Piscataquis County, Maine",141,"16,800",0.84
"Pitkin County, Colorado",0,"17,358",0
"Pitt County, North Carolina",941,"170,243",0.55
"Pittsburg County, Oklahoma",369,"43,773",0.84
"Pittsylvania County, Virginia",155,"60,501",0.26
"Piute County, Utah",0,"1,438",0
"Placer County, California","1,490","404,739",0.37
"Plaquemines Parish, Louisiana",93,"23,515",0.4
"Platte County, Missouri",585,"106,718",0.55
"Platte County, Nebraska",249,"34,296",0.73
"Platte County, Wyoming",67,"8,605",0.78
"Pleasants County, West Virginia",59,"7,653",0.77
"Plumas County, California",21,"19,790",0.11
"Plymouth County, Iowa",215,"25,698",0.84
"Plymouth County, Massachusetts","3,110","530,819",0.59
"Pocahontas County, Iowa",111,"7,078",1.57
"Pocahontas County, West Virginia",65,"7,869",0.83
"Poinsett County, Arkansas",251,"22,965",1.09
"Pointe Coupee Parish, Louisiana",154,"20,758",0.74
"Polk County, Arkansas",83,"19,221",0.43
"Polk County, Florida","3,254","725,046",0.45
"Polk County, Georgia",120,"42,853",0.28
"Polk County, Iowa","2,569","492,401",0.52
"Polk County, Minnesota",443,"31,192",1.42
"Polk County, Missouri",380,"31,519",1.21
"Polk County, Nebraska",89,"5,214",1.71
"Polk County, North Carolina",349,"19,328",1.81
"Polk County, Oregon",440,"87,433",0.5
"Polk County, Tennessee",70,"17,544",0.4
"Polk County, Texas",254,"50,123",0.51
"Polk County, Wisconsin",297,"44,977",0.66
"Ponce Municipio, Puerto Rico",571,"137,491",0.42
"Pondera County, Montana",66,"5,898",1.12
