Geographic Area,Service occupations,Service job
"Mills County, Iowa",14.80%,14.8
"Mills County, Texas",19%,19
"Milwaukee County, Wisconsin",18.30%,18.3
"Miner County, South Dakota",12.60%,12.6
"Mineral County, Colorado",14.30%,14.3
"Mineral County, Montana",16%,16
"Mineral County, Nevada",9.30%,9.3
"Mineral County, West Virginia",21.20%,21.2
"Mingo County, West Virginia",23.80%,23.8
"Minidoka County, Idaho",15.30%,15.3
"Minnehaha County, South Dakota",15.80%,15.8
"Missaukee County, Michigan",16.50%,16.5
"Mississippi County, Arkansas",15.10%,15.1
"Mississippi County, Missouri",20.40%,20.4
"Missoula County, Montana",20.60%,20.6
"Mitchell County, Georgia",21%,21
"Mitchell County, Iowa",14.10%,14.1
"Mitchell County, Kansas",17.20%,17.2
"Mitchell County, North Carolina",19.90%,19.9
"Mitchell County, Texas",33.60%,33.6
"Mobile County, Alabama",17.40%,17.4
"Moca Municipio, Puerto Rico",20.80%,20.8
"Modoc County, California",22.10%,22.1
"Moffat County, Colorado",18.40%,18.4
"Mohave County, Arizona",23.60%,23.6
"Moniteau County, Missouri",13.70%,13.7
"Monmouth County, New Jersey",14%,14
"Mono County, California",25.30%,25.3
"Monona County, Iowa",17.20%,17.2
"Monongalia County, West Virginia",18%,18
"Monroe County, Alabama",18%,18
"Monroe County, Arkansas",18.20%,18.2
"Monroe County, Florida",23.60%,23.6
"Monroe County, Georgia",19.40%,19.4
"Monroe County, Illinois",13.90%,13.9
"Monroe County, Indiana",18.50%,18.5
"Monroe County, Iowa",11.60%,11.6
"Monroe County, Kentucky",10.60%,10.6
"Monroe County, Michigan",16.10%,16.1
"Monroe County, Mississippi",15.30%,15.3
"Monroe County, Missouri",14.50%,14.5
"Monroe County, New York",16.20%,16.2
"Monroe County, Ohio",15.10%,15.1
"Monroe County, Pennsylvania",18.60%,18.6
"Monroe County, Tennessee",16.70%,16.7
"Monroe County, West Virginia",19.80%,19.8
"Monroe County, Wisconsin",16.10%,16.1
"Montague County, Texas",18.70%,18.7
"Montcalm County, Michigan",16.60%,16.6
"Monterey County, California",19.40%,19.4
"Montezuma County, Colorado",19.40%,19.4
"Montgomery County, Alabama",16.80%,16.8
"Montgomery County, Arkansas",13.60%,13.6
"Montgomery County, Georgia",16.50%,16.5
"Montgomery County, Illinois",18.60%,18.6
"Montgomery County, Indiana",18%,18
"Montgomery County, Iowa",15.40%,15.4
"Montgomery County, Kansas",18%,18
"Montgomery County, Kentucky",13.90%,13.9
"Montgomery County, Maryland",14.30%,14.3
"Montgomery County, Mississippi",21.80%,21.8
"Montgomery County, Missouri",14.80%,14.8
"Montgomery County, New York",18.30%,18.3
"Montgomery County, North Carolina",19.80%,19.8
"Montgomery County, Ohio",17.20%,17.2
"Montgomery County, Pennsylvania",12.40%,12.4
"Montgomery County, Tennessee",18.80%,18.8
"Montgomery County, Texas",14.10%,14.1
"Montgomery County, Virginia",17.10%,17.1
"Montmorency County, Michigan",16.90%,16.9
"Montour County, Pennsylvania",15.40%,15.4
"Montrose County, Colorado",17%,17
"Moody County, South Dakota",20.70%,20.7
"Moore County, North Carolina",21%,21
"Moore County, Tennessee",12.30%,12.3
"Moore County, Texas",13.80%,13.8
"Mora County, New Mexico",31.30%,31.3
"Morehouse Parish, Louisiana",23%,23
"Morgan County, Alabama",14.50%,14.5
"Morgan County, Colorado",12.70%,12.7
"Morgan County, Georgia",13.20%,13.2
"Morgan County, Illinois",19.50%,19.5
"Morgan County, Indiana",14.40%,14.4
"Morgan County, Kentucky",12.70%,12.7
"Morgan County, Missouri",17.30%,17.3
"Morgan County, Ohio",16.50%,16.5
"Morgan County, Tennessee",17.90%,17.9
"Morgan County, Utah",12.70%,12.7
"Morgan County, West Virginia",23%,23
"Morovis Municipio, Puerto Rico",17.60%,17.6
"Morrill County, Nebraska",15.30%,15.3
"Morris County, Kansas",14.20%,14.2
"Morris County, New Jersey",11.30%,11.3
"Morris County, Texas",20.40%,20.4
"Morrison County, Minnesota",18.40%,18.4
"Morrow County, Ohio",15.40%,15.4
"Morrow County, Oregon",19.10%,19.1
"Morton County, Kansas",14.70%,14.7
"Morton County, North Dakota",19.40%,19.4
"Motley County, Texas",15.60%,15.6
"Moultrie County, Illinois",14.20%,14.2
"Mountrail County, North Dakota",16.30%,16.3
"Mower County, Minnesota",16.10%,16.1
"Muhlenberg County, Kentucky",16.10%,16.1
"Multnomah County, Oregon",15.60%,15.6
"Murray County, Georgia",14.10%,14.1
"Murray County, Minnesota",14.90%,14.9
"Murray County, Oklahoma",17.90%,17.9
"Muscatine County, Iowa",16.30%,16.3
"Muscogee County, Georgia",18.70%,18.7
"Muskegon County, Michigan",18.60%,18.6
"Muskingum County, Ohio",16.90%,16.9
"Muskogee County, Oklahoma",17.70%,17.7
"Musselshell County, Montana",16.20%,16.2
"Nacogdoches County, Texas",18.80%,18.8
"Naguabo Municipio, Puerto Rico",28%,28
"Nance County, Nebraska",15.50%,15.5
"Nantucket County, Massachusetts",17.20%,17.2
"Napa County, California",19.80%,19.8
"Naranjito Municipio, Puerto Rico",24%,24
"Nash County, North Carolina",17.20%,17.2
"Nassau County, Florida",16%,16
"Nassau County, New York",15.70%,15.7
"Natchitoches Parish, Louisiana",17%,17
"Natrona County, Wyoming",18%,18
"Naugatuck Valley Planning Region, Connecticut",17%,17
"Navajo County, Arizona",20.70%,20.7
"Navarro County, Texas",17.50%,17.5
"Nelson County, Kentucky",14.40%,14.4
"Nelson County, North Dakota",16.70%,16.7
"Nelson County, Virginia",19.40%,19.4
"Nemaha County, Kansas",15.10%,15.1
"Nemaha County, Nebraska",20.20%,20.2
"Neosho County, Kansas",15.30%,15.3
"Neshoba County, Mississippi",21.60%,21.6
"Ness County, Kansas",16.90%,16.9
"Nevada County, Arkansas",27.90%,27.9
"Nevada County, California",18.20%,18.2
"New Castle County, Delaware",16.30%,16.3
"New Hanover County, North Carolina",18.10%,18.1
"New Kent County, Virginia",11.60%,11.6
"New Madrid County, Missouri",21.70%,21.7
"New York County, New York",13.40%,13.4
"Newaygo County, Michigan",16.30%,16.3
"Newberry County, South Carolina",18.70%,18.7
"Newport County, Rhode Island",17.60%,17.6
"Newport News city, Virginia",19.40%,19.4
"Newton County, Arkansas",17.40%,17.4
"Newton County, Georgia",15.50%,15.5
"Newton County, Indiana",14.40%,14.4
"Newton County, Mississippi",8.90%,8.9
"Newton County, Missouri",15.50%,15.5
"Newton County, Texas",19.20%,19.2
"Nez Perce County, Idaho",16.60%,16.6
"Niagara County, New York",16.60%,16.6
"Nicholas County, Kentucky",19%,19
"Nicholas County, West Virginia",23.60%,23.6
"Nicollet County, Minnesota",17%,17
"Niobrara County, Wyoming",26.50%,26.5
"Noble County, Indiana",13%,13
"Noble County, Ohio",19.90%,19.9
"Noble County, Oklahoma",14.70%,14.7
"Nobles County, Minnesota",16.30%,16.3
"Nodaway County, Missouri",16.10%,16.1
"Nolan County, Texas",23.10%,23.1
"Nome Census Area, Alaska",18.50%,18.5
"Norfolk city, Virginia",19.60%,19.6
"Norfolk County, Massachusetts",13%,13
"Norman County, Minnesota",11.80%,11.8
"North Slope Borough, Alaska",13.10%,13.1
"Northampton County, North Carolina",19.50%,19.5
"Northampton County, Pennsylvania",16.60%,16.6
"Northampton County, Virginia",18%,18
"Northeastern Connecticut Planning Region, Connecticut",16.10%,16.1
"Northumberland County, Pennsylvania",18.50%,18.5
"Northumberland County, Virginia",14.30%,14.3
"Northwest Arctic Borough, Alaska",12%,12
"Northwest Hills Planning Region, Connecticut",17.20%,17.2
"Norton city, Virginia",17.40%,17.4
"Norton County, Kansas",22.50%,22.5
"Nottoway County, Virginia",24.80%,24.8
"Nowata County, Oklahoma",15.20%,15.2
"Noxubee County, Mississippi",22.90%,22.9
"Nuckolls County, Nebraska",15.90%,15.9
"Nueces County, Texas",20.30%,20.3
"Nye County, Nevada",21.50%,21.5
"O'Brien County, Iowa",15.50%,15.5
"Oakland County, Michigan",12.90%,12.9
"Obion County, Tennessee",17.80%,17.8
"Ocean County, New Jersey",16.70%,16.7
"Oceana County, Michigan",16.50%,16.5
"Ochiltree County, Texas",13.30%,13.3
"Oconee County, Georgia",11.50%,11.5
"Oconee County, South Carolina",17.90%,17.9
"Oconto County, Wisconsin",14.90%,14.9
"Ogemaw County, Michigan",20.40%,20.4
"Oglala Lakota County, South Dakota",27.70%,27.7
"Ogle County, Illinois",16.50%,16.5
"Oglethorpe County, Georgia",16.60%,16.6
"Ohio County, Indiana",17.80%,17.8
"Ohio County, Kentucky",17.10%,17.1
"Ohio County, West Virginia",18.10%,18.1
"Okaloosa County, Florida",20%,20
"Okanogan County, Washington",16.60%,16.6
"Okeechobee County, Florida",24.20%,24.2
"Okfuskee County, Oklahoma",21.20%,21.2
"Oklahoma County, Oklahoma",17.40%,17.4
"Okmulgee County, Oklahoma",20.70%,20.7
"Oktibbeha County, Mississippi",16.70%,16.7
"Oldham County, Kentucky",12.40%,12.4
"Oldham County, Texas",17.70%,17.7
"Oliver County, North Dakota",16.30%,16.3
"Olmsted County, Minnesota",15%,15
"Oneida County, Idaho",16.70%,16.7
"Oneida County, New York",20%,20
"Oneida County, Wisconsin",16.20%,16.2
"Onondaga County, New York",16.40%,16.4
"Onslow County, North Carolina",19%,19
"Ontario County, New York",16.30%,16.3
"Ontonagon County, Michigan",22.80%,22.8
"Orange County, California",16.40%,16.4
"Orange County, Florida",18.80%,18.8
"Orange County, Indiana",19%,19
"Orange County, New York",18.60%,18.6
"Orange County, North Carolina",15%,15
"Orange County, Texas",13.70%,13.7
"Orange County, Vermont",15.10%,15.1
"Orange County, Virginia",18.40%,18.4
"Orangeburg County, South Carolina",19.90%,19.9
"Oregon County, Missouri",15.50%,15.5
"Orleans County, New York",17.60%,17.6
"Orleans County, Vermont",17.20%,17.2
"Orleans Parish, Louisiana",20.90%,20.9
"Orocovis Municipio, Puerto Rico",20.70%,20.7
"Osage County, Kansas",16.30%,16.3
"Osage County, Missouri",11.10%,11.1
"Osage County, Oklahoma",16.40%,16.4
"Osborne County, Kansas",16.20%,16.2
"Osceola County, Florida",20.10%,20.1
"Osceola County, Iowa",12.30%,12.3
"Osceola County, Michigan",17.90%,17.9
"Oscoda County, Michigan",22.30%,22.3
"Oswego County, New York",16.60%,16.6
"Otero County, Colorado",15.50%,15.5
"Otero County, New Mexico",19.10%,19.1
"Otoe County, Nebraska",18.90%,18.9
"Otsego County, Michigan",20.40%,20.4
"Otsego County, New York",20.40%,20.4
"Ottawa County, Kansas",12.90%,12.9
"Ottawa County, Michigan",14.90%,14.9
"Ottawa County, Ohio",16%,16
"Ottawa County, Oklahoma",21.70%,21.7
"Otter Tail County, Minnesota",16.20%,16.2
"Ouachita County, Arkansas",17.30%,17.3
"Ouachita Parish, Louisiana",19.70%,19.7
"Ouray County, Colorado",10.30%,10.3
"Outagamie County, Wisconsin",13.80%,13.8
"Overton County, Tennessee",14.90%,14.9
"Owen County, Indiana",17%,17
"Owen County, Kentucky",15.80%,15.8
"Owsley County, Kentucky",25.60%,25.6
"Owyhee County, Idaho",14.90%,14.9
"Oxford County, Maine",19.20%,19.2
"Ozark County, Missouri",18.50%,18.5
"Ozaukee County, Wisconsin",13%,13
"Pacific County, Washington",20.10%,20.1
"Page County, Iowa",14.80%,14.8
"Page County, Virginia",22.10%,22.1
"Palm Beach County, Florida",20.80%,20.8
"Palo Alto County, Iowa",11.90%,11.9
"Palo Pinto County, Texas",16.50%,16.5
"Pamlico County, North Carolina",17.10%,17.1
"Panola County, Mississippi",17.50%,17.5
"Panola County, Texas",18.50%,18.5
"Park County, Colorado",15.50%,15.5
"Park County, Montana",20.90%,20.9
"Park County, Wyoming",18.30%,18.3
"Parke County, Indiana",17.30%,17.3
"Parker County, Texas",15.90%,15.9
"Parmer County, Texas",16.20%,16.2
"Pasco County, Florida",17%,17
"Pasquotank County, North Carolina",17.30%,17.3
"Passaic County, New Jersey",17%,17
"Patillas Municipio, Puerto Rico",23.90%,23.9
"Patrick County, Virginia",15.70%,15.7
"Paulding County, Georgia",14.70%,14.7
"Paulding County, Ohio",13.80%,13.8
"Pawnee County, Kansas",27.10%,27.1
"Pawnee County, Nebraska",15%,15
"Pawnee County, Oklahoma",15%,15
"Payette County, Idaho",16%,16
"Payne County, Oklahoma",17.90%,17.9
"Peach County, Georgia",15.50%,15.5
"Pearl River County, Mississippi",16.90%,16.9
"Pecos County, Texas",20.10%,20.1
"Pembina County, North Dakota",14.60%,14.6
"Pemiscot County, Missouri",25.10%,25.1
"Pend Oreille County, Washington",18.10%,18.1
"Pender County, North Carolina",17.30%,17.3
"Pendleton County, Kentucky",15.10%,15.1
"Pendleton County, West Virginia",20%,20
"Pennington County, Minnesota",15.10%,15.1
"Pennington County, South Dakota",17.20%,17.2
"Penobscot County, Maine",19.10%,19.1
"Peñuelas Municipio, Puerto Rico",21.80%,21.8
"Peoria County, Illinois",19%,19
"Pepin County, Wisconsin",15.60%,15.6
"Perkins County, Nebraska",17%,17
"Perkins County, South Dakota",13.90%,13.9
"Perquimans County, North Carolina",19%,19
"Perry County, Alabama",17.10%,17.1
"Perry County, Arkansas",12.30%,12.3
"Perry County, Illinois",21.60%,21.6
"Perry County, Indiana",15.30%,15.3
"Perry County, Kentucky",21.80%,21.8
"Perry County, Mississippi",25%,25
"Perry County, Missouri",13.80%,13.8
"Perry County, Ohio",16.70%,16.7
"Perry County, Pennsylvania",13.80%,13.8
"Perry County, Tennessee",14.80%,14.8
"Pershing County, Nevada",20.20%,20.2
"Person County, North Carolina",16.90%,16.9
"Petersburg Borough, Alaska",20.80%,20.8
"Petersburg city, Virginia",22.30%,22.3
"Petroleum County, Montana",6.30%,6.3
"Pettis County, Missouri",18.30%,18.3
"Phelps County, Missouri",17.90%,17.9
"Phelps County, Nebraska",17.30%,17.3
"Philadelphia County, Pennsylvania",21.90%,21.9
"Phillips County, Arkansas",14.60%,14.6
"Phillips County, Colorado",13.50%,13.5
"Phillips County, Kansas",16.50%,16.5
"Phillips County, Montana",20.80%,20.8
"Piatt County, Illinois",13.90%,13.9
"Pickaway County, Ohio",15.20%,15.2
"Pickens County, Alabama",15.90%,15.9
"Pickens County, Georgia",15.70%,15.7
"Pickens County, South Carolina",18.50%,18.5
"Pickett County, Tennessee",17.50%,17.5
"Pierce County, Georgia",13.90%,13.9
"Pierce County, Nebraska",13.20%,13.2
"Pierce County, North Dakota",13.70%,13.7
"Pierce County, Washington",17.10%,17.1
"Pierce County, Wisconsin",18.10%,18.1
"Pike County, Alabama",18.20%,18.2
"Pike County, Arkansas",15.90%,15.9
"Pike County, Georgia",13.50%,13.5
"Pike County, Illinois",18.40%,18.4
"Pike County, Indiana",16.50%,16.5
"Pike County, Kentucky",16.30%,16.3
"Pike County, Mississippi",17.90%,17.9
"Pike County, Missouri",15.50%,15.5
"Pike County, Ohio",18.60%,18.6
"Pike County, Pennsylvania",20%,20
"Pima County, Arizona",20%,20
"Pinal County, Arizona",19.30%,19.3
"Pine County, Minnesota",22.10%,22.1
"Pinellas County, Florida",16.90%,16.9
"Pipestone County, Minnesota",16.70%,16.7
"Piscataquis County, Maine",15.50%,15.5
"Pitkin County, Colorado",19.90%,19.9
"Pitt County, North Carolina",18.80%,18.8
"Pittsburg County, Oklahoma",17.70%,17.7
"Pittsylvania County, Virginia",18.40%,18.4
"Piute County, Utah",11.40%,11.4
"Placer County, California",15.80%,15.8
"Plaquemines Parish, Louisiana",17.60%,17.6
"Platte County, Missouri",13.80%,13.8
"Platte County, Nebraska",12.40%,12.4
"Platte County, Wyoming",15.70%,15.7
"Pleasants County, West Virginia",21.50%,21.5
"Plumas County, California",25%,25
"Plymouth County, Iowa",15.10%,15.1
"Plymouth County, Massachusetts",17.30%,17.3
"Pocahontas County, Iowa",14.40%,14.4
"Pocahontas County, West Virginia",21.50%,21.5
"Poinsett County, Arkansas",16.60%,16.6
"Pointe Coupee Parish, Louisiana",18.40%,18.4
"Polk County, Arkansas",19.40%,19.4
"Polk County, Florida",19.60%,19.6
"Polk County, Georgia",17.20%,17.2
"Polk County, Iowa",14.90%,14.9
"Polk County, Minnesota",17.20%,17.2
"Polk County, Missouri",17.60%,17.6
"Polk County, Nebraska",12.30%,12.3
"Polk County, North Carolina",17.90%,17.9
"Polk County, Oregon",21.50%,21.5
"Polk County, Tennessee",17.30%,17.3
"Polk County, Texas",16.30%,16.3
"Polk County, Wisconsin",14%,14
"Ponce Municipio, Puerto Rico",21.40%,21.4
"Pondera County, Montana",21%,21
"Pontotoc County, Mississippi",14.10%,14.1
"Pontotoc County, Oklahoma",14.10%,14.1
"Pope County, Arkansas",17.10%,17.1
"Pope County, Illinois",21.70%,21.7
"Pope County, Minnesota",14.50%,14.5
"Poquoson city, Virginia",12.20%,12.2
"Portage County, Ohio",18.30%,18.3
"Portage County, Wisconsin",16.50%,16.5
"Porter County, Indiana",14.50%,14.5
"Portsmouth city, Virginia",19.30%,19.3
"Posey County, Indiana",13.70%,13.7
"Pottawatomie County, Kansas",13.50%,13.5
"Pottawatomie County, Oklahoma",17.10%,17.1
"Pottawattamie County, Iowa",17.20%,17.2
"Potter County, Pennsylvania",14.70%,14.7
"Potter County, South Dakota",8.60%,8.6
"Potter County, Texas",23.20%,23.2
"Powder River County, Montana",12.60%,12.6
"Powell County, Kentucky",14.60%,14.6
"Powell County, Montana",20.60%,20.6
"Power County, Idaho",11.50%,11.5
"Poweshiek County, Iowa",15.10%,15.1
"Powhatan County, Virginia",12.80%,12.8
"Prairie County, Arkansas",16.60%,16.6
"Prairie County, Montana",12%,12
"Pratt County, Kansas",17%,17
"Preble County, Ohio",15.30%,15.3
"Prentiss County, Mississippi",11.80%,11.8
"Presidio County, Texas",8.60%,8.6
"Presque Isle County, Michigan",15.80%,15.8
"Preston County, West Virginia",19.70%,19.7
"Price County, Wisconsin",13.70%,13.7
"Prince Edward County, Virginia",26.60%,26.6
"Prince George County, Virginia",17.70%,17.7
"Prince George's County, Maryland",18.90%,18.9
"Prince of Wales-Hyder Census Area, Alaska",17.40%,17.4
"Prince William County, Virginia",16.90%,16.9
"Providence County, Rhode Island",18.70%,18.7
"Prowers County, Colorado",17.90%,17.9
"Pueblo County, Colorado",21.90%,21.9
"Pulaski County, Arkansas",16.10%,16.1
"Pulaski County, Georgia",17.60%,17.6
"Pulaski County, Illinois",24.30%,24.3
"Pulaski County, Indiana",15%,15
"Pulaski County, Kentucky",17.20%,17.2
"Pulaski County, Missouri",22.70%,22.7
"Pulaski County, Virginia",17.70%,17.7
"Pushmataha County, Oklahoma",23.80%,23.8
"Putnam County, Florida",19.80%,19.8
"Putnam County, Georgia",11.90%,11.9
"Putnam County, Illinois",16.40%,16.4
"Putnam County, Indiana",14.90%,14.9
"Putnam County, Missouri",17.70%,17.7
"Putnam County, New York",17.70%,17.7
"Putnam County, Ohio",13.30%,13.3
"Putnam County, Tennessee",17.90%,17.9
"Putnam County, West Virginia",12.40%,12.4
"Quay County, New Mexico",14.90%,14.9
"Quebradillas Municipio, Puerto Rico",25.80%,25.8
"Queen Anne's County, Maryland",16.40%,16.4
"Queens County, New York",23.10%,23.1
"Quitman County, Georgia",39.40%,39.4
"Quitman County, Mississippi",28.60%,28.6
"Rabun County, Georgia",21.10%,21.1
"Racine County, Wisconsin",15.90%,15.9
"Radford city, Virginia",20.60%,20.6
"Rains County, Texas",13.70%,13.7
"Raleigh County, West Virginia",18.90%,18.9
"Ralls County, Missouri",14.30%,14.3
"Ramsey County, Minnesota",16.30%,16.3
"Ramsey County, North Dakota",22.90%,22.9
"Randall County, Texas",16.90%,16.9
"Randolph County, Alabama",14.70%,14.7
"Randolph County, Arkansas",17.50%,17.5
"Randolph County, Georgia",27.80%,27.8
"Randolph County, Illinois",21.80%,21.8
"Randolph County, Indiana",20.30%,20.3
"Randolph County, Missouri",17%,17
"Randolph County, North Carolina",15.80%,15.8
"Randolph County, West Virginia",17.40%,17.4
"Rankin County, Mississippi",13%,13
"Ransom County, North Dakota",13.80%,13.8
"Rapides Parish, Louisiana",20.50%,20.5
"Rappahannock County, Virginia",23.50%,23.5
"Ravalli County, Montana",17.90%,17.9
"Rawlins County, Kansas",14.60%,14.6
"Ray County, Missouri",15.60%,15.6
"Reagan County, Texas",8.90%,8.9
"Real County, Texas",25.40%,25.4
"Red Lake County, Minnesota",13%,13
"Red River County, Texas",18.30%,18.3
"Red River Parish, Louisiana",24.90%,24.9
"Red Willow County, Nebraska",17.70%,17.7
"Redwood County, Minnesota",16.20%,16.2
"Reeves County, Texas",17.80%,17.8
"Refugio County, Texas",26.80%,26.8
"Reno County, Kansas",17.40%,17.4
"Rensselaer County, New York",15.70%,15.7
"Renville County, Minnesota",17.50%,17.5
"Renville County, North Dakota",12.80%,12.8
"Republic County, Kansas",10.40%,10.4
"Reynolds County, Missouri",19%,19
"Rhea County, Tennessee",15.60%,15.6
"Rice County, Kansas",16.30%,16.3
"Rice County, Minnesota",18.10%,18.1
"Rich County, Utah",15.20%,15.2
"Richardson County, Nebraska",16.70%,16.7
"Richland County, Illinois",18.60%,18.6
"Richland County, Montana",10.60%,10.6
"Richland County, North Dakota",18.90%,18.9
"Richland County, Ohio",18.10%,18.1
"Richland County, South Carolina",17.30%,17.3
"Richland County, Wisconsin",14.90%,14.9
"Richland Parish, Louisiana",18.40%,18.4
"Richmond city, Virginia",18.40%,18.4
"Richmond County, Georgia",21%,21
"Richmond County, New York",20.70%,20.7
"Richmond County, North Carolina",18.80%,18.8
"Richmond County, Virginia",20.80%,20.8
"Riley County, Kansas",20.10%,20.1
"Rincón Municipio, Puerto Rico",25.70%,25.7
"Ringgold County, Iowa",13.70%,13.7
"Rio Arriba County, New Mexico",22.50%,22.5
"Rio Blanco County, Colorado",21.70%,21.7
"Rio Grande County, Colorado",17.60%,17.6
"Río Grande Municipio, Puerto Rico",21.20%,21.2
"Ripley County, Indiana",16%,16
"Ripley County, Missouri",20.60%,20.6
"Ritchie County, West Virginia",17.50%,17.5
"Riverside County, California",19.90%,19.9
"Roane County, Tennessee",17.60%,17.6
"Roane County, West Virginia",17.30%,17.3
"Roanoke city, Virginia",19.30%,19.3
"Roanoke County, Virginia",14.60%,14.6
"Roberts County, South Dakota",17.10%,17.1
"Roberts County, Texas",9.50%,9.5
"Robertson County, Kentucky",13.50%,13.5
"Robertson County, Tennessee",13%,13
"Robertson County, Texas",25.10%,25.1
"Robeson County, North Carolina",19.30%,19.3
"Rock County, Minnesota",20.70%,20.7
"Rock County, Nebraska",10.30%,10.3
"Rock County, Wisconsin",15.50%,15.5
"Rock Island County, Illinois",17.80%,17.8
"Rockbridge County, Virginia",17.20%,17.2
"Rockcastle County, Kentucky",14.40%,14.4
"Rockdale County, Georgia",14.50%,14.5
"Rockingham County, New Hampshire",13.30%,13.3
"Rockingham County, North Carolina",17.60%,17.6
"Rockingham County, Virginia",17.10%,17.1
"Rockland County, New York",17.20%,17.2
"Rockwall County, Texas",12.80%,12.8
"Roger Mills County, Oklahoma",18.80%,18.8
"Rogers County, Oklahoma",15.50%,15.5
"Rolette County, North Dakota",27.40%,27.4
"Rooks County, Kansas",19.50%,19.5
"Roosevelt County, Montana",20.60%,20.6
"Roosevelt County, New Mexico",18.40%,18.4
"Roscommon County, Michigan",21.80%,21.8
"Roseau County, Minnesota",11.90%,11.9
"Rosebud County, Montana",21.30%,21.3
"Ross County, Ohio",19.10%,19.1
"Routt County, Colorado",14.30%,14.3
"Rowan County, Kentucky",18.60%,18.6
"Rowan County, North Carolina",16.60%,16.6
"Runnels County, Texas",17.60%,17.6
"Rush County, Indiana",15.70%,15.7
"Rush County, Kansas",16.30%,16.3
"Rusk County, Texas",16%,16
"Rusk County, Wisconsin",13.50%,13.5
"Russell County, Alabama",15.70%,15.7
"Russell County, Kansas",19.90%,19.9
"Russell County, Kentucky",16.40%,16.4
"Russell County, Virginia",18.60%,18.6
"Rutherford County, North Carolina",20.20%,20.2
"Rutherford County, Tennessee",14.60%,14.6
"Rutland County, Vermont",19.30%,19.3
"Sabana Grande Municipio, Puerto Rico",26.10%,26.1
"Sabine County, Texas",22.30%,22.3
"Sabine Parish, Louisiana",12.80%,12.8
"Sac County, Iowa",13.50%,13.5
"Sacramento County, California",18.20%,18.2
"Sagadahoc County, Maine",15.90%,15.9
"Saginaw County, Michigan",19.90%,19.9
"Saguache County, Colorado",7%,7
"Salem city, Virginia",17.20%,17.2
"Salem County, New Jersey",14.20%,14.2
"Salinas Municipio, Puerto Rico",22%,22
"Saline County, Arkansas",13.40%,13.4
"Saline County, Illinois",21%,21
"Saline County, Kansas",19%,19
"Saline County, Missouri",17.50%,17.5
"Saline County, Nebraska",13.70%,13.7
"Salt Lake County, Utah",13.50%,13.5
"Saluda County, South Carolina",20.40%,20.4
"Sampson County, North Carolina",15.30%,15.3
"San Augustine County, Texas",16.70%,16.7
"San Benito County, California",18.60%,18.6
"San Bernardino County, California",18%,18
"San Diego County, California",17.90%,17.9
"San Francisco County, California",13.50%,13.5
"San Germán Municipio, Puerto Rico",21.80%,21.8
"San Jacinto County, Texas",20.30%,20.3
"San Joaquin County, California",17.90%,17.9
"San Juan County, Colorado",24.10%,24.1
"San Juan County, New Mexico",21.40%,21.4
"San Juan County, Utah",17.40%,17.4
"San Juan County, Washington",19.90%,19.9
"San Juan Municipio, Puerto Rico",19%,19
"San Lorenzo Municipio, Puerto Rico",14.40%,14.4
"San Luis Obispo County, California",19.50%,19.5
"San Mateo County, California",15.20%,15.2
"San Miguel County, Colorado",17.20%,17.2
"San Miguel County, New Mexico",28.90%,28.9
"San Patricio County, Texas",20.10%,20.1
"San Saba County, Texas",23.40%,23.4
"San Sebastián Municipio, Puerto Rico",20.70%,20.7
"Sanborn County, South Dakota",13.50%,13.5
"Sanders County, Montana",16.30%,16.3
"Sandoval County, New Mexico",16.20%,16.2
"Sandusky County, Ohio",15%,15
"Sangamon County, Illinois",17.30%,17.3
"Sanilac County, Michigan",15.10%,15.1
"Sanpete County, Utah",19.40%,19.4
"Santa Barbara County, California",20.10%,20.1
"Santa Clara County, California",13.60%,13.6
"Santa Cruz County, Arizona",19.90%,19.9
"Santa Cruz County, California",16.80%,16.8
"Santa Fe County, New Mexico",20%,20
"Santa Isabel Municipio, Puerto Rico",24.80%,24.8
"Santa Rosa County, Florida",17.90%,17.9
"Sarasota County, Florida",19.80%,19.8
"Saratoga County, New York",14.50%,14.5
"Sargent County, North Dakota",12.20%,12.2
"Sarpy County, Nebraska",14.70%,14.7
"Sauk County, Wisconsin",18.50%,18.5
"Saunders County, Nebraska",13.70%,13.7
"Sawyer County, Wisconsin",18.70%,18.7
"Schenectady County, New York",17.50%,17.5
"Schleicher County, Texas",9.20%,9.2
"Schley County, Georgia",17.30%,17.3
"Schoharie County, New York",15.90%,15.9
"Schoolcraft County, Michigan",23.40%,23.4
"Schuyler County, Illinois",18.50%,18.5
"Schuyler County, Missouri",16.20%,16.2
"Schuyler County, New York",21.40%,21.4
"Schuylkill County, Pennsylvania",16.60%,16.6
"Scioto County, Ohio",19.50%,19.5
"Scotland County, Missouri",11.40%,11.4
"Scotland County, North Carolina",18.60%,18.6
"Scott County, Arkansas",14.80%,14.8
"Scott County, Illinois",14.10%,14.1
"Scott County, Indiana",13%,13
"Scott County, Iowa",15%,15
"Scott County, Kansas",21.50%,21.5
"Scott County, Kentucky",13.20%,13.2
"Scott County, Minnesota",14.10%,14.1
"Scott County, Mississippi",14.50%,14.5
"Scott County, Missouri",18.20%,18.2
"Scott County, Tennessee",16.60%,16.6
"Scott County, Virginia",17.90%,17.9
"Scotts Bluff County, Nebraska",17%,17
"Screven County, Georgia",17.10%,17.1
"Scurry County, Texas",20.90%,20.9
"Searcy County, Arkansas",15.90%,15.9
