Geographic Area,"Production, transportation, and material moving occupations",Production job
"Mille Lacs County, Minnesota",20.70%,20.7
"Miller County, Arkansas",21.80%,21.8
"Miller County, Georgia",16.30%,16.3
"Miller County, Missouri",14.90%,14.9
"Mills County, Iowa",14.30%,14.3
"Mills County, Texas",10.40%,10.4
"Milwaukee County, Wisconsin",17.60%,17.6
"Miner County, South Dakota",19.10%,19.1
"Mineral County, Colorado",1.50%,1.5
"Mineral County, Montana",16.90%,16.9
"Mineral County, Nevada",18.40%,18.4
"Mineral County, West Virginia",18.80%,18.8
"Mingo County, West Virginia",10.80%,10.8
"Minidoka County, Idaho",25.20%,25.2
"Minnehaha County, South Dakota",15%,15
"Missaukee County, Michigan",19.70%,19.7
"Mississippi County, Arkansas",26.50%,26.5
"Mississippi County, Missouri",15.30%,15.3
"Missoula County, Montana",9.60%,9.6
"Mitchell County, Georgia",15.80%,15.8
"Mitchell County, Iowa",21.90%,21.9
"Mitchell County, Kansas",12.90%,12.9
"Mitchell County, North Carolina",18.10%,18.1
"Mitchell County, Texas",10.20%,10.2
"Mobile County, Alabama",16.60%,16.6
"Moca Municipio, Puerto Rico",11.50%,11.5
"Modoc County, California",5.60%,5.6
"Moffat County, Colorado",13.80%,13.8
"Mohave County, Arizona",14.40%,14.4
"Moniteau County, Missouri",17.70%,17.7
"Monmouth County, New Jersey",7.30%,7.3
"Mono County, California",8.60%,8.6
"Monona County, Iowa",14.80%,14.8
"Monongalia County, West Virginia",6.90%,6.9
"Monroe County, Alabama",24.60%,24.6
"Monroe County, Arkansas",28.30%,28.3
"Monroe County, Florida",8.40%,8.4
"Monroe County, Georgia",16.10%,16.1
"Monroe County, Illinois",9.10%,9.1
"Monroe County, Indiana",11%,11
"Monroe County, Iowa",19.30%,19.3
"Monroe County, Kentucky",23.30%,23.3
"Monroe County, Michigan",20.70%,20.7
"Monroe County, Mississippi",28%,28
"Monroe County, Missouri",24%,24
"Monroe County, New York",10.80%,10.8
"Monroe County, Ohio",22%,22
"Monroe County, Pennsylvania",16.70%,16.7
"Monroe County, Tennessee",27.60%,27.6
"Monroe County, West Virginia",22.20%,22.2
"Monroe County, Wisconsin",23.10%,23.1
"Montague County, Texas",15.10%,15.1
"Montcalm County, Michigan",24.70%,24.7
"Monterey County, California",11.80%,11.8
"Montezuma County, Colorado",9%,9
"Montgomery County, Alabama",17.70%,17.7
"Montgomery County, Arkansas",21%,21
"Montgomery County, Georgia",19.10%,19.1
"Montgomery County, Illinois",17.90%,17.9
"Montgomery County, Indiana",27.70%,27.7
"Montgomery County, Iowa",20.70%,20.7
"Montgomery County, Kansas",18.30%,18.3
"Montgomery County, Kentucky",29.90%,29.9
"Montgomery County, Maryland",5.60%,5.6
"Montgomery County, Mississippi",20.70%,20.7
"Montgomery County, Missouri",21.90%,21.9
"Montgomery County, New York",19.60%,19.6
"Montgomery County, North Carolina",20.10%,20.1
"Montgomery County, Ohio",16.80%,16.8
"Montgomery County, Pennsylvania",8.80%,8.8
"Montgomery County, Tennessee",15%,15
"Montgomery County, Texas",11.50%,11.5
"Montgomery County, Virginia",9.10%,9.1
"Montmorency County, Michigan",17.60%,17.6
"Montour County, Pennsylvania",13.90%,13.9
"Montrose County, Colorado",13.60%,13.6
"Moody County, South Dakota",12.20%,12.2
"Moore County, North Carolina",10.20%,10.2
"Moore County, Tennessee",25.30%,25.3
"Moore County, Texas",29.30%,29.3
"Mora County, New Mexico",13.60%,13.6
"Morehouse Parish, Louisiana",19.80%,19.8
"Morgan County, Alabama",20.90%,20.9
"Morgan County, Colorado",22.50%,22.5
"Morgan County, Georgia",20.20%,20.2
"Morgan County, Illinois",20.50%,20.5
"Morgan County, Indiana",20.80%,20.8
"Morgan County, Kentucky",18%,18
"Morgan County, Missouri",21.30%,21.3
"Morgan County, Ohio",25.50%,25.5
"Morgan County, Tennessee",16.40%,16.4
"Morgan County, Utah",9.10%,9.1
"Morgan County, West Virginia",12.80%,12.8
"Morovis Municipio, Puerto Rico",16.40%,16.4
"Morrill County, Nebraska",13.10%,13.1
"Morris County, Kansas",18.80%,18.8
"Morris County, New Jersey",7.40%,7.4
"Morris County, Texas",21.40%,21.4
"Morrison County, Minnesota",20.10%,20.1
"Morrow County, Ohio",19.50%,19.5
"Morrow County, Oregon",22.40%,22.4
"Morton County, Kansas",18.20%,18.2
"Morton County, North Dakota",13.10%,13.1
"Motley County, Texas",7.60%,7.6
"Moultrie County, Illinois",24.80%,24.8
"Mountrail County, North Dakota",13.10%,13.1
"Mower County, Minnesota",27.20%,27.2
"Muhlenberg County, Kentucky",22.80%,22.8
"Multnomah County, Oregon",10.70%,10.7
"Murray County, Georgia",33.10%,33.1
"Murray County, Minnesota",18.80%,18.8
"Murray County, Oklahoma",19.50%,19.5
"Muscatine County, Iowa",28.40%,28.4
"Muscogee County, Georgia",14.60%,14.6
"Muskegon County, Michigan",24.90%,24.9
"Muskingum County, Ohio",20.70%,20.7
"Muskogee County, Oklahoma",18.30%,18.3
"Musselshell County, Montana",11.50%,11.5
"Nacogdoches County, Texas",14%,14
"Naguabo Municipio, Puerto Rico",15%,15
"Nance County, Nebraska",11.60%,11.6
"Nantucket County, Massachusetts",8.40%,8.4
"Napa County, California",11.40%,11.4
"Naranjito Municipio, Puerto Rico",12.60%,12.6
"Nash County, North Carolina",19%,19
"Nassau County, Florida",12%,12
"Nassau County, New York",7.40%,7.4
"Natchitoches Parish, Louisiana",16.40%,16.4
"Natrona County, Wyoming",12.80%,12.8
"Naugatuck Valley Planning Region, Connecticut",13.20%,13.2
"Navajo County, Arizona",11.20%,11.2
"Navarro County, Texas",24.10%,24.1
"Nelson County, Kentucky",25.20%,25.2
"Nelson County, North Dakota",9.60%,9.6
"Nelson County, Virginia",10.30%,10.3
"Nemaha County, Kansas",21%,21
"Nemaha County, Nebraska",18.30%,18.3
"Neosho County, Kansas",16.60%,16.6
"Neshoba County, Mississippi",18.90%,18.9
"Ness County, Kansas",14.80%,14.8
"Nevada County, Arkansas",18.80%,18.8
"Nevada County, California",7.20%,7.2
"New Castle County, Delaware",10.90%,10.9
"New Hanover County, North Carolina",8.70%,8.7
"New Kent County, Virginia",8.10%,8.1
"New Madrid County, Missouri",19%,19
"New York County, New York",4.20%,4.2
"Newaygo County, Michigan",23.50%,23.5
"Newberry County, South Carolina",22.40%,22.4
"Newport County, Rhode Island",6%,6
"Newport News city, Virginia",15.50%,15.5
"Newton County, Arkansas",22.80%,22.8
"Newton County, Georgia",18.20%,18.2
"Newton County, Indiana",27.30%,27.3
"Newton County, Mississippi",27.50%,27.5
"Newton County, Missouri",20.50%,20.5
"Newton County, Texas",18%,18
"Nez Perce County, Idaho",16.60%,16.6
"Niagara County, New York",15.30%,15.3
"Nicholas County, Kentucky",24.90%,24.9
"Nicholas County, West Virginia",14.60%,14.6
"Nicollet County, Minnesota",14.80%,14.8
"Niobrara County, Wyoming",8.10%,8.1
"Noble County, Indiana",35%,35
"Noble County, Ohio",17.70%,17.7
"Noble County, Oklahoma",19.20%,19.2
"Nobles County, Minnesota",29.40%,29.4
"Nodaway County, Missouri",17.50%,17.5
"Nolan County, Texas",18.60%,18.6
"Nome Census Area, Alaska",11.20%,11.2
"Norfolk city, Virginia",11.90%,11.9
"Norfolk County, Massachusetts",6%,6
"Norman County, Minnesota",15.10%,15.1
"North Slope Borough, Alaska",16.60%,16.6
"Northampton County, North Carolina",19.50%,19.5
"Northampton County, Pennsylvania",15.30%,15.3
"Northampton County, Virginia",10.30%,10.3
"Northeastern Connecticut Planning Region, Connecticut",17%,17
"Northumberland County, Pennsylvania",21.50%,21.5
"Northumberland County, Virginia",11.90%,11.9
"Northwest Arctic Borough, Alaska",14.80%,14.8
"Northwest Hills Planning Region, Connecticut",11%,11
"Norton city, Virginia",5.40%,5.4
"Norton County, Kansas",11%,11
"Nottoway County, Virginia",12.80%,12.8
"Nowata County, Oklahoma",18.10%,18.1
"Noxubee County, Mississippi",28.90%,28.9
"Nuckolls County, Nebraska",16.30%,16.3
"Nueces County, Texas",12.20%,12.2
"Nye County, Nevada",13%,13
"O'Brien County, Iowa",22.10%,22.1
"Oakland County, Michigan",9.80%,9.8
"Obion County, Tennessee",26.10%,26.1
"Ocean County, New Jersey",8.80%,8.8
"Oceana County, Michigan",24.20%,24.2
"Ochiltree County, Texas",18.70%,18.7
"Oconee County, Georgia",9.30%,9.3
"Oconee County, South Carolina",18.20%,18.2
"Oconto County, Wisconsin",23.40%,23.4
"Ogemaw County, Michigan",16.50%,16.5
"Oglala Lakota County, South Dakota",8.40%,8.4
"Ogle County, Illinois",20.40%,20.4
"Oglethorpe County, Georgia",16.60%,16.6
"Ohio County, Indiana",21.30%,21.3
"Ohio County, Kentucky",23.30%,23.3
"Ohio County, West Virginia",14.60%,14.6
"Okaloosa County, Florida",9.70%,9.7
"Okanogan County, Washington",10.40%,10.4
"Okeechobee County, Florida",10.90%,10.9
"Okfuskee County, Oklahoma",19%,19
"Oklahoma County, Oklahoma",12.10%,12.1
"Okmulgee County, Oklahoma",17.30%,17.3
"Oktibbeha County, Mississippi",14.10%,14.1
"Oldham County, Kentucky",11.60%,11.6
"Oldham County, Texas",12.20%,12.2
"Oliver County, North Dakota",9.90%,9.9
"Olmsted County, Minnesota",9.20%,9.2
"Oneida County, Idaho",20.30%,20.3
"Oneida County, New York",11.20%,11.2
"Oneida County, Wisconsin",18%,18
"Onondaga County, New York",10.90%,10.9
"Onslow County, North Carolina",11.80%,11.8
"Ontario County, New York",10.50%,10.5
"Ontonagon County, Michigan",15.60%,15.6
"Orange County, California",10.10%,10.1
"Orange County, Florida",10.70%,10.7
"Orange County, Indiana",24.30%,24.3
"Orange County, New York",11.20%,11.2
"Orange County, North Carolina",5.60%,5.6
"Orange County, Texas",17.10%,17.1
"Orange County, Vermont",10.90%,10.9
"Orange County, Virginia",10%,10
"Orangeburg County, South Carolina",23.50%,23.5
"Oregon County, Missouri",24.80%,24.8
"Orleans County, New York",18.20%,18.2
"Orleans County, Vermont",13%,13
"Orleans Parish, Louisiana",7.80%,7.8
"Orocovis Municipio, Puerto Rico",15.80%,15.8
"Osage County, Kansas",19.10%,19.1
"Osage County, Missouri",21.50%,21.5
"Osage County, Oklahoma",15.40%,15.4
"Osborne County, Kansas",11.80%,11.8
"Osceola County, Florida",14.20%,14.2
"Osceola County, Iowa",24.60%,24.6
"Osceola County, Michigan",26%,26
"Oscoda County, Michigan",20.20%,20.2
"Oswego County, New York",16.80%,16.8
"Otero County, Colorado",18.20%,18.2
"Otero County, New Mexico",10.40%,10.4
"Otoe County, Nebraska",16.40%,16.4
"Otsego County, Michigan",16.20%,16.2
"Otsego County, New York",10.60%,10.6
"Ottawa County, Kansas",18.40%,18.4
"Ottawa County, Michigan",18.30%,18.3
"Ottawa County, Ohio",18.30%,18.3
"Ottawa County, Oklahoma",17.10%,17.1
"Otter Tail County, Minnesota",16%,16
"Ouachita County, Arkansas",27.20%,27.2
"Ouachita Parish, Louisiana",12.90%,12.9
"Ouray County, Colorado",5.70%,5.7
"Outagamie County, Wisconsin",19.30%,19.3
"Overton County, Tennessee",22.20%,22.2
"Owen County, Indiana",25.70%,25.7
"Owen County, Kentucky",22.70%,22.7
"Owsley County, Kentucky",15.80%,15.8
"Owyhee County, Idaho",16.10%,16.1
"Oxford County, Maine",17.70%,17.7
"Ozark County, Missouri",23.70%,23.7
"Ozaukee County, Wisconsin",12.70%,12.7
"Pacific County, Washington",13.60%,13.6
"Page County, Iowa",27.20%,27.2
"Page County, Virginia",18.10%,18.1
"Palm Beach County, Florida",8.70%,8.7
"Palo Alto County, Iowa",21.80%,21.8
"Palo Pinto County, Texas",17.60%,17.6
"Pamlico County, North Carolina",17.30%,17.3
"Panola County, Mississippi",18.50%,18.5
"Panola County, Texas",21.50%,21.5
"Park County, Colorado",9.30%,9.3
"Park County, Montana",9.10%,9.1
"Park County, Wyoming",10.20%,10.2
"Parke County, Indiana",22%,22
"Parker County, Texas",12.20%,12.2
"Parmer County, Texas",18.70%,18.7
"Pasco County, Florida",8.90%,8.9
"Pasquotank County, North Carolina",15.90%,15.9
"Passaic County, New Jersey",18.20%,18.2
"Patillas Municipio, Puerto Rico",17.90%,17.9
"Patrick County, Virginia",21.90%,21.9
"Paulding County, Georgia",12.60%,12.6
"Paulding County, Ohio",29.60%,29.6
"Pawnee County, Kansas",15.10%,15.1
"Pawnee County, Nebraska",23.40%,23.4
"Pawnee County, Oklahoma",19.40%,19.4
"Payette County, Idaho",21.60%,21.6
"Payne County, Oklahoma",11.70%,11.7
"Peach County, Georgia",19.70%,19.7
"Pearl River County, Mississippi",18.90%,18.9
"Pecos County, Texas",12.60%,12.6
"Pembina County, North Dakota",17.90%,17.9
"Pemiscot County, Missouri",19.40%,19.4
"Pend Oreille County, Washington",12.10%,12.1
"Pender County, North Carolina",12.80%,12.8
"Pendleton County, Kentucky",21.80%,21.8
"Pendleton County, West Virginia",21%,21
"Pennington County, Minnesota",25%,25
"Pennington County, South Dakota",12.30%,12.3
"Penobscot County, Maine",10.60%,10.6
"Peñuelas Municipio, Puerto Rico",15.20%,15.2
"Peoria County, Illinois",12.40%,12.4
"Pepin County, Wisconsin",20.50%,20.5
"Perkins County, Nebraska",9.80%,9.8
"Perkins County, South Dakota",11.10%,11.1
"Perquimans County, North Carolina",15.10%,15.1
"Perry County, Alabama",26.90%,26.9
"Perry County, Arkansas",19.10%,19.1
"Perry County, Illinois",18.80%,18.8
"Perry County, Indiana",30%,30
"Perry County, Kentucky",10.90%,10.9
"Perry County, Mississippi",20.40%,20.4
"Perry County, Missouri",26.60%,26.6
"Perry County, Ohio",23.40%,23.4
"Perry County, Pennsylvania",19.90%,19.9
"Perry County, Tennessee",27.50%,27.5
"Pershing County, Nevada",13.60%,13.6
"Person County, North Carolina",17.90%,17.9
"Petersburg Borough, Alaska",20.50%,20.5
"Petersburg city, Virginia",22.80%,22.8
"Petroleum County, Montana",4.20%,4.2
"Pettis County, Missouri",24%,24
"Phelps County, Missouri",15.30%,15.3
"Phelps County, Nebraska",15.50%,15.5
"Philadelphia County, Pennsylvania",11.50%,11.5
"Phillips County, Arkansas",22.30%,22.3
"Phillips County, Colorado",9.90%,9.9
"Phillips County, Kansas",14.80%,14.8
"Phillips County, Montana",9.70%,9.7
"Piatt County, Illinois",13%,13
"Pickaway County, Ohio",17.20%,17.2
"Pickens County, Alabama",25%,25
"Pickens County, Georgia",18.20%,18.2
"Pickens County, South Carolina",14.90%,14.9
"Pickett County, Tennessee",16.30%,16.3
"Pierce County, Georgia",19.80%,19.8
"Pierce County, Nebraska",15.40%,15.4
"Pierce County, North Dakota",9.40%,9.4
"Pierce County, Washington",14.90%,14.9
"Pierce County, Wisconsin",17.80%,17.8
"Pike County, Alabama",18.10%,18.1
"Pike County, Arkansas",22.70%,22.7
"Pike County, Georgia",12.80%,12.8
"Pike County, Illinois",19.20%,19.2
"Pike County, Indiana",32%,32
"Pike County, Kentucky",13.70%,13.7
"Pike County, Mississippi",27.20%,27.2
"Pike County, Missouri",19.10%,19.1
"Pike County, Ohio",23.40%,23.4
"Pike County, Pennsylvania",13.80%,13.8
"Pima County, Arizona",9.30%,9.3
"Pinal County, Arizona",13.90%,13.9
"Pine County, Minnesota",17.20%,17.2
"Pinellas County, Florida",9.10%,9.1
"Pipestone County, Minnesota",17%,17
"Piscataquis County, Maine",20%,20
"Pitkin County, Colorado",6.60%,6.6
"Pitt County, North Carolina",13.70%,13.7
"Pittsburg County, Oklahoma",15.50%,15.5
"Pittsylvania County, Virginia",20.60%,20.6
"Piute County, Utah",9.70%,9.7
"Placer County, California",7.10%,7.1
"Plaquemines Parish, Louisiana",13.40%,13.4
"Platte County, Missouri",13%,13
"Platte County, Nebraska",24.50%,24.5
"Platte County, Wyoming",15.20%,15.2
"Pleasants County, West Virginia",25.40%,25.4
"Plumas County, California",12.80%,12.8
"Plymouth County, Iowa",20.60%,20.6
"Plymouth County, Massachusetts",9.70%,9.7
"Pocahontas County, Iowa",22.60%,22.6
"Pocahontas County, West Virginia",19.10%,19.1
"Poinsett County, Arkansas",26.60%,26.6
"Pointe Coupee Parish, Louisiana",18%,18
"Polk County, Arkansas",17.70%,17.7
"Polk County, Florida",14.80%,14.8
"Polk County, Georgia",25.40%,25.4
"Polk County, Iowa",12.50%,12.5
"Polk County, Minnesota",14.20%,14.2
"Polk County, Missouri",16.70%,16.7
"Polk County, Nebraska",17%,17
"Polk County, North Carolina",12.80%,12.8
"Polk County, Oregon",11.90%,11.9
"Polk County, Tennessee",20.70%,20.7
"Polk County, Texas",18%,18
"Polk County, Wisconsin",24.40%,24.4
"Ponce Municipio, Puerto Rico",10.60%,10.6
"Pondera County, Montana",11.10%,11.1
"Pontotoc County, Mississippi",27.60%,27.6
"Pontotoc County, Oklahoma",13.10%,13.1
"Pope County, Arkansas",21.40%,21.4
"Pope County, Illinois",16.40%,16.4
"Pope County, Minnesota",16.60%,16.6
"Poquoson city, Virginia",10.40%,10.4
"Portage County, Ohio",17.10%,17.1
"Portage County, Wisconsin",17.40%,17.4
"Porter County, Indiana",15.90%,15.9
"Portsmouth city, Virginia",15.90%,15.9
"Posey County, Indiana",18%,18
"Pottawatomie County, Kansas",13.90%,13.9
"Pottawatomie County, Oklahoma",15%,15
"Pottawattamie County, Iowa",16.70%,16.7
"Potter County, Pennsylvania",20.90%,20.9
"Potter County, South Dakota",10.30%,10.3
"Potter County, Texas",18.40%,18.4
"Powder River County, Montana",8.60%,8.6
"Powell County, Kentucky",24.90%,24.9
"Powell County, Montana",10.60%,10.6
"Power County, Idaho",12.70%,12.7
"Poweshiek County, Iowa",18.10%,18.1
"Powhatan County, Virginia",8%,8
"Prairie County, Arkansas",17.70%,17.7
"Prairie County, Montana",15.90%,15.9
"Pratt County, Kansas",13.80%,13.8
"Preble County, Ohio",21.40%,21.4
"Prentiss County, Mississippi",30%,30
"Presidio County, Texas",6.80%,6.8
"Presque Isle County, Michigan",15.20%,15.2
"Preston County, West Virginia",17.10%,17.1
"Price County, Wisconsin",29.10%,29.1
"Prince Edward County, Virginia",13.30%,13.3
"Prince George County, Virginia",13.30%,13.3
"Prince George's County, Maryland",9.60%,9.6
"Prince of Wales-Hyder Census Area, Alaska",15%,15
"Prince William County, Virginia",8.50%,8.5
"Providence County, Rhode Island",14.10%,14.1
"Prowers County, Colorado",16.30%,16.3
"Pueblo County, Colorado",14.20%,14.2
"Pulaski County, Arkansas",11.70%,11.7
"Pulaski County, Georgia",19.60%,19.6
"Pulaski County, Illinois",17%,17
"Pulaski County, Indiana",25.90%,25.9
"Pulaski County, Kentucky",16.70%,16.7
"Pulaski County, Missouri",15%,15
"Pulaski County, Virginia",20.10%,20.1
"Pushmataha County, Oklahoma",15.20%,15.2
"Putnam County, Florida",16.60%,16.6
"Putnam County, Georgia",21.70%,21.7
"Putnam County, Illinois",22.50%,22.5
"Putnam County, Indiana",24%,24
"Putnam County, Missouri",19.70%,19.7
"Putnam County, New York",7.30%,7.3
"Putnam County, Ohio",22.60%,22.6
"Putnam County, Tennessee",18.50%,18.5
"Putnam County, West Virginia",12.90%,12.9
"Quay County, New Mexico",10.10%,10.1
"Quebradillas Municipio, Puerto Rico",17.30%,17.3
"Queen Anne's County, Maryland",8.50%,8.5
"Queens County, New York",11.40%,11.4
"Quitman County, Georgia",23.20%,23.2
"Quitman County, Mississippi",23.10%,23.1
"Rabun County, Georgia",11.60%,11.6
"Racine County, Wisconsin",21.30%,21.3
"Radford city, Virginia",12.70%,12.7
"Rains County, Texas",15.20%,15.2
"Raleigh County, West Virginia",10.60%,10.6
"Ralls County, Missouri",22.30%,22.3
"Ramsey County, Minnesota",12.70%,12.7
"Ramsey County, North Dakota",11.30%,11.3
"Randall County, Texas",12.10%,12.1
"Randolph County, Alabama",27.30%,27.3
"Randolph County, Arkansas",23.20%,23.2
"Randolph County, Georgia",20.20%,20.2
"Randolph County, Illinois",20.10%,20.1
"Randolph County, Indiana",24%,24
"Randolph County, Missouri",28.30%,28.3
"Randolph County, North Carolina",24.50%,24.5
"Randolph County, West Virginia",17.60%,17.6
"Rankin County, Mississippi",10.50%,10.5
"Ransom County, North Dakota",25.90%,25.9
"Rapides Parish, Louisiana",12.70%,12.7
"Rappahannock County, Virginia",8%,8
"Ravalli County, Montana",13.10%,13.1
"Rawlins County, Kansas",13.50%,13.5
"Ray County, Missouri",25%,25
"Reagan County, Texas",21.50%,21.5
"Real County, Texas",10.10%,10.1
"Red Lake County, Minnesota",20.20%,20.2
"Red River County, Texas",18.80%,18.8
"Red River Parish, Louisiana",19.10%,19.1
"Red Willow County, Nebraska",17.80%,17.8
"Redwood County, Minnesota",15.10%,15.1
"Reeves County, Texas",19.30%,19.3
"Refugio County, Texas",14.70%,14.7
"Reno County, Kansas",19.90%,19.9
"Rensselaer County, New York",10.60%,10.6
"Renville County, Minnesota",20%,20
"Renville County, North Dakota",16.80%,16.8
"Republic County, Kansas",15.30%,15.3
"Reynolds County, Missouri",22.10%,22.1
"Rhea County, Tennessee",28.50%,28.5
"Rice County, Kansas",21.70%,21.7
"Rice County, Minnesota",16.40%,16.4
"Rich County, Utah",12.20%,12.2
"Richardson County, Nebraska",13.90%,13.9
"Richland County, Illinois",23.80%,23.8
"Richland County, Montana",18.40%,18.4
"Richland County, North Dakota",18.80%,18.8
"Richland County, Ohio",22.60%,22.6
"Richland County, South Carolina",12%,12
"Richland County, Wisconsin",27.10%,27.1
"Richland Parish, Louisiana",10%,10
"Richmond city, Virginia",10.30%,10.3
"Richmond County, Georgia",17.70%,17.7
"Richmond County, New York",8.90%,8.9
"Richmond County, North Carolina",20.80%,20.8
"Richmond County, Virginia",16.90%,16.9
"Riley County, Kansas",8.80%,8.8
"Rincón Municipio, Puerto Rico",10.60%,10.6
"Ringgold County, Iowa",14.20%,14.2
"Rio Arriba County, New Mexico",8.60%,8.6
"Rio Blanco County, Colorado",12%,12
"Rio Grande County, Colorado",10.70%,10.7
"Río Grande Municipio, Puerto Rico",13.70%,13.7
"Ripley County, Indiana",24.40%,24.4
"Ripley County, Missouri",22.80%,22.8
"Ritchie County, West Virginia",23.70%,23.7
"Riverside County, California",15%,15
"Roane County, Tennessee",16%,16
"Roane County, West Virginia",19.90%,19.9
"Roanoke city, Virginia",15.30%,15.3
"Roanoke County, Virginia",13.10%,13.1
"Roberts County, South Dakota",13.70%,13.7
"Roberts County, Texas",16.30%,16.3
"Robertson County, Kentucky",16.80%,16.8
"Robertson County, Tennessee",17%,17
"Robertson County, Texas",15.50%,15.5
"Robeson County, North Carolina",20.90%,20.9
"Rock County, Minnesota",14.50%,14.5
"Rock County, Nebraska",5.60%,5.6
"Rock County, Wisconsin",21.90%,21.9
"Rock Island County, Illinois",20.40%,20.4
"Rockbridge County, Virginia",16.10%,16.1
"Rockcastle County, Kentucky",23.50%,23.5
"Rockdale County, Georgia",19.50%,19.5
"Rockingham County, New Hampshire",10.10%,10.1
"Rockingham County, North Carolina",20.80%,20.8
"Rockingham County, Virginia",18.10%,18.1
"Rockland County, New York",8.30%,8.3
"Rockwall County, Texas",8.40%,8.4
"Roger Mills County, Oklahoma",17.20%,17.2
"Rogers County, Oklahoma",15.30%,15.3
"Rolette County, North Dakota",11.20%,11.2
"Rooks County, Kansas",9.60%,9.6
"Roosevelt County, Montana",11.80%,11.8
"Roosevelt County, New Mexico",21.10%,21.1
"Roscommon County, Michigan",14%,14
"Roseau County, Minnesota",31.60%,31.6
"Rosebud County, Montana",12.90%,12.9
"Ross County, Ohio",21.60%,21.6
"Routt County, Colorado",6.90%,6.9
"Rowan County, Kentucky",17.40%,17.4
"Rowan County, North Carolina",20.70%,20.7
"Runnels County, Texas",17.40%,17.4
"Rush County, Indiana",26.60%,26.6
"Rush County, Kansas",17.80%,17.8
"Rusk County, Texas",20.70%,20.7
"Rusk County, Wisconsin",27.50%,27.5
"Russell County, Alabama",21.50%,21.5
"Russell County, Kansas",17.80%,17.8
"Russell County, Kentucky",20.90%,20.9
"Russell County, Virginia",17.60%,17.6
"Rutherford County, North Carolina",21.20%,21.2
"Rutherford County, Tennessee",18%,18
"Rutland County, Vermont",14%,14
"Sabana Grande Municipio, Puerto Rico",14.60%,14.6
"Sabine County, Texas",15.60%,15.6
"Sabine Parish, Louisiana",19.30%,19.3
"Sac County, Iowa",20.30%,20.3
"Sacramento County, California",11.40%,11.4
"Sagadahoc County, Maine",9.50%,9.5
"Saginaw County, Michigan",17.20%,17.2
"Saguache County, Colorado",9.30%,9.3
"Salem city, Virginia",13.40%,13.4
"Salem County, New Jersey",17%,17
"Salinas Municipio, Puerto Rico",18.20%,18.2
"Saline County, Arkansas",12%,12
"Saline County, Illinois",12.90%,12.9
"Saline County, Kansas",17.70%,17.7
"Saline County, Missouri",20.30%,20.3
"Saline County, Nebraska",24.90%,24.9
"Salt Lake County, Utah",12.90%,12.9
"Saluda County, South Carolina",23.70%,23.7
"Sampson County, North Carolina",20.30%,20.3
"San Augustine County, Texas",24%,24
"San Benito County, California",14.70%,14.7
"San Bernardino County, California",19.80%,19.8
"San Diego County, California",9.80%,9.8
"San Francisco County, California",5.60%,5.6
"San Germán Municipio, Puerto Rico",15.30%,15.3
"San Jacinto County, Texas",20.10%,20.1
"San Joaquin County, California",18.70%,18.7
"San Juan County, Colorado",2.60%,2.6
"San Juan County, New Mexico",13.70%,13.7
"San Juan County, Utah",14.30%,14.3
"San Juan County, Washington",8%,8
"San Juan Municipio, Puerto Rico",6.40%,6.4
"San Lorenzo Municipio, Puerto Rico",17.50%,17.5
"San Luis Obispo County, California",9.20%,9.2
"San Mateo County, California",7.90%,7.9
"San Miguel County, Colorado",6.80%,6.8
"San Miguel County, New Mexico",9.80%,9.8
"San Patricio County, Texas",16.90%,16.9
"San Saba County, Texas",17.20%,17.2
"San Sebastián Municipio, Puerto Rico",10.10%,10.1
"Sanborn County, South Dakota",13.10%,13.1
"Sanders County, Montana",16.80%,16.8
"Sandoval County, New Mexico",8.80%,8.8
"Sandusky County, Ohio",28.90%,28.9
"Sangamon County, Illinois",10.30%,10.3
"Sanilac County, Michigan",21.30%,21.3
"Sanpete County, Utah",14.70%,14.7
"Santa Barbara County, California",9.60%,9.6
"Santa Clara County, California",7.70%,7.7
"Santa Cruz County, Arizona",16.70%,16.7
"Santa Cruz County, California",8.90%,8.9
"Santa Fe County, New Mexico",6.70%,6.7
"Santa Isabel Municipio, Puerto Rico",17.20%,17.2
"Santa Rosa County, Florida",9.90%,9.9
"Sarasota County, Florida",8.90%,8.9
"Saratoga County, New York",9.20%,9.2
"Sargent County, North Dakota",29%,29
"Sarpy County, Nebraska",10.20%,10.2
"Sauk County, Wisconsin",17.50%,17.5
"Saunders County, Nebraska",14.20%,14.2
"Sawyer County, Wisconsin",16.80%,16.8
"Schenectady County, New York",10.70%,10.7
"Schleicher County, Texas",17.30%,17.3
"Schley County, Georgia",14.50%,14.5
"Schoharie County, New York",13.50%,13.5
"Schoolcraft County, Michigan",16.70%,16.7
"Schuyler County, Illinois",18.80%,18.8
"Schuyler County, Missouri",21.60%,21.6
"Schuyler County, New York",14.90%,14.9
"Schuylkill County, Pennsylvania",24.10%,24.1
"Scioto County, Ohio",17.90%,17.9
"Scotland County, Missouri",19.30%,19.3
"Scotland County, North Carolina",28.20%,28.2
"Scott County, Arkansas",27.20%,27.2
"Scott County, Illinois",18.60%,18.6
"Scott County, Indiana",34.80%,34.8
"Scott County, Iowa",15.60%,15.6
"Scott County, Kansas",14.10%,14.1
"Scott County, Kentucky",23.70%,23.7
"Scott County, Minnesota",13.40%,13.4
"Scott County, Mississippi",25.70%,25.7
"Scott County, Missouri",19.80%,19.8
"Scott County, Tennessee",29.50%,29.5
"Scott County, Virginia",19.30%,19.3
