Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Lower Connecticut River Valley Planning Region, Connecticut","7,956","94,796",8.4
"Lowndes County, Alabama",129,"3,727",3.5
"Lowndes County, Georgia","3,548","49,794",7.1
"Lowndes County, Mississippi","1,436","23,827",6
"Lubbock County, Texas","13,993","153,807",9.1
"Lucas County, Iowa",271,"4,105",6.6
"Lucas County, Ohio","10,929","201,274",5.4
"Luce County, Michigan",73,"1,459",5
"Lumpkin County, Georgia","1,198","15,327",7.8
"Luna County, New Mexico",533,"8,296",6.4
"Lunenburg County, Virginia",115,"4,656",2.5
"Luquillo Municipio, Puerto Rico",307,"5,652",5.4
"Luzerne County, Pennsylvania","8,050","153,692",5.2
"Lycoming County, Pennsylvania","3,228","52,429",6.2
"Lyman County, South Dakota",141,"1,478",9.5
"Lynchburg city, Virginia","2,682","36,550",7.3
"Lynn County, Texas",237,"2,506",9.5
"Lyon County, Iowa",381,"5,845",6.5
"Lyon County, Kansas","1,471","17,019",8.6
"Lyon County, Kentucky",112,"3,149",3.6
"Lyon County, Minnesota",841,"12,747",6.6
"Lyon County, Nevada",954,"26,227",3.6
"Mackinac County, Michigan",171,"4,349",3.9
"Macomb County, Michigan","18,015","433,289",4.2
"Macon County, Alabama",431,"7,072",6.1
"Macon County, Georgia",135,"3,556",3.8
"Macon County, Illinois","2,558","44,928",5.7
"Macon County, Missouri",533,"6,610",8.1
"Macon County, North Carolina",850,"15,716",5.4
"Macon County, Tennessee",437,"11,837",3.7
"Macoupin County, Illinois","1,273","20,176",6.3
"Madera County, California","3,633","59,826",6.1
"Madison County, Alabama","10,850","192,922",5.6
"Madison County, Arkansas",183,"7,052",2.6
"Madison County, Florida",403,"6,225",6.5
"Madison County, Georgia","1,017","13,312",7.6
"Madison County, Idaho","3,826","26,702",14.3
"Madison County, Illinois","7,108","129,311",5.5
"Madison County, Indiana","2,440","59,462",4.1
"Madison County, Iowa",392,"9,055",4.3
"Madison County, Kentucky","3,227","45,222",7.1
"Madison County, Mississippi","4,009","53,899",7.4
"Madison County, Missouri",213,"5,376",4
"Madison County, Montana",110,"4,075",2.7
"Madison County, Nebraska","1,327","18,105",7.3
"Madison County, New York","2,376","31,518",7.5
"Madison County, North Carolina",607,"9,715",6.2
"Madison County, Ohio","1,037","20,224",5.1
"Madison County, Tennessee","2,766","44,897",6.2
"Madison County, Texas",278,"4,793",5.8
"Madison County, Virginia",264,"6,634",4
"Madison Parish, Louisiana",265,"2,962",8.9
"Magoffin County, Kentucky",258,"2,983",8.6
"Mahaska County, Iowa",598,"11,101",5.4
"Mahnomen County, Minnesota",132,"2,030",6.5
"Mahoning County, Ohio","5,678","103,872",5.5
"Major County, Oklahoma",194,"3,434",5.6
"Malheur County, Oregon",601,"11,624",5.2
"Manassas city, Virginia","1,325","22,899",5.8
"Manassas Park city, Virginia",426,"9,964",4.3
"Manatee County, Florida","9,178","174,991",5.2
"Manatí Municipio, Puerto Rico",722,"11,143",6.5
"Manistee County, Michigan",322,"9,690",3.3
"Manitowoc County, Wisconsin","1,936","40,682",4.8
"Marathon County, Wisconsin","3,897","71,774",5.4
"Marengo County, Alabama",564,"7,587",7.4
"Maricao Municipio, Puerto Rico",58,"1,354",4.3
"Maricopa County, Arizona","112,695","2,176,046",5.2
"Maries County, Missouri",335,"3,582",9.4
"Marin County, California","8,002","128,916",6.2
"Marinette County, Wisconsin",770,"19,123",4
"Marion County, Alabama",683,"11,563",5.9
"Marion County, Arkansas",343,"6,022",5.7
"Marion County, Florida","6,559","142,390",4.6
"Marion County, Georgia",110,"2,826",3.9
"Marion County, Illinois",914,"16,449",5.6
"Marion County, Indiana","24,442","483,307",5.1
"Marion County, Iowa","1,196","16,772",7.1
"Marion County, Kansas",590,"5,674",10.4
"Marion County, Kentucky",378,"7,767",4.9
"Marion County, Mississippi",405,"8,983",4.5
"Marion County, Missouri",999,"13,295",7.5
"Marion County, Ohio",988,"27,120",3.6
"Marion County, Oregon","7,249","158,165",4.6
"Marion County, South Carolina",616,"10,801",5.7
"Marion County, Tennessee",460,"12,226",3.8
"Marion County, Texas",191,"3,450",5.5
"Marion County, West Virginia","1,680","25,410",6.6
"Mariposa County, California",608,"7,252",8.4
"Marlboro County, South Carolina",393,"8,922",4.4
"Marquette County, Michigan","1,846","31,091",5.9
"Marquette County, Wisconsin",289,"7,032",4.1
"Marshall County, Alabama","2,303","41,389",5.6
"Marshall County, Illinois",244,"5,182",4.7
"Marshall County, Indiana",987,"21,716",4.5
"Marshall County, Iowa","1,170","19,554",6
"Marshall County, Kansas",328,"4,951",6.6
"Marshall County, Kentucky",607,"13,941",4.4
"Marshall County, Minnesota",239,"4,346",5.5
"Marshall County, Mississippi",537,"14,230",3.8
"Marshall County, Oklahoma",312,"6,059",5.1
"Marshall County, South Dakota",91,"2,214",4.1
"Marshall County, Tennessee",675,"16,205",4.2
"Marshall County, West Virginia",839,"13,143",6.4
"Martin County, Florida","3,044","66,965",4.5
"Martin County, Indiana",118,"4,687",2.5
"Martin County, Kentucky",353,"3,032",11.6
"Martin County, Minnesota",529,"9,889",5.3
"Martin County, North Carolina",523,"9,084",5.8
"Martin County, Texas",209,"2,288",9.1
"Martinsville city, Virginia",328,"5,554",5.9
"Mason County, Illinois",248,"5,810",4.3
"Mason County, Kentucky",349,"7,271",4.8
"Mason County, Michigan",718,"12,410",5.8
"Mason County, Texas",198,"1,629",12.2
"Mason County, Washington","1,490","26,142",5.7
"Mason County, West Virginia",428,"9,417",4.5
"Massac County, Illinois",274,"5,718",4.8
"Matagorda County, Texas","1,096","14,845",7.4
"Matanuska-Susitna Borough, Alaska","2,716","45,800",5.9
"Mathews County, Virginia",232,"3,284",7.1
"Maui County, Hawaii","4,420","81,596",5.4
"Maunabo Municipio, Puerto Rico",129,"2,387",5.4
"Maury County, Tennessee","2,840","50,758",5.6
"Maverick County, Texas","1,736","22,689",7.7
"Mayagüez Municipio, Puerto Rico","1,408","19,263",7.3
"Mayes County, Oklahoma","1,031","16,621",6.2
"McClain County, Oklahoma","1,098","20,187",5.4
"McCone County, Montana",75,914,8.2
"McCook County, South Dakota",127,"2,937",4.3
"McCormick County, South Carolina",226,"3,263",6.9
"McCracken County, Kentucky","1,789","29,964",6
"McCreary County, Kentucky",296,"4,881",6.1
"McCulloch County, Texas",181,"3,286",5.5
"McCurtain County, Oklahoma",807,"12,352",6.5
"McDonald County, Missouri",440,"9,628",4.6
"McDonough County, Illinois","1,272","12,875",9.9
"McDowell County, North Carolina",878,"18,793",4.7
"McDowell County, West Virginia",174,"3,309",5.3
"McDuffie County, Georgia",786,"9,547",8.2
"McHenry County, Illinois","10,775","165,560",6.5
"McHenry County, North Dakota",152,"2,536",6
"McIntosh County, Georgia",170,"4,513",3.8
"McIntosh County, North Dakota",87,"1,291",6.7
"McIntosh County, Oklahoma",495,"6,307",7.8
"McKean County, Pennsylvania","1,327","17,575",7.6
"McKenzie County, North Dakota",429,"6,729",6.4
"McKinley County, New Mexico","1,597","23,731",6.7
"McLean County, Illinois","6,429","85,832",7.5
"McLean County, Kentucky",278,"3,784",7.3
"McLean County, North Dakota",301,"4,493",6.7
"McLennan County, Texas","9,168","119,971",7.6
"McLeod County, Minnesota",906,"19,144",4.7
"McMinn County, Tennessee","1,164","22,798",5.1
"McMullen County, Texas",20,247,8.1
"McNairy County, Tennessee",696,"9,761",7.1
"McPherson County, Kansas","1,205","15,658",7.7
"McPherson County, Nebraska",17,252,6.7
"McPherson County, South Dakota",50,"1,072",4.7
"Meade County, Kansas",170,"2,015",8.4
"Meade County, Kentucky",584,"13,375",4.4
"Meade County, South Dakota",678,"14,917",4.5
"Meagher County, Montana",95,"1,021",9.3
"Mecklenburg County, North Carolina","31,468","603,786",5.2
"Mecklenburg County, Virginia",951,"12,561",7.6
"Mecosta County, Michigan","1,118","16,808",6.7
"Medina County, Ohio","5,610","96,311",5.8
"Medina County, Texas","1,558","22,289",7
"Meeker County, Minnesota",571,"11,764",4.9
"Meigs County, Ohio",344,"8,336",4.1
"Meigs County, Tennessee",248,"5,006",5
"Mellette County, South Dakota",38,587,6.5
"Menard County, Illinois",433,"5,886",7.4
"Menard County, Texas",46,738,6.2
"Mendocino County, California","1,428","38,062",3.8
"Menifee County, Kentucky",68,"2,005",3.4
"Menominee County, Michigan",393,"10,729",3.7
"Menominee County, Wisconsin",23,"1,403",1.6
"Merced County, California","6,713","110,712",6.1
"Mercer County, Illinois",349,"7,382",4.7
"Mercer County, Kentucky",503,"10,029",5
"Mercer County, Missouri",111,"1,492",7.4
"Mercer County, New Jersey","16,449","186,469",8.8
"Mercer County, North Dakota",121,"3,759",3.2
"Mercer County, Ohio","1,072","21,826",4.9
"Mercer County, Pennsylvania","2,940","47,850",6.1
"Mercer County, West Virginia","1,939","23,119",8.4
"Meriwether County, Georgia",400,"7,997",5
"Merrick County, Nebraska",281,"3,973",7.1
"Merrimack County, New Hampshire","4,990","80,423",6.2
"Mesa County, Colorado","4,405","74,204",5.9
"Metcalfe County, Kentucky",337,"4,343",7.8
"Miami County, Indiana",474,"15,383",3.1
"Miami County, Kansas",919,"17,104",5.4
"Miami County, Ohio","2,927","54,484",5.4
"Miami-Dade County, Florida","62,275","1,343,356",4.6
"Middlesex County, Massachusetts","76,713","896,385",8.6
"Middlesex County, New Jersey","30,642","433,082",7.1
"Middlesex County, Virginia",344,"4,509",7.6
"Midland County, Michigan","2,275","38,154",6
"Midland County, Texas","4,776","85,908",5.6
"Mifflin County, Pennsylvania",633,"21,229",3
"Milam County, Texas",888,"10,929",8.1
"Millard County, Utah",413,"5,395",7.7
"Mille Lacs County, Minnesota",693,"13,012",5.3
"Miller County, Arkansas","1,083","16,166",6.7
"Miller County, Georgia",258,"2,430",10.6
"Miller County, Missouri",749,"11,381",6.6
"Mills County, Iowa",557,"6,743",8.3
"Mills County, Texas",88,"2,032",4.3
"Milwaukee County, Wisconsin","27,112","452,838",6
"Miner County, South Dakota",82,"1,122",7.3
"Mineral County, Colorado",53,412,12.9
"Mineral County, Montana",102,"1,917",5.3
"Mineral County, Nevada",206,"1,671",12.3
"Mineral County, West Virginia",721,"11,730",6.1
"Mingo County, West Virginia",403,"6,360",6.3
"Minidoka County, Idaho",665,"10,065",6.6
"Minnehaha County, South Dakota","5,147","110,635",4.7
"Missaukee County, Michigan",320,"6,547",4.9
"Mississippi County, Arkansas","1,108","16,965",6.5
"Mississippi County, Missouri",318,"4,335",7.3
"Missoula County, Montana","3,791","66,207",5.7
"Mitchell County, Georgia",514,"7,811",6.6
"Mitchell County, Iowa",326,"5,673",5.7
"Mitchell County, Kansas",194,"2,705",7.2
"Mitchell County, North Carolina",450,"6,538",6.9
"Mitchell County, Texas",162,"3,802",4.3
"Mobile County, Alabama","10,840","176,289",6.1
"Moca Municipio, Puerto Rico",724,"11,273",6.4
"Modoc County, California",260,"3,188",8.2
"Moffat County, Colorado",341,"6,110",5.6
"Mohave County, Arizona","3,316","75,865",4.4
"Moniteau County, Missouri",450,"6,719",6.7
"Monmouth County, New Jersey","26,464","331,132",8
"Mono County, California",486,"7,279",6.7
"Monona County, Iowa",223,"4,152",5.4
"Monongalia County, West Virginia","6,241","54,386",11.5
"Monroe County, Alabama",177,"6,220",2.8
"Monroe County, Arkansas",148,"2,318",6.4
"Monroe County, Florida","2,132","42,210",5.1
"Monroe County, Georgia",785,"13,152",6
"Monroe County, Illinois","1,026","18,704",5.5
"Monroe County, Indiana","8,385","70,601",11.9
"Monroe County, Iowa",441,"3,604",12.2
"Monroe County, Kentucky",288,"4,932",5.8
"Monroe County, Michigan","3,621","71,039",5.1
"Monroe County, Mississippi",564,"13,621",4.1
"Monroe County, Missouri",165,"3,599",4.6
"Monroe County, New York","31,182","373,267",8.4
"Monroe County, Ohio",400,"5,418",7.4
"Monroe County, Pennsylvania","4,130","79,168",5.2
"Monroe County, Tennessee","1,017","18,236",5.6
"Monroe County, West Virginia",230,"4,632",5
"Monroe County, Wisconsin","1,092","21,789",5
"Montague County, Texas",369,"8,288",4.5
"Montcalm County, Michigan","1,031","28,771",3.6
"Monterey County, California","11,677","187,502",6.2
"Montezuma County, Colorado",565,"10,871",5.2
"Montgomery County, Alabama","6,942","98,419",7.1
"Montgomery County, Arkansas",283,"3,249",8.7
"Montgomery County, Georgia",308,"3,438",9
"Montgomery County, Illinois",549,"11,520",4.8
"Montgomery County, Indiana",914,"18,659",4.9
"Montgomery County, Iowa",200,"4,757",4.2
"Montgomery County, Kansas",964,"13,703",7
"Montgomery County, Kentucky",547,"11,632",4.7
"Montgomery County, Maryland","38,404","560,749",6.8
"Montgomery County, Mississippi",283,"3,519",8
"Montgomery County, Missouri",261,"5,130",5.1
"Montgomery County, New York","1,346","22,079",6.1
"Montgomery County, North Carolina",596,"10,947",5.4
"Montgomery County, Ohio","14,320","252,061",5.7
"Montgomery County, Pennsylvania","33,007","451,495",7.3
"Montgomery County, Tennessee","6,330","94,591",6.7
"Montgomery County, Texas","20,310","301,015",6.7
"Montgomery County, Virginia","7,080","46,404",15.3
"Montmorency County, Michigan",103,"3,179",3.2
"Montour County, Pennsylvania",577,"8,711",6.6
"Montrose County, Colorado",757,"18,575",4.1
"Moody County, South Dakota",128,"3,076",4.2
"Moore County, North Carolina","2,824","41,529",6.8
"Moore County, Tennessee",158,"2,967",5.3
"Moore County, Texas",568,"9,713",5.8
"Mora County, New Mexico",85,"1,312",6.5
"Morehouse Parish, Louisiana",516,"9,371",5.5
"Morgan County, Alabama","3,046","55,092",5.5
"Morgan County, Colorado",690,"13,810",5
"Morgan County, Georgia","1,022","9,855",10.4
"Morgan County, Illinois",906,"14,292",6.3
"Morgan County, Indiana","1,406","34,822",4
"Morgan County, Kentucky",312,"4,367",7.1
"Morgan County, Missouri",297,"7,754",3.8
"Morgan County, Ohio",252,"5,475",4.6
"Morgan County, Tennessee",408,"7,312",5.6
"Morgan County, Utah",533,"5,404",9.9
"Morgan County, West Virginia",429,"7,791",5.5
"Morovis Municipio, Puerto Rico",792,"9,007",8.8
"Morrill County, Nebraska",174,"2,166",8
"Morris County, Kansas",197,"2,624",7.5
"Morris County, New Jersey","21,153","267,774",7.9
"Morris County, Texas",501,"4,972",10.1
"Morrison County, Minnesota",771,"16,605",4.6
"Morrow County, Ohio",896,"17,287",5.2
"Morrow County, Oregon",233,"5,141",4.5
"Morton County, Kansas",95,"1,180",8.1
"Morton County, North Dakota","1,041","18,208",5.7
"Motley County, Texas",40,591,6.8
"Moultrie County, Illinois",508,"6,597",7.7
"Mountrail County, North Dakota",349,"4,387",8
"Mower County, Minnesota","1,092","19,494",5.6
"Muhlenberg County, Kentucky",646,"12,526",5.2
"Multnomah County, Oregon","25,700","448,256",5.7
"Murray County, Georgia",855,"17,895",4.8
"Murray County, Minnesota",245,"4,031",6.1
"Murray County, Oklahoma",265,"5,950",4.5
"Muscatine County, Iowa","1,268","21,262",6
"Muscogee County, Georgia","5,986","82,874",7.2
"Muskegon County, Michigan","3,271","77,082",4.2
"Muskingum County, Ohio","2,200","39,534",5.6
"Muskogee County, Oklahoma","1,465","26,286",5.6
"Musselshell County, Montana",119,"1,975",6
"Nacogdoches County, Texas","2,239","28,508",7.9
"Naguabo Municipio, Puerto Rico",278,"6,777",4.1
"Nance County, Nebraska",117,"1,660",7
"Nantucket County, Massachusetts",602,"7,530",8
"Napa County, California","3,661","68,399",5.4
"Naranjito Municipio, Puerto Rico",353,"8,073",4.4
"Nash County, North Carolina","2,318","43,173",5.4
"Nassau County, Florida","1,945","41,336",4.7
"Nassau County, New York","63,112","704,740",9
"Natchitoches Parish, Louisiana","1,028","14,127",7.3
"Natrona County, Wyoming","2,984","40,661",7.3
"Naugatuck Valley Planning Region, Connecticut","15,673","227,485",6.9
"Navajo County, Arizona","2,880","33,969",8.5
"Navarro County, Texas","1,436","22,860",6.3
"Nelson County, Kentucky","1,297","22,467",5.8
"Nelson County, North Dakota",122,"1,366",8.9
"Nelson County, Virginia",500,"6,843",7.3
"Nemaha County, Kansas",328,"5,124",6.4
"Nemaha County, Nebraska",293,"3,263",9
"Neosho County, Kansas",431,"7,070",6.1
"Neshoba County, Mississippi",719,"11,014",6.5
"Ness County, Kansas",95,"1,421",6.7
"Nevada County, Arkansas",173,"3,119",5.5
"Nevada County, California","2,456","45,064",5.5
"New Castle County, Delaware","18,334","288,800",6.3
"New Hanover County, North Carolina","7,647","117,011",6.5
"New Kent County, Virginia",834,"12,157",6.9
"New Madrid County, Missouri",280,"6,490",4.3
"New York County, New York","62,599","888,836",7
"Newaygo County, Michigan","1,214","21,560",5.6
"Newberry County, South Carolina","1,275","16,966",7.5
"Newport County, Rhode Island","3,071","42,081",7.3
"Newport News city, Virginia","4,983","84,879",5.9
"Newton County, Arkansas",174,"2,898",6
"Newton County, Georgia","3,276","52,737",6.2
"Newton County, Indiana",230,"6,086",3.8
"Newton County, Mississippi",661,"8,453",7.8
"Newton County, Missouri","1,347","26,623",5.1
"Newton County, Texas",289,"4,378",6.6
"Nez Perce County, Idaho","1,273","19,812",6.4
"Niagara County, New York","6,571","100,397",6.5
"Nicholas County, Kentucky",113,"2,969",3.8
"Nicholas County, West Virginia",294,"9,174",3.2
"Nicollet County, Minnesota","1,273","19,195",6.6
"Niobrara County, Wyoming",146,"1,104",13.2
"Noble County, Indiana",932,"22,950",4.1
"Noble County, Ohio",249,"4,196",5.9
"Noble County, Oklahoma",425,"4,784",8.9
"Nobles County, Minnesota",744,"10,712",6.9
"Nodaway County, Missouri",763,"10,008",7.6
"Nolan County, Texas",277,"6,291",4.4
"Nome Census Area, Alaska",484,"3,773",12.8
"Norfolk city, Virginia","6,703","102,606",6.5
"Norfolk County, Massachusetts","31,213","388,268",8
"Norman County, Minnesota",227,"3,086",7.4
"North Slope Borough, Alaska",367,"6,429",5.7
"Northampton County, North Carolina",374,"6,852",5.5
"Northampton County, Pennsylvania","11,578","155,896",7.4
"Northampton County, Virginia",262,"4,949",5.3
"Northeastern Connecticut Planning Region, Connecticut","3,013","48,377",6.2
"Northumberland County, Pennsylvania","1,806","41,461",4.4
"Northumberland County, Virginia",213,"4,351",4.9
"Northwest Arctic Borough, Alaska",238,"2,632",9
"Northwest Hills Planning Region, Connecticut","4,551","57,987",7.8
"Norton city, Virginia",26,"1,505",1.7
"Norton County, Kansas",90,"2,162",4.2
"Nottoway County, Virginia",281,"6,067",4.6
"Nowata County, Oklahoma",179,"3,990",4.5
"Noxubee County, Mississippi",161,"3,877",4.2
"Nuckolls County, Nebraska",134,"2,160",6.2
"Nueces County, Texas","9,928","160,537",6.2
"Nye County, Nevada",898,"16,775",5.4
"O'Brien County, Iowa",557,"6,949",8
"Oakland County, Michigan","33,752","659,664",5.1
"Obion County, Tennessee",765,"13,360",5.7
"Ocean County, New Jersey","26,227","276,387",9.5
"Oceana County, Michigan",480,"11,417",4.2
"Ochiltree County, Texas",261,"4,880",5.3
"Oconee County, Georgia","2,202","20,702",10.6
"Oconee County, South Carolina","2,156","32,079",6.7
"Oconto County, Wisconsin",892,"19,178",4.7
"Ogemaw County, Michigan",338,"7,697",4.4
"Oglala Lakota County, South Dakota",357,"3,137",11.4
"Ogle County, Illinois","1,715","24,893",6.9
"Oglethorpe County, Georgia",645,"7,068",9.1
"Ohio County, Indiana",137,"2,828",4.8
"Ohio County, Kentucky",671,"10,000",6.7
"Ohio County, West Virginia","1,297","18,826",6.9
"Okaloosa County, Florida","4,966","94,566",5.3
"Okanogan County, Washington","1,162","17,714",6.6
"Okeechobee County, Florida","1,253","15,371",8.2
"Okfuskee County, Oklahoma",293,"3,879",7.6
"Oklahoma County, Oklahoma","19,702","381,875",5.2
"Okmulgee County, Oklahoma",945,"14,956",6.3
"Oktibbeha County, Mississippi","2,990","22,904",13.1
"Oldham County, Kentucky","2,079","32,761",6.3
"Oldham County, Texas",58,882,6.6
"Oliver County, North Dakota",32,780,4.1
"Olmsted County, Minnesota","5,793","86,883",6.7
"Oneida County, Idaho",332,"2,138",15.5
"Oneida County, New York","7,374","102,865",7.2
"Oneida County, Wisconsin",938,"16,809",5.6
"Onondaga County, New York","20,656","225,907",9.1
"Onslow County, North Carolina","5,998","67,951",8.8
"Ontario County, New York","4,300","55,310",7.8
"Ontonagon County, Michigan",110,"2,020",5.4
"Orange County, California","89,160","1,598,126",5.6
"Orange County, Florida","36,401","729,283",5
"Orange County, Indiana",460,"9,369",4.9
"Orange County, New York","14,536","183,933",7.9
"Orange County, North Carolina","9,645","72,303",13.3
"Orange County, Texas","2,465","38,240",6.4
"Orange County, Vermont","1,359","16,063",8.5
"Orange County, Virginia",733,"17,572",4.2
"Orangeburg County, South Carolina","1,884","32,571",5.8
"Oregon County, Missouri",202,"3,235",6.2
"Orleans County, New York",888,"17,816",5
"Orleans County, Vermont","1,123","13,347",8.4
"Orleans Parish, Louisiana","13,886","174,333",8
"Orocovis Municipio, Puerto Rico",513,"5,349",9.6
"Osage County, Kansas",465,"7,496",6.2
"Osage County, Missouri",361,"6,716",5.4
"Osage County, Oklahoma","1,167","19,172",6.1
"Osborne County, Kansas",139,"1,833",7.6
"Osceola County, Florida","9,408","191,317",4.9
"Osceola County, Iowa",135,"3,099",4.4
"Osceola County, Michigan",414,"9,014",4.6
"Oscoda County, Michigan",110,"2,768",4
"Oswego County, New York","3,490","54,486",6.4
"Otero County, Colorado",540,"7,169",7.5
"Otero County, New Mexico","1,497","23,086",6.5
"Otoe County, Nebraska",569,"8,154",7
"Otsego County, Michigan",666,"11,847",5.6
"Otsego County, New York","2,638","27,331",9.7
"Ottawa County, Kansas",150,"2,909",5.2
"Ottawa County, Michigan","8,788","153,468",5.7
"Ottawa County, Ohio","1,091","19,043",5.7
"Ottawa County, Oklahoma",814,"12,364",6.6
"Otter Tail County, Minnesota","1,570","28,208",5.6
"Ouachita County, Arkansas",435,"8,497",5.1
"Ouachita Parish, Louisiana","4,786","68,429",7
"Ouray County, Colorado",96,"2,193",4.4
"Outagamie County, Wisconsin","6,152","102,297",6
"Overton County, Tennessee",516,"10,201",5.1
"Owen County, Indiana",460,"9,977",4.6
"Owen County, Kentucky",215,"4,952",4.3
"Owsley County, Kentucky",49,"1,098",4.5
"Owyhee County, Idaho",245,"5,334",4.6
"Oxford County, Maine","1,964","26,106",7.5
"Ozark County, Missouri",131,"2,974",4.4
"Ozaukee County, Wisconsin","3,221","48,779",6.6
"Pacific County, Washington",507,"8,848",5.7
"Page County, Iowa",472,"6,832",6.9
"Page County, Virginia",737,"10,954",6.7
"Palm Beach County, Florida","33,660","699,009",4.8
"Palo Alto County, Iowa",230,"4,493",5.1
"Palo Pinto County, Texas",762,"12,246",6.2
"Pamlico County, North Carolina",294,"4,494",6.5
"Panola County, Mississippi",609,"11,828",5.1
"Panola County, Texas",636,"9,616",6.6
"Park County, Colorado",403,"8,651",4.7
"Park County, Montana",313,"9,098",3.4
"Park County, Wyoming",768,"14,579",5.3
"Parke County, Indiana",374,"6,376",5.9
"Parker County, Texas","4,233","72,909",5.8
"Parmer County, Texas",480,"4,712",10.2
"Pasco County, Florida","13,513","246,451",5.5
"Pasquotank County, North Carolina",989,"17,817",5.6
"Passaic County, New Jersey","15,911","251,821",6.3
"Patillas Municipio, Puerto Rico",353,"4,314",8.2
"Patrick County, Virginia",209,"7,340",2.8
"Paulding County, Georgia","5,784","84,122",6.9
"Paulding County, Ohio",433,"8,524",5.1
"Pawnee County, Kansas",119,"2,766",4.3
"Pawnee County, Nebraska",88,"1,119",7.9
"Pawnee County, Oklahoma",395,"6,547",6
"Payette County, Idaho",772,"10,781",7.2
"Payne County, Oklahoma","4,503","37,038",12.2
"Peach County, Georgia",712,"11,891",6
"Pearl River County, Mississippi","1,203","23,210",5.2
"Pecos County, Texas",368,"6,031",6.1
"Pembina County, North Dakota",252,"3,195",7.9
"Pemiscot County, Missouri",330,"5,572",5.9
"Pend Oreille County, Washington",334,"4,932",6.8
"Pender County, North Carolina","1,292","27,737",4.7
"Pendleton County, Kentucky",370,"6,688",5.5
"Pendleton County, West Virginia",146,"2,471",5.9
"Pennington County, Minnesota",320,"7,487",4.3
"Pennington County, South Dakota","3,322","54,310",6.1
"Penobscot County, Maine","5,876","73,912",7.9
"Peñuelas Municipio, Puerto Rico",290,"5,707",5.1
"Peoria County, Illinois","5,134","81,915",6.3
"Pepin County, Wisconsin",181,"3,621",5
"Perkins County, Nebraska",98,"1,448",6.8
"Perkins County, South Dakota",52,"1,579",3.3
"Perquimans County, North Carolina",223,"5,120",4.4
"Perry County, Alabama",321,"2,301",14
"Perry County, Arkansas",225,"3,840",5.9
"Perry County, Illinois",338,"8,018",4.2
"Perry County, Indiana",409,"8,455",4.8
"Perry County, Kentucky",535,"10,104",5.3
"Perry County, Mississippi",154,"4,019",3.8
"Perry County, Missouri",329,"9,063",3.6
"Perry County, Ohio",628,"15,105",4.2
"Perry County, Pennsylvania",993,"22,346",4.4
"Perry County, Tennessee",121,"3,096",3.9
"Pershing County, Nevada",64,"2,035",3.1
"Person County, North Carolina",994,"18,735",5.3
"Petersburg Borough, Alaska",75,"1,670",4.5
"Petersburg city, Virginia",687,"14,367",4.8
"Petroleum County, Montana",12,237,5.1
"Pettis County, Missouri","1,300","20,167",6.4
"Phelps County, Missouri","2,014","19,103",10.5
"Phelps County, Nebraska",353,"4,522",7.8
"Philadelphia County, Pennsylvania","46,584","736,737",6.3
"Phillips County, Arkansas",561,"5,654",9.9
"Phillips County, Colorado",105,"2,076",5.1
"Phillips County, Kansas",241,"2,320",10.4
"Phillips County, Montana",106,"1,931",5.5
"Piatt County, Illinois",779,"8,263",9.4
"Pickaway County, Ohio","1,223","25,909",4.7
"Pickens County, Alabama",417,"6,945",6
"Pickens County, Georgia",708,"15,344",4.6
"Pickens County, South Carolina","5,531","60,097",9.2
"Pickett County, Tennessee",91,"1,714",5.3
"Pierce County, Georgia",559,"8,474",6.6
"Pierce County, Nebraska",272,"3,782",7.2
"Pierce County, North Dakota",226,"1,859",12.2
"Pierce County, Washington","25,536","438,855",5.8
"Pierce County, Wisconsin","1,510","22,937",6.6
"Pike County, Alabama",996,"13,783",7.2
"Pike County, Arkansas",337,"4,238",8
"Pike County, Georgia",412,"8,685",4.7
"Pike County, Illinois",442,"6,430",6.9
"Pike County, Indiana",289,"5,571",5.2
"Pike County, Kentucky","1,574","19,273",8.2
"Pike County, Mississippi",959,"14,883",6.4
"Pike County, Missouri",431,"6,653",6.5
"Pike County, Ohio",564,"10,313",5.5
"Pike County, Pennsylvania","1,583","26,380",6
"Pima County, Arizona","30,700","462,957",6.6
"Pinal County, Arizona","8,175","170,772",4.8
"Pine County, Minnesota",728,"12,919",5.6
"Pinellas County, Florida","23,447","460,773",5.1
"Pipestone County, Minnesota",299,"4,503",6.6
"Piscataquis County, Maine",326,"7,145",4.6
"Pitkin County, Colorado",589,"10,499",5.6
"Pitt County, North Carolina","6,263","80,853",7.7
"Pittsburg County, Oklahoma","1,108","17,248",6.4
"Pittsylvania County, Virginia","1,086","25,730",4.2
"Piute County, Utah",62,578,10.7
"Placer County, California","11,469","190,093",6
"Plaquemines Parish, Louisiana",546,"10,570",5.2
"Platte County, Missouri","3,064","56,698",5.4
"Platte County, Nebraska","1,157","17,805",6.5
"Platte County, Wyoming",243,"3,662",6.6
"Pleasants County, West Virginia",161,"3,074",5.2
"Plumas County, California",396,"7,654",5.2
"Plymouth County, Iowa",781,"13,579",5.8
"Plymouth County, Massachusetts","17,832","274,636",6.5
"Pocahontas County, Iowa",190,"3,316",5.7
"Pocahontas County, West Virginia",113,"2,571",4.4
"Poinsett County, Arkansas",562,"9,419",6
"Pointe Coupee Parish, Louisiana",697,"8,211",8.5
"Polk County, Arkansas",572,"7,664",7.5
"Polk County, Florida","15,289","320,223",4.8
