Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Lower Connecticut River Valley Planning Region, Connecticut","6,593","94,796",7
"Lowndes County, Alabama",113,"3,727",3
"Lowndes County, Georgia","3,333","49,794",6.7
"Lowndes County, Mississippi","1,806","23,827",7.6
"Lubbock County, Texas","10,979","153,807",7.1
"Lucas County, Iowa",250,"4,105",6.1
"Lucas County, Ohio","15,522","201,274",7.7
"Luce County, Michigan",166,"1,459",11.4
"Lumpkin County, Georgia",729,"15,327",4.8
"Luna County, New Mexico",389,"8,296",4.7
"Lunenburg County, Virginia",304,"4,656",6.5
"Luquillo Municipio, Puerto Rico",340,"5,652",6
"Luzerne County, Pennsylvania","12,176","153,692",7.9
"Lycoming County, Pennsylvania","3,649","52,429",7
"Lyman County, South Dakota",58,"1,478",3.9
"Lynchburg city, Virginia","1,925","36,550",5.3
"Lynn County, Texas",139,"2,506",5.5
"Lyon County, Iowa",425,"5,845",7.3
"Lyon County, Kansas",586,"17,019",3.4
"Lyon County, Kentucky",219,"3,149",7
"Lyon County, Minnesota",715,"12,747",5.6
"Lyon County, Nevada",895,"26,227",3.4
"Mackinac County, Michigan",211,"4,349",4.9
"Macomb County, Michigan","27,359","433,289",6.3
"Macon County, Alabama",321,"7,072",4.5
"Macon County, Georgia",118,"3,556",3.3
"Macon County, Illinois","3,001","44,928",6.7
"Macon County, Missouri",369,"6,610",5.6
"Macon County, North Carolina",731,"15,716",4.7
"Macon County, Tennessee",624,"11,837",5.3
"Macoupin County, Illinois","1,155","20,176",5.7
"Madera County, California","2,748","59,826",4.6
"Madison County, Alabama","13,227","192,922",6.9
"Madison County, Arkansas",211,"7,052",3
"Madison County, Florida",261,"6,225",4.2
"Madison County, Georgia",682,"13,312",5.1
"Madison County, Idaho",623,"26,702",2.3
"Madison County, Illinois","8,633","129,311",6.7
"Madison County, Indiana","3,281","59,462",5.5
"Madison County, Iowa",496,"9,055",5.5
"Madison County, Kentucky","2,823","45,222",6.2
"Madison County, Mississippi","5,227","53,899",9.7
"Madison County, Missouri",304,"5,376",5.7
"Madison County, Montana",227,"4,075",5.6
"Madison County, Nebraska","1,073","18,105",5.9
"Madison County, New York","2,045","31,518",6.5
"Madison County, North Carolina",931,"9,715",9.6
"Madison County, Ohio","1,039","20,224",5.1
"Madison County, Tennessee","3,653","44,897",8.1
"Madison County, Texas",144,"4,793",3
"Madison County, Virginia",396,"6,634",6
"Madison Parish, Louisiana",150,"2,962",5.1
"Magoffin County, Kentucky",187,"2,983",6.3
"Mahaska County, Iowa",524,"11,101",4.7
"Mahnomen County, Minnesota",97,"2,030",4.8
"Mahoning County, Ohio","8,441","103,872",8.1
"Major County, Oklahoma",215,"3,434",6.3
"Malheur County, Oregon",582,"11,624",5
"Manassas city, Virginia","1,035","22,899",4.5
"Manassas Park city, Virginia",236,"9,964",2.4
"Manatee County, Florida","12,535","174,991",7.2
"Manatí Municipio, Puerto Rico",852,"11,143",7.6
"Manistee County, Michigan",595,"9,690",6.1
"Manitowoc County, Wisconsin","2,378","40,682",5.8
"Marathon County, Wisconsin","5,197","71,774",7.2
"Marengo County, Alabama",483,"7,587",6.4
"Maricao Municipio, Puerto Rico",36,"1,354",2.7
"Maricopa County, Arizona","127,617","2,176,046",5.9
"Maries County, Missouri",213,"3,582",5.9
"Marin County, California","8,177","128,916",6.3
"Marinette County, Wisconsin","1,309","19,123",6.8
"Marion County, Alabama",964,"11,563",8.3
"Marion County, Arkansas",378,"6,022",6.3
"Marion County, Florida","11,126","142,390",7.8
"Marion County, Georgia",209,"2,826",7.4
"Marion County, Illinois","1,216","16,449",7.4
"Marion County, Indiana","32,276","483,307",6.7
"Marion County, Iowa",972,"16,772",5.8
"Marion County, Kansas",313,"5,674",5.5
"Marion County, Kentucky",558,"7,767",7.2
"Marion County, Mississippi",461,"8,983",5.1
"Marion County, Missouri",931,"13,295",7
"Marion County, Ohio","1,686","27,120",6.2
"Marion County, Oregon","7,719","158,165",4.9
"Marion County, South Carolina",907,"10,801",8.4
"Marion County, Tennessee",730,"12,226",6
"Marion County, Texas",120,"3,450",3.5
"Marion County, West Virginia","2,056","25,410",8.1
"Mariposa County, California",195,"7,252",2.7
"Marlboro County, South Carolina",382,"8,922",4.3
"Marquette County, Michigan","2,704","31,091",8.7
"Marquette County, Wisconsin",224,"7,032",3.2
"Marshall County, Alabama","3,166","41,389",7.6
"Marshall County, Illinois",324,"5,182",6.3
"Marshall County, Indiana",874,"21,716",4
"Marshall County, Iowa","1,022","19,554",5.2
"Marshall County, Kansas",375,"4,951",7.6
"Marshall County, Kentucky","1,136","13,941",8.1
"Marshall County, Minnesota",198,"4,346",4.6
"Marshall County, Mississippi",467,"14,230",3.3
"Marshall County, Oklahoma",178,"6,059",2.9
"Marshall County, South Dakota",125,"2,214",5.6
"Marshall County, Tennessee",987,"16,205",6.1
"Marshall County, West Virginia","1,156","13,143",8.8
"Martin County, Florida","4,879","66,965",7.3
"Martin County, Indiana",312,"4,687",6.7
"Martin County, Kentucky",291,"3,032",9.6
"Martin County, Minnesota",588,"9,889",5.9
"Martin County, North Carolina",753,"9,084",8.3
"Martin County, Texas",89,"2,288",3.9
"Martinsville city, Virginia",294,"5,554",5.3
"Mason County, Illinois",361,"5,810",6.2
"Mason County, Kentucky",577,"7,271",7.9
"Mason County, Michigan",762,"12,410",6.1
"Mason County, Texas",89,"1,629",5.5
"Mason County, Washington","1,205","26,142",4.6
"Mason County, West Virginia",716,"9,417",7.6
"Massac County, Illinois",287,"5,718",5
"Matagorda County, Texas",779,"14,845",5.2
"Matanuska-Susitna Borough, Alaska","2,688","45,800",5.9
"Mathews County, Virginia",364,"3,284",11.1
"Maui County, Hawaii","4,184","81,596",5.1
"Maunabo Municipio, Puerto Rico",266,"2,387",11.1
"Maury County, Tennessee","3,372","50,758",6.6
"Maverick County, Texas",938,"22,689",4.1
"Mayagüez Municipio, Puerto Rico","1,612","19,263",8.4
"Mayes County, Oklahoma",858,"16,621",5.2
"McClain County, Oklahoma","1,626","20,187",8.1
"McCone County, Montana",18,914,2
"McCook County, South Dakota",217,"2,937",7.4
"McCormick County, South Carolina",377,"3,263",11.6
"McCracken County, Kentucky","2,151","29,964",7.2
"McCreary County, Kentucky",272,"4,881",5.6
"McCulloch County, Texas",228,"3,286",6.9
"McCurtain County, Oklahoma",517,"12,352",4.2
"McDonald County, Missouri",295,"9,628",3.1
"McDonough County, Illinois",724,"12,875",5.6
"McDowell County, North Carolina","1,335","18,793",7.1
"McDowell County, West Virginia",148,"3,309",4.5
"McDuffie County, Georgia",915,"9,547",9.6
"McHenry County, Illinois","9,041","165,560",5.5
"McHenry County, North Dakota",153,"2,536",6
"McIntosh County, Georgia",243,"4,513",5.4
"McIntosh County, North Dakota",105,"1,291",8.1
"McIntosh County, Oklahoma",334,"6,307",5.3
"McKean County, Pennsylvania","1,028","17,575",5.8
"McKenzie County, North Dakota",272,"6,729",4
"McKinley County, New Mexico","1,536","23,731",6.5
"McLean County, Illinois","4,672","85,832",5.4
"McLean County, Kentucky",247,"3,784",6.5
"McLean County, North Dakota",225,"4,493",5
"McLennan County, Texas","7,087","119,971",5.9
"McLeod County, Minnesota",992,"19,144",5.2
"McMinn County, Tennessee","1,591","22,798",7
"McMullen County, Texas",0,247,0
"McNairy County, Tennessee",670,"9,761",6.9
"McPherson County, Kansas",996,"15,658",6.4
"McPherson County, Nebraska",0,252,0
"McPherson County, South Dakota",82,"1,072",7.6
"Meade County, Kansas",127,"2,015",6.3
"Meade County, Kentucky",824,"13,375",6.2
"Meade County, South Dakota","1,024","14,917",6.9
"Meagher County, Montana",56,"1,021",5.5
"Mecklenburg County, North Carolina","30,585","603,786",5.1
"Mecklenburg County, Virginia",833,"12,561",6.6
"Mecosta County, Michigan","1,028","16,808",6.1
"Medina County, Ohio","7,272","96,311",7.6
"Medina County, Texas","1,237","22,289",5.5
"Meeker County, Minnesota",628,"11,764",5.3
"Meigs County, Ohio",588,"8,336",7.1
"Meigs County, Tennessee",246,"5,006",4.9
"Mellette County, South Dakota",78,587,13.3
"Menard County, Illinois",502,"5,886",8.5
"Menard County, Texas",34,738,4.6
"Mendocino County, California","1,627","38,062",4.3
"Menifee County, Kentucky",160,"2,005",8
"Menominee County, Michigan",609,"10,729",5.7
"Menominee County, Wisconsin",32,"1,403",2.3
"Merced County, California","4,794","110,712",4.3
"Mercer County, Illinois",331,"7,382",4.5
"Mercer County, Kentucky",920,"10,029",9.2
"Mercer County, Missouri",75,"1,492",5
"Mercer County, New Jersey","8,333","186,469",4.5
"Mercer County, North Dakota",164,"3,759",4.4
"Mercer County, Ohio","1,366","21,826",6.3
"Mercer County, Pennsylvania","3,770","47,850",7.9
"Mercer County, West Virginia","1,935","23,119",8.4
"Meriwether County, Georgia",273,"7,997",3.4
"Merrick County, Nebraska",267,"3,973",6.7
"Merrimack County, New Hampshire","6,142","80,423",7.6
"Mesa County, Colorado","5,112","74,204",6.9
"Metcalfe County, Kentucky",275,"4,343",6.3
"Miami County, Indiana","1,094","15,383",7.1
"Miami County, Kansas","1,031","17,104",6
"Miami County, Ohio","3,543","54,484",6.5
"Miami-Dade County, Florida","76,472","1,343,356",5.7
"Middlesex County, Massachusetts","57,953","896,385",6.5
"Middlesex County, New Jersey","25,749","433,082",5.9
"Middlesex County, Virginia",179,"4,509",4
"Midland County, Michigan","2,752","38,154",7.2
"Midland County, Texas","3,039","85,908",3.5
"Mifflin County, Pennsylvania","1,494","21,229",7
"Milam County, Texas",618,"10,929",5.7
"Millard County, Utah",128,"5,395",2.4
"Mille Lacs County, Minnesota",507,"13,012",3.9
"Miller County, Arkansas","1,012","16,166",6.3
"Miller County, Georgia",221,"2,430",9.1
"Miller County, Missouri",560,"11,381",4.9
"Mills County, Iowa",668,"6,743",9.9
"Mills County, Texas",129,"2,032",6.3
"Milwaukee County, Wisconsin","29,012","452,838",6.4
"Miner County, South Dakota",70,"1,122",6.2
"Mineral County, Colorado",22,412,5.3
"Mineral County, Montana",76,"1,917",4
"Mineral County, Nevada",39,"1,671",2.3
"Mineral County, West Virginia",776,"11,730",6.6
"Mingo County, West Virginia",407,"6,360",6.4
"Minidoka County, Idaho",476,"10,065",4.7
"Minnehaha County, South Dakota","8,891","110,635",8
"Missaukee County, Michigan",320,"6,547",4.9
"Mississippi County, Arkansas",841,"16,965",5
"Mississippi County, Missouri",185,"4,335",4.3
"Missoula County, Montana","4,906","66,207",7.4
"Mitchell County, Georgia",465,"7,811",6
"Mitchell County, Iowa",314,"5,673",5.5
"Mitchell County, Kansas",342,"2,705",12.6
"Mitchell County, North Carolina",558,"6,538",8.5
"Mitchell County, Texas",96,"3,802",2.5
"Mobile County, Alabama","12,030","176,289",6.8
"Moca Municipio, Puerto Rico",605,"11,273",5.4
"Modoc County, California",135,"3,188",4.2
"Moffat County, Colorado",381,"6,110",6.2
"Mohave County, Arizona","4,591","75,865",6.1
"Moniteau County, Missouri",311,"6,719",4.6
"Monmouth County, New Jersey","23,701","331,132",7.2
"Mono County, California",374,"7,279",5.1
"Monona County, Iowa",215,"4,152",5.2
"Monongalia County, West Virginia","5,849","54,386",10.8
"Monroe County, Alabama",449,"6,220",7.2
"Monroe County, Arkansas",82,"2,318",3.5
"Monroe County, Florida","1,726","42,210",4.1
"Monroe County, Georgia","1,133","13,152",8.6
"Monroe County, Illinois","1,485","18,704",7.9
"Monroe County, Indiana","3,473","70,601",4.9
"Monroe County, Iowa",146,"3,604",4.1
"Monroe County, Kentucky",348,"4,932",7.1
"Monroe County, Michigan","6,147","71,039",8.7
"Monroe County, Mississippi","1,132","13,621",8.3
"Monroe County, Missouri",229,"3,599",6.4
"Monroe County, New York","29,646","373,267",7.9
"Monroe County, Ohio",268,"5,418",4.9
"Monroe County, Pennsylvania","4,655","79,168",5.9
"Monroe County, Tennessee",845,"18,236",4.6
"Monroe County, West Virginia",337,"4,632",7.3
"Monroe County, Wisconsin","1,130","21,789",5.2
"Montague County, Texas",434,"8,288",5.2
"Montcalm County, Michigan","1,320","28,771",4.6
"Monterey County, California","8,680","187,502",4.6
"Montezuma County, Colorado",632,"10,871",5.8
"Montgomery County, Alabama","5,258","98,419",5.3
"Montgomery County, Arkansas",239,"3,249",7.4
"Montgomery County, Georgia",275,"3,438",8
"Montgomery County, Illinois",611,"11,520",5.3
"Montgomery County, Indiana",900,"18,659",4.8
"Montgomery County, Iowa",264,"4,757",5.5
"Montgomery County, Kansas",677,"13,703",4.9
"Montgomery County, Kentucky",438,"11,632",3.8
"Montgomery County, Maryland","32,869","560,749",5.9
"Montgomery County, Mississippi",169,"3,519",4.8
"Montgomery County, Missouri",285,"5,130",5.6
"Montgomery County, New York","1,413","22,079",6.4
"Montgomery County, North Carolina",610,"10,947",5.6
"Montgomery County, Ohio","17,586","252,061",7
"Montgomery County, Pennsylvania","35,773","451,495",7.9
"Montgomery County, Tennessee","5,874","94,591",6.2
"Montgomery County, Texas","15,052","301,015",5
"Montgomery County, Virginia","2,298","46,404",5
"Montmorency County, Michigan",199,"3,179",6.3
"Montour County, Pennsylvania","1,812","8,711",20.8
"Montrose County, Colorado","1,467","18,575",7.9
"Moody County, South Dakota",123,"3,076",4
"Moore County, North Carolina","3,783","41,529",9.1
"Moore County, Tennessee",142,"2,967",4.8
"Moore County, Texas",174,"9,713",1.8
"Mora County, New Mexico",4,"1,312",0.3
"Morehouse Parish, Louisiana",726,"9,371",7.7
"Morgan County, Alabama","3,019","55,092",5.5
"Morgan County, Colorado",770,"13,810",5.6
"Morgan County, Georgia",556,"9,855",5.6
"Morgan County, Illinois",909,"14,292",6.4
"Morgan County, Indiana","2,183","34,822",6.3
"Morgan County, Kentucky",444,"4,367",10.2
"Morgan County, Missouri",345,"7,754",4.4
"Morgan County, Ohio",370,"5,475",6.8
"Morgan County, Tennessee",549,"7,312",7.5
"Morgan County, Utah",381,"5,404",7.1
"Morgan County, West Virginia",276,"7,791",3.5
"Morovis Municipio, Puerto Rico",752,"9,007",8.3
"Morrill County, Nebraska",137,"2,166",6.3
"Morris County, Kansas",198,"2,624",7.5
"Morris County, New Jersey","17,181","267,774",6.4
"Morris County, Texas",386,"4,972",7.8
"Morrison County, Minnesota",952,"16,605",5.7
"Morrow County, Ohio",844,"17,287",4.9
"Morrow County, Oregon",140,"5,141",2.7
"Morton County, Kansas",56,"1,180",4.7
"Morton County, North Dakota","1,729","18,208",9.5
"Motley County, Texas",34,591,5.8
"Moultrie County, Illinois",299,"6,597",4.5
"Mountrail County, North Dakota",203,"4,387",4.6
"Mower County, Minnesota","1,163","19,494",6
"Muhlenberg County, Kentucky","1,300","12,526",10.4
"Multnomah County, Oregon","30,666","448,256",6.8
"Murray County, Georgia",514,"17,895",2.9
"Murray County, Minnesota",224,"4,031",5.6
"Murray County, Oklahoma",316,"5,950",5.3
"Muscatine County, Iowa",904,"21,262",4.3
"Muscogee County, Georgia","4,941","82,874",6
"Muskegon County, Michigan","4,315","77,082",5.6
"Muskingum County, Ohio","3,300","39,534",8.3
"Muskogee County, Oklahoma","1,908","26,286",7.3
"Musselshell County, Montana",57,"1,975",2.9
"Nacogdoches County, Texas","1,593","28,508",5.6
"Naguabo Municipio, Puerto Rico",368,"6,777",5.4
"Nance County, Nebraska",130,"1,660",7.8
"Nantucket County, Massachusetts",306,"7,530",4.1
"Napa County, California","4,457","68,399",6.5
"Naranjito Municipio, Puerto Rico",435,"8,073",5.4
"Nash County, North Carolina","2,375","43,173",5.5
"Nassau County, Florida","2,699","41,336",6.5
"Nassau County, New York","63,659","704,740",9
"Natchitoches Parish, Louisiana","1,233","14,127",8.7
"Natrona County, Wyoming","2,665","40,661",6.6
"Naugatuck Valley Planning Region, Connecticut","16,356","227,485",7.2
"Navajo County, Arizona","2,753","33,969",8.1
"Navarro County, Texas",934,"22,860",4.1
"Nelson County, Kentucky","1,483","22,467",6.6
"Nelson County, North Dakota",79,"1,366",5.8
"Nelson County, Virginia",363,"6,843",5.3
"Nemaha County, Kansas",406,"5,124",7.9
"Nemaha County, Nebraska",125,"3,263",3.8
"Neosho County, Kansas",595,"7,070",8.4
"Neshoba County, Mississippi",727,"11,014",6.6
"Ness County, Kansas",49,"1,421",3.4
"Nevada County, Arkansas",201,"3,119",6.4
"Nevada County, California","2,856","45,064",6.3
"New Castle County, Delaware","19,077","288,800",6.6
"New Hanover County, North Carolina","9,224","117,011",7.9
"New Kent County, Virginia",711,"12,157",5.8
"New Madrid County, Missouri",427,"6,490",6.6
"New York County, New York","50,773","888,836",5.7
"Newaygo County, Michigan",953,"21,560",4.4
"Newberry County, South Carolina","1,354","16,966",8
"Newport County, Rhode Island","2,537","42,081",6
"Newport News city, Virginia","3,902","84,879",4.6
"Newton County, Arkansas",85,"2,898",2.9
"Newton County, Georgia","2,767","52,737",5.2
"Newton County, Indiana",226,"6,086",3.7
"Newton County, Mississippi","1,004","8,453",11.9
"Newton County, Missouri","1,905","26,623",7.2
"Newton County, Texas",165,"4,378",3.8
"Nez Perce County, Idaho","1,155","19,812",5.8
"Niagara County, New York","6,335","100,397",6.3
"Nicholas County, Kentucky",126,"2,969",4.2
"Nicholas County, West Virginia",632,"9,174",6.9
"Nicollet County, Minnesota","1,173","19,195",6.1
"Niobrara County, Wyoming",20,"1,104",1.8
"Noble County, Indiana",790,"22,950",3.4
"Noble County, Ohio",348,"4,196",8.3
"Noble County, Oklahoma",156,"4,784",3.3
"Nobles County, Minnesota",358,"10,712",3.3
"Nodaway County, Missouri",609,"10,008",6.1
"Nolan County, Texas",396,"6,291",6.3
"Nome Census Area, Alaska",108,"3,773",2.9
"Norfolk city, Virginia","6,634","102,606",6.5
"Norfolk County, Massachusetts","32,310","388,268",8.3
"Norman County, Minnesota",125,"3,086",4.1
"North Slope Borough, Alaska",63,"6,429",1
"Northampton County, North Carolina",309,"6,852",4.5
"Northampton County, Pennsylvania","10,715","155,896",6.9
"Northampton County, Virginia",291,"4,949",5.9
"Northeastern Connecticut Planning Region, Connecticut","2,749","48,377",5.7
"Northumberland County, Pennsylvania","3,582","41,461",8.6
"Northumberland County, Virginia",373,"4,351",8.6
"Northwest Arctic Borough, Alaska",147,"2,632",5.6
"Northwest Hills Planning Region, Connecticut","3,716","57,987",6.4
"Norton city, Virginia",27,"1,505",1.8
"Norton County, Kansas",115,"2,162",5.3
"Nottoway County, Virginia",423,"6,067",7
"Nowata County, Oklahoma",278,"3,990",7
"Noxubee County, Mississippi",122,"3,877",3.1
"Nuckolls County, Nebraska",165,"2,160",7.6
"Nueces County, Texas","9,753","160,537",6.1
"Nye County, Nevada",446,"16,775",2.7
"O'Brien County, Iowa",407,"6,949",5.9
"Oakland County, Michigan","48,960","659,664",7.4
"Obion County, Tennessee",710,"13,360",5.3
"Ocean County, New Jersey","18,220","276,387",6.6
"Oceana County, Michigan",490,"11,417",4.3
"Ochiltree County, Texas",117,"4,880",2.4
"Oconee County, Georgia","1,968","20,702",9.5
"Oconee County, South Carolina","2,171","32,079",6.8
"Oconto County, Wisconsin","1,020","19,178",5.3
"Ogemaw County, Michigan",644,"7,697",8.4
"Oglala Lakota County, South Dakota",202,"3,137",6.4
"Ogle County, Illinois","1,507","24,893",6.1
"Oglethorpe County, Georgia",377,"7,068",5.3
"Ohio County, Indiana",164,"2,828",5.8
"Ohio County, Kentucky",626,"10,000",6.3
"Ohio County, West Virginia","1,500","18,826",8
"Okaloosa County, Florida","5,955","94,566",6.3
"Okanogan County, Washington",832,"17,714",4.7
"Okeechobee County, Florida",668,"15,371",4.3
"Okfuskee County, Oklahoma",212,"3,879",5.5
"Oklahoma County, Oklahoma","26,188","381,875",6.9
"Okmulgee County, Oklahoma",815,"14,956",5.4
"Oktibbeha County, Mississippi","1,225","22,904",5.3
"Oldham County, Kentucky","2,683","32,761",8.2
"Oldham County, Texas",71,882,8
"Oliver County, North Dakota",35,780,4.5
"Olmsted County, Minnesota","16,246","86,883",18.7
"Oneida County, Idaho",104,"2,138",4.9
"Oneida County, New York","8,008","102,865",7.8
"Oneida County, Wisconsin","1,250","16,809",7.4
"Onondaga County, New York","18,608","225,907",8.2
"Onslow County, North Carolina","3,252","67,951",4.8
"Ontario County, New York","4,818","55,310",8.7
"Ontonagon County, Michigan",113,"2,020",5.6
"Orange County, California","89,866","1,598,126",5.6
"Orange County, Florida","43,952","729,283",6
"Orange County, Indiana",416,"9,369",4.4
"Orange County, New York","11,270","183,933",6.1
"Orange County, North Carolina","7,364","72,303",10.2
"Orange County, Texas","2,000","38,240",5.2
"Orange County, Vermont","1,113","16,063",6.9
"Orange County, Virginia",795,"17,572",4.5
"Orangeburg County, South Carolina","2,114","32,571",6.5
"Oregon County, Missouri",127,"3,235",3.9
"Orleans County, New York",751,"17,816",4.2
"Orleans County, Vermont",788,"13,347",5.9
"Orleans Parish, Louisiana","12,250","174,333",7
"Orocovis Municipio, Puerto Rico",338,"5,349",6.3
"Osage County, Kansas",415,"7,496",5.5
"Osage County, Missouri",348,"6,716",5.2
"Osage County, Oklahoma",904,"19,172",4.7
"Osborne County, Kansas",147,"1,833",8
"Osceola County, Florida","8,754","191,317",4.6
"Osceola County, Iowa",161,"3,099",5.2
"Osceola County, Michigan",475,"9,014",5.3
"Oscoda County, Michigan",92,"2,768",3.3
"Oswego County, New York","3,567","54,486",6.5
"Otero County, Colorado",377,"7,169",5.3
"Otero County, New Mexico",940,"23,086",4.1
"Otoe County, Nebraska",457,"8,154",5.6
"Otsego County, Michigan",808,"11,847",6.8
"Otsego County, New York","2,092","27,331",7.7
"Ottawa County, Kansas",257,"2,909",8.8
"Ottawa County, Michigan","9,711","153,468",6.3
"Ottawa County, Ohio","1,343","19,043",7.1
"Ottawa County, Oklahoma",808,"12,364",6.5
"Otter Tail County, Minnesota","2,275","28,208",8.1
"Ouachita County, Arkansas",586,"8,497",6.9
"Ouachita Parish, Louisiana","5,651","68,429",8.3
"Ouray County, Colorado",130,"2,193",5.9
"Outagamie County, Wisconsin","6,318","102,297",6.2
"Overton County, Tennessee",581,"10,201",5.7
"Owen County, Indiana",404,"9,977",4
"Owen County, Kentucky",320,"4,952",6.5
"Owsley County, Kentucky",65,"1,098",5.9
"Owyhee County, Idaho",63,"5,334",1.2
"Oxford County, Maine","1,313","26,106",5
"Ozark County, Missouri",213,"2,974",7.2
"Ozaukee County, Wisconsin","3,765","48,779",7.7
"Pacific County, Washington",422,"8,848",4.8
"Page County, Iowa",466,"6,832",6.8
"Page County, Virginia",344,"10,954",3.1
"Palm Beach County, Florida","45,501","699,009",6.5
"Palo Alto County, Iowa",259,"4,493",5.8
"Palo Pinto County, Texas",726,"12,246",5.9
"Pamlico County, North Carolina",262,"4,494",5.8
"Panola County, Mississippi",761,"11,828",6.4
"Panola County, Texas",579,"9,616",6
"Park County, Colorado",328,"8,651",3.8
"Park County, Montana",359,"9,098",3.9
"Park County, Wyoming","1,200","14,579",8.2
"Parke County, Indiana",256,"6,376",4
"Parker County, Texas","4,728","72,909",6.5
"Parmer County, Texas",133,"4,712",2.8
"Pasco County, Florida","19,021","246,451",7.7
"Pasquotank County, North Carolina","1,231","17,817",6.9
"Passaic County, New Jersey","11,834","251,821",4.7
"Patillas Municipio, Puerto Rico",233,"4,314",5.4
"Patrick County, Virginia",558,"7,340",7.6
"Paulding County, Georgia","4,569","84,122",5.4
"Paulding County, Ohio",550,"8,524",6.5
"Pawnee County, Kansas",156,"2,766",5.6
"Pawnee County, Nebraska",46,"1,119",4.1
"Pawnee County, Oklahoma",258,"6,547",3.9
"Payette County, Idaho",569,"10,781",5.3
"Payne County, Oklahoma","2,025","37,038",5.5
"Peach County, Georgia",663,"11,891",5.6
"Pearl River County, Mississippi","1,576","23,210",6.8
"Pecos County, Texas",327,"6,031",5.4
"Pembina County, North Dakota",133,"3,195",4.2
"Pemiscot County, Missouri",134,"5,572",2.4
"Pend Oreille County, Washington",188,"4,932",3.8
"Pender County, North Carolina","1,780","27,737",6.4
"Pendleton County, Kentucky",351,"6,688",5.2
"Pendleton County, West Virginia",61,"2,471",2.5
"Pennington County, Minnesota",271,"7,487",3.6
"Pennington County, South Dakota","4,918","54,310",9.1
"Penobscot County, Maine","6,093","73,912",8.2
"Peñuelas Municipio, Puerto Rico",427,"5,707",7.5
"Peoria County, Illinois","7,414","81,915",9.1
"Pepin County, Wisconsin",174,"3,621",4.8
"Perkins County, Nebraska",88,"1,448",6.1
"Perkins County, South Dakota",47,"1,579",3
"Perquimans County, North Carolina",250,"5,120",4.9
"Perry County, Alabama",62,"2,301",2.7
"Perry County, Arkansas",317,"3,840",8.3
"Perry County, Illinois",601,"8,018",7.5
"Perry County, Indiana",481,"8,455",5.7
"Perry County, Kentucky","1,301","10,104",12.9
"Perry County, Mississippi",140,"4,019",3.5
"Perry County, Missouri",483,"9,063",5.3
"Perry County, Ohio",919,"15,105",6.1
"Perry County, Pennsylvania","1,030","22,346",4.6
"Perry County, Tennessee",274,"3,096",8.9
"Pershing County, Nevada",29,"2,035",1.4
"Person County, North Carolina","1,132","18,735",6
"Petersburg Borough, Alaska",57,"1,670",3.4
"Petersburg city, Virginia",769,"14,367",5.4
"Petroleum County, Montana",8,237,3.4
"Pettis County, Missouri","1,059","20,167",5.3
"Phelps County, Missouri","1,047","19,103",5.5
"Phelps County, Nebraska",196,"4,522",4.3
"Philadelphia County, Pennsylvania","54,422","736,737",7.4
"Phillips County, Arkansas",213,"5,654",3.8
"Phillips County, Colorado",110,"2,076",5.3
"Phillips County, Kansas",270,"2,320",11.6
"Phillips County, Montana",149,"1,931",7.7
"Piatt County, Illinois",641,"8,263",7.8
"Pickaway County, Ohio","1,744","25,909",6.7
"Pickens County, Alabama",492,"6,945",7.1
"Pickens County, Georgia",987,"15,344",6.4
"Pickens County, South Carolina","4,059","60,097",6.8
"Pickett County, Tennessee",196,"1,714",11.4
"Pierce County, Georgia",514,"8,474",6.1
"Pierce County, Nebraska",282,"3,782",7.5
"Pierce County, North Dakota",110,"1,859",5.9
"Pierce County, Washington","26,805","438,855",6.1
"Pierce County, Wisconsin","1,091","22,937",4.8
"Pike County, Alabama",646,"13,783",4.7
"Pike County, Arkansas",270,"4,238",6.4
"Pike County, Georgia",695,"8,685",8
"Pike County, Illinois",375,"6,430",5.8
"Pike County, Indiana",251,"5,571",4.5
"Pike County, Kentucky","1,976","19,273",10.3
"Pike County, Mississippi","1,447","14,883",9.7
"Pike County, Missouri",404,"6,653",6.1
"Pike County, Ohio",946,"10,313",9.2
"Pike County, Pennsylvania","1,481","26,380",5.6
"Pima County, Arizona","30,285","462,957",6.5
"Pinal County, Arizona","7,708","170,772",4.5
"Pine County, Minnesota",816,"12,919",6.3
"Pinellas County, Florida","34,851","460,773",7.6
"Pipestone County, Minnesota",359,"4,503",8
"Piscataquis County, Maine",504,"7,145",7.1
"Pitkin County, Colorado",606,"10,499",5.8
"Pitt County, North Carolina","8,184","80,853",10.1
"Pittsburg County, Oklahoma","1,054","17,248",6.1
"Pittsylvania County, Virginia","2,068","25,730",8
"Piute County, Utah",7,578,1.2
"Placer County, California","14,634","190,093",7.7
"Plaquemines Parish, Louisiana",609,"10,570",5.8
"Platte County, Missouri","4,408","56,698",7.8
"Platte County, Nebraska",863,"17,805",4.8
"Platte County, Wyoming",91,"3,662",2.5
"Pleasants County, West Virginia",110,"3,074",3.6
"Plumas County, California",318,"7,654",4.2
"Plymouth County, Iowa",823,"13,579",6.1
"Plymouth County, Massachusetts","19,857","274,636",7.2
"Pocahontas County, Iowa",248,"3,316",7.5
"Pocahontas County, West Virginia",137,"2,571",5.3
"Poinsett County, Arkansas",530,"9,419",5.6
"Pointe Coupee Parish, Louisiana",390,"8,211",4.7
"Polk County, Arkansas",538,"7,664",7
"Polk County, Florida","16,576","320,223",5.2
