Geographic Area,Percent—Total population—AGE—Under 5 years—Estimate,Under 5 yrs
"Mifflin County, Pennsylvania",6.40%,6.4
"Milam County, Texas",5.60%,5.6
"Millard County, Utah",7.30%,7.3
"Mille Lacs County, Minnesota",5.90%,5.9
"Miller County, Arkansas",6%,6
"Miller County, Georgia",6.20%,6.2
"Miller County, Missouri",6%,6
"Mills County, Iowa",5.30%,5.3
"Mills County, Texas",2.10%,2.1
"Milwaukee County, Wisconsin",6.60%,6.6
"Miner County, South Dakota",4.80%,4.8
"Mineral County, Colorado",3.90%,3.9
"Mineral County, Montana",6.60%,6.6
"Mineral County, Nevada",6.30%,6.3
"Mineral County, West Virginia",4.60%,4.6
"Mingo County, West Virginia",5.70%,5.7
"Minidoka County, Idaho",7.40%,7.4
"Minnehaha County, South Dakota",7.30%,7.3
"Missaukee County, Michigan",5.70%,5.7
"Mississippi County, Arkansas",6.90%,6.9
"Mississippi County, Missouri",4.80%,4.8
"Missoula County, Montana",4.70%,4.7
"Mitchell County, Georgia",5.70%,5.7
"Mitchell County, Iowa",6%,6
"Mitchell County, Kansas",5.60%,5.6
"Mitchell County, North Carolina",4.50%,4.5
"Mitchell County, Texas",6.20%,6.2
"Mobile County, Alabama",6.40%,6.4
"Moca Municipio, Puerto Rico",3.60%,3.6
"Modoc County, California",4.80%,4.8
"Moffat County, Colorado",6.10%,6.1
"Mohave County, Arizona",4.10%,4.1
"Moniteau County, Missouri",6.40%,6.4
"Monmouth County, New Jersey",4.90%,4.9
"Mono County, California",4%,4
"Monona County, Iowa",5.30%,5.3
"Monongalia County, West Virginia",4.50%,4.5
"Monroe County, Alabama",3.10%,3.1
"Monroe County, Arkansas",6.70%,6.7
"Monroe County, Florida",4.50%,4.5
"Monroe County, Georgia",4.80%,4.8
"Monroe County, Illinois",5.50%,5.5
"Monroe County, Indiana",4.20%,4.2
"Monroe County, Iowa",6%,6
"Monroe County, Kentucky",6.30%,6.3
"Monroe County, Michigan",5.10%,5.1
"Monroe County, Mississippi",5.70%,5.7
"Monroe County, Missouri",5.30%,5.3
"Monroe County, New York",5.30%,5.3
"Monroe County, Ohio",4.90%,4.9
"Monroe County, Pennsylvania",4.60%,4.6
"Monroe County, Tennessee",5.10%,5.1
"Monroe County, West Virginia",4.80%,4.8
"Monroe County, Wisconsin",6.30%,6.3
"Montague County, Texas",5.20%,5.2
"Montcalm County, Michigan",5.30%,5.3
"Monterey County, California",6.70%,6.7
"Montezuma County, Colorado",4.70%,4.7
"Montgomery County, Alabama",6.70%,6.7
"Montgomery County, Arkansas",4.60%,4.6
"Montgomery County, Georgia",5.30%,5.3
"Montgomery County, Illinois",5.20%,5.2
"Montgomery County, Indiana",5.80%,5.8
"Montgomery County, Iowa",5.90%,5.9
"Montgomery County, Kansas",5.70%,5.7
"Montgomery County, Kentucky",5.80%,5.8
"Montgomery County, Maryland",5.90%,5.9
"Montgomery County, Mississippi",4%,4
"Montgomery County, Missouri",5.80%,5.8
"Montgomery County, New York",6.20%,6.2
"Montgomery County, North Carolina",5.10%,5.1
"Montgomery County, Ohio",6%,6
"Montgomery County, Pennsylvania",5.30%,5.3
"Montgomery County, Tennessee",8%,8
"Montgomery County, Texas",6.40%,6.4
"Montgomery County, Virginia",3.80%,3.8
"Montmorency County, Michigan",3.70%,3.7
"Montour County, Pennsylvania",5.80%,5.8
"Montrose County, Colorado",4.80%,4.8
"Moody County, South Dakota",7.50%,7.5
"Moore County, North Carolina",5.80%,5.8
"Moore County, Tennessee",4.30%,4.3
"Moore County, Texas",9%,9
"Mora County, New Mexico",2.90%,2.9
"Morehouse Parish, Louisiana",6.20%,6.2
"Morgan County, Alabama",6%,6
"Morgan County, Colorado",7.10%,7.1
"Morgan County, Georgia",4.80%,4.8
"Morgan County, Illinois",5.20%,5.2
"Morgan County, Indiana",5.10%,5.1
"Morgan County, Kentucky",4.70%,4.7
"Morgan County, Missouri",6.60%,6.6
"Morgan County, Ohio",4.70%,4.7
"Morgan County, Tennessee",4.70%,4.7
"Morgan County, Utah",6.80%,6.8
"Morgan County, West Virginia",3.90%,3.9
"Morovis Municipio, Puerto Rico",3.80%,3.8
"Morrill County, Nebraska",6.40%,6.4
"Morris County, Kansas",4.80%,4.8
"Morris County, New Jersey",4.90%,4.9
"Morris County, Texas",4.60%,4.6
"Morrison County, Minnesota",5.60%,5.6
"Morrow County, Ohio",5.40%,5.4
"Morrow County, Oregon",7.10%,7.1
"Morton County, Kansas",4.60%,4.6
"Morton County, North Dakota",5.90%,5.9
"Motley County, Texas",6.20%,6.2
"Moultrie County, Illinois",5.90%,5.9
"Mountrail County, North Dakota",8.50%,8.5
"Mower County, Minnesota",6.60%,6.6
"Muhlenberg County, Kentucky",5.70%,5.7
"Multnomah County, Oregon",4.80%,4.8
"Murray County, Georgia",6%,6
"Murray County, Minnesota",5.20%,5.2
"Murray County, Oklahoma",6.10%,6.1
"Muscatine County, Iowa",6.10%,6.1
"Muscogee County, Georgia",6.90%,6.9
"Muskegon County, Michigan",5.80%,5.8
"Muskingum County, Ohio",6%,6
"Muskogee County, Oklahoma",6.40%,6.4
"Musselshell County, Montana",3.70%,3.7
"Nacogdoches County, Texas",6.10%,6.1
"Naguabo Municipio, Puerto Rico",3.80%,3.8
"Nance County, Nebraska",5.20%,5.2
"Nantucket County, Massachusetts",5.30%,5.3
"Napa County, California",4.60%,4.6
"Naranjito Municipio, Puerto Rico",1.70%,1.7
"Nash County, North Carolina",5.60%,5.6
"Nassau County, Florida",4.80%,4.8
"Nassau County, New York",5.30%,5.3
"Natchitoches Parish, Louisiana",6.10%,6.1
"Natrona County, Wyoming",6.20%,6.2
"Naugatuck Valley Planning Region, Connecticut",5.20%,5.2
"Navajo County, Arizona",6.30%,6.3
"Navarro County, Texas",6.50%,6.5
"Nelson County, Kentucky",6.10%,6.1
"Nelson County, North Dakota",5%,5
"Nelson County, Virginia",4.70%,4.7
"Nemaha County, Kansas",7.10%,7.1
"Nemaha County, Nebraska",5.80%,5.8
"Neosho County, Kansas",6.30%,6.3
"Neshoba County, Mississippi",7.20%,7.2
"Ness County, Kansas",5%,5
"Nevada County, Arkansas",5.60%,5.6
"Nevada County, California",4.10%,4.1
"New Castle County, Delaware",5.50%,5.5
"New Hanover County, North Carolina",4.60%,4.6
"New Kent County, Virginia",4.10%,4.1
"New Madrid County, Missouri",6.40%,6.4
"New York County, New York",4.50%,4.5
"Newaygo County, Michigan",5.50%,5.5
"Newberry County, South Carolina",5.50%,5.5
"Newport County, Rhode Island",4%,4
"Newport News city, Virginia",7.10%,7.1
"Newton County, Arkansas",4.40%,4.4
"Newton County, Georgia",6.10%,6.1
"Newton County, Indiana",5.40%,5.4
"Newton County, Mississippi",6.40%,6.4
"Newton County, Missouri",6%,6
"Newton County, Texas",4.70%,4.7
"Nez Perce County, Idaho",5.40%,5.4
"Niagara County, New York",5.10%,5.1
"Nicholas County, Kentucky",5.80%,5.8
"Nicholas County, West Virginia",4.60%,4.6
"Nicollet County, Minnesota",5.50%,5.5
"Niobrara County, Wyoming",3.50%,3.5
"Noble County, Indiana",6.40%,6.4
"Noble County, Ohio",5%,5
"Noble County, Oklahoma",5.90%,5.9
"Nobles County, Minnesota",8.10%,8.1
"Nodaway County, Missouri",4.90%,4.9
"Nolan County, Texas",7%,7
"Nome Census Area, Alaska",9%,9
"Norfolk city, Virginia",6.50%,6.5
"Norfolk County, Massachusetts",5.20%,5.2
"Norman County, Minnesota",5.70%,5.7
"North Slope Borough, Alaska",5.60%,5.6
"Northampton County, North Carolina",5%,5
"Northampton County, Pennsylvania",4.70%,4.7
"Northampton County, Virginia",4.50%,4.5
"Northeastern Connecticut Planning Region, Connecticut",4.80%,4.8
"Northumberland County, Pennsylvania",5%,5
"Northumberland County, Virginia",3.10%,3.1
"Northwest Arctic Borough, Alaska",10.40%,10.4
"Northwest Hills Planning Region, Connecticut",4.50%,4.5
"Norton city, Virginia",3.30%,3.3
"Norton County, Kansas",5.90%,5.9
"Nottoway County, Virginia",5%,5
"Nowata County, Oklahoma",6.50%,6.5
"Noxubee County, Mississippi",7.40%,7.4
"Nuckolls County, Nebraska",4.60%,4.6
"Nueces County, Texas",6.30%,6.3
"Nye County, Nevada",4.10%,4.1
"O'Brien County, Iowa",6.30%,6.3
"Oakland County, Michigan",5.20%,5.2
"Obion County, Tennessee",5.50%,5.5
"Ocean County, New Jersey",7.20%,7.2
"Oceana County, Michigan",5.10%,5.1
"Ochiltree County, Texas",7.60%,7.6
"Oconee County, Georgia",4.80%,4.8
"Oconee County, South Carolina",4.60%,4.6
"Oconto County, Wisconsin",4.70%,4.7
"Ogemaw County, Michigan",4.40%,4.4
"Oglala Lakota County, South Dakota",9.10%,9.1
"Ogle County, Illinois",5.30%,5.3
"Oglethorpe County, Georgia",5.10%,5.1
"Ohio County, Indiana",6.30%,6.3
"Ohio County, Kentucky",5.40%,5.4
"Ohio County, West Virginia",5.10%,5.1
"Okaloosa County, Florida",6.30%,6.3
"Okanogan County, Washington",5.70%,5.7
"Okeechobee County, Florida",6%,6
"Okfuskee County, Oklahoma",5.40%,5.4
"Oklahoma County, Oklahoma",7%,7
"Okmulgee County, Oklahoma",5.70%,5.7
"Oktibbeha County, Mississippi",4.90%,4.9
"Oldham County, Kentucky",4.90%,4.9
"Oldham County, Texas",5.80%,5.8
"Oliver County, North Dakota",7%,7
"Olmsted County, Minnesota",6.40%,6.4
"Oneida County, Idaho",6.80%,6.8
"Oneida County, New York",5.50%,5.5
"Oneida County, Wisconsin",4.30%,4.3
"Onondaga County, New York",5.50%,5.5
"Onslow County, North Carolina",8.20%,8.2
"Ontario County, New York",4.70%,4.7
"Ontonagon County, Michigan",2.60%,2.6
"Orange County, California",5.50%,5.5
"Orange County, Florida",5.70%,5.7
"Orange County, Indiana",6.10%,6.1
"Orange County, New York",6.60%,6.6
"Orange County, North Carolina",4.20%,4.2
"Orange County, Texas",6.50%,6.5
"Orange County, Vermont",4.30%,4.3
"Orange County, Virginia",5.60%,5.6
"Orangeburg County, South Carolina",5.20%,5.2
"Oregon County, Missouri",6%,6
"Orleans County, New York",4.90%,4.9
"Orleans County, Vermont",4.70%,4.7
"Orleans Parish, Louisiana",5.60%,5.6
"Orocovis Municipio, Puerto Rico",4.20%,4.2
"Osage County, Kansas",5.40%,5.4
"Osage County, Missouri",5.30%,5.3
"Osage County, Oklahoma",5%,5
"Osborne County, Kansas",6%,6
"Osceola County, Florida",6%,6
"Osceola County, Iowa",4.90%,4.9
"Osceola County, Michigan",5.40%,5.4
"Oscoda County, Michigan",5.20%,5.2
"Oswego County, New York",5.30%,5.3
"Otero County, Colorado",5.70%,5.7
"Otero County, New Mexico",6.10%,6.1
"Otoe County, Nebraska",5.70%,5.7
"Otsego County, Michigan",5.10%,5.1
"Otsego County, New York",3.90%,3.9
"Ottawa County, Kansas",5.30%,5.3
"Ottawa County, Michigan",5.70%,5.7
"Ottawa County, Ohio",3.80%,3.8
"Ottawa County, Oklahoma",6.50%,6.5
"Otter Tail County, Minnesota",5.50%,5.5
"Ouachita County, Arkansas",5.50%,5.5
"Ouachita Parish, Louisiana",6.50%,6.5
"Ouray County, Colorado",2.90%,2.9
"Outagamie County, Wisconsin",5.90%,5.9
"Overton County, Tennessee",5%,5
"Owen County, Indiana",5.10%,5.1
"Owen County, Kentucky",5.50%,5.5
"Owsley County, Kentucky",5.60%,5.6
"Owyhee County, Idaho",6.30%,6.3
"Oxford County, Maine",4.20%,4.2
"Ozark County, Missouri",4%,4
"Ozaukee County, Wisconsin",5.10%,5.1
"Pacific County, Washington",3.50%,3.5
"Page County, Iowa",4.80%,4.8
"Page County, Virginia",5.10%,5.1
"Palm Beach County, Florida",4.90%,4.9
"Palo Alto County, Iowa",6.30%,6.3
"Palo Pinto County, Texas",5.90%,5.9
"Pamlico County, North Carolina",2.70%,2.7
"Panola County, Mississippi",6.80%,6.8
"Panola County, Texas",5.70%,5.7
"Park County, Colorado",3.40%,3.4
"Park County, Montana",4.30%,4.3
"Park County, Wyoming",4.90%,4.9
"Parke County, Indiana",5.80%,5.8
"Parker County, Texas",6%,6
"Parmer County, Texas",7.40%,7.4
"Pasco County, Florida",4.90%,4.9
"Pasquotank County, North Carolina",5.80%,5.8
"Passaic County, New Jersey",6.40%,6.4
"Patillas Municipio, Puerto Rico",3%,3
"Patrick County, Virginia",4.40%,4.4
"Paulding County, Georgia",6.10%,6.1
"Paulding County, Ohio",5.50%,5.5
"Pawnee County, Kansas",3.30%,3.3
"Pawnee County, Nebraska",7%,7
"Pawnee County, Oklahoma",6%,6
"Payette County, Idaho",6.50%,6.5
"Payne County, Oklahoma",4.60%,4.6
"Peach County, Georgia",5.70%,5.7
"Pearl River County, Mississippi",5.60%,5.6
"Pecos County, Texas",6.70%,6.7
"Pembina County, North Dakota",5.30%,5.3
"Pemiscot County, Missouri",7.10%,7.1
"Pend Oreille County, Washington",4.40%,4.4
"Pender County, North Carolina",5.40%,5.4
"Pendleton County, Kentucky",5.90%,5.9
"Pendleton County, West Virginia",4.60%,4.6
"Pennington County, Minnesota",5.90%,5.9
"Pennington County, South Dakota",6.10%,6.1
"Penobscot County, Maine",4.50%,4.5
"Peñuelas Municipio, Puerto Rico",4.30%,4.3
"Peoria County, Illinois",6.70%,6.7
"Pepin County, Wisconsin",5.50%,5.5
"Perkins County, Nebraska",5.60%,5.6
"Perkins County, South Dakota",6.50%,6.5
"Perquimans County, North Carolina",4.30%,4.3
"Perry County, Alabama",6.10%,6.1
"Perry County, Arkansas",4.80%,4.8
"Perry County, Illinois",4.80%,4.8
"Perry County, Indiana",5.60%,5.6
"Perry County, Kentucky",6.10%,6.1
"Perry County, Mississippi",5%,5
"Perry County, Missouri",5.50%,5.5
"Perry County, Ohio",5.90%,5.9
"Perry County, Pennsylvania",5.40%,5.4
"Perry County, Tennessee",5.90%,5.9
"Pershing County, Nevada",5%,5
"Person County, North Carolina",5.30%,5.3
"Petersburg Borough, Alaska",4.40%,4.4
"Petersburg city, Virginia",7.40%,7.4
"Petroleum County, Montana",8.90%,8.9
"Pettis County, Missouri",6.80%,6.8
"Phelps County, Missouri",5.30%,5.3
"Phelps County, Nebraska",6.30%,6.3
"Philadelphia County, Pennsylvania",6.20%,6.2
"Phillips County, Arkansas",7%,7
"Phillips County, Colorado",7.50%,7.5
"Phillips County, Kansas",6%,6
"Phillips County, Montana",5.50%,5.5
"Piatt County, Illinois",5.60%,5.6
"Pickaway County, Ohio",5.30%,5.3
"Pickens County, Alabama",5%,5
"Pickens County, Georgia",4.80%,4.8
"Pickens County, South Carolina",4.70%,4.7
"Pickett County, Tennessee",3.80%,3.8
"Pierce County, Georgia",6.40%,6.4
"Pierce County, Nebraska",7.20%,7.2
"Pierce County, North Dakota",4.40%,4.4
"Pierce County, Washington",6.30%,6.3
"Pierce County, Wisconsin",4.80%,4.8
"Pike County, Alabama",5.10%,5.1
"Pike County, Arkansas",4.90%,4.9
"Pike County, Georgia",5.10%,5.1
"Pike County, Illinois",6%,6
"Pike County, Indiana",5.50%,5.5
"Pike County, Kentucky",5.10%,5.1
"Pike County, Mississippi",6.50%,6.5
"Pike County, Missouri",5.60%,5.6
"Pike County, Ohio",6.40%,6.4
"Pike County, Pennsylvania",3.60%,3.6
"Pima County, Arizona",5.10%,5.1
"Pinal County, Arizona",5.40%,5.4
"Pine County, Minnesota",4.60%,4.6
"Pinellas County, Florida",4%,4
"Pipestone County, Minnesota",7.10%,7.1
"Piscataquis County, Maine",4.70%,4.7
"Pitkin County, Colorado",4.70%,4.7
"Pitt County, North Carolina",5.60%,5.6
"Pittsburg County, Oklahoma",5.80%,5.8
"Pittsylvania County, Virginia",4.10%,4.1
"Piute County, Utah",2.80%,2.8
"Placer County, California",5.10%,5.1
"Plaquemines Parish, Louisiana",5.90%,5.9
"Platte County, Missouri",5.80%,5.8
"Platte County, Nebraska",6.90%,6.9
"Platte County, Wyoming",4.40%,4.4
"Pleasants County, West Virginia",4.80%,4.8
"Plumas County, California",4.50%,4.5
"Plymouth County, Iowa",5.80%,5.8
"Plymouth County, Massachusetts",5.10%,5.1
"Pocahontas County, Iowa",5.80%,5.8
"Pocahontas County, West Virginia",4.40%,4.4
"Poinsett County, Arkansas",6.50%,6.5
"Pointe Coupee Parish, Louisiana",5.50%,5.5
"Polk County, Arkansas",5.70%,5.7
"Polk County, Florida",5.60%,5.6
"Polk County, Georgia",6.50%,6.5
"Polk County, Iowa",6.70%,6.7
"Polk County, Minnesota",6.50%,6.5
"Polk County, Missouri",6.20%,6.2
"Polk County, Nebraska",5.50%,5.5
"Polk County, North Carolina",4%,4
"Polk County, Oregon",5.40%,5.4
"Polk County, Tennessee",4.60%,4.6
"Polk County, Texas",5%,5
"Polk County, Wisconsin",4.60%,4.6
"Ponce Municipio, Puerto Rico",3.80%,3.8
"Pondera County, Montana",6.60%,6.6
"Pontotoc County, Mississippi",6.80%,6.8
"Pontotoc County, Oklahoma",6.70%,6.7
"Pope County, Arkansas",6.10%,6.1
"Pope County, Illinois",5.10%,5.1
"Pope County, Minnesota",5.20%,5.2
"Poquoson city, Virginia",4.60%,4.6
"Portage County, Ohio",4.40%,4.4
"Portage County, Wisconsin",4.60%,4.6
"Porter County, Indiana",5.10%,5.1
"Portsmouth city, Virginia",7.10%,7.1
"Posey County, Indiana",5.20%,5.2
"Pottawatomie County, Kansas",7.50%,7.5
"Pottawatomie County, Oklahoma",5.80%,5.8
"Pottawattamie County, Iowa",5.70%,5.7
"Potter County, Pennsylvania",4.90%,4.9
"Potter County, South Dakota",5.60%,5.6
"Potter County, Texas",7%,7
"Powder River County, Montana",6.10%,6.1
"Powell County, Kentucky",6.30%,6.3
"Powell County, Montana",3.60%,3.6
"Power County, Idaho",7.20%,7.2
"Poweshiek County, Iowa",4.60%,4.6
"Powhatan County, Virginia",4.30%,4.3
"Prairie County, Arkansas",4.90%,4.9
"Prairie County, Montana",3.80%,3.8
"Pratt County, Kansas",6.60%,6.6
"Preble County, Ohio",5.20%,5.2
"Prentiss County, Mississippi",6%,6
"Presidio County, Texas",8.20%,8.2
"Presque Isle County, Michigan",4.20%,4.2
"Preston County, West Virginia",4.60%,4.6
"Price County, Wisconsin",4.10%,4.1
"Prince Edward County, Virginia",4.20%,4.2
"Prince George County, Virginia",4.90%,4.9
"Prince George's County, Maryland",6.30%,6.3
"Prince of Wales-Hyder Census Area, Alaska",4.90%,4.9
"Prince William County, Virginia",6.90%,6.9
"Providence County, Rhode Island",5.50%,5.5
"Prowers County, Colorado",6.60%,6.6
"Pueblo County, Colorado",5.50%,5.5
"Pulaski County, Arkansas",6.30%,6.3
"Pulaski County, Georgia",7.20%,7.2
"Pulaski County, Illinois",5.20%,5.2
"Pulaski County, Indiana",5.20%,5.2
"Pulaski County, Kentucky",5.70%,5.7
"Pulaski County, Missouri",6.90%,6.9
"Pulaski County, Virginia",4.60%,4.6
"Pushmataha County, Oklahoma",5.40%,5.4
"Putnam County, Florida",5.60%,5.6
"Putnam County, Georgia",4.40%,4.4
"Putnam County, Illinois",5.30%,5.3
"Putnam County, Indiana",4.60%,4.6
"Putnam County, Missouri",5.90%,5.9
"Putnam County, New York",4.50%,4.5
"Putnam County, Ohio",6.40%,6.4
"Putnam County, Tennessee",5.50%,5.5
"Putnam County, West Virginia",4.70%,4.7
"Quay County, New Mexico",3.30%,3.3
"Quebradillas Municipio, Puerto Rico",3.40%,3.4
"Queen Anne's County, Maryland",5%,5
"Queens County, New York",5.80%,5.8
"Quitman County, Georgia",3.30%,3.3
"Quitman County, Mississippi",6.10%,6.1
"Rabun County, Georgia",4.30%,4.3
"Racine County, Wisconsin",5.80%,5.8
"Radford city, Virginia",3.70%,3.7
"Rains County, Texas",4.40%,4.4
"Raleigh County, West Virginia",5.10%,5.1
"Ralls County, Missouri",5.20%,5.2
"Ramsey County, Minnesota",6.50%,6.5
"Ramsey County, North Dakota",5.90%,5.9
"Randall County, Texas",6%,6
"Randolph County, Alabama",5.60%,5.6
"Randolph County, Arkansas",6.10%,6.1
"Randolph County, Georgia",5.70%,5.7
"Randolph County, Illinois",5%,5
"Randolph County, Indiana",6.10%,6.1
"Randolph County, Missouri",6.10%,6.1
"Randolph County, North Carolina",5.60%,5.6
"Randolph County, West Virginia",5%,5
"Rankin County, Mississippi",5.50%,5.5
"Ransom County, North Dakota",4.90%,4.9
"Rapides Parish, Louisiana",6.50%,6.5
"Rappahannock County, Virginia",4%,4
"Ravalli County, Montana",4.40%,4.4
"Rawlins County, Kansas",6.80%,6.8
"Ray County, Missouri",5.50%,5.5
"Reagan County, Texas",9%,9
"Real County, Texas",5.70%,5.7
"Red Lake County, Minnesota",5.70%,5.7
"Red River County, Texas",6%,6
"Red River Parish, Louisiana",6.10%,6.1
"Red Willow County, Nebraska",5.80%,5.8
"Redwood County, Minnesota",6.40%,6.4
"Reeves County, Texas",6%,6
"Refugio County, Texas",5.60%,5.6
"Reno County, Kansas",5.50%,5.5
"Rensselaer County, New York",4.90%,4.9
"Renville County, Minnesota",5.70%,5.7
"Renville County, North Dakota",5.70%,5.7
"Republic County, Kansas",6%,6
"Reynolds County, Missouri",4.70%,4.7
"Rhea County, Tennessee",5.70%,5.7
"Rice County, Kansas",5.30%,5.3
"Rice County, Minnesota",5.50%,5.5
"Rich County, Utah",8.70%,8.7
"Richardson County, Nebraska",5.30%,5.3
"Richland County, Illinois",5.70%,5.7
"Richland County, Montana",6.30%,6.3
"Richland County, North Dakota",5.90%,5.9
"Richland County, Ohio",5.70%,5.7
"Richland County, South Carolina",5.60%,5.6
"Richland County, Wisconsin",4.80%,4.8
"Richland Parish, Louisiana",6.30%,6.3
"Richmond city, Virginia",5.70%,5.7
"Richmond County, Georgia",6.50%,6.5
"Richmond County, New York",5.50%,5.5
"Richmond County, North Carolina",6%,6
"Richmond County, Virginia",5.60%,5.6
"Riley County, Kansas",5%,5
"Rincón Municipio, Puerto Rico",2.80%,2.8
"Ringgold County, Iowa",6.10%,6.1
"Rio Arriba County, New Mexico",5.30%,5.3
"Rio Blanco County, Colorado",6.40%,6.4
"Rio Grande County, Colorado",5.10%,5.1
"Río Grande Municipio, Puerto Rico",3.30%,3.3
"Ripley County, Indiana",6%,6
"Ripley County, Missouri",6.30%,6.3
"Ritchie County, West Virginia",4.70%,4.7
"Riverside County, California",6%,6
"Roane County, Tennessee",4.20%,4.2
"Roane County, West Virginia",4.70%,4.7
"Roanoke city, Virginia",6.40%,6.4
"Roanoke County, Virginia",4.60%,4.6
"Roberts County, South Dakota",8%,8
"Roberts County, Texas",2.50%,2.5
"Robertson County, Kentucky",4.30%,4.3
"Robertson County, Tennessee",6.10%,6.1
"Robertson County, Texas",6.30%,6.3
"Robeson County, North Carolina",6.60%,6.6
"Rock County, Minnesota",5.60%,5.6
"Rock County, Nebraska",6.60%,6.6
"Rock County, Wisconsin",5.80%,5.8
"Rock Island County, Illinois",5.90%,5.9
"Rockbridge County, Virginia",4%,4
"Rockcastle County, Kentucky",5.50%,5.5
"Rockdale County, Georgia",5.50%,5.5
"Rockingham County, New Hampshire",4.50%,4.5
"Rockingham County, North Carolina",5%,5
"Rockingham County, Virginia",5.60%,5.6
"Rockland County, New York",8.30%,8.3
"Rockwall County, Texas",6%,6
"Roger Mills County, Oklahoma",5.10%,5.1
"Rogers County, Oklahoma",5.70%,5.7
"Rolette County, North Dakota",8.20%,8.2
"Rooks County, Kansas",5.40%,5.4
"Roosevelt County, Montana",9.10%,9.1
"Roosevelt County, New Mexico",6.30%,6.3
"Roscommon County, Michigan",3.60%,3.6
"Roseau County, Minnesota",5.50%,5.5
"Rosebud County, Montana",8%,8
"Ross County, Ohio",5.40%,5.4
"Routt County, Colorado",4.10%,4.1
"Rowan County, Kentucky",5.40%,5.4
"Rowan County, North Carolina",5.60%,5.6
"Runnels County, Texas",5.60%,5.6
"Rush County, Indiana",5.50%,5.5
"Rush County, Kansas",6.10%,6.1
"Rusk County, Texas",5.50%,5.5
"Rusk County, Wisconsin",5.40%,5.4
"Russell County, Alabama",6.70%,6.7
"Russell County, Kansas",5.70%,5.7
"Russell County, Kentucky",5.80%,5.8
"Russell County, Virginia",4.60%,4.6
"Rutherford County, North Carolina",4.90%,4.9
"Rutherford County, Tennessee",6.20%,6.2
"Rutland County, Vermont",4.20%,4.2
"Sabana Grande Municipio, Puerto Rico",3.60%,3.6
"Sabine County, Texas",4.60%,4.6
"Sabine Parish, Louisiana",5.80%,5.8
"Sac County, Iowa",5.90%,5.9
"Sacramento County, California",6.10%,6.1
"Sagadahoc County, Maine",4.70%,4.7
"Saginaw County, Michigan",5.70%,5.7
"Saguache County, Colorado",4.70%,4.7
"Salem city, Virginia",4%,4
"Salem County, New Jersey",5.30%,5.3
"Salinas Municipio, Puerto Rico",3.60%,3.6
"Saline County, Arkansas",5.70%,5.7
"Saline County, Illinois",6.10%,6.1
"Saline County, Kansas",5.90%,5.9
"Saline County, Missouri",5.30%,5.3
"Saline County, Nebraska",6.70%,6.7
"Salt Lake County, Utah",6.80%,6.8
"Saluda County, South Carolina",5.80%,5.8
"Sampson County, North Carolina",6.40%,6.4
"San Augustine County, Texas",3.60%,3.6
"San Benito County, California",6.20%,6.2
"San Bernardino County, California",6.60%,6.6
"San Diego County, California",5.80%,5.8
"San Francisco County, California",4.30%,4.3
"San Germán Municipio, Puerto Rico",3.40%,3.4
"San Jacinto County, Texas",4.90%,4.9
"San Joaquin County, California",6.70%,6.7
"San Juan County, Colorado",2.30%,2.3
"San Juan County, New Mexico",6%,6
"San Juan County, Utah",6%,6
"San Juan County, Washington",2.80%,2.8
"San Juan Municipio, Puerto Rico",3.60%,3.6
"San Lorenzo Municipio, Puerto Rico",3.30%,3.3
"San Luis Obispo County, California",4.40%,4.4
"San Mateo County, California",5.30%,5.3
"San Miguel County, Colorado",2.80%,2.8
"San Miguel County, New Mexico",4.10%,4.1
"San Patricio County, Texas",6.70%,6.7
"San Saba County, Texas",4.20%,4.2
"San Sebastián Municipio, Puerto Rico",3.30%,3.3
"Sanborn County, South Dakota",8.80%,8.8
"Sanders County, Montana",4%,4
"Sandoval County, New Mexico",5%,5
"Sandusky County, Ohio",5.40%,5.4
"Sangamon County, Illinois",5.60%,5.6
"Sanilac County, Michigan",4.90%,4.9
"Sanpete County, Utah",5.90%,5.9
"Santa Barbara County, California",6%,6
"Santa Clara County, California",5.50%,5.5
"Santa Cruz County, Arizona",6.50%,6.5
"Santa Cruz County, California",4.60%,4.6
"Santa Fe County, New Mexico",3.90%,3.9
"Santa Isabel Municipio, Puerto Rico",3.80%,3.8
"Santa Rosa County, Florida",5.40%,5.4
"Sarasota County, Florida",3.30%,3.3
"Saratoga County, New York",4.70%,4.7
"Sargent County, North Dakota",5.60%,5.6
"Sarpy County, Nebraska",6.70%,6.7
"Sauk County, Wisconsin",5.70%,5.7
"Saunders County, Nebraska",6.20%,6.2
"Sawyer County, Wisconsin",4.30%,4.3
"Schenectady County, New York",5.80%,5.8
"Schleicher County, Texas",8.40%,8.4
"Schley County, Georgia",5.90%,5.9
"Schoharie County, New York",4.20%,4.2
"Schoolcraft County, Michigan",4.30%,4.3
"Schuyler County, Illinois",3.90%,3.9
"Schuyler County, Missouri",7.90%,7.9
"Schuyler County, New York",4.80%,4.8
"Schuylkill County, Pennsylvania",4.80%,4.8
"Scioto County, Ohio",5.40%,5.4
"Scotland County, Missouri",7.90%,7.9
"Scotland County, North Carolina",6.50%,6.5
"Scott County, Arkansas",5.10%,5.1
"Scott County, Illinois",4.60%,4.6
"Scott County, Indiana",5.50%,5.5
"Scott County, Iowa",6%,6
"Scott County, Kansas",5.20%,5.2
"Scott County, Kentucky",6.20%,6.2
"Scott County, Minnesota",6.20%,6.2
"Scott County, Mississippi",8.20%,8.2
